0	Index      	 *	Score 	Summary	Detail	
37	35312 16633	   	174.55	ACR|1BASARM|1DMG|1AART|1VULN|1SELL	1AME|2AART|3CGEN|4RCR|5SELL|6VULN|7MDPS|8DMG|9LHND|aBASARM
38	43335 22433	 * 	174.23	ACR|3DMG|2VULN|1ASPD	1RMIN|23aDMG|3BPWR|4LIT|5RCR|68VULN|7ASPD|9LWND
39	32335 22662	   	173.93	ACR|1BASARM|2ASPD|1VULN	138AME|238ZMB|38BPWR|4LIT|5RCR|6VULN|78ASPD|9DUR|aBASARM
40	35313 16124	 * 	173.80	ACR|1BASARM|2AART|1CDMG	1AME|29AART|3CGEN|4RCR|5SNIHEL|6TLV|7LIT|8CDMG|aBASARM
41	15513 51321	 * 	172.82	ACR|3BEXP|1ASPD|1AART|1CDMG	1CGEN|2AART|3ERES|4RCR|5SNIHEL|678BEXP|9CDMG|aASPD
42	35313 51321	   	172.82	ACR|3BEXP|1ASPD|1AART|1CDMG	1AME|2AART|3CGEN|4RCR|5SNIHEL|678BEXP|9CDMG|aASPD
43	35513 51321	   	172.72	ACR|3BEXP|1ASPD|1CDMG|1AART	1AME|2AART|3ERES|4RCR|5SNIHEL|678BEXP|9CDMG|aASPD
44	14325 21235	 * 	172.71	DCR|1BASARM|3BEXP|1DMG|1CDMG	1CGEN|257BEXP|3DUST|4BASARM|6DMG|8MLV|9CDMG|aRCR
45	35311 62214	   	172.53	ACR|2ASPD|2BEXP|1AART|1VULN	1AME|2AART|3CGEN|4RCR|5FEWX|67ASPD|8aBEXP|9VULN
46	35315 32214	   	172.53	ACR|2ASPD|2BEXP|1AART|1VULN	1AME|2AART|3CGEN|4RCR|57ASPD|6DUR|8aBEXP|9VULN
47	43335 22421	 * 	172.23	ACR|2DMG|2VULN|1ASPD|1BEXP	1RMIN|23DMG|3BPWR|4LIT|5RCR|68VULN|7ASPD|9BEXP|aCGEN
48	43335 22423	   	172.23	ACR|2DMG|2VULN|1ASPD|1BEXP	1RMIN|23DMG|3BPWR|4LIT|5RCR|68VULN|7ASPD|9BEXP|aMLV
49	33625 22423	   	172.13	ACR|2DMG|2VULN|1ASPD|1BEXP	1AME|2DMSP|3LIT|4ASPD|5RCR|68VULN|7aDMG|9BEXP
50	43335 22422	   	172.13	ACR|2DMG|2VULN|1ASPD|1BEXP	1RMIN|23DMG|3BPWR|4LIT|5RCR|68VULN|7ASPD|9BEXP|aLEGI
51	35315 43212	 * 	171.44	ACR|2ASPD|1BEXP|1AART|1CDMG|1VULN	17AME|2AART|3CGEN|4RCR|57ASPD|67LHND|7BPWR|8BEXP|9VULN|aCDMG
52	33442 34222	 * 	171.38	ACR|1BASARM|2BEXP|1AART	1AME|2DMSP|3RCVC|4FEWX|5RCR|68BEXP|7AART|9LIT|aBASARM
53	33452 24222	   	171.38	ACR|1BASARM|2BEXP|1AART	1AME|2DMSP|3RCVC|48BEXP|5RCR|6FEWX|7AART|9LIT|aBASARM
54	33452 31162	   	171.38	ACR|1BASARM|2BEXP|1AART	1AME|2DMSP|3RCVC|46BEXP|5RCR|7FEWX|8LIT|9AART|aBASARM
55	15511 62212	   	171.34	ACR|2ASPD|1AART|1BEXP|1CDMG|1VULN	1CGEN|2AART|3ERES|4RCR|5FEWX|67ASPD|8BEXP|9VULN|aCDMG
56	35311 62212	   	171.34	ACR|2ASPD|1BEXP|1AART|1CDMG|1VULN	1AME|2AART|3CGEN|4RCR|5FEWX|67ASPD|8BEXP|9VULN|aCDMG
57	35315 32212	   	171.34	ACR|2ASPD|1BEXP|1AART|1CDMG|1VULN	1AME|2AART|3CGEN|4RCR|57ASPD|6DUR|8BEXP|9VULN|aCDMG
58	35315 52212	   	171.34	ACR|2ASPD|1BEXP|1AART|1CDMG|1VULN	1AME|2AART|3CGEN|4RCR|57ASPD|6LWND|8BEXP|9VULN|aCDMG
59	35511 62212	   	171.24	ACR|2ASPD|1AART|1BEXP|1CDMG|1VULN	1AME|2AART|3ERES|4RCR|5FEWX|67ASPD|8BEXP|9VULN|aCDMG
60	35515 33212	   	171.14	ACR|2ASPD|1BEXP|1CDMG|1AART|1VULN	17AME|2AART|3ERES|4RCR|57ASPD|67AEMAG|7BPWR|8BEXP|9VULN|aCDMG
61	15513 33353	 * 	170.72	ACR|2ASPD|1DMG|1AART|1BEXP	1CGEN|2AART|3ERES|4RCR|5SNIHEL|6ZMB|7DMG|8BEXP|9aASPD
62	35313 34353	   	170.72	ACR|2ASPD|1DMG|1BEXP|1AART	1AME|2AART|3CGEN|4RCR|5SNIHEL|6ZMB|7DMG|8BEXP|9aASPD
63	15513 13353	   	170.62	ACR|2ASPD|1DMG|1BEXP|1AART	1CGEN|2AART|3ERES|4RCR|5SNIHEL|6TLV|7DMG|8BEXP|9aASPD
64	35313 13353	   	170.62	ACR|2ASPD|1DMG|1BEXP|1AART	1AME|2AART|3CGEN|4RCR|5SNIHEL|6TLV|7DMG|8BEXP|9aASPD
65	35513 13353	   	170.52	ACR|2ASPD|1DMG|1BEXP|1AART	1AME|2AART|3ERES|4RCR|5SNIHEL|6TLV|7DMG|8BEXP|9aASPD
66	15511 12152	   	169.85	ACR|1BASARM|1AART|1BEXP|1AAC	1CGEN|2AART|3ERES|4RCR|5FEWX|6DMSP|7AAC|8RCVC|9BEXP|aBASARM
67	35311 12152	   	169.85	ACR|1BASARM|1AART|1BEXP|1AAC	1AME|2AART|3CGEN|4RCR|5FEWX|6DMSP|7AAC|8RCVC|9BEXP|aBASARM
68	15511 12252	   	169.85	ACR|1BASARM|1AART|1BEXP|1AAC	1CGEN|2AART|3ERES|4RCR|59FEWX|6DMSP|7AAC|8BEXP|aBASARM
69	35311 12252	   	169.85	ACR|1BASARM|1AART|1BEXP|1AAC	1AME|2AART|3CGEN|4RCR|59FEWX|6DMSP|7AAC|8BEXP|aBASARM
70	35511 12252	   	169.75	ACR|1BASARM|1AART|1BEXP|1AAC	1AME|2AART|3ERES|4RCR|59FEWX|6DMSP|7AAC|8BEXP|aBASARM
71	35511 32252	   	169.65	ACR|1BASARM|1AART|1BEXP|1AAC	1AME|2AART|36ERES|4RCR|59FEWX|7AAC|8BEXP|aBASARM
