0	Index      	 *	Score 	Summary	Detail	
156	66322 23352	   	185.05	DCR|1MDPS|2ASPD|1VULN|1AART|2CDMG	1aCDMG|2LHND|3VULN|4MLV|5MDPS|6RCR|79ASPD|8AART
157	62511 22311	 * 	185.01	DCR|2AART|1VULN|2CDMG|1ASPD	1aCDMG|2FEWX|34AART|5ASPD|6AME|7RCR|8MULFIG|9VULN
158	62511 62311	   	184.91	DCR|2AART|1VULN|2CDMG|1ASPD	1aCDMG|2FEWX|34AART|5ASPD|6ERES|7RCR|8MULFIG|9VULN
159	25134 21372	   	184.80	ACR|2VULN|2ASPD|1DMG|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8CDMG|9CGEN|aDMG
160	25136 21372	   	184.80	ACR|2VULN|2ASPD|1DMG|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8CDMG|9CGEN|aDMG
161	11362 32141	 * 	184.76	DCR|3DMG|2ASPD|1VULN|1SELL	1SELL|246DMG|35ASPD|7LIT|8VULN|9RCR|aCGEN
162	11362 32142	 * 	184.76	DCR|3DMG|2ASPD|1VULN|1SELL	1SELL|246DMG|35ASPD|7LIT|8VULN|9RCR|aAME
163	11362 32146	 * 	184.76	DCR|3DMG|2ASPD|1VULN|1SELL	1SELL|246DMG|35ASPD|7LIT|8VULN|9RCR|aBELT
164	11362 32144	 * 	184.66	DCR|3DMG|2ASPD|1VULN|1SELL	1SELL|246DMG|35ASPD|7LIT|8VULN|9RCR|aAIRARM
165	35134 21784	 * 	184.22	ACR|3VULN|3ASPD|1AART	127DUST|279BPWR|3MBVNT|4RCR|579VULN|679ASPD|8BELT|aAART
166	35144 21544	   	183.96	DCR|2VULN|2ASPD|1AART|1DUR	127DUST|27BPWR|3MBVNT|4DUR|57VULN|67ASPD|8LWND|9RCR|aAART
167	35146 21544	   	183.96	DCR|2VULN|2ASPD|1AART|1DUR	127DUST|27BPWR|3MBVNT|4DUR|57ASPD|67VULN|8LWND|9RCR|aAART
168	11513 23116	   	183.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2DMG|34VULN|5DUR|6CDMG|7AART|8SNIFST|9RMIN|aRCR
169	11512 13412	   	183.94	DCR|3VULN|1ASPD|1DMG|1ZMB|1SELL	1SELL|2DMG|346VULN|568LWND|6BPWR|7ASPD|9ZMB|aRCR
170	11515 33233	   	183.93	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|34aVULN|5AAC|6CDMG|7ZMB|8RCR|9LIT
171	11515 33242	   	183.93	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|349VULN|5AAC|6CDMG|7ZMB|8RCR|aRMIN
172	11515 33243	   	183.93	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|349VULN|5AAC|6CDMG|7ZMB|8RCR|aLIT
173	16311 23146	   	183.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2DUR|34VULN|5TLV|6CDMG|7AART|8VENFST|9DMG|aRCR
174	11515 33241	   	183.83	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB|1SELL|1MSE	1SELL|2DMG|349VULN|5AAC|6CDMG|7ZMB|8RCR|aMSE
175	31312 14414	 * 	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1DUST|2DMSP|3CGEN|4BELT|59VULN|6RCR|7CDMG|8AART|aASPD
176	32312 14414	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1DUST|2AELBLL|3CGEN|4BELT|59VULN|6RCR|7CDMG|8AART|aASPD
177	33312 14414	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1DUST|2RCVC|3CGEN|4BELT|59VULN|6RCR|7CDMG|8AART|aASPD
178	64322 23363	 * 	183.79	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2LWND|3aVULN|4MLV|5MDPS|6RCR|7ASPD|8AART|9LIT
179	66322 23363	   	183.79	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2LHND|3aVULN|4MLV|5MDPS|6RCR|7ASPD|8AART|9LIT
180	25624 21541	 * 	183.71	DCR|3ASPD|2VULN|3DUR	127DUR|27BPWR|3LHND|4MBVNT|57VULN|67aASPD|8LWND|9RCR
181	25624 21641	   	183.71	DCR|3ASPD|2VULN|3DUR	127DUR|27BPWR|3LHND|4MBVNT|57VULN|67aASPD|8BEXP|9RCR
182	13121 21861	   	183.69	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|49ASPD|5CDMG|6MBVNT|7RCR|8DUR|aVULN
183	11515 33234	   	183.69	DCR|2VULN|2DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2aDMG|34VULN|5AAC|6CDMG|7ZMB|8RCR|9LIT
184	11511 13512	   	183.64	DCR|3VULN|1ASPD|1DMG|1ZMB|1SELL	1SELL|2DMG|346VULN|568DUST|6BPWR|7ASPD|9ZMB|aRCR
185	13121 51355	 * 	183.63	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1SELL|26LIT|3AART|4ASPD|5CDMG|7DUR|8VULN|9DMG|aRCR
186	11562 36122	 * 	183.55	DCR|2DMG|2ASPD|1VULN|1CDMG|1SELL	1SELL|29DMG|3VULN|49ASPD|5CGEN|6RCVC|7CDMG|89AME|9BPWR|aRCR
187	36414 23323	   	183.50	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	1DUST|2LWND|3VULN|4MLV|5ASPD|6DMG|78AART|9RCR|aMDPS
188	11366 33233	   	183.47	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1SELL	1SELL|24DMG|3ASPD|5FEWX|6CDMG|7ZMB|8RCR|9LIT|aVULN
189	11366 33242	   	183.47	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1SELL	1SELL|24DMG|3ASPD|5aFEWX|6CDMG|7ZMB|8RCR|9VULN
190	11366 33251	 * 	183.47	DCR|2DMG|1AART|1ASPD|1CDMG|1ZMB|1SELL	1SELL|24DMG|3ASPD|5FEWX|6CDMG|7ZMB|8RCR|9AART|aLHND
191	11366 33252	 * 	183.47	DCR|2DMG|1AART|1ASPD|1CDMG|1ZMB|1SELL	1SELL|24DMG|3ASPD|5FEWX|6CDMG|7ZMB|8RCR|9AART|aLWND
192	11366 33253	 * 	183.47	DCR|2DMG|1AART|1ASPD|1CDMG|1ZMB|1SELL	1SELL|24DMG|3ASPD|5FEWX|6CDMG|7ZMB|8RCR|9AART|aMLV
193	11561 36122	 * 	183.45	DCR|2DMG|2ASPD|1VULN|1CDMG|1SELL	1SELL|29DMG|3VULN|49ASPD|5TLV|6RCVC|7CDMG|89AME|9BPWR|aRCR
194	12512 23462	   	183.44	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1SELL	1SELL|2LEGI|3MLV|48VULN|5MDPS|6RCR|7ASPD|9AART|aCDMG
195	11563 42211	 * 	183.44	DCR|2VULN|1MDPS|1ASPD|1DMG|1NUKE|1SELL	1SELL|2DMG|38VULN|4ASPD|5MDPS|6RCR|79ERES|aNUKE
196	11366 33243	   	183.37	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1SELL	1SELL|24DMG|3ASPD|5FEWX|6CDMG|7ZMB|8RCR|9VULN|aTLV
197	13121 21817	 * 	183.34	DCR|2DMG|1AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8DUR|9aDMG
198	13131 21867	 * 	183.34	DCR|2DMG|1AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|2LIT|3AART|4aDMG|5CDMG|6MBVNT|7RCR|8DUR|9ASPD
199	11363 23263	 * 	183.25	DCR|2DMG|2ASPD|1VULN|1CDMG|1SELL	1SELL|24DMG|37ASPD|5RMIN|6DUST|8VULN|9CDMG|aRCR
200	11513 16412	   	183.25	DCR|3VULN|1DMG|1CDMG|2DUR|1SELL	1SELL|2DMG|346VULN|56DUR|6BPWR|7CDMG|8RCVC|9TLV|aRCR
201	66312 23211	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|34VULN|5aCGEN|78ASPD|8BPWR|9RCR
202	66312 23215	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|34VULN|5CGEN|78ASPD|8BPWR|9RCR|aAME
203	61311 23216	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|28CGEN|35BEXP|4aVULN|78ASPD|8BPWR|9RCR
204	61513 23216	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|28CGEN|3LHND|4aVULN|5DMSP|78ASPD|8BPWR|9RCR
205	66113 23216	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|3CGEN|4aVULN|5DMSP|78ASPD|8BPWR|9RCR
206	66323 23216	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|3aVULN|4MLV|5DMSP|78ASPD|8BPWR|9RCR
207	66332 23216	   	183.01	DCR|2VULN|2ASPD|3CDMG	168CDMG|248LHND|3aVULN|5CGEN|78ASPD|8BPWR|9RCR
208	66213 23216	   	182.91	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|3ERES|4aVULN|5DMSP|78ASPD|8BPWR|9RCR
209	66311 23211	   	182.91	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|34VULN|5TLV|78ASPD|8BPWR|9RCR|aCGEN
210	66311 23213	   	182.91	DCR|2VULN|2ASPD|3CDMG	168CDMG|28aLHND|34VULN|5TLV|78ASPD|8BPWR|9RCR
211	66311 23215	   	182.91	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|34VULN|5TLV|78ASPD|8BPWR|9RCR|aAME
212	66312 23212	   	182.91	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|34VULN|5CGEN|78ASPD|8BPWR|9RCR|aERES
213	66331 23216	   	182.91	DCR|2VULN|2ASPD|3CDMG	168CDMG|248LHND|3aVULN|5TLV|78ASPD|8BPWR|9RCR
214	13243 45227	 * 	182.88	DCR|2VULN|2DMG|1AART|1SELL	1SELL|2LIT|38DMG|4CGEN|5MBVNT|69VULN|7RCR|aAART
215	64312 24131	   	182.83	DCR|2VULN|1AART|1ASPD|1CDMG|1SPLREG	1CDMG|2LWND|34VULN|5CGEN|6ASPD|7AART|8SPLREG|9LIT|aRCR
216	65312 23211	   	182.81	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5aCGEN|78ASPD|8BPWR|9RCR
217	65312 23215	   	182.81	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5CGEN|78ASPD|8BPWR|9RCR|aAME
218	66311 23212	   	182.81	DCR|2VULN|2ASPD|3CDMG	168CDMG|28LHND|34VULN|5aTLV|78ASPD|8BPWR|9RCR
219	11362 32124	 * 	182.76	DCR|3DMG|2ASPD|1VULN|1SELL	1SELL|246DMG|35ASPD|79LIT|8VULN|aRCR
220	64311 24131	   	182.73	DCR|2VULN|1AART|1ASPD|1CDMG|1SPLREG	1CDMG|2LWND|34VULN|5TLV|6ASPD|7AART|8SPLREG|9LIT|aRCR
221	65311 23211	   	182.71	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5TLV|78ASPD|8BPWR|9RCR|aCGEN
222	65311 23213	   	182.71	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5TLV|78ASPD|8BPWR|9RCR|aLHND
223	65311 23215	   	182.71	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5TLV|78ASPD|8BPWR|9RCR|aAME
224	65312 23212	   	182.71	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5CGEN|78ASPD|8BPWR|9RCR|aERES
225	61311 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|28CGEN|35BEXP|4VULN|78ASPD|8BPWR|9RCR|aDMG
226	61513 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|28CGEN|3LHND|4VULN|5DMSP|78ASPD|8BPWR|9RCR|aDMG
227	61515 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|28CGEN|35LHND|4VULN|78ASPD|8BPWR|9RCR|aDMG
228	66113 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|28LHND|3CGEN|4VULN|5DMSP|78ASPD|8BPWR|9RCR|aDMG
229	66115 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|258LHND|3CGEN|4VULN|78ASPD|8BPWR|9RCR|aDMG
230	66332 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|248LHND|3VULN|5CGEN|78ASPD|8BPWR|9RCR|aDMG
231	66353 23213	   	182.69	DCR|2ASPD|3CDMG|1VULN|1DMG	168CDMG|28LHND|3VULN|4CGEN|5DMSP|78ASPD|8BPWR|9RCR|aDMG
232	65311 23212	   	182.61	DCR|2VULN|2ASPD|3CDMG	168CDMG|28DUST|34VULN|5aTLV|78ASPD|8BPWR|9RCR
233	25134 21131	   	182.60	ACR|2VULN|2ASPD|1AART|3DUR|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8AME|9ZMB|aAART
234	25134 21231	   	182.60	ACR|2VULN|2ASPD|1AART|3DUR|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8MLV|9ZMB|aAART
235	25136 21131	   	182.60	ACR|2VULN|2ASPD|1AART|3DUR|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8AME|9ZMB|aAART
236	25136 21231	   	182.60	ACR|2VULN|2ASPD|1AART|3DUR|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8MLV|9ZMB|aAART
237	25134 21316	 * 	182.57	ACR|3VULN|2ASPD|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57aVULN|67ASPD|8CDMG|9LHND
238	25134 21356	   	182.57	ACR|3VULN|2ASPD|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57aVULN|67ASPD|8CDMG|9BEXP
239	25136 21316	   	182.57	ACR|3VULN|2ASPD|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67aVULN|8CDMG|9LHND
240	25134 21383	 * 	182.50	ACR|2VULN|2ASPD|2CDMG|3DUR|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8aCDMG|9ZMB
241	25136 21383	   	182.50	ACR|2VULN|2ASPD|2CDMG|3DUR|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8aCDMG|9ZMB
242	25134 21336	   	182.47	ACR|3VULN|2ASPD|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57aVULN|67ASPD|8CDMG|9DUST
243	25136 21336	   	182.47	ACR|3VULN|2ASPD|3DUR|1CDMG	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67aVULN|8CDMG|9DUST
244	24138 22473	   	182.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|2RPLT|3MBVNT|4FEWX|58VULN|6CDMG|7ASPD|9RCR|aDMG
245	21136 21738	 * 	182.37	ACR|4VULN|2ASPD|3DUR	179DUR|2DMSP|3MBVNT|4RCR|57ASPD|679aVULN|79BPWR|89FEWX
246	23136 21738	   	182.37	ACR|4VULN|2ASPD|3DUR	179DUR|2RCVC|3MBVNT|4RCR|57ASPD|679aVULN|79BPWR|89FEWX
247	26272 61143	   	182.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2LWND|3MBVNT|4ZMB|5AART|6RCR|7MLV|89VULN|aCDMG
248	26272 64133	   	182.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2LWND|3MBVNT|4ZMB|5AART|6RCR|7SNIFST|8aVULN|9CDMG
249	26272 63133	   	182.26	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2LWND|3MBVNT|4ZMB|5AART|6RCR|7TSLFST|8aVULN|9CDMG
250	26133 53323	   	182.18	DCR|2AART|1MDPS|1VULN|1ASPD|1ZMB|1DUR	1DUR|2LWND|3ZMB|4MLV|5ASPD|6VULN|78AART|9RCR|aMDPS
251	26161 53323	   	182.18	DCR|2AART|1MDPS|1VULN|1ASPD|1ZMB|1DUR	1DUR|2LWND|3ZMB|4ASPD|5MLV|6VULN|78AART|9RCR|aMDPS
252	25134 21628	   	182.17	ACR|4VULN|2ASPD|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579aVULN|67ASPD|8BEXP
253	25134 21728	   	182.17	ACR|4VULN|2ASPD|3DUR	127DUR|27BPWR|3MBVNT|4RCR|579aVULN|67ASPD|8FEWX
254	26232 67443	 * 	182.12	DCR|2ASPD|1AART|1DMG|1CDMG|1AAC|1DUR	1DUR|2LWND|3MBVNT|4AAC|5AART|6RCR|7DMG|89ASPD|aCDMG
255	62322 23514	   	182.05	DCR|1MDPS|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2FEWX|3VULN|4MLV|5MDPS|6RCR|7ASPD|8DUR|9ZMB|aAART
256	26272 61134	   	181.87	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2LWND|3MBVNT|4ZMB|59AART|6RCR|7MLV|8VULN|aDMG
257	21136 47744	 * 	181.83	ACR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUR|2DMSP|3MBVNT|4RCR|59ASPD|6AART|7DMG|8aVULN
258	22136 47744	   	181.83	ACR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUR|2AELBLL|3MBVNT|4RCR|59ASPD|6AART|7DMG|8aVULN
259	23136 47744	   	181.83	ACR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUR|2RCVC|3MBVNT|4RCR|59ASPD|6AART|7DMG|8aVULN
260	64112 15323	   	181.79	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2LWND|3CGEN|48VULN|5MDPS|6LIT|7RCR|9ASPD|aAART
261	64322 15323	   	181.79	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2LWND|38VULN|4MLV|5MDPS|6LIT|7RCR|9ASPD|aAART
262	34118 22474	   	181.78	DCR|2VULN|2ASPD|1CDMG|2DUR	1aDUST|2RPLT|3MBVNT|4aDUR|58VULN|6CDMG|7aASPD|9RCR|aBPWR
263	62511 12314	   	181.71	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1CDMG|2FEWX|34AART|5ASPD|6DUST|7TSLARM|8ZMB|9VULN|aRCR
264	61112 16162	   	181.70	DCR|2VULN|2CDMG|1ASPD|1DMG	13CDMG|23CGEN|3BPWR|4DMG|5ASPD|6AME|7aVULN|8RCVC|9RCR
265	61112 26162	   	181.70	DCR|2VULN|2CDMG|1ASPD|1DMG	13CDMG|23CGEN|3BPWR|4DMG|5ASPD|6RMIN|7aVULN|8RCVC|9RCR
266	64212 15323	   	181.69	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2LWND|3ERES|48VULN|5MDPS|6LIT|7RCR|9ASPD|aAART
267	31146 48454	 * 	181.66	DCR|2AART|2ASPD|2CDMG|1DUR	1aDUST|2DMSP|3MBVNT|4DUR|5aASPD|69AART|7aCDMG|8RCR|aBPWR
268	33146 48454	   	181.66	DCR|2AART|2ASPD|2CDMG|1DUR	1aDUST|2RCVC|3MBVNT|4DUR|5aASPD|69AART|7aCDMG|8RCR|aBPWR
269	31312 13331	   	181.66	DCR|3VULN|1ASPD|1DMG	1DUST|2DMSP|3CGEN|4BELT|59aVULN|6RCR|7ASPD|8DMG
270	32312 13331	   	181.66	DCR|3VULN|1ASPD|1DMG	1DUST|2AELBLL|3CGEN|4BELT|59aVULN|6RCR|7ASPD|8DMG
271	33312 13331	   	181.66	DCR|3VULN|1ASPD|1DMG	1DUST|2RCVC|3CGEN|4BELT|59aVULN|6RCR|7ASPD|8DMG
272	44312 13331	   	181.66	DCR|3VULN|1DMG|1ASPD	12CGEN|3DUST|4BELT|59aVULN|6RCR|7ASPD|8DMG
273	65315 22123	   	181.59	DCR|2VULN|1AART|1ASPD|1CDMG	1CDMG|25DUST|34VULN|6DLOT|7RCR|8SNIFST|9AART|aASPD
274	31312 14415	 * 	181.56	DCR|3VULN|1AART|1CDMG	1DUST|2DMSP|3CGEN|4BELT|59aVULN|6RCR|7CDMG|8AART
275	32312 14415	   	181.56	DCR|3VULN|1AART|1CDMG	1DUST|2AELBLL|3CGEN|4BELT|59aVULN|6RCR|7CDMG|8AART
276	33312 14415	   	181.56	DCR|3VULN|1AART|1CDMG	1DUST|2RCVC|3CGEN|4BELT|59aVULN|6RCR|7CDMG|8AART
277	35312 13331	   	181.56	DCR|3VULN|1ASPD|1DMG	12DUST|2BPWR|3CGEN|4BELT|59aVULN|6RCR|7ASPD|8DMG
278	13121 21642	   	181.54	DCR|2VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8aVULN|9RPLT
279	13121 21663	   	181.54	DCR|2VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8aVULN|9BELT
280	13131 21663	   	181.54	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4DMG|5CDMG|6MBVNT|7RCR|8aVULN|9BELT
281	31312 13336	   	181.51	DCR|2VULN|2DMG|1ASPD	1aDUST|2DMSP|3aCGEN|4BELT|59VULN|6RCR|7ASPD|8aDMG|aBPWR
282	32312 13336	   	181.51	DCR|2VULN|2DMG|1ASPD	1aDUST|2AELBLL|3aCGEN|4BELT|59VULN|6RCR|7ASPD|8aDMG|aBPWR
283	33312 13336	   	181.51	DCR|2VULN|2DMG|1ASPD	1aDUST|2RCVC|3aCGEN|4BELT|59VULN|6RCR|7ASPD|8aDMG|aBPWR
284	44312 13336	   	181.51	DCR|2VULN|2DMG|1ASPD	12aCGEN|3aDUST|4BELT|59VULN|6RCR|7ASPD|8aDMG|aBPWR
285	11563 41112	 * 	181.41	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|39aVULN|4ASPD|5MDPS|6RCR|7LWND|8CGEN
286	11563 43112	 * 	181.41	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|39aVULN|4ASPD|5MDPS|6RCR|7CGEN|8BEXP
287	11563 43222	 * 	181.41	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|38aVULN|4ASPD|5MDPS|6RCR|7CGEN|9FEWX
288	35312 13336	   	181.41	DCR|2VULN|2DMG|1ASPD	12aDUST|2aBPWR|3aCGEN|4BELT|59VULN|6RCR|7ASPD|8aDMG
289	62312 12461	   	181.37	DCR|3VULN|2CDMG|1DMG	19CDMG|2FEWX|349VULN|5CGEN|6LWND|79DUST|8RCR|9BPWR|aDMG
290	62321 22461	   	181.37	DCR|3VULN|2CDMG|1DMG	19CDMG|2FEWX|369VULN|4MLV|5BEXP|79DUST|8RCR|9BPWR|aDMG
291	13152 32315	   	181.33	DCR|1AART|1VULN|2CDMG|1ASPD|1ZMB|1DUR|1SELL	1SELL|2LIT|3AART|45CDMG|6DUR|7ASPD|8VULN|9ZMB|aRCR
292	11563 42112	 * 	181.31	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|39aVULN|4ASPD|5MDPS|6RCR|7ERES|8BEXP
293	11563 43312	 * 	181.31	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|39aVULN|4ASPD|5MDPS|6RCR|7CGEN|8DUST
294	62311 12461	   	181.27	DCR|3VULN|2CDMG|1DMG	19CDMG|2FEWX|349VULN|5TLV|6LWND|79DUST|8RCR|9BPWR|aDMG
295	11152 43316	   	181.26	DCR|2VULN|1AART|1DMG|1NUKE|1AAC|1SELL	1SELL|2DMG|3MSLREG|48VULN|5AAC|6BELT|7AART|9RCR|aNUKE
296	13121 21611	 * 	181.23	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aFEWX
297	13121 21613	 * 	181.23	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aLWND
298	13121 21615	 * 	181.23	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aMLV
299	13121 21618	 * 	181.23	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aAME
300	13131 21666	 * 	181.23	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4DMG|5CDMG|6MBVNT|7RCR|8VULN|9BELT|aASPD
301	13131 21668	 * 	181.23	DCR|1AART|1VULN|1DMG|1NUKE|1CDMG|1SELL	1SELL|2LIT|3AART|4DMG|5CDMG|6MBVNT|7RCR|8VULN|9BELT|aNUKE
302	11563 42232	 * 	181.21	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|38aVULN|4ASPD|5MDPS|6RCR|7ERES|9DUST
303	11563 42312	 * 	181.21	DCR|3VULN|1MDPS|1ASPD|1DMG|1SELL	1SELL|2DMG|39aVULN|4ASPD|5MDPS|6RCR|7ERES|8DUST
304	13121 21612	 * 	181.13	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL|1MSE	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aMSE
305	13121 21614	 * 	181.13	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|7RCR|8VULN|9DMG|aDUST
306	31312 14346	   	180.99	DCR|2DMG|1VULN|1AART|1CDMG	1DUST|2DMSP|3CGEN|4BELT|5VULN|6RCR|7CDMG|89DMG|aAART
307	32312 14346	   	180.99	DCR|2DMG|1VULN|1AART|1CDMG	1DUST|2AELBLL|3CGEN|4BELT|5VULN|6RCR|7CDMG|89DMG|aAART
308	33312 14346	   	180.99	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2RCVC|3CGEN|4BELT|5VULN|6RCR|7CDMG|89DMG|aAART
309	61123 63251	 * 	180.87	DCR|1AART|2CDMG|1ASPD|1DMG|2DUR	13CDMG|23CGEN|3BPWR|45DUR|6RCR|7ASPD|8MULARM|9AART|aDMG
310	61123 63312	   	180.87	DCR|1VULN|2CDMG|1ASPD|1DMG|2DUR	13CDMG|23CGEN|3BPWR|45DUR|6RCR|7ASPD|8AME|9DMG|aVULN
311	26212 66444	 * 	180.77	DCR|1VULN|1AART|1ASPD|1NUKE|2DUR	17DUR|2LWND|3MBVNT|4MLV|5AART|6RCR|8VULN|9ASPD|aNUKE
312	61123 63612	   	180.77	DCR|1VULN|2CDMG|1ASPD|1DMG|1NUKE|2DUR	13CDMG|23CGEN|3BPWR|45DUR|6RCR|7ASPD|8NUKE|9DMG|aVULN
