0	Index      	 *	Score 	Summary	Detail	
37	25624 21542	 * 	194.56	DCR|2VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3LHND|4MBVNT|57VULN|67ASPD|8LWND|9RCR|aAART
38	25624 21644	   	194.56	DCR|2VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3LHND|4MBVNT|57VULN|67ASPD|8BEXP|9RCR|aAART
39	11513 23615	 * 	194.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1SELL|2DMG|34VULN|5DUR|6CDMG|7AART|8LIT|9ZMB|aRCR
40	13121 62515	 * 	194.28	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6DUR|78VULN|9ZMB|aRCR
41	13131 62515	 * 	194.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1SELL|2LIT|3AART|4DMG|5CDMG|6DUR|78VULN|9ZMB|aRCR
42	65312 63112	 * 	193.59	DCR|4VULN|1DMG|1CDMG	1CDMG|27DUST|348aVULN|5CGEN|6RCR|9DMG
43	62534 13311	 * 	193.16	DCR|4VULN|1AART|1CDMG|1SELL	1CDMG|2FEWX|3AART|467aVULN|5SELL|8RCR|9DUST
44	26232 67134	 * 	193.01	DCR|2DMG|1VULN|1AART|1NUKE|1AAC|1DUR	1DUR|2LWND|3MBVNT|4AAC|5AART|6RCR|79DMG|8VULN|aNUKE
45	11362 11642	 * 	192.78	DCR|2DMG|2ASPD|1VULN|1AART|1SELL	1SELL|24DMG|35ASPD|6AART|7VULN|8TLV|9RCR|aLHND
46	62312 23255	   	192.69	DCR|2VULN|2DMG|3CDMG|1DUR	168CDMG|28FEWX|34VULN|5CGEN|78DMG|8BPWR|9DUR|aRCR
47	11362 11641	 * 	192.68	DCR|2DMG|2ASPD|1VULN|1AART|1SELL	1SELL|24DMG|35ASPD|6AART|7VULN|8TLV|9RCR|aERES
48	11121 22562	 * 	192.64	DCR|3DMG|2VULN|1AART|1NUKE|1SELL	1SELL|259DMG|3MSLREG|4NUKE|69VULN|79LHND|8AART|9BPWR|aRCR
49	62311 23255	   	192.59	DCR|2VULN|2DMG|3CDMG|1DUR	168CDMG|28FEWX|34VULN|5TLV|78DMG|8BPWR|9DUR|aRCR
50	26252 61143	 * 	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3MBVNT|4DMG|5AART|6RCR|7MLV|89VULN|aCDMG
51	26212 67143	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3MBVNT|4MLV|5AART|6RCR|7DMG|89VULN|aCDMG
52	13121 24381	 * 	191.76	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1SELL|2LIT|3AART|47ASPD|5CDMG|6MBVNT|8aVULN|9RCR
