0	Index      	 *	Score 	Summary	Detail	
1	63216 26111	 * 	314.44	DCR|2VULN|2TLV|1LIT|2ASPD|1MLV	1AART|27TLV|3TBNT|47ASPD|5RPLT|67VULN|7BPWR|8LIT|9MLV|aRCR
2	21116 54223	 * 	305.75	DCR|3TLV|3MLV|3DUR|1DMG|1RPLT	1RPLT|29aDUR|3BBNT|4DMG|5RMIN|69aMLV|79aTLV|8RCR|9aBPWR
3	61131 26111	   	302.34	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1AART|2BBNT|3RPLT|47TLV|5AAC|67VULN|7BPWR|8LIT|9MLV|aRCR
4	56233 16221	 * 	301.60	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27VULN|3TBNT|4DUR|5LWND|67LIT|7BPWR|8AME|9RCR|aMLV
5	51236 16131	   	301.50	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27DUST|3TBNT|4DUR|58VULN|67LIT|7BPWR|9MLV|aRCR
6	62531 26111	   	298.24	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1AART|2RPLT|3TBNT|47TLV|5AAC|67VULN|7BPWR|8LIT|9MLV|aRCR
7	56213 16221	   	291.94	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27VULN|3TBNT|4LHND|5LWND|67LIT|7BPWR|8AME|9RCR|aMLV
8	51216 16131	   	291.84	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27DUST|3TBNT|4LHND|58VULN|67LIT|7BPWR|9MLV|aRCR
9	61131 26151	   	290.22	DCR|2VULN|2TLV|1LIT|1DMG|1RPLT	1AART|2BBNT|3RPLT|47TLV|5AAC|67VULN|7BPWR|8LIT|9DMG|aRCR
