0	Index      	 *	Score 	Summary	Detail	
20	31363 36351	   	167.27	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|79DMG|8RMIN|aZMB
21	13416 33124	 * 	167.13	DCR|2DMG|3CDMG|1AART|1VULN	1RMIN|2RCVC|36aCDMG|4BELT|56DMG|6BPWR|7VULN|8RCR|9AART
22	21324 43162	 * 	167.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2ZMB|3AIRHEL|4aVULN|5RCR|6LIT|7AART|8CDMG|9DMG
23	31331 46336	   	166.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LEGI|2BELT|3AART|4LWND|5CDMG|6VULN|7ZMB|8aDMG|9RCR
24	13416 33152	 * 	165.88	DCR|2VULN|2DMG|2CDMG|1ZMB	1RMIN|2RCVC|36CDMG|4BELT|56DMG|6BPWR|79VULN|8RCR|aZMB
25	14232 33121	 * 	165.23	DCR|4VULN|1DMG|1CDMG	1RMIN|2CANHEL|3DUST|479aVULN|5CDMG|6RCR|8DMG
26	34532 33121	   	165.23	DCR|4VULN|1DMG|1CDMG	1LEGI|2CGEN|3SNIHEL|479aVULN|5CDMG|6RCR|8DMG
27	31313 36352	   	164.98	DCR|3DMG|1AART|1VULN	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79aDMG|8RMIN
28	31313 36416	   	164.98	DCR|3DMG|1AART|1VULN	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79aDMG|8RPLT
29	21321 21543	   	164.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2ZMB|3AIRHEL|45VULN|6AART|7LWND|8DMG|9RCR|aCDMG
30	13152 23116	 * 	164.21	DCR|2VULN|2DMG|1AART	1RMIN|2RCVC|3aLWND|4AART|5aVULN|6LIT|7RCR|8CGEN|9aDMG|aBPWR
31	31313 36251	   	164.18	DCR|2DMG|1AART|1VULN|2ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79DMG|8aZMB
32	31363 31116	   	163.33	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7CDMG|8LHND|9ZMB|aDMG
33	31363 31416	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7CDMG|8FEWX|9ZMB|aDMG
34	31363 36213	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2aBELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9CDMG
35	31363 36214	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9CDMG|aRMIN
36	31363 36216	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9CDMG|aRPLT
37	31363 36232	   	163.33	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9LWND|aCDMG
38	31363 36242	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9FEWX|aCDMG
39	31363 34211	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7TLV|8ZMB|9CDMG|aDMG
40	31363 36211	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9CDMG|aNUKE
41	31363 36212	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9CDMG|aTLV
42	31363 36215	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMG|8ZMB|9CDMG|aERES
43	31363 36141	   	163.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LEGI|2BELT|3AART|4ASPD|5aVULN|6RCR|7DMG|8BEXP|9DUR
44	36132 53831	   	163.19	DCR|2DMG|1AART|1VULN|2CDMG	1LEGI|2LWND|3MBVNT|46CDMG|5VULN|7RCR|8aDMG|9AART
45	31313 31156	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8LHND|9aDMG
46	31313 31316	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8aDMG|9BEXP
47	31313 31326	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8aDMG|9LHND
48	31313 31331	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8aDMG|9RMIN
49	31313 31341	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2aBELT|3AART|4MLV|59VULN|6RCR|7CDMG|8DMG
50	31313 31343	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7CDMG|8DMG|aRPLT
51	31313 31344	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7CDMG|8DMG|aRMIN
52	31313 31345	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7CDMG|8DMG|aRCVC
53	31313 31346	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7CDMG|8DMG|aCGEN
54	31313 31366	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8aDMG|9LWND
55	31313 31456	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7CDMG|8FEWX|9aDMG
56	31313 33211	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|58VULN|6RCR|7FEWX|9CDMG|aDMG
57	31313 33456	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7FEWX|8CDMG|9aDMG
58	31313 36311	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7aDMG|8RMIN|9CDMG
59	31313 36516	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7aDMG|8CDMG|9BEXP
60	31313 36526	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7aDMG|8CDMG|9LHND
61	31313 36531	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|7aDMG|8CDMG|9RMIN
62	31313 36541	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2aBELT|3AART|4MLV|59VULN|6RCR|7DMG|8CDMG
63	31313 36543	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7DMG|8CDMG|aRPLT
64	31313 31645	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7CDMG|8RCVC|aDMG
65	31312 31346	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2BELT|3AART|4MLV|5DUST|6RCR|7CDMG|8aDMG|9VULN
66	31312 34211	   	162.88	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|5DUST|6RCR|78VULN|9CDMG|aDMG
67	31313 31342	   	162.88	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7CDMG|8DMG|aDUST
68	31313 36542	   	162.88	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2BELT|3AART|4MLV|59VULN|6RCR|7DMG|8CDMG|aDUST
69	31363 11336	   	162.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6LWND|7CDMG|8aDMG|9RCR
70	31363 61336	   	162.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6DUST|7CDMG|8aDMG|9RCR
71	31322 13433	 * 	162.38	DCR|3VULN|1AART|1DMG	1LEGI|2BELT|3AART|4LSRREG|5ERES|69aVULN|7RCR|8DMG
72	33443 31316	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2MLV|3BELT|4AART|5VULN|6RCR|7CDMG|8aDMG|9BEXP
73	33443 31326	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2MLV|3BELT|4AART|5VULN|6RCR|7CDMG|8aDMG|9LHND
74	33443 31331	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2MLV|3BELT|4AART|5VULN|6RCR|7CDMG|8aDMG|9RMIN
75	33443 31341	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2MLV|3aBELT|4AART|59VULN|6RCR|7CDMG|8DMG
76	33443 31343	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2MLV|3BELT|4AART|59VULN|6RCR|7CDMG|8DMG|aRPLT
77	33443 33211	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2MLV|3BELT|4AART|58VULN|6RCR|7FEWX|9CDMG|aDMG
78	33443 36311	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	1LEGI|2MLV|3BELT|4AART|5VULN|6RCR|7aDMG|8RMIN|9CDMG
79	33442 34211	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2MLV|3BELT|4AART|5DUST|6RCR|78VULN|9CDMG|aDMG
80	33443 31342	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2MLV|3BELT|4AART|59VULN|6RCR|7CDMG|8DMG|aDUST
81	36145 31521	   	162.20	DCR|3VULN|2DMG|1DUR	1LEGI|24aLWND|3MBVNT|5DUR|6RCR|78aVULN|9aDMG|aBPWR
82	66323 22221	 * 	161.89	ACR|3DMG|2VULN|1ZMB	1LWND|2DMSP|3MGNSTR|49VULN|5RCR|678DMG|aZMB
83	21321 66263	   	161.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2ZMB|3AIRHEL|457VULN|6CDMG|8ASPD|9RCR|aDMG
84	11313 34241	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RMIN|2LWND|3CDMG|4ASPD|5AART|6MBVNT|7VULN|8aDMG|9RCR
85	61313 34241	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2RMIN|3CDMG|4ASPD|5AART|6MBVNT|7VULN|8aDMG|9RCR
86	13416 33122	   	161.09	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|2RCVC|36CDMG|4BELT|56DMG|6BPWR|7VULN|8RCR|9AART|aCGEN
87	13416 33123	   	161.09	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|2RCVC|36CDMG|4BELT|56DMG|6BPWR|7VULN|8RCR|9AART|aFEWX
88	13416 33121	   	160.99	DCR|2DMG|1AART|1VULN|2CDMG	1RMIN|2RCVC|36CDMG|4BELT|56DMG|6BPWR|7VULN|8RCR|9AART|aNUKE
89	31313 36252	   	160.33	DCR|2DMG|1AART|1VULN|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79DMG|8ZMB|aLHND
90	31313 36253	   	160.33	DCR|2DMG|1AART|1VULN|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79DMG|8ZMB|aLSRICY
91	31313 36255	   	160.33	DCR|2DMG|1AART|1VULN|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79DMG|8ZMB|aFEWX
92	31313 36351	   	160.33	DCR|2DMG|1AART|1VULN|1ZMB	1LEGI|2BELT|3AART|4MLV|5VULN|6RCR|79DMG|8RMIN|aZMB
93	31363 11344	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LEGI|2BELT|3AART|4ASPD|59VULN|6LWND|7CDMG|8DMG|aRCR
94	14232 34226	   	160.00	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2CANHEL|3DUST|49VULN|5CDMG|6RCR|78DMG|aDUR
95	14232 33535	   	159.78	DCR|2VULN|1AART|1DMG|1CDMG	1RMIN|2CANHEL|3DUST|47VULN|5CDMG|6RCR|8AART|9ERES|aDMG
96	31363 33111	   	159.27	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7DMSP|8DUR|9CDMG|aDMG
97	31363 35111	   	159.27	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1LEGI|2BELT|3AART|4ASPD|5VULN|6RCR|7RCVC|8DUR|9CDMG|aDMG
