0	Index      	 *	Score 	Summary	Detail	
36	36441 64211	   	195.68	ACR|2ASPD|2VULN|1DMG|1AART|1CDMG	18SNIHEL|2MBVNT|3RCR|4AART|5DUST|68VULN|78ASPD|8BPWR|9CDMG|aDMG
37	36445 13351	   	195.34	ACR|1BASARM|1BEXP|1AART|1CDMG|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|6CDMG|7VULN|8RPLT|9BASARM|aBEXP
38	11235 13432	 * 	195.02	ACR|2ASPD|2DMG|1BASICY|1BEXP	12aLIT|3MBVNT|4RCR|5aASPD|6RCVC|7BASICY|8BEXP|9aDMG|aBPWR
39	11237 13432	   	195.02	ACR|2ASPD|2DMG|1BASICY|1BEXP	12aLIT|3MBVNT|4RCR|5aDMG|6RCVC|7BASICY|8BEXP|9aASPD|aBPWR
40	22451 21224	   	194.91	ACR|1BASARM|2VULN|1BEXP|1CDMG|1AAC	17MLV|2DMSP|3RCR|4CDMG|56VULN|8AAC|9BASARM|aBEXP
41	12243 24211	   	194.19	ACR|1BASARM|2DMG|1AART|1CDMG	1LIT|2LWND|3MBVNT|4LHND|5RCR|69DMG|7AART|8BASARM|aCDMG
42	13262 23322	 * 	194.06	ACR|2DMG|2BEXP|1BASICY|1CDMG|1AAC	1LIT|29BEXP|36DMG|4RCR|5DUR|7BASICY|8CDMG|aAAC
43	13262 61325	   	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	1LIT|2BEXP|3aDMG|4RCR|5DUR|6AAC|7DUST|8RPLT|9BASARM
44	22413 21254	   	193.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1MLV|2DMSP|3RCR|4ZMB|5CDMG|6LIT|7BEXP|8VULN|9BASARM|aASPD
45	36441 28514	 * 	193.63	ACR|1BASARM|2BEXP|2AART	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8aBEXP|9BELT
46	36441 28541	   	193.63	ACR|1BASARM|2BEXP|2AART	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8aBEXP|9DUR
47	36441 28235	   	193.53	ACR|1BASARM|2BEXP|2AART	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8LSRICY|9aBEXP
48	36441 28435	   	193.53	ACR|1BASARM|2BEXP|2AART	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8MSLREG|9aBEXP
49	36441 28814	   	193.52	ACR|1BASARM|2AART|1DMG|1AAC	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8CGEN|9DMG|aAAC
50	36441 28264	   	193.42	ACR|1BASARM|2AART|1ASPD|1AAC	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8LSRICY|9AAC|aASPD
51	36441 28464	   	193.42	ACR|1BASARM|2AART|1ASPD|1AAC	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8MSLREG|9AAC|aASPD
52	22451 22335	   	193.39	ACR|1BASARM|3VULN|1CDMG|1AAC	18MLV|2DMSP|3RCR|4CDMG|568VULN|78FEWX|8BPWR|9AAC|aBASARM
53	22451 26221	   	193.19	ACR|1BASARM|3VULN|1CDMG|1AAC	1MLV|2DMSP|3RCR|4CDMG|567VULN|8AAC|9BASARM|aRPLT
54	22451 26222	   	193.19	ACR|1BASARM|3VULN|1CDMG|1AAC	1MLV|2DMSP|3RCR|4CDMG|567VULN|8AAC|9BASARM|aRMIN
55	22451 26223	   	193.19	ACR|1BASARM|3VULN|1CDMG|1AAC	1aMLV|2DMSP|3RCR|4CDMG|567VULN|8AAC|9BASARM
