0	Index      	 *	Score 	Summary	Detail	
165	22342 16111	   	193.77	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1aVULN|2LHND|36ASPD|4CDMG|5RCVC|7RCR|8DUR|9ZMB
166	22313 62313	   	193.73	DCR|2VULN|2DMG|2ASPD	14VULN|2LHND|3aASPD|5LWND|69DMG|7RCR|8BEXP
167	22315 62613	   	193.73	DCR|2VULN|2DMG|2ASPD	14VULN|2LHND|3aASPD|5BEXP|69DMG|7RCR|8LWND
168	21343 52251	 * 	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	189VULN|2LWND|3ASPD|4CDMG|5MLV|6BELT|7AART|aRCR
169	21533 12514	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|9LIT
170	22533 12514	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|9LIT
171	62333 12514	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2TLV|38aVULN|4DUR|5AART|6RCR|7DMG|9LIT
172	21434 12623	   	193.56	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|238LWND|3BPWR|49DMG|5ZMB|6LEGI|7RCR|aAART
173	21133 12266	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2LWND|3BEXP|4MLV|5AART|6RCR|7aDMG|8DUR
174	21233 12166	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2LWND|3AME|4DUR|5AART|6RCR|7aDMG|8LHND
175	21233 12551	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|79DMG|aBEXP
176	21233 12554	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|79DMG|aLIT
177	21233 12555	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3aAME|4DUR|5AART|6RCR|79DMG
178	21233 12566	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|7aDMG|9FEWX
179	22233 12366	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2LHND|3AME|4DUR|5AART|6RCR|7aDMG|8LWND
180	22233 12551	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|79DMG|aBEXP
181	22233 12554	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|79DMG|aLIT
182	22233 12555	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3aAME|4DUR|5AART|6RCR|79DMG
183	63133 12266	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1LWND|29VULN|3BEXP|4MLV|5AART|6RCR|7aDMG|8DUR
184	63233 12166	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1LWND|29VULN|3AME|4DUR|5AART|6RCR|7aDMG|8LHND
185	63233 12551	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|79DMG|aBEXP
186	23113 32774	   	193.53	DCR|3VULN|2DMG|1CDMG	149VULN|2TLV|3MBVNT|589LWND|69DMG|7RCR|9BPWR|aCDMG
187	26114 65344	   	193.53	DCR|3VULN|2DMG|1CDMG	149VULN|2ERES|3MBVNT|5RPLT|69CGEN|7RCR|89DMG|9BPWR|aCDMG
188	21445 22232	   	193.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13VULN|23LWND|3BPWR|4CDMG|5AART|6aDUR|7DMG|8RCR|9ERES
189	21233 12526	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|7aDMG|9DUST
190	21233 12546	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|7aDMG|9LEGI
191	21233 12552	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|79DMG|aERES
192	21233 12553	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|79DMG|aDUST
193	21233 12556	   	193.43	DCR|2VULN|2DMG|1AART|1DUR|1MSE	18VULN|2LWND|3AME|4DUR|5AART|6RCR|79DMG|aMSE
194	21233 14551	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3AME|4DUR|5AART|6RCR|7ERES|9aDMG
195	21533 12166	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2LWND|3ERES|4DUR|5AART|6RCR|7aDMG|8LHND
196	21533 12551	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3ERES|4DUR|5AART|6RCR|79DMG|aBEXP
197	22233 12552	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|79DMG|aERES
198	22233 12553	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|79DMG|aDUST
199	22233 12556	   	193.43	DCR|2VULN|2DMG|1AART|1DUR|1MSE	18VULN|2LHND|3AME|4DUR|5AART|6RCR|79DMG|aMSE
200	22233 14551	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|7ERES|9aDMG
201	22533 12366	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2LHND|3ERES|4DUR|5AART|6RCR|7aDMG|8LWND
202	22533 12551	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3ERES|4DUR|5AART|6RCR|79DMG|aBEXP
203	51213 12266	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUST|2LWND|3AME|49VULN|5AART|6RCR|7aDMG|8DUR
204	62213 12266	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2TLV|3BEXP|49VULN|5AART|6RCR|7aDMG|8DUR
205	62333 12166	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2TLV|39VULN|4DUR|5AART|6RCR|7aDMG|8LHND
206	62333 12551	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|79DMG|aBEXP
207	63233 12526	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|7aDMG|9DUST
208	63233 12552	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|79DMG|aERES
209	63233 12553	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3AME|4DUR|5AART|6RCR|79DMG|aDUST
210	26113 32342	   	193.36	DCR|2VULN|2DMG|1AART|1ZMB	14VULN|2ERES|3MBVNT|5LWND|68DMG|7RCR|9ZMB|aAART
211	26116 32342	   	193.36	DCR|2VULN|2DMG|1AART|1ZMB	14VULN|2ERES|3MBVNT|5BEXP|68DMG|7RCR|9ZMB|aAART
212	21533 12526	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3ERES|4DUR|5AART|6RCR|7aDMG|9DUST
213	21533 12552	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LWND|3aERES|4DUR|5AART|6RCR|79DMG
214	21533 12553	   	193.33	DCR|2VULN|2DMG|1AART|1DUR|1MSE	18VULN|2LWND|3ERES|4DUR|5AART|6RCR|79DMG|aMSE
215	22533 12552	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3aERES|4DUR|5AART|6RCR|79DMG
216	22533 12553	   	193.33	DCR|2VULN|2DMG|1AART|1DUR|1MSE	18VULN|2LHND|3ERES|4DUR|5AART|6RCR|79DMG|aMSE
217	62333 12526	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|7aDMG|9DUST
218	62333 12552	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|79DMG|aERES
219	62333 12553	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2TLV|38VULN|4DUR|5AART|6RCR|79DMG|aDUST
220	26113 32321	   	193.33	DCR|3VULN|2DMG|1CDMG	14aVULN|2ERES|3MBVNT|5LWND|68DMG|7RCR|9CDMG
221	26116 32321	   	193.33	DCR|3VULN|2DMG|1CDMG	14aVULN|2ERES|3MBVNT|5BEXP|68DMG|7RCR|9CDMG
222	21415 81441	   	193.33	DCR|4VULN|2DMG	1389VULN|239LWND|39BPWR|4RPLT|5MBVNT|69DMG|7RCR|aLHND
223	21143 32361	   	193.23	DCR|4VULN|2DMG|1AAC	1489VULN|2LWND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aLHND
224	21143 32362	   	193.23	DCR|4VULN|2DMG|1AAC	1489VULN|2LWND|39aBEXP|5AAC|69DMG|7RCR|9BPWR
225	21143 32366	   	193.23	DCR|4VULN|2DMG|1AAC	1489VULN|2LWND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aRMIN
226	21415 81442	   	193.23	DCR|4VULN|2DMG|1MSE	1389VULN|239LWND|39BPWR|4RPLT|5MBVNT|69DMG|7RCR|aMSE
227	21415 81443	   	193.23	DCR|4VULN|2DMG	1389VULN|239LWND|39BPWR|4RPLT|5MBVNT|69DMG|7RCR|aERES
228	22143 62361	   	193.23	DCR|4VULN|2DMG|1AAC	1489VULN|2aLHND|39BEXP|5AAC|69DMG|7RCR|9BPWR
229	21133 12251	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2LWND|3BEXP|4MLV|5AART|6RCR|79DMG|8DUR|aASPD
230	21233 12151	   	193.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|79DMG|8LHND|aASPD
231	22233 12351	   	193.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1VULN|2LHND|3AME|4DUR|5AART|6RCR|79DMG|8LWND|aASPD
232	63133 12251	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2VULN|3BEXP|4MLV|5AART|6RCR|79DMG|8DUR|aASPD
233	63233 12151	   	193.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1LWND|2VULN|3AME|4DUR|5AART|6RCR|79DMG|8LHND|aASPD
234	65213 12251	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2BEXP|3AME|4VULN|5AART|6RCR|79DMG|8DUR|aASPD
235	21316 14226	   	193.20	DCR|2VULN|2ASPD|1DMG|1CDMG	14VULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9MLV|aDMG
236	21316 14253	   	193.20	DCR|2VULN|2ASPD|1DMG|1CDMG	14VULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9DMG|aAME
237	21316 14263	   	193.20	DCR|2VULN|2ASPD|1DMG|1CDMG	14VULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9RPLT|aDMG
238	22316 14226	   	193.20	DCR|2VULN|2ASPD|1DMG|1CDMG	14VULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9MLV|aDMG
239	22316 14253	   	193.20	DCR|2VULN|2ASPD|1DMG|1CDMG	14VULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9DMG|aAME
240	22342 13252	   	193.20	DCR|2VULN|2ASPD|1DMG|1CDMG	1aVULN|27LHND|36ASPD|4CDMG|5RCVC|8RCR|9DMG
241	21143 32364	   	193.13	DCR|4VULN|2DMG|1AAC	1489VULN|2LWND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aDUST
242	22143 62362	   	193.13	DCR|4VULN|2DMG|1AAC|1MSE	1489VULN|2LHND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aMSE
243	23113 32775	   	193.13	DCR|4VULN|2DMG	149aVULN|2TLV|3MBVNT|589LWND|69DMG|7RCR|9BPWR
244	23116 32375	   	193.13	DCR|4VULN|2DMG	149aVULN|2TLV|3MBVNT|589BEXP|69DMG|7RCR|9BPWR
245	21533 12151	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2LWND|3ERES|4DUR|5AART|6RCR|79DMG|8LHND|aASPD
246	22533 12351	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2LHND|3ERES|4DUR|5AART|6RCR|79DMG|8LWND|aASPD
247	51213 12251	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|2LWND|3AME|4VULN|5AART|6RCR|79DMG|8DUR|aASPD
248	62213 12251	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2TLV|3BEXP|4VULN|5AART|6RCR|79DMG|8DUR|aASPD
249	62333 12151	   	193.11	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1LWND|2TLV|3VULN|4DUR|5AART|6RCR|79DMG|8LHND|aASPD
250	63533 12151	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2VULN|3ERES|4DUR|5AART|6RCR|79DMG|8LHND|aASPD
251	66213 12251	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2ERES|3BEXP|4VULN|5AART|6RCR|79DMG|8DUR|aASPD
252	66333 12151	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2ERES|3VULN|4DUR|5AART|6RCR|79DMG|8LHND|aASPD
253	21316 14241	   	193.10	DCR|2VULN|2ASPD|1NUKE|1CDMG|1SELL	14VULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9NUKE|aSELL
254	21316 14242	 * 	193.10	DCR|3VULN|2ASPD|1NUKE|1CDMG	14aVULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9NUKE
255	21316 14243	   	193.10	DCR|2VULN|2ASPD|1NUKE|1CDMG	14VULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9NUKE|aAME
256	21316 14251	   	193.10	DCR|2VULN|2ASPD|1DMG|1CDMG|1SELL	14VULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9DMG|aSELL
257	22316 14241	   	193.10	DCR|2VULN|2ASPD|1NUKE|1CDMG|1SELL	14VULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9NUKE|aSELL
258	22316 14242	   	193.10	DCR|3VULN|2ASPD|1NUKE|1CDMG	14aVULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9NUKE
259	22316 14243	   	193.10	DCR|2VULN|2ASPD|1NUKE|1CDMG	14VULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9NUKE|aAME
260	22316 14251	   	193.10	DCR|2VULN|2ASPD|1DMG|1CDMG|1SELL	14VULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9DMG|aSELL
261	24112 32485	   	193.03	DCR|3VULN|3DMG	149VULN|2RMIN|3MBVNT|5LWND|69aDMG|7RCR|89SPLJET|9BPWR
262	63334 11151	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	1LWND|26aVULN|3ASPD|48DUR|56CDMG|6BPWR|7AME|9RCR
263	63334 13151	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	1LWND|26aVULN|3ASPD|48DUR|56CDMG|6BPWR|7CGEN|9RCR
264	26113 32371	   	192.93	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR|aAME
265	26113 32373	   	192.93	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR|aCGEN
266	26113 32376	   	192.93	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR|aRMIN
267	26116 32371	   	192.93	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59BEXP|689DMG|7RCR|9BPWR|aAME
268	26116 32373	   	192.93	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59BEXP|689DMG|7RCR|9BPWR|aCGEN
269	22342 13256	   	192.88	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG	1VULN|27LHND|36ASPD|4CDMG|5RCVC|8RCR|9DMG|aNUKE
270	26113 32173	   	192.83	DCR|3VULN|3DMG	149VULN|28ERES|3MBVNT|59LWND|69aDMG|7RCR|9BPWR
271	26113 32372	   	192.83	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR|aDUST
272	26113 32378	   	192.83	DCR|3VULN|3DMG	149VULN|2aERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR
273	26116 32372	   	192.83	DCR|3VULN|3DMG	149VULN|2ERES|3MBVNT|59BEXP|689DMG|7RCR|9BPWR|aDUST
274	25314 32633	   	192.55	DCR|3VULN|2ASPD|1ZMB|1DUR	149VULN|2BEXP|3aASPD|5ZMB|6DUR|7RCR|8LWND
275	22436 24131	   	192.43	DCR|3VULN|2DMG|1CDMG	136VULN|23LHND|3BPWR|48DMG|5RCVC|7CDMG|9RCR|aLIT
276	22436 24132	   	192.43	DCR|3VULN|2DMG|1CDMG	136VULN|23LHND|3BPWR|48DMG|5RCVC|7CDMG|9RCR|aMLV
277	31133 46111	   	192.36	DCR|3ASPD|1VULN|2CDMG|1DMG|1AAC	14CGEN|2AAC|369ASPD|56CDMG|6BPWR|7RCR|8DMG|aVULN
278	22436 24133	   	192.33	DCR|3VULN|2DMG|1CDMG	136VULN|23LHND|3BPWR|48DMG|5RCVC|7CDMG|9RCR|aDUST
279	21424 22633	   	192.32	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	13VULN|238LWND|3BPWR|4ASPD|5ZMB|6BEXP|7RCR|9AART|aCDMG
280	21424 12633	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	13VULN|238LWND|3BPWR|4ASPD|5ZMB|6LEGI|7RCR|9AART|aCDMG
281	21123 12461	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LWND|3BEXP|4CGEN|5AART|6RCR|7DMG|8CDMG|9DUR
282	21133 12461	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LWND|3BEXP|4MLV|5AART|6RCR|7DMG|8CDMG|9DUR
283	21233 12441	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9FEWX
284	21233 12451	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9BEXP
285	22123 12461	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3BEXP|4CGEN|5AART|6RCR|7DMG|8CDMG|9DUR
286	22133 12461	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3BEXP|4MLV|5AART|6RCR|7DMG|8CDMG|9DUR
287	22233 12441	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9FEWX
288	22233 12451	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9BEXP
289	22233 12566	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|9FEWX|aCDMG
290	63123 12461	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2aVULN|3BEXP|4CGEN|5AART|6RCR|7DMG|8CDMG|9DUR
291	63133 12461	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2aVULN|3BEXP|4MLV|5AART|6RCR|7DMG|8CDMG|9DUR
292	63233 12441	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2aVULN|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9FEWX
293	63233 12451	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2aVULN|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9BEXP
294	31161 35241	   	192.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1CGEN|2AAC|39ASPD|4CDMG|5DUST|6DMG|7RCR|8aVULN
295	21533 12441	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|8CDMG|9FEWX
296	21533 12451	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LWND|3ERES|4DUR|5AART|6RCR|7DMG|8CDMG|9BEXP
297	22533 12441	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|8CDMG|9FEWX
298	22533 12451	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|8CDMG|9BEXP
299	51213 12461	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2LWND|3AME|4aVULN|5AART|6RCR|7DMG|8CDMG|9DUR
300	62213 12461	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2TLV|3BEXP|4aVULN|5AART|6RCR|7DMG|8CDMG|9DUR
301	62333 12441	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2TLV|3aVULN|4DUR|5AART|6RCR|7DMG|8CDMG|9FEWX
302	62333 12451	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2TLV|3aVULN|4DUR|5AART|6RCR|7DMG|8CDMG|9BEXP
303	22233 12526	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|9DUST|aCDMG
304	22233 12546	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|9LEGI|aCDMG
305	11161 35241	   	192.09	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1TLV|2AAC|39ASPD|4CDMG|5DUST|6DMG|7RCR|8aVULN
306	11611 35241	   	192.09	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1TLV|2AAC|3CDMG|49ASPD|5DUST|6DMG|7RCR|8aVULN
307	21424 62313	 * 	192.04	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	13VULN|23LWND|3BPWR|4ASPD|5ZMB|6SNIFST|7MDPS|8AART|9RCR|aDMG
308	24323 16332	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	13aVULN|2RMIN|4MLV|5CGEN|6ASPD|7CDMG|8DMG|9RCR
309	22533 12526	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LHND|3ERES|4DUR|5AART|6RCR|7DMG|9DUST|aCDMG
310	21341 31551	   	191.96	DCR|2VULN|2DMG|1ASPD|1CDMG	18VULN|258LWND|3ASPD|4CDMG|68DMG|7aRPLT|8BPWR|9RCR
311	21341 31552	   	191.96	DCR|2VULN|2DMG|1ASPD|1CDMG	18VULN|258LWND|3ASPD|4CDMG|68DMG|7RPLT|8BPWR|9RCR|aDMSP
312	21314 62313	   	191.94	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	14VULN|2LWND|3ASPD|5ZMB|6SNIFST|7MDPS|8AART|9RCR|aDMG
313	63314 62313	   	191.94	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1LWND|24VULN|3ASPD|5ZMB|6SNIFST|7MDPS|8AART|9RCR|aDMG
314	21123 12233	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3BEXP|4CGEN|5AART|6RCR|7DMG|8DUR|9ASPD|aCDMG
315	21133 12233	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3BEXP|4MLV|5AART|6RCR|7DMG|8DUR|9ASPD|aCDMG
316	21233 12133	   	191.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|8LHND|9ASPD|aCDMG
317	21233 12411	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aBEXP
318	21233 12413	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3aAME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD
319	21233 12414	   	191.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aLHND
320	21233 12416	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aFEWX
321	22233 12333	   	191.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|8LWND|9ASPD|aCDMG
322	22233 12411	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aBEXP
323	22233 12413	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LHND|3aAME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD
324	22233 12414	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2aLHND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD
325	22233 12415	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2LHND|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aRMIN
326	63123 12233	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2VULN|3BEXP|4CGEN|5AART|6RCR|7DMG|8DUR|9ASPD|aCDMG
327	63133 12233	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2VULN|3BEXP|4MLV|5AART|6RCR|7DMG|8DUR|9ASPD|aCDMG
328	63233 12133	   	191.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2VULN|3AME|4DUR|5AART|6RCR|7DMG|8LHND|9ASPD|aCDMG
329	63233 12411	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2VULN|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aBEXP
330	63233 12413	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2VULN|3aAME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD
331	63233 12414	   	191.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2VULN|3AME|4DUR|5AART|6RCR|7DMG|8CDMG|9ASPD|aLHND
