0	Index      	 *	Score 	Summary	Detail	
35	32533 51315	 * 	194.29	ACR|2DMG|2BEXP|3CDMG|2AAC	19aCDMG|27AAC|3LIT|4RCR|5aBEXP|6LEGI|8aDMG|aBPWR
36	22662 14113	 * 	193.93	ACR|2BEXP|1VULN|2CDMG|1ASPD|1AART	127CGEN|37BEXP|4RCR|5AART|67CDMG|7BPWR|8VULN|9MBVNT|aASPD
37	32533 52325	   	193.28	ACR|3BEXP|2DMG|2CDMG|1AAC	1aCDMG|2AAC|3LIT|4RCR|57aBEXP|6LEGI|8aDMG|9RCVC|aBPWR
38	12263 31321	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1FEWX|2CGEN|3DMSP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aBEXP
39	12463 31321	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1FEWX|23CGEN|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aBEXP
40	22162 31321	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	12CGEN|3LHND|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aBEXP
41	22663 31322	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aFEWX
42	22663 31323	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aMLV
43	22663 31324	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aDMSP
44	22663 31325	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aLWND
45	22663 31333	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	12CGEN|3BEXP|4RCR|5DUR|6DMG|7BASARM|8VULN|9BELT|aAAC
46	24362 31321	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	13CGEN|2LWND|4RCR|5DUR|6DMG|7BASARM|8VULN|9AAC|aBEXP
