0	Index      	 *	Score 	Summary	Detail	
1	23231 12546	 * 	304.60	橙橙2易伤1伤害1矿等1暴击	1挖尘23易伤4掉矿5暴击6伤害7矿等8a核9全技能
2	63232 61216	 * 	295.76	橙橙3易伤1伤害	1平台2雷电345易伤6a核7立即金币8额外掉落9伤害
3	63232 63216	   	295.76	橙橙3易伤1伤害	1平台27雷电345易伤6a核8额外掉落9伤害
4	13231 42562	   	293.13	橙橙3易伤1矿等	1最后敌人239易伤4雷电5矿等68核7导弹对绿a平台
5	63232 61621	   	289.25	橙橙3易伤1攻速	1平台2雷电345易伤6a核7立即金币8加一9攻速
6	63232 63621	   	289.25	橙橙3易伤1攻速	1平台27雷电345易伤6a核8加一9攻速
7	13231 42561	   	283.47	橙橙3易伤1矿等	1a最后敌人239易伤4雷电5矿等68核7导弹对绿
8	13231 42563	   	283.47	橙橙3易伤1矿等	1最后敌人239易伤4雷电5矿等68核7导弹对绿a赏金邻近
9	31111 42536	   	283.37	橙橙3易伤1矿等	13a易伤2雷电4挖尘5矿等68核7导弹对绿9金币生成
10	13324 11132	   	279.69	橙橙3易伤1攻速	1最后敌人249易伤3攻速5敌人爆炸6低血量敌人7a核8赏金塔
11	13324 21132	   	279.69	橙橙3易伤1攻速	1最后敌人249易伤3攻速5敌人爆炸6基地爆炸7a核8赏金塔
12	32623 31132	   	279.69	橙橙3易伤1攻速	149易伤2攻速3基地爆炸5敌人爆炸6最后敌人7a核8赏金塔
13	34323 31132	   	279.69	橙橙3易伤1攻速	149易伤2基地爆炸3攻速5敌人爆炸6最后敌人7a核8赏金塔
14	36324 11132	   	279.69	橙橙3易伤1攻速	149易伤2最后敌人3攻速5敌人爆炸6低血量敌人7a核8赏金塔
15	36324 21132	   	279.69	橙橙3易伤1攻速	149易伤2最后敌人3攻速5敌人爆炸6基地爆炸7a核8赏金塔
16	43323 31132	   	279.69	橙橙3易伤1攻速	1基地爆炸249易伤3攻速5敌人爆炸6最后敌人7a核8赏金塔
17	13324 31132	   	279.59	橙橙3易伤1攻速	1最后敌人249易伤3攻速5敌人爆炸6挖尘7a核8赏金塔
18	23323 61132	   	279.59	橙橙3易伤1攻速	1挖尘249易伤3攻速5敌人爆炸6最后敌人7a核8赏金塔
19	32523 61132	   	279.59	橙橙3易伤1攻速	149易伤2攻速3挖尘5敌人爆炸6最后敌人7a核8赏金塔
20	36324 31132	   	279.59	橙橙3易伤1攻速	149易伤2最后敌人3攻速5敌人爆炸6挖尘7a核8赏金塔
21	33131 12546	   	278.30	橙橙1易伤1伤害1矿等1暴击	1易伤2激光减费3挖尘4掉矿5暴击6伤害7矿等8a核9全技能
22	31121 42552	 * 	276.94	橙橙2易伤2矿等	13易伤2雷电4低血量敌人5a矿等68核7导弹对绿9最后敌人
23	33342 45321	 * 	275.95	橙4易伤2伤害2矿等	148a易伤2激光减费38伤害5时间6掉矿78矿等8序列升级9核
24	11111 42562	   	275.60	橙橙3易伤	1最后敌人2雷电359易伤4金币生成68核7导弹对绿a平台
25	13233 43562	   	275.60	橙橙3易伤	1最后敌人239易伤4雷电5随机矿68核7狙击对黄a平台
26	13231 42515	   	274.98	橙橙2易伤1矿等1攻速	1最后敌人23易伤4雷电5矿等68核7导弹对绿9基地爆炸a攻速
27	13231 42535	   	274.98	橙橙2易伤1矿等1攻速	1最后敌人23易伤4雷电5矿等68核7导弹对绿9敌人爆炸a攻速
28	31111 42515	   	274.88	橙橙2易伤1矿等1攻速	13易伤2雷电4挖尘5矿等68核7导弹对绿9基地爆炸a攻速
29	13231 42525	   	274.88	橙橙2易伤1矿等1攻速	1最后敌人23易伤4雷电5矿等68核7导弹对绿9挖尘a攻速
