0	Index      	 *	Score 	Summary	Detail	
40	15235 13352	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6FEWX|7LHND|8ERES|9aRCR
41	15235 35322	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6LEGI|7CGEN|8aRCR|9LHND
42	15235 35332	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6LEGI|7CGEN|8aRCR|9LWND
43	16235 11212	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|68FEWX|7ERES|9aRCR
44	16235 13352	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6FEWX|7LHND|8ERES|9aRCR
45	16235 35322	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6LEGI|7CGEN|8aRCR|9LHND
46	16235 35332	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6LEGI|7CGEN|8aRCR|9LWND
47	15235 31322	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6LEGI|7ERES|8aRCR|9LHND
48	15235 31332	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6LEGI|7ERES|8aRCR|9LWND
49	15235 61322	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6DUST|7ERES|8aRCR|9LHND
50	15235 61332	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6DUST|7ERES|8aRCR|9LWND
51	16235 31322	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6LEGI|7ERES|8aRCR|9LHND
52	16235 31332	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6LEGI|7ERES|8aRCR|9LWND
53	16235 61322	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6DUST|7ERES|8aRCR|9LHND
54	16235 61332	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6DUST|7ERES|8aRCR|9LWND
55	15235 31252	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6LEGI|7ERES|8FEWX|9aRCR
56	16235 31252	   	295.12	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6LEGI|7ERES|8FEWX|9aRCR
57	62132 26361	 * 	294.50	DCR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1RMIN|2BBNT|3VULN|4DMG|5AEWIND|6SELL|78RCR|9TLV|aMLV
58	15215 24122	 * 	294.09	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|2BPWR|3MLV|4LEGI|5aRCR|6TLV|7FEWX|8AART|9DMG
59	15265 22122	   	294.09	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|2BPWR|3MLV|4LWND|5aRCR|6TLV|7BEXP|8AART|9DMG
60	15265 23122	   	294.09	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|2BPWR|3MLV|4LWND|5aRCR|6TLV|7DUST|8AART|9DMG
61	16215 24122	   	294.09	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|3MLV|4LEGI|5aRCR|6TLV|7FEWX|8AART|9DMG
62	16265 22122	   	294.09	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|3MLV|4LWND|5aRCR|6TLV|7BEXP|8AART|9DMG
63	16265 23122	   	294.09	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|3MLV|4LWND|5aRCR|6TLV|7DUST|8AART|9DMG
64	15215 22122	   	293.99	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|2BPWR|3MLV|4LEGI|5aRCR|6TLV|7BEXP|8AART|9DMG
65	15215 23122	   	293.99	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|2BPWR|3MLV|4LEGI|5aRCR|6TLV|7DUST|8AART|9DMG
66	16215 22122	   	293.99	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|3MLV|4LEGI|5aRCR|6TLV|7BEXP|8AART|9DMG
67	16215 23122	   	293.99	ACR|DCR|2VULN|1TLV|1MLV|1DMG	12VULN|3MLV|4LEGI|5aRCR|6TLV|7DUST|8AART|9DMG
68	13534 52122	   	293.22	DCR|DCR|3VULN|1AAC	138VULN|2LWND|4FEWX|5AART|6AAC|7aRCR|9LHND
69	15134 52122	   	293.22	DCR|DCR|3VULN|1AAC	128VULN|2BPWR|3LWND|4FEWX|5AART|6AAC|7aRCR|9LHND
70	16134 52122	   	293.22	DCR|DCR|3VULN|1AAC	128VULN|3LWND|4FEWX|5AART|6AAC|7aRCR|9LHND
71	15222 16211	   	292.88	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|24aBPWR|34aMLV|5SELL|6DMG|7RCR|8LHND|9aLSRHEA
72	15222 16411	   	292.88	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|24aBPWR|34aMLV|5SELL|6DMG|7RCR|8LWND|9aLSRHEA
73	16222 16211	   	292.88	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|34aMLV|4aBPWR|5SELL|6DMG|7RCR|8LHND|9aLSRHEA
74	16222 16411	   	292.88	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|34aMLV|4aBPWR|5SELL|6DMG|7RCR|8LWND|9aLSRHEA
75	15222 16111	   	292.78	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|24aBPWR|34aMLV|5SELL|6DMG|7RCR|8BEXP|9aLSRHEA
76	15222 16511	   	292.78	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|24aBPWR|34aMLV|5SELL|6DMG|7RCR|8DUST|9aLSRHEA
77	16222 16111	   	292.78	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|34aMLV|4aBPWR|5SELL|6DMG|7RCR|8BEXP|9aLSRHEA
78	16222 16511	   	292.78	DCR|4VULN|3MLV|1DMG|1SELL	124aVULN|34aMLV|4aBPWR|5SELL|6DMG|7RCR|8DUST|9aLSRHEA
