0	Index      	 *	Score 	Summary	Detail	
37	61423 13261	   	183.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DUR|2DUST|38DMG|4FEWX|5MLV|68VULN|7RCR|8BPWR|9ZMB|aAART
38	14214 41322	 * 	183.49	ACR|3DMG|2VULN|2ZMB|1CDMG	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9CGEN|aCDMG
39	35513 43323	 * 	183.38	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|28DMG|3RCR|4AART|5FLTHEA|6VULN|7DUR|9MLV|aCDMG
40	35513 43333	   	183.38	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|28DMG|3RCR|4AART|5FLTHEA|6VULN|7DUR|9CGEN|aCDMG
41	14214 41332	   	183.38	ACR|3DMG|2VULN|3ZMB	1RCVC|27VULN|3NUKE|47aZMB|5RCR|678DMG|7BPWR|9FEWX
42	25421 31122	   	182.87	DCR|3VULN|2AART|1DMG|1DUR	13BEXP|2DMG|4aAART|579VULN|6RCR|8DUR
43	35513 31152	 * 	182.86	ACR|2DMG|1AART|1VULN|2FLTHEA|1CDMG	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8RPLT|9VULN|aCDMG
44	21416 61131	   	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|2DUST|36DMG|4AART|5RCR|79VULN|8CDMG|aDUR
45	25116 61131	   	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|26DMG|3DUST|4AART|5RCR|79VULN|8CDMG|aDUR
46	64262 13121	 * 	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|23aVULN|4RCR|5AART|6BEXP|7DMG|8CDMG|9DUST
47	64262 23121	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|23aVULN|4RCR|5AART|6FEWX|7DMG|8CDMG|9DUST
48	14214 41313	   	182.08	ACR|3DMG|2VULN|2ZMB|2DUR	1RCVC|27VULN|3NUKE|47ZMB|5RCR|678DMG|7BPWR|9aDUR
49	25421 31215	 * 	182.07	DCR|3DMG|2VULN|1AART	138BEXP|29aDMG|4AART|57VULN|6RCR
50	63422 31322	   	181.96	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2LHND|36DMG|4CDMG|5ZMB|7RCR|8VULN|9AART|aASPD
51	65222 31322	   	181.96	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUR|26DMG|3LHND|4CDMG|5ZMB|7RCR|8VULN|9AART|aASPD
52	12421 31123	   	181.92	DCR|3VULN|1AART|1DMG|2DUR	1RCVC|2AART|3DMG|4BEXP|579VULN|6RCR|8aDUR
53	21416 61133	 * 	181.90	ACR|2VULN|2DMG|1AART|2CDMG	1BEXP|2DUST|36DMG|4AART|5RCR|79VULN|8aCDMG
54	25116 61133	   	181.90	ACR|2VULN|2DMG|1AART|2CDMG	1BEXP|26DMG|3DUST|4AART|5RCR|79VULN|8aCDMG
55	65622 31322	   	181.86	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1DUR|26DMG|3LEGI|4CDMG|5ZMB|7RCR|8VULN|9AART|aASPD
