0	Index      	 *	Score 	Summary	Detail	
162	35513 36232	   	175.80	ACR|3DMG|1AART|2FLTHEA|1ZMB	1DUST|269DMG|3RCR|4AART|56FLTHEA|6BPWR|7CGEN|8LIT|aZMB
163	12421 31151	   	175.79	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aRCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8DUR|9CDMG
164	35121 31222	   	175.73	DCR|3VULN|2AART|1DMG	13DUST|2DMG|4aAART|579VULN|6RCR|8BEXP
165	26332 12222	   	175.63	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD	16BEXP|2ZMB|3ASPD|4RCR|5aAART|79VULN|8DMG
166	26332 22222	   	175.63	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|2ZMB|3ASPD|4RCR|5aAART|6DMSP|79VULN|8DMG
167	21416 41132	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	16BEXP|2DUST|3aDMG|4AART|5RCR|79VULN|8CDMG
168	22416 61121	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2FEWX|36DMG|4AART|5RCR|7aVULN|8CDMG|9DUST
169	25116 41132	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	16BEXP|2aDMG|3DUST|4AART|5RCR|79VULN|8CDMG
170	61231 12552	   	175.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|39VULN|4ZMB|5FEWX|6CDMG|7RCR|8AART|aDMG
171	64262 12222	   	175.50	ACR|3VULN|3AART|1ZMB|1DUR	1DUR|239VULN|4RCR|58aAART|6BEXP|7ZMB
172	12321 35132	   	175.42	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2aAART|3ASPD|4BEXP|5VULN|6RCR|7DUR|8CDMG|9DMG
173	12421 35132	   	175.42	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2aAART|3DMG|4BEXP|5VULN|6RCR|7DUR|8CDMG|9ASPD
174	35513 32225	   	175.40	ACR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7ZMB|8LIT|9RCVC|aCDMG
175	65513 12331	   	175.13	ACR|2DMG|1AART|1VULN|1FLTHEA|2DUR	19DUR|28DMG|3RCR|4AART|5FLTHEA|6BEXP|7LHND|aVULN
176	36513 43313	 * 	175.12	ACR|2AART|1VULN|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1DUST|2ZMB|3RCR|47AART|5FLTHEA|6VULN|8ASPD|9DUR|aCDMG
177	64422 31311	 * 	175.12	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUR|28VULN|36DMG|4aCDMG|5ZMB|7RCR|9LHND
178	14214 43321	   	175.11	ACR|2VULN|2DMG|1AART|1ZMB	1aRCVC|27VULN|3NUKE|4ZMB|5RCR|68DMG|9AART
179	64262 13131	   	175.08	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|23VULN|4RCR|5AART|6BEXP|7DMG|8CDMG|9ASPD|aRCVC
180	64262 23131	   	175.08	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|23VULN|4RCR|5AART|6FEWX|7DMG|8CDMG|9ASPD|aRCVC
181	65332 13511	   	175.08	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|27DMG|3ASPD|4RCR|5AART|6BEXP|8VULN|9CDMG|aRCVC
182	35511 24131	   	175.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1DUST|2DMG|3RCR|4AART|5LHND|67DUR|8CDMG|9aVULN
183	35511 24132	   	175.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1DUST|2aDMG|3RCR|4AART|5LHND|67DUR|8CDMG|9VULN
184	35513 43313	   	175.03	ACR|2DMG|1AART|1VULN|1FLTHEA|2DUR	1DUST|28DMG|3RCR|4AART|5FLTHEA|6VULN|7aDUR|9LHND
185	65511 21121	   	175.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	16DUR|2DMG|3RCR|4AART|5LHND|7aVULN|8CDMG|9DUST
186	65511 21122	   	175.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	16DUR|2aDMG|3RCR|4AART|5LHND|7VULN|8CDMG|9DUST
187	63422 31321	   	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2LHND|36DMG|4CDMG|5ZMB|7RCR|8VULN|9AART|aBELT
188	63422 31325	   	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2LHND|36DMG|4CDMG|5ZMB|7RCR|8VULN|9AART|aLWND
189	65222 31321	   	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LHND|4CDMG|5ZMB|7RCR|8VULN|9AART|aBELT
190	65222 31325	   	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LHND|4CDMG|5ZMB|7RCR|8VULN|9AART|aLWND
191	24234 21135	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|23VULN|4ZMB|5DMG|6CDMG|7RCR|8BELT|9AART|aASPD
192	24234 21136	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|23VULN|4ZMB|5DMG|6CDMG|7RCR|8BELT|9AART|aDUR
193	24234 21322	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|23VULN|4ZMB|5DMG|6CDMG|7RCR|8LWND|9AART|aDUR
194	64422 31321	   	175.02	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUR|28VULN|36DMG|4aCDMG|5ZMB|7RCR|9DUST
195	65332 61131	   	174.98	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|29DMG|3ASPD|4RCR|5AART|6TLV|7VULN|8CDMG|aRCVC
196	12321 31122	   	174.95	DCR|3VULN|2AART|1ASPD|1DUR	1RCVC|2aAART|3ASPD|4BEXP|579VULN|6RCR|8DUR
197	63422 31324	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2LHND|36DMG|4CDMG|5ZMB|7RCR|8VULN|9AART|aTLV
198	63422 31326	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2LHND|36DMG|4CDMG|5ZMB|7RCR|8VULN|9AART|aERES
199	64422 31123	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|36DMG|4CDMG|5ZMB|7RCR|8FEWX|9AART|aDUST
200	65222 31324	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LHND|4CDMG|5ZMB|7RCR|8VULN|9AART|aTLV
201	65222 31326	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LHND|4CDMG|5ZMB|7RCR|8VULN|9AART|aERES
202	65622 31321	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LEGI|4CDMG|5ZMB|7RCR|8VULN|9AART|aBELT
203	12421 31153	   	174.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4aBEXP|57VULN|6RCR|8DUR|9CDMG
204	12421 31156	   	174.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8DUR|9CDMG|aLHND
205	12421 31355	   	174.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8LHND|9CDMG|aDUR
206	12421 31443	   	174.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8RPLT|9DUR|aCDMG
207	12421 33141	   	174.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|5aVULN|6RCR|7LWND|8CDMG|9DUR
208	12421 33142	   	174.62	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|2AART|3aDMG|4BEXP|5VULN|6RCR|7LWND|8CDMG|9DUR
209	12421 31152	   	174.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8DUR|9CDMG|aDUST
210	12421 31154	   	174.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|57VULN|6RCR|8DUR|9CDMG|aERES
211	12421 35121	   	174.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2AART|3DMG|4BEXP|5aVULN|6RCR|7DUR|8CDMG|9DUST
212	12421 35122	   	174.52	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|2AART|3aDMG|4BEXP|5VULN|6RCR|7DUR|8CDMG|9DUST
213	35121 31155	   	174.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUST|2DMG|4AART|57VULN|6RCR|8aDUR|9CDMG
214	35121 35135	   	174.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUST|2DMG|4AART|59VULN|6RCR|7aDUR|8CDMG
215	64422 22312	   	174.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|29VULN|3DMG|4CDMG|5ZMB|6RMIN|7RCR|8RPLT|aAART
216	24234 21131	 * 	174.39	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1BEXP|23VULN|4ZMB|5DMG|6aCDMG|7RCR|8BELT|9AART
217	12421 51163	   	174.25	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2AART|39DMG|4BEXP|57VULN|68DUR|aRCR
218	66513 32311	   	174.22	ACR|3ZMB|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUR|267ZMB|3RCR|4AART|5FLTHEA|8CDMG|9BEXP|aVULN
219	15621 35132	   	174.22	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2FEWX|3ASPD|4aAART|5VULN|6RCR|7DUR|8CDMG|9DMG
220	35512 13512	   	174.14	ACR|2AART|2DMG|1VULN|1CDMG	1DUST|27DMG|3RCR|4aAART|5ERES|6BEXP|8VULN|9CDMG
221	25333 53115	 * 	174.07	ACR|3VULN|2DMG|1CDMG|1ASPD	158BEXP|28DMG|3ASPD|4RCR|6CGEN|789VULN|8BPWR|aCDMG
222	35513 31343	   	174.03	ACR|2DMG|1AART|2FLTHEA|1ZMB|1DUR|1ASPD	1DUST|26DMG|3RCR|4AART|56FLTHEA|6BPWR|7LWND|8ASPD|9ZMB|aDUR
223	24423 31111	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|29VULN|36DMG|4TLV|5CDMG|7RCR|8BELT|aAART
224	35513 33253	   	173.94	ACR|3DMG|1AART|2FLTHEA|1DUR	1DUST|269DMG|3RCR|4AART|56FLTHEA|6BPWR|7RCVC|8FEWX|aDUR
225	14214 43322	   	173.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|27VULN|3NUKE|4ZMB|5RCR|68DMG|9AART|aLHND
226	14214 43323	   	173.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|27VULN|3NUKE|4ZMB|5RCR|68DMG|9AART|aCGEN
227	12421 31112	   	173.89	DCR|2AART|2VULN|1DMG|1DUR	19RCVC|2aAART|3DMG|4BEXP|57VULN|6RCR|8DUR
228	25331 15612	   	173.87	ACR|3VULN|2DMG|1CDMG|1ASPD	1BEXP|29DMG|3ASPD|4RCR|5LHND|67aVULN|8CDMG
229	34423 31111	   	173.86	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|29VULN|36DMG|4TLV|5CDMG|7RCR|8BELT|aAART
230	64422 31333	   	173.85	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB|1SELL	1aDUR|28VULN|36DMG|4CDMG|5ZMB|7RCR|9SELL
231	35511 62131	   	173.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4AART|5LHND|6MLV|7ZMB|8CDMG|9aVULN
232	35511 62132	   	173.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4AART|5LHND|6MLV|7ZMB|8CDMG|9VULN
233	36511 51231	   	173.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5LHND|6CDMG|7aVULN|8RMIN|9DMG
234	36511 51232	   	173.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5LHND|6CDMG|7VULN|8RMIN|9aDMG
235	24233 21424	   	173.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1BEXP|23VULN|4ZMB|5MLV|69CDMG|7RCR|8DMG|aAART
236	25332 53212	   	173.77	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|27DMG|3ASPD|4RCR|5AART|6LHND|8VULN|9CDMG|aDUR
237	65332 53211	   	173.77	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|27DMG|3ASPD|4RCR|5AART|6LHND|8VULN|9CDMG|aBELT
238	35121 36252	   	173.72	DCR|2AART|2DMG|1VULN|1CDMG	13DUST|2aDMG|48AART|5VULN|6RCR|7BEXP|9CDMG
239	34234 21432	   	173.72	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1DUST|23VULN|4RMIN|58DMG|6CDMG|7RCR|9SELL|aAART
240	35512 12131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4AART|5ERES|6BEXP|7ZMB|8CDMG|9aVULN
241	35512 12132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4AART|5ERES|6BEXP|7ZMB|8CDMG|9VULN
242	35512 22131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4AART|5ERES|6FEWX|7ZMB|8CDMG|9aVULN
243	35512 22132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4AART|5ERES|6FEWX|7ZMB|8CDMG|9VULN
244	35514 12131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4AART|5TLV|6BEXP|7ZMB|8CDMG|9aVULN
245	35514 12132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4AART|5TLV|6BEXP|7ZMB|8CDMG|9VULN
246	35514 22131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4AART|5TLV|6FEWX|7ZMB|8CDMG|9aVULN
247	35514 22132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4AART|5TLV|6FEWX|7ZMB|8CDMG|9VULN
248	36511 24131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5LHND|6TLV|7DMG|8CDMG|9aVULN
249	36511 24132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5LHND|6TLV|7aDMG|8CDMG|9VULN
250	36512 14131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5ERES|6BEXP|7DMG|8CDMG|9aVULN
251	36512 14132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5ERES|6BEXP|7aDMG|8CDMG|9VULN
252	36512 24131	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5ERES|6FEWX|7DMG|8CDMG|9aVULN
253	36512 24132	   	173.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2ZMB|3RCR|4AART|5ERES|6FEWX|7aDMG|8CDMG|9VULN
254	25332 61141	   	173.67	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2DMG|3ASPD|4RCR|5AART|6TLV|7aVULN|8CDMG|9DUR
255	25332 61142	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1BEXP|2aDMG|3ASPD|4RCR|5AART|6TLV|7VULN|8CDMG|9DUR
256	65332 61133	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|29DMG|3ASPD|4RCR|5AART|6TLV|7VULN|8CDMG|aBEXP
257	25332 61135	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1BEXP|29DMG|3ASPD|4RCR|5AART|6TLV|7VULN|8CDMG|aDUR
258	64262 13133	   	173.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|23VULN|4RCR|5AART|6BEXP|7DMG|8CDMG|9ASPD|aDUST
259	64262 23133	   	173.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|23VULN|4RCR|5AART|6FEWX|7DMG|8CDMG|9ASPD|aDUST
260	65332 13513	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|27DMG|3ASPD|4RCR|5AART|6BEXP|8VULN|9CDMG|aDUST
261	65332 53213	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|27DMG|3ASPD|4RCR|5AART|6LHND|8VULN|9CDMG|aMBVNT
262	65513 31112	 * 	173.66	ACR|1AART|1VULN|1DMG|3DUR|1FLTHEA|1ZMB	189DUR|2DMG|3RCR|4AART|5FLTHEA|6ZMB|7VULN|aRCVC
263	22416 61122	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	1BEXP|2FEWX|36aDMG|4AART|5RCR|7VULN|8CDMG|9DUST
264	36513 32311	   	173.60	ACR|3ZMB|1AART|1VULN|2FLTHEA|1CDMG	1DUST|267ZMB|3RCR|4AART|56FLTHEA|6BPWR|8CDMG|9FEWX|aVULN
265	36513 32321	   	173.60	ACR|3ZMB|1AART|1VULN|2FLTHEA|1CDMG	1DUST|267ZMB|3RCR|4AART|56FLTHEA|6BPWR|8CDMG|9BEXP|aVULN
266	36513 32341	   	173.60	ACR|3ZMB|1AART|1VULN|2FLTHEA|1CDMG	1DUST|267ZMB|3RCR|4AART|56FLTHEA|6BPWR|8CDMG|9LHND|aVULN
267	12421 35224	   	173.59	DCR|2AART|2VULN|1DMG|1DUR	1aRCVC|28AART|3DMG|4BEXP|59VULN|6RCR|7DUR
268	65332 61121	   	173.57	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|4RCR|5AART|6TLV|7aVULN|8CDMG|9DUST
269	65332 61122	   	173.57	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2aDMG|3ASPD|4RCR|5AART|6TLV|7VULN|8CDMG|9DUST
270	21416 61122	   	173.55	ACR|3DMG|1AART|1VULN|1CDMG	1BEXP|29DUST|36aDMG|4AART|5RCR|7VULN|8CDMG
271	25116 61122	   	173.55	ACR|3DMG|1AART|1VULN|1CDMG	1BEXP|26aDMG|39DUST|4AART|5RCR|7VULN|8CDMG
272	22416 61221	   	173.48	ACR|2AART|2VULN|2DMG	1aBEXP|2FEWX|36DMG|48AART|5RCR|79VULN
273	26332 53132	   	173.43	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1BEXP|2ZMB|3ASPD|4RCR|5AART|6LHND|79aDMG|8CDMG
274	15621 31323	   	173.42	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2FEWX|3ASPD|4AART|57VULN|6RCR|8CDMG|9MLV|aDMG
275	15621 31363	   	173.42	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2FEWX|3ASPD|4AART|57VULN|6RCR|8CDMG|9CGEN|aDMG
276	12421 16122	   	173.39	DCR|3VULN|1AART|1DMG|1ZMB	1RCVC|2AART|3DMG|4BEXP|568VULN|7TLV|9RCR|aZMB
277	21416 61221	   	173.38	ACR|2AART|2VULN|2DMG	1aBEXP|2DUST|36DMG|48AART|5RCR|79VULN
278	25116 61221	   	173.38	ACR|2AART|2VULN|2DMG	1aBEXP|26DMG|3DUST|48AART|5RCR|79VULN
279	14214 51312	 * 	173.36	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	1RCVC|27VULN|3NUKE|47ZMB|5RCR|67ASPD|7BPWR|8DMG|9CGEN|aAART
280	25421 31211	   	173.35	DCR|2VULN|2DMG|1AART|1DUR	138BEXP|29DMG|4AART|57VULN|6RCR|aDUR
281	25421 31261	   	173.35	DCR|2VULN|2DMG|1AART|1DUR	138BEXP|2aDMG|4AART|57VULN|6RCR|9DUR
282	26332 43132	   	173.33	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1BEXP|2ZMB|3ASPD|4RCR|5AART|6DUST|79aDMG|8CDMG
283	64262 12121	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|23aVULN|4RCR|5AART|6BEXP|7ZMB|8CDMG|9DUST
284	64262 22121	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|23aVULN|4RCR|5AART|6FEWX|7ZMB|8CDMG|9DUST
285	64242 31123	 * 	173.21	DCR|4VULN|1AART|2ZMB|2DUR	17DUR|2348VULN|57ZMB|67BEXP|7BPWR|9AART|aRCR
286	14214 43121	   	173.18	ACR|3VULN|1AART|1DMG|1ZMB	1aRCVC|278VULN|3NUKE|4ZMB|5RCR|6DMG|9AART
287	35121 31442	   	173.15	DCR|2VULN|2DMG|1AART|1DUR	13DUST|2aDMG|4AART|57VULN|6RCR|8RPLT|9DUR
288	25332 12552	   	173.15	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	16BEXP|2DMG|3ASPD|4RCR|5AART|78VULN|9aCDMG
289	25332 22552	   	173.15	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1BEXP|2DMG|3ASPD|4RCR|5AART|6DMSP|78VULN|9aCDMG
290	35562 12131	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4ERES|5AART|6BEXP|7ZMB|8CDMG|9aVULN
291	35562 12132	   	173.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4ERES|5AART|6BEXP|7ZMB|8CDMG|9VULN
292	35562 22131	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3RCR|4ERES|5AART|6FEWX|7ZMB|8CDMG|9aVULN
293	35562 22132	   	173.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3RCR|4ERES|5AART|6FEWX|7ZMB|8CDMG|9VULN
294	12421 31462	   	173.09	DCR|2VULN|2DMG|1AART	19RCVC|2AART|3aDMG|4BEXP|57VULN|6RCR|8RPLT
295	64422 31233	   	173.08	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	1DUR|2VULN|36aDMG|49CDMG|5ZMB|7RCR|8TLV
296	64262 13123	   	173.05	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|23VULN|4RCR|5AART|6BEXP|7DMG|8aCDMG|9DUST
297	64262 23123	   	173.05	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|23VULN|4RCR|5AART|6FEWX|7DMG|8aCDMG|9DUST
298	24253 43123	   	172.92	DCR|4VULN|1AART|1DMG|1DUR	15BEXP|2378VULN|4DUR|6DMG|9AART|aRCR
299	35222 12213	   	172.91	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	1DUST|28aDMG|3ZMB|4DUR|5AART|6BEXP|7RCR|9CDMG
300	35222 22213	   	172.91	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	1DUST|28aDMG|3ZMB|4DUR|5AART|6FEWX|7RCR|9CDMG
301	12221 31123	   	172.86	DCR|3VULN|1AART|2DUR|1ZMB	1RCVC|2AART|3ZMB|4BEXP|579VULN|6RCR|8aDUR
302	12651 31123	   	172.86	DCR|3VULN|1AART|2DUR|1ZMB	1RCVC|2AART|3BEXP|4ZMB|579VULN|6RCR|8aDUR
303	12421 31261	   	172.79	DCR|2VULN|2DMG|1AART	1aRCVC|2AART|39DMG|48BEXP|57VULN|6RCR
304	65332 61322	   	172.77	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|4RCR|58AART|6TLV|79VULN|aRCVC
305	25421 31124	   	172.72	DCR|3VULN|1AART|1DMG|1DUR	13BEXP|2DMG|4AART|579VULN|6RCR|8DUR|aRCVC
306	35513 41313	   	172.64	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	17DUST|2DMG|3RCR|4AART|5FLTHEA|6VULN|8ASPD|9DUR|aCDMG
307	22316 63336	   	172.53	ACR|3DMG|1AART|1VULN|2DUR	19BEXP|2FEWX|3RMIN|4AART|5RCR|679DMG|89DUR|9BPWR|aVULN
308	64262 22222	   	172.53	ACR|3VULN|2AART|1ZMB|1DUR	1DUR|239VULN|4RCR|58AART|6FEWX|7ZMB|aRCVC
309	35121 31122	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	13DUST|2DMG|4AART|579VULN|6RCR|8DUR|aRCVC
310	65342 12112	   	172.51	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	18DUR|2DMG|3ASPD|4VULN|5aAART|6BEXP|7RCR|9CDMG
311	65342 22112	   	172.51	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	18DUR|2DMG|3ASPD|4VULN|5aAART|6FEWX|7RCR|9CDMG
312	25421 35223	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	13BEXP|2DMG|48AART|59VULN|6RCR|7aDUR
313	21316 63336	   	172.43	ACR|3DMG|1AART|1VULN|2DUR	19BEXP|2DUST|3RMIN|4AART|5RCR|679DMG|89DUR|9BPWR|aVULN
314	12421 31432	   	172.42	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|2aAART|3DMG|4BEXP|57VULN|6RCR|8RPLT|9ASPD
315	12421 34222	   	172.42	DCR|2AART|2DMG|1VULN|1ASPD	1RCVC|2aAART|38DMG|4BEXP|5VULN|6RCR|7CGEN|9ASPD
316	12421 34522	   	172.42	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|2aAART|3DMG|4BEXP|58VULN|6RCR|7CGEN|9ASPD
317	12321 31432	   	172.42	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|2aAART|3ASPD|4BEXP|57VULN|6RCR|8RPLT|9DMG
318	12321 34222	   	172.42	DCR|2AART|2VULN|1DMG|1ASPD	1RCVC|2aAART|3ASPD|4BEXP|59VULN|6RCR|7CGEN|8DMG
319	12421 35221	   	172.42	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|28AART|3DMG|4aBEXP|59VULN|6RCR|7DUR
320	12421 35225	   	172.42	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|28AART|3DMG|4BEXP|59VULN|6RCR|7DUR|aCGEN
321	12421 36122	   	172.42	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|2aAART|3DMG|47BEXP|59VULN|6RCR|8DUR
