0	Index      	 *	Score 	Summary	Detail	
40	32514 32235	   	185.27	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	123VULN|23BPWR|4DMG|5ZMB|6FEWX|7CDMG|8DUR|9RCR|aAART
41	61251 14321	   	184.60	ACR|4VULN|1AART|1DMG|1ZMB	1ZMB|2CGEN|3FEWX|4RCR|567aVULN|8DMG|9AART
42	32511 52136	   	184.57	DCR|5VULN|1DMG|2CDMG	1237aVULN|23BPWR|4DMG|58CDMG|6RCR|9BEXP
43	32221 64334	 * 	184.32	DCR|4VULN|2DMG|2ZMB	129aVULN|2aBPWR|34FEWX|5aZMB|6RCR|7NUKE|8aDMG
44	32511 52313	   	184.32	DCR|4VULN|2DMG|1CDMG	1237VULN|23BPWR|49DMG|5CDMG|6RCR|8RPLT|aRCVC
45	32111 52135	   	184.25	DCR|3VULN|1AART|1DMG|2CDMG	127VULN|2BPWR|3RCVC|4DMG|58CDMG|6RCR|9BEXP|aAART
46	32525 31221	 * 	184.14	DCR|5VULN|1AART|1CDMG|1DUR	1236aVULN|23BPWR|4RPLT|5CDMG|7DUR|8RCR|9AART
47	32131 15514	   	183.38	DCR|4VULN|2DMG|2DUR	126aVULN|2aBPWR|34RCVC|5FEWX|7aDUR|8RCR|9aDMG
48	32131 43514	   	183.38	DCR|4VULN|2DMG|2DUR	127aVULN|2aBPWR|34RCVC|5FEWX|6aDUR|8RCR|9aDMG
49	32136 13514	   	183.38	DCR|4VULN|2DMG|2DUR	126aVULN|2aBPWR|34RCVC|5LWND|7aDUR|8RCR|9aDMG
50	32511 52251	   	183.37	DCR|4VULN|1DMG|1CDMG|1ZMB|1ASPD	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aRPLT
51	32511 52253	   	183.37	DCR|4VULN|1DMG|1CDMG|1ZMB|1ASPD	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aMLV
52	32511 52363	   	183.37	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8RPLT|9DUR|aZMB
53	32511 52252	   	183.27	DCR|4VULN|1DMG|1CDMG|1ZMB|1ASPD	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8ASPD|9ZMB|aERES
54	32511 52316	   	183.02	DCR|4VULN|2DMG|1CDMG	1237VULN|23BPWR|49DMG|5CDMG|6RCR|8RPLT|aLHND
55	32251 23314	 * 	182.92	ACR|5VULN|2DMG	1257aVULN|2aBPWR|3FEWX|4RCR|6RCVC|8aLWND|9aDMG
56	32651 23314	   	182.92	ACR|5VULN|2DMG	1257aVULN|2aBPWR|3BEXP|4RCR|6RCVC|8aLWND|9aDMG
57	32511 52311	   	182.92	DCR|4VULN|2DMG|1CDMG	1237VULN|23BPWR|49DMG|5CDMG|6RCR|8RPLT|aMBVNT
58	32511 52314	   	182.92	DCR|4VULN|2DMG|1CDMG	1237VULN|23BPWR|49DMG|5CDMG|6RCR|8RPLT|aDUST
59	32511 52315	   	182.92	DCR|4VULN|2DMG|1CDMG	1237VULN|23BPWR|49DMG|5CDMG|6RCR|8RPLT|aERES
60	32525 31225	 * 	182.75	DCR|4VULN|2AART|1CDMG|1DUR	1236VULN|23BPWR|4RPLT|5CDMG|7DUR|8RCR|9aAART
61	32251 23114	   	182.72	ACR|5VULN|2DMG	1257aVULN|2aBPWR|3FEWX|4RCR|6RCVC|8aDUST|9aDMG
62	32651 23114	   	182.72	ACR|5VULN|2DMG	1257aVULN|2aBPWR|3BEXP|4RCR|6RCVC|8aDUST|9aDMG
63	63311 14235	   	182.55	ACR|3VULN|2AART|1DMG|1ZMB	1ZMB|28aVULN|3LIT|49AART|5RCR|6LWND|7DMG
64	32253 26143	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9BELT|aDUR
65	32253 26311	   	182.42	ACR|5VULN|1AART|1CDMG	1268aVULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|9CGEN
