0	Index      	 *	Score 	Summary	Detail	
174	32511 51541	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1239VULN|23BPWR|4DMG|5CDMG|6RCR|7DMSP|8MBVNT|aZMB
175	32511 52353	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8RPLT|9DUST|aZMB
176	32511 52521	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8MBVNT|9DMSP|aZMB
177	32511 56131	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1238VULN|23BPWR|4DMG|5CDMG|6RCR|7LSRREG|9ZMB|aFEWX
178	32511 56133	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1238VULN|23BPWR|4DMG|5CDMG|6RCR|7LSRREG|9ZMB|aCGEN
179	33251 43226	   	176.28	ACR|2VULN|2DMG|1AART|1CDMG	15VULN|2CGEN|3aDMG|4RCR|6LWND|7AART|8LHND|9CDMG
180	25251 13226	   	176.28	ACR|2VULN|2DMG|1AART|1CDMG	1CGEN|2LWND|3aDMG|4RCR|56VULN|7AART|8LHND|9CDMG
181	42228 14414	 * 	176.28	DCR|2VULN|2DMG|1AART|2CDMG	1NUKE|269FEWX|3MBVNT|46DMG|5AART|69BPWR|79CDMG|89VULN|aRCR
182	42231 36426	   	176.24	ACR|3VULN|2DMG|1AART|1SELL	1NUKE|28FEWX|3MBVNT|4RCR|58DMG|689VULN|7SELL|8BPWR|aAART
183	34611 33215	 * 	176.24	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	18VULN|28LIT|3ASPD|4AART|5RCR|6FLTHEA|78MLV|8BPWR|9ZMB|aDMG
184	33251 13426	   	176.18	ACR|2VULN|2DMG|1AART|1CDMG	15VULN|2CGEN|3aDMG|4RCR|6LHND|7AART|8LEGI|9CDMG
185	32541 12236	   	176.17	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	123aVULN|23BPWR|4BEXP|5ZMB|6DMG|7CDMG|8DUR|9RCR
186	32514 32236	   	176.17	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	123aVULN|23BPWR|4DMG|5ZMB|6FEWX|7CDMG|8DUR|9RCR
187	32431 16521	   	176.12	DCR|4VULN|1AART|2CDMG|1ASPD	1267VULN|27BPWR|37CGEN|4RCVC|57CDMG|8ASPD|9AART|aRCR
188	32253 26211	   	176.10	ACR|4VULN|1AART|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89BEXP|aLIT
189	32253 26212	   	176.10	ACR|4VULN|1AART|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89BEXP|aMLV
190	32253 26215	   	176.10	ACR|4VULN|1AART|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89BEXP|aCGEN
191	32253 26216	   	176.10	ACR|4VULN|1AART|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89BEXP|aRPLT
192	32253 26411	   	176.10	ACR|4VULN|1AART|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89LWND|aLIT
193	32253 26412	   	176.10	ACR|4VULN|1AART|2CDMG	1269VULN|29BPWR|3FEWX|4RCR|5AART|79CDMG|89LWND|aMLV
194	32253 66312	   	176.10	ACR|4VULN|1AART|2CDMG	128aVULN|2aBPWR|36FEWX|4RCR|5AART|7aCDMG|9aCGEN
195	32511 56132	   	176.09	DCR|4VULN|1DMG|1CDMG|1ZMB|1SELL	1238VULN|23BPWR|4DMG|5CDMG|6RCR|7LSRREG|9ZMB|aSELL
196	32111 55324	 * 	176.00	DCR|2VULN|2AART|1DMG|1CDMG	12VULN|2BPWR|38RCVC|4DMG|5CDMG|6RCR|7LEGI|9aAART
197	32253 13151	   	176.00	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|3FEWX|4RCR|5AART|6LWND|8DMSP|9DMG
198	32253 33525	   	176.00	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|3FEWX|4RCR|5AART|6CGEN|8LIT|9DMG
199	32253 53151	   	176.00	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|3FEWX|4RCR|5AART|6LHND|8DMSP|9DMG
200	32253 53251	   	176.00	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|3FEWX|4RCR|5AART|68LHND|9DMG
201	32331 16521	   	175.92	DCR|4VULN|1AART|2CDMG|1ASPD	1267VULN|27BPWR|37TLV|4RCVC|57CDMG|8ASPD|9AART|aRCR
202	32253 23525	   	175.90	ACR|4VULN|1AART|1DMG	126aVULN|2BPWR|3FEWX|4RCR|5AART|7TLV|8LIT|9DMG
203	31251 14613	   	175.88	ACR|3VULN|3DMG|1DUR	157VULN|2MLV|389DMG|4RCR|6LHND|aDUR
204	33251 14613	   	175.88	ACR|3VULN|3DMG|1DUR	157VULN|2CGEN|389DMG|4RCR|6LHND|aDUR
205	33252 14313	   	175.88	ACR|3VULN|3DMG|1DUR	167VULN|2CGEN|389DMG|4RCR|5FEWX|aDUR
206	23251 14313	   	175.88	ACR|3VULN|3DMG|1DUR	1CGEN|2FEWX|389DMG|4RCR|567VULN|aDUR
207	32511 51312	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	123VULN|23BPWR|49DMG|5CDMG|6RCR|7DMSP|8RPLT|aDUR
208	44231 73333	   	175.81	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1NUKE|26VULN|3MBVNT|4RCR|56DMG|6BPWR|7FEWX|8AART|9DUR|aASPD
209	32141 61621	   	175.79	DCR|3VULN|1AART|1DMG|1ZMB	12aVULN|2BPWR|3RCVC|4BEXP|5ZMB|6RCR|7ERES|8DMG|9AART
210	32141 64321	   	175.79	DCR|3VULN|1AART|1DMG|1ZMB	12aVULN|2BPWR|3RCVC|4BEXP|5ZMB|6RCR|7NUKE|8DMG|9AART
211	32364 23841	   	175.78	ACR|3VULN|3DMG|1DUR	129VULN|29BPWR|39TLV|4RCR|5MBVNT|6DUR|7MLV|89aDMG
212	44231 74421	   	175.78	ACR|3VULN|3DMG|1DUR	1NUKE|269VULN|3MBVNT|4RCR|56aDMG|6BPWR|7RMIN|8DUR
213	32111 52364	   	175.77	DCR|4VULN|1DMG|1CDMG|1DUR	127aVULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8RPLT|9DUR
214	34611 35222	 * 	175.68	ACR|3VULN|1AART|2ZMB|1FLTHEA|1ASPD	18aVULN|28LIT|3ASPD|4AART|5RCR|6FLTHEA|78ZMB|8BPWR|9LWND
215	33251 21364	   	175.68	ACR|3VULN|1AART|1DMG|1ZMB	159VULN|2CGEN|3DMG|4RCR|67RCVC|8AART|aZMB
216	42134 22335	   	175.68	DCR|2VULN|2DMG|1AART|2CDMG	1NUKE|27FEWX|37CDMG|4LHND|58DMG|67VULN|7BPWR|9RCR|aAART
217	42152 22335	   	175.68	DCR|2VULN|2DMG|1AART|2CDMG	1NUKE|27FEWX|37CDMG|48DMG|5LHND|67VULN|7BPWR|9RCR|aAART
218	32111 52544	   	175.67	DCR|4VULN|1DMG|1CDMG|1ASPD	1279VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8MBVNT|aASPD
219	32111 52546	   	175.67	DCR|4VULN|1DMG|1CDMG|1DUR	1279VULN|2BPWR|3RCVC|4DMG|5CDMG|6RCR|8MBVNT|aDUR
220	33255 21521	   	175.65	ACR|3VULN|1AART|1DMG|2ASPD	18aVULN|28CGEN|3DMG|4RCR|5DUST|6RCVC|78ASPD|8BPWR|9AART
221	42124 22335	   	175.58	DCR|2VULN|2DMG|1AART|2CDMG	1NUKE|27FEWX|37CDMG|4DUST|58DMG|67VULN|7BPWR|9RCR|aAART
222	31251 22621	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	15aVULN|2MLV|3DMG|4RCR|6RCVC|7CDMG|8ERES|9AART
223	33251 22621	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	15aVULN|2CGEN|3DMG|4RCR|6RCVC|7CDMG|8ERES|9AART
224	32253 26141	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9BELT|aRMIN
225	32253 26142	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9BELT|aRPLT
226	32253 26151	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9CGEN|aLIT
227	32253 26152	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9CGEN|aMLV
228	32253 26161	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9RMIN|aLIT
229	32253 26162	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9RMIN|aMLV
230	32125 31234	   	175.54	DCR|5VULN|2CDMG|2DUR	1269aVULN|2aBPWR|3RCVC|4RPLT|5aCDMG|7aDUR|8RCR
231	32253 26111	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9NUKE|aLIT
232	32253 26112	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9NUKE|aMLV
233	32253 26115	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	126VULN|2BPWR|3FEWX|4RCR|5AART|7CDMG|8DMG|9NUKE|aRMIN
234	32253 66122	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	129VULN|2BPWR|36FEWX|4RCR|5AART|7CDMG|8DMG|aLSRREG
235	32111 52136	   	175.15	DCR|4VULN|1DMG|2CDMG	127aVULN|2BPWR|3RCVC|4DMG|58CDMG|6RCR|9BEXP
236	31251 22522	   	175.05	ACR|3VULN|1AART|1DMG|1CDMG	159VULN|2MLV|3DMG|4RCR|6RCVC|7CDMG|8LHND|aAART
237	32511 53133	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8DUST|9AART|aLHND
238	32511 53134	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8DUST|9AART|aRMIN
239	32511 53135	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8DUST|9AART|aCGEN
240	32511 53131	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8DUST|9AART|aLSRREG
241	32511 53132	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8DUST|9AART|aERES
242	63126 32263	 * 	174.91	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR|1SELL	19ZMB|29VULN|3SELL|4DUST|5BELT|6RCR|7CDMG|89DMG|9BPWR|aDUR
243	32656 23113	   	174.77	ACR|2VULN|2DMG|1AART|2DUR	12VULN|2BPWR|3BEXP|4RCR|5aDMG|69DUR|7AART|8DUST
244	32125 31221	   	174.71	DCR|4VULN|1AART|1CDMG|1DUR	126aVULN|2BPWR|3RCVC|4RPLT|5CDMG|7DUR|8RCR|9AART
245	24251 13631	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LHND|3DMG|4RCR|569VULN|7AART|8CDMG|aLIT
246	24251 13632	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LHND|3DMG|4RCR|569VULN|7AART|8CDMG|aMLV
247	25251 13631	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LWND|3DMG|4RCR|569VULN|7AART|8CDMG|aLIT
248	25251 13632	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LWND|3DMG|4RCR|569VULN|7AART|8CDMG|aMLV
249	33251 13631	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	159VULN|2CGEN|3DMG|4RCR|6LHND|7AART|8CDMG|aLIT
250	33251 13632	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	159VULN|2CGEN|3DMG|4RCR|6LHND|7AART|8CDMG|aMLV
251	33251 43631	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	159VULN|2CGEN|3DMG|4RCR|6LWND|7AART|8CDMG|aLIT
252	33251 43632	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	159VULN|2CGEN|3DMG|4RCR|6LWND|7AART|8CDMG|aMLV
253	33256 13631	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	169VULN|2CGEN|3DMG|4RCR|5LHND|7AART|8CDMG|aLIT
254	33256 13632	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	169VULN|2CGEN|3DMG|4RCR|5LHND|7AART|8CDMG|aMLV
255	32251 14321	   	174.32	ACR|4VULN|2DMG|1DUR	1257VULN|2BPWR|3FEWX|4RCR|6LHND|8aDMG|9DUR
256	32251 44321	   	174.32	ACR|4VULN|2DMG|1DUR	1257VULN|2BPWR|3FEWX|4RCR|6LWND|8aDMG|9DUR
257	66211 25441	 * 	174.32	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	19ZMB|2RCVC|3MBVNT|4FEWX|5AART|69DMG|79DUR|8RCR|9BPWR|aVULN
258	32513 32235	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5RMIN|6FEWX|7CDMG|8DUR|9RCR|aAART
259	32513 62235	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5RMIN|6LHND|7CDMG|8DUR|9RCR|aAART
260	32513 42135	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5RMIN|6DUR|7CDMG|8LWND|9RCR|aAART
261	32513 42335	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5RMIN|6DUR|7CDMG|8LHND|9RCR|aAART
262	33251 13636	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	159VULN|2CGEN|3DMG|4RCR|6LHND|7AART|8CDMG|aNUKE
263	44231 71224	   	174.22	ACR|4VULN|2DMG|1ASPD	1NUKE|269aVULN|3MBVNT|4RCR|56DMG|6BPWR|7ASPD|8LWND
264	32511 24236	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	123VULN|23BPWR|4DMG|5CDMG|6TLV|7RMIN|8ASPD|9RCR|aAART
265	32511 43135	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5CDMG|6NUKE|7DUR|8LWND|9RCR|aAART
266	32511 43335	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5CDMG|6NUKE|7DUR|8LHND|9RCR|aAART
267	32512 53236	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	123VULN|23BPWR|4DMG|5ERES|6RMIN|7CDMG|8ASPD|9RCR|aAART
268	32513 52235	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5RMIN|6DUST|7CDMG|8DUR|9RCR|aAART
269	53253 73223	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2CGEN|3aDMG|4RCR|5MBVNT|6AART|78VULN|9ZMB
270	31311 44235	   	174.10	ACR|4VULN|1AART|1DMG	189aVULN|2MLV|3LIT|4AART|5RCR|6DUST|7DMG
271	33311 44235	   	174.10	ACR|4VULN|1AART|1DMG	189aVULN|2CGEN|3LIT|4AART|5RCR|6DUST|7DMG
272	32365 34221	   	174.03	ACR|4VULN|1AART|1CDMG|1ASPD	127aVULN|2BPWR|3TLV|4RCR|5CDMG|6RPLT|8ASPD|9AART
273	32511 52342	   	173.97	DCR|4VULN|1DMG|1CDMG|1DUR	1237VULN|23BPWR|4DMG|5CDMG|6RCR|8RPLT|9RCVC|aDUR
274	32516 13243	   	173.92	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	123VULN|23BPWR|4DMG|5LIT|6AART|7DUST|8ZMB|9RCR|aASPD
275	34511 14233	   	173.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2LIT|3ZMB|49AART|5RCR|6LWND|7DMG|aASPD
276	63311 14233	   	173.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ZMB|28VULN|3LIT|49AART|5RCR|6LWND|7DMG|aASPD
277	32341 36132	 * 	173.72	DCR|4VULN|3CDMG|1AART	1247VULN|247BPWR|347TLV|567CDMG|8LIT|9RCR|aAART
278	32511 53522	   	173.67	DCR|4VULN|1DMG|1CDMG|1DUR	1239VULN|23BPWR|4DMG|5CDMG|6RCR|7BEXP|8DUR|aRCVC
279	44321 32311	 * 	173.65	DCR|3VULN|3DMG|2DUR	1NUKE|257VULN|37DUR|478DMG|6RPLT|7BPWR|9LHND|aRCR
280	44321 32341	   	173.65	DCR|3VULN|3DMG|2DUR	1NUKE|257VULN|37DUR|478DMG|6RPLT|7BPWR|9LWND|aRCR
281	33252 14121	   	173.60	ACR|4VULN|1AART|1DMG	167aVULN|2CGEN|3DMG|4RCR|5FEWX|8RMIN|9AART
282	33254 14121	   	173.60	ACR|4VULN|1AART|1DMG	167aVULN|2CGEN|3DMG|4RCR|5BEXP|8RMIN|9AART
283	23251 14121	   	173.60	ACR|4VULN|1AART|1DMG	1CGEN|2FEWX|3DMG|4RCR|567aVULN|8RMIN|9AART
284	32254 24321	   	173.60	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|36FEWX|4RCR|5BEXP|8DMG|9AART
285	32254 33321	   	173.60	ACR|4VULN|1AART|1DMG	126aVULN|2BPWR|3FEWX|4RCR|57BEXP|8DMG|9AART
286	32652 24321	   	173.60	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|3BEXP|4RCR|56FEWX|8DMG|9AART
287	32652 33321	   	173.60	ACR|4VULN|1AART|1DMG	126aVULN|2BPWR|37BEXP|4RCR|5FEWX|8DMG|9AART
288	53251 14121	   	173.60	ACR|4VULN|1AART|1DMG	1BEXP|2CGEN|3DMG|4RCR|567aVULN|8RMIN|9AART
289	32511 31515	   	173.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|23BPWR|4DMG|5CDMG|6LHND|7AART|8DUR|9NUKE|aRCR
290	63311 31216	 * 	173.56	ACR|2VULN|3ZMB|1AART|1FLTHEA|1DUR	189ZMB|28VULN|3LIT|4AART|5RCR|6FLTHEA|78CGEN|8BPWR|aDUR
291	63311 33216	   	173.56	ACR|2VULN|3ZMB|1AART|1FLTHEA|1DUR	189ZMB|28VULN|3LIT|4AART|5RCR|6FLTHEA|78MLV|8BPWR|aDUR
292	31251 64121	   	173.50	ACR|4VULN|1AART|1DMG	157aVULN|2MLV|3DMG|4RCR|6DUST|8RMIN|9AART
293	32251 64323	   	173.50	ACR|4VULN|1AART|1DMG	1257VULN|2BPWR|3FEWX|4RCR|6DUST|8DMG|9AART|aMLV
294	32255 34323	   	173.50	ACR|4VULN|1AART|1DMG	1267VULN|2BPWR|3FEWX|4RCR|5DUST|8DMG|9AART|aMLV
295	33251 64121	   	173.50	ACR|4VULN|1AART|1DMG	157aVULN|2CGEN|3DMG|4RCR|6DUST|8RMIN|9AART
296	33255 14121	   	173.50	ACR|4VULN|1AART|1DMG	167aVULN|2CGEN|3DMG|4RCR|5DUST|8RMIN|9AART
297	32252 64321	   	173.50	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|35FEWX|4RCR|6DUST|8DMG|9AART
298	32254 34322	   	173.50	ACR|4VULN|1AART|1DMG	1267VULN|2BPWR|3FEWX|4RCR|5BEXP|8DMG|9AART|aDUST
299	32255 24321	   	173.50	ACR|4VULN|1AART|1DMG	127aVULN|2BPWR|36FEWX|4RCR|5DUST|8DMG|9AART
300	32652 34322	   	173.50	ACR|4VULN|1AART|1DMG	1267VULN|2BPWR|3BEXP|4RCR|5FEWX|8DMG|9AART|aDUST
301	32111 52313	   	173.49	DCR|3VULN|2DMG|1CDMG	127VULN|2BPWR|3aRCVC|49DMG|5CDMG|6RCR|8RPLT
302	32251 64322	   	173.40	ACR|4VULN|1AART|1DMG	1257VULN|2BPWR|3FEWX|4RCR|6aDUST|8DMG|9AART
303	32255 34322	   	173.40	ACR|4VULN|1AART|1DMG	1267VULN|2BPWR|3FEWX|4RCR|5aDUST|8DMG|9AART
304	44231 73341	 * 	173.38	ACR|2VULN|2DMG|2AART	1NUKE|26VULN|3MBVNT|4RCR|56DMG|6BPWR|7FEWX|8aAART|9CGEN
305	32541 61321	   	173.36	DCR|4VULN|1AART|1ZMB|1ASPD	123aVULN|23BPWR|4BEXP|5ZMB|6RCR|7ERES|8ASPD|9AART
306	32253 13155	   	173.35	ACR|3VULN|2AART|1DMG	127VULN|2BPWR|3FEWX|4RCR|5aAART|6LWND|8DMSP|9DMG
307	44234 15321	   	173.30	ACR|4VULN|1AART|1DMG	1NUKE|267aVULN|3MBVNT|4RCR|5ERES|8DMG|9AART
308	44231 73321	   	173.28	ACR|2VULN|2DMG|2AART	1NUKE|26VULN|3MBVNT|4RCR|56DMG|6BPWR|7FEWX|8aAART|9ERES
309	32541 63112	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	123VULN|23BPWR|4BEXP|5ZMB|6RCR|7DMSP|89DMG|aDUR
310	63151 34232	 * 	173.18	DCR|2VULN|2DMG|1AART|2ZMB|2SELL	1aZMB|2aVULN|36SELL|4aDMG|5RPLT|7RMIN|8RCR|9AART|aBPWR
311	63211 34232	 * 	173.18	DCR|2VULN|2DMG|1AART|2ZMB|2SELL	1aZMB|2aVULN|3aDMG|46SELL|5RPLT|7RMIN|8RCR|9AART|aBPWR
312	63311 33225	 * 	173.15	ACR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	18ZMB|28VULN|3LIT|4AART|5RCR|6FLTHEA|78MLV|8BPWR|9RMIN|aDMG
313	63311 33251	   	173.15	ACR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	18ZMB|28VULN|3LIT|4AART|5RCR|6FLTHEA|78MLV|8BPWR|9RPLT|aDMG
314	31251 61523	   	173.15	ACR|3VULN|1AART|1DMG|2ASPD	158VULN|28aMLV|3DMG|4RCR|6DUST|78ASPD|8BPWR|9AART
315	33251 61523	   	173.15	ACR|3VULN|1AART|1DMG|2ASPD	158VULN|28CGEN|3DMG|4RCR|6DUST|78ASPD|8BPWR|9AART|aMLV
316	33255 11523	   	173.15	ACR|3VULN|1AART|1DMG|2ASPD	168VULN|28CGEN|3DMG|4RCR|5DUST|78ASPD|8BPWR|9AART|aMLV
317	31255 31521	   	173.15	ACR|3VULN|1AART|1DMG|2ASPD	18aVULN|28MLV|3DMG|4RCR|5DUST|6DMSP|78ASPD|8BPWR|9AART
318	32632 53214	   	173.10	ACR|4VULN|1AART|1DMG	1279VULN|29BPWR|39BEXP|4RPLT|5RCR|6AART|8DMSP|aDMG
319	31251 61522	   	173.05	ACR|3VULN|1AART|1DMG|2ASPD	158VULN|28MLV|3DMG|4RCR|6aDUST|78ASPD|8BPWR|9AART
320	33251 61522	   	173.05	ACR|3VULN|1AART|1DMG|2ASPD	158VULN|28CGEN|3DMG|4RCR|6aDUST|78ASPD|8BPWR|9AART
321	33255 11522	   	173.05	ACR|3VULN|1AART|1DMG|2ASPD	168VULN|28CGEN|3DMG|4RCR|5aDUST|78ASPD|8BPWR|9AART
322	33254 14323	   	173.05	ACR|3VULN|1AART|1DMG|2ASPD	167VULN|2CGEN|3DMG|4RCR|5BEXP|8aASPD|9AART
323	53251 14323	   	173.05	ACR|3VULN|1AART|1DMG|2ASPD	1BEXP|2CGEN|3DMG|4RCR|567VULN|8aASPD|9AART
324	63311 14226	   	173.04	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|28VULN|3LIT|4AART|5RCR|6LWND|7aDMG|9BEXP
325	32141 12235	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4BEXP|5ZMB|6DMG|7CDMG|8DUR|9RCR|aAART
326	32114 32235	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4DMG|5ZMB|6FEWX|7CDMG|8DUR|9RCR|aAART
327	32114 42135	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4DMG|5ZMB|6DUR|7CDMG|8LWND|9RCR|aAART
328	32114 42335	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4DMG|5ZMB|6DUR|7CDMG|8LHND|9RCR|aAART
329	32114 62235	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4DMG|5ZMB|6LHND|7CDMG|8DUR|9RCR|aAART
330	61251 24321	   	173.01	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2CGEN|3FEWX|4RCR|57aVULN|6RCVC|8DMG|9AART
331	32632 53234	   	173.00	ACR|4VULN|1AART|1DMG	1279VULN|2BPWR|3BEXP|4RPLT|5RCR|6AART|8DMSP|aDMG
332	63311 35522	   	172.95	ACR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	17ZMB|2aVULN|3LIT|4AART|5RCR|6FLTHEA|8DMG|9LWND
333	32365 21226	   	172.95	ACR|3VULN|1AART|1DMG|1CDMG	128VULN|2BPWR|3TLV|4RCR|5CDMG|6ERES|7MLV|9AART|aDMG
334	32365 34322	   	172.95	ACR|3VULN|1AART|1DMG|1CDMG	127VULN|2BPWR|3TLV|4RCR|5CDMG|6RPLT|8DMG|9AART|aDUST
335	31251 66232	   	172.94	ACR|2VULN|2DMG|1AART|1ZMB	15VULN|2MLV|3aDMG|4RCR|6DUST|7MGNLIT|8AART|9ZMB
336	63311 24216	   	172.94	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|28VULN|3LIT|4AART|5RCR|6BEXP|7aDMG|9DUST
337	32114 52235	   	172.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4DMG|5ZMB|6DUST|7CDMG|8DUR|9RCR|aAART
338	32156 12235	   	172.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3RCVC|4ZMB|5DUST|6DMG|7CDMG|8DUR|9RCR|aAART
339	32253 22522	   	172.90	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LIT|9DMG|aCGEN
340	32253 22524	   	172.90	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LIT|9DMG|aRPLT
341	32253 22526	   	172.90	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7ZMB|8LIT|9DMG|aBELT
342	32253 25421	   	172.90	ACR|3VULN|1AART|1DMG|1ZMB	126VULN|2BPWR|3FEWX|4RCR|5AART|7DMSP|8BELT|9DMG|aZMB
