0	Index      	 *	Score 	Summary	Detail	
1	21425 27414	 * 	232.52	DCR|3VULN|2DMG|1MDPS|1ASPD|1CDMG	169VULN|29LHND|3ASPD|4CDMG|5MBVNT|7RCR|89DMG|9BPWR|aMDPS
2	23535 12151	 * 	230.57	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8DUR|9AART|aMDPS
3	23535 12421	   	230.57	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9DUR|aMDPS
4	23535 32151	 * 	230.32	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8DUR|9AART|aMDPS
5	23535 32421	   	230.32	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9DUR|aMDPS
6	25421 12413	 * 	230.01	DCR|3VULN|2DMG|2ASPD|1CDMG	19aVULN|28LWND|39ASPD|4CDMG|5FEWX|6RCR|79DMG|9BPWR
7	25422 12413	   	230.01	DCR|3VULN|2DMG|2ASPD|1CDMG	19aVULN|28LWND|39ASPD|4CDMG|5BEXP|6RCR|79DMG|9BPWR
8	21425 27413	 * 	229.54	DCR|4VULN|2DMG|1ASPD|1CDMG	169aVULN|29LHND|3ASPD|4CDMG|5MBVNT|7RCR|89DMG|9BPWR
9	23535 12431	   	222.16	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1MSE	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9MSE|aMDPS
10	23535 32431	   	221.92	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1MSE	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9MSE|aMDPS
11	23535 12221	   	221.40	DCR|4VULN|2DMG|1ASPD|1DUR	1368VULN|29DMG|4DLOT|5ASPD|7RCR|aDUR
12	26534 12221	   	221.40	DCR|4VULN|2DMG|1ASPD|1DUR	1368VULN|2ASPD|4DLOT|59DMG|7RCR|aDUR
13	13262 41123	 * 	219.91	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	18FEWX|28DMG|3ZMB|4CDMG|5RPLT|6AART|78ASPD|8BPWR|9RCR|aVULN
14	33262 41123	   	219.91	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	18BEXP|28DMG|3ZMB|4CDMG|5RPLT|6AART|78ASPD|8BPWR|9RCR|aVULN
15	53262 41123	   	219.71	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	18DUST|28DMG|3ZMB|4CDMG|5RPLT|6AART|78ASPD|8BPWR|9RCR|aVULN
16	42353 26311	 * 	219.12	DCR|3VULN|2DMG|1AART|1ASPD	1LEGI|27aVULN|3ERES|47LHND|57DMG|6AART|7BPWR|8RCR|9ASPD
17	23261 11615	   	218.59	DCR|3VULN|2DMG|1CDMG|2DUR|2ZMB|1SELL	16aVULN|2aDMG|35ZMB|4CDMG|7SELL|8RCR|9aDUR|aBPWR
18	21141 53335	   	218.00	DCR|3VULN|2DMG|2ASPD|1ZMB	13aVULN|25LHND|4aASPD|6ZMB|7DUST|8aDMG|9RCR|aBPWR
19	42253 26313	 * 	217.64	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1LEGI|27VULN|3LHND|47MLV|57DMG|6AART|7BPWR|8RCR|9ASPD|aCDMG
20	23535 12413	 * 	217.55	DCR|3VULN|2ASPD|1AART|1DMG	136VULN|2DMG|4DLOT|5aASPD|7RCR|8AART|9ERES
21	23535 32413	 * 	217.31	DCR|2VULN|2DMG|2ASPD|1AART	13VULN|26DMG|4DLOT|5aASPD|7RCR|8AART|9ERES
22	23261 13216	 * 	217.12	DCR|3VULN|3ZMB|2CDMG|1DMG|2DUR	169VULN|2DMG|358ZMB|49CDMG|79DUR|9BPWR|aRCR
23	23262 13635	   	215.91	DCR|4VULN|2DMG|1CDMG|1ZMB	178aVULN|2aDMG|3ZMB|4CDMG|5RPLT|6aLHND|9RCR|aBPWR
24	23262 22435	   	215.91	DCR|4VULN|2DMG|1CDMG|1ZMB	167aVULN|2aDMG|3ZMB|4CDMG|5RPLT|8aLHND|9RCR|aBPWR
25	23535 32521	   	215.88	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	139VULN|26DMG|4DLOT|5ASPD|7RCR|8ZMB|aDUR
26	26126 12613	   	215.79	DCR|3VULN|2DMG|1ASPD|1CDMG	19aVULN|2ASPD|39LWND|4CDMG|58LHND|6RCR|79DMG|9BPWR
27	23535 32523	   	214.35	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	139VULN|26DMG|4DLOT|5ASPD|7RCR|8ZMB|aAAC
28	23535 12521	   	214.14	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1369VULN|2DMG|4DLOT|5ASPD|7RCR|8ZMB|aDUR
29	21425 27412	   	213.69	DCR|3VULN|2DMG|1ASPD|1CDMG	169VULN|29LHND|3ASPD|4CDMG|5MBVNT|7RCR|89DMG|9BPWR|aCGEN
30	21425 27411	   	213.59	DCR|3VULN|2DMG|1ASPD|1CDMG	169VULN|29LHND|3ASPD|4CDMG|5MBVNT|7RCR|89DMG|9BPWR|aAIRARM
31	23535 12223	   	213.09	DCR|4VULN|2DMG|1ASPD	1368VULN|29DMG|4DLOT|5ASPD|7RCR|aBEXP
32	23535 12225	   	213.09	DCR|4VULN|2DMG|1ASPD	1368VULN|29DMG|4DLOT|5ASPD|7RCR|aFEWX
33	23535 32263	   	213.09	DCR|4VULN|2DMG|1ASPD	138aVULN|26DMG|4DLOT|5ASPD|7RCR|9LWND
34	26534 12223	   	213.09	DCR|4VULN|2DMG|1ASPD	1368VULN|2ASPD|4DLOT|59DMG|7RCR|aBEXP
35	23663 13531	 * 	213.05	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1AAC|1DUR	16VULN|25DMG|3AAC|4CDMG|7DUR|8AART|9RCR|aMDPS
36	23535 12222	   	212.99	DCR|4VULN|2DMG|1ASPD	1368VULN|29DMG|4DLOT|5ASPD|7RCR|aMBVNT
37	23535 12226	   	212.99	DCR|4VULN|2DMG|1ASPD|1MSE	1368VULN|29DMG|4DLOT|5ASPD|7RCR|aMSE
38	26534 12222	   	212.99	DCR|4VULN|2DMG|1ASPD	1368VULN|2ASPD|4DLOT|59DMG|7RCR|aMBVNT
39	23535 32221	 * 	212.90	DCR|3VULN|3DMG|1ASPD	138VULN|269DMG|4DLOT|5ASPD|7RCR|aCGEN
40	23535 32223	   	212.90	DCR|3VULN|3DMG|1ASPD	138VULN|269DMG|4DLOT|5ASPD|7RCR|aAELBLL
41	23535 32225	   	212.90	DCR|3VULN|3DMG|1ASPD	138VULN|269DMG|4DLOT|5ASPD|7RCR|aBEXP
42	26534 32221	   	212.90	DCR|3VULN|3DMG|1ASPD	138VULN|2ASPD|4DLOT|569DMG|7RCR|aCGEN
43	26534 32223	   	212.90	DCR|3VULN|3DMG|1ASPD	138VULN|2ASPD|4DLOT|569DMG|7RCR|aAELBLL
44	23535 32222	   	212.80	DCR|3VULN|3DMG|1ASPD	138VULN|269DMG|4DLOT|5ASPD|7RCR|aERES
45	23535 32224	   	212.80	DCR|3VULN|3DMG|1ASPD	138VULN|269DMG|4DLOT|5ASPD|7RCR|aMBVNT
46	26534 32222	   	212.80	DCR|3VULN|3DMG|1ASPD	138VULN|2ASPD|4DLOT|569DMG|7RCR|aERES
47	23535 12523	   	212.61	DCR|4VULN|1ASPD|1DMG|1AAC|1ZMB	1369VULN|2DMG|4DLOT|5ASPD|7RCR|8ZMB|aAAC
48	23133 62164	 * 	212.53	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG	17aVULN|2DMG|3LWND|4AME|5SPLARM|6RCR|8CDMG|9ASPD
49	23113 62164	   	212.43	DCR|3VULN|1SPLARM|1ASPD|1DMG|1CDMG	17aVULN|2DMG|3LWND|4TLV|5SPLARM|6RCR|8CDMG|9ASPD
50	23126 12613	   	212.42	DCR|3VULN|2ASPD|1DMG|1CDMG	19aVULN|2DMG|39LWND|4CDMG|58LHND|6RCR|79ASPD|9BPWR
51	23533 62261	 * 	212.32	DCR|4VULN|1AART|1DMG	135aVULN|2DMG|4DLOT|6RCR|7SPLREG|8RMIN|9AART
52	13526 12333	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	1FEWX|29DMG|3aVULN|4CDMG|59LHND|6RCR|7MULARM|89ASPD|9BPWR
53	25421 12412	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	19VULN|28LWND|39ASPD|4CDMG|5FEWX|6RCR|79DMG|9BPWR|aCGEN
54	25422 12412	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	19VULN|28LWND|39ASPD|4CDMG|5BEXP|6RCR|79DMG|9BPWR|aCGEN
55	25421 12411	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	19VULN|28LWND|39ASPD|4CDMG|5FEWX|6RCR|79DMG|9BPWR|aAIRARM
56	25422 12411	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	19VULN|28LWND|39ASPD|4CDMG|5BEXP|6RCR|79DMG|9BPWR|aAIRARM
57	13526 12334	 * 	211.86	DCR|2DMG|2ASPD|1VULN|1NUKE|1CDMG	1FEWX|29DMG|3VULN|4CDMG|59LHND|6RCR|7MULARM|89ASPD|9BPWR|aNUKE
58	23535 12152	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8DUR|9AART|aBEXP
59	23535 12153	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8DUR|9AART|aFEWX
60	23535 12422	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9DUR|aBEXP
61	23535 12423	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9DUR|aFEWX
62	23535 12412	   	211.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2DMG|4DLOT|5ASPD|7RCR|8AART|9ERES|aDUR
63	23535 32152	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8DUR|9AART|aBEXP
64	23535 32153	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8DUR|9AART|aFEWX
65	23535 32422	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9DUR|aBEXP
66	23535 32423	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9DUR|aFEWX
67	23535 32412	   	211.40	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4DLOT|5ASPD|7RCR|8AART|9ERES|aDUR
68	21421 12523	 * 	211.23	DCR|3ASPD|2VULN|1AART|1CDMG	19VULN|2LHND|39aASPD|4CDMG|5FEWX|6RCR|79MULARM|8AART|9BPWR
69	21422 12523	   	211.23	DCR|3ASPD|2VULN|1AART|1CDMG	19VULN|2LHND|39aASPD|4CDMG|5BEXP|6RCR|79MULARM|8AART|9BPWR
70	42421 12523	   	211.13	DCR|3ASPD|2VULN|1AART|1CDMG	1LEGI|29VULN|39aASPD|4CDMG|5FEWX|6RCR|79MULARM|8AART|9BPWR
71	42422 12523	   	211.13	DCR|3ASPD|2VULN|1AART|1CDMG	1LEGI|29VULN|39aASPD|4CDMG|5BEXP|6RCR|79MULARM|8AART|9BPWR
72	23535 12263	 * 	209.76	DCR|5VULN|1ASPD|1DMG	1368aVULN|2DMG|4DLOT|5ASPD|7RCR|9LWND
73	21145 35333	   	209.75	DCR|4VULN|1ASPD|1DMG|1CDMG	136aVULN|2LHND|4ASPD|5BASARM|7DMG|8RCR|9CDMG
74	34313 23636	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1BEXP|2RPLT|3ASPD|48aVULN|56DMG|7CDMG|9RCR
75	23121 12224	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|29DMG|3LWND|4CDMG|5FEWX|6RCR|7ASPD|8DUR|aAART
76	23122 12224	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|29DMG|3LWND|4CDMG|5BEXP|6RCR|7ASPD|8DUR|aAART
77	25421 12224	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2LWND|3ASPD|4CDMG|5FEWX|6RCR|79DMG|8DUR|aAART
78	25422 12224	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2LWND|3ASPD|4CDMG|5BEXP|6RCR|79DMG|8DUR|aAART
79	26121 12224	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|3LWND|4CDMG|5FEWX|6RCR|79DMG|8DUR|aAART
80	26122 12224	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|3LWND|4CDMG|5BEXP|6RCR|79DMG|8DUR|aAART
81	23261 23216	 * 	209.45	DCR|2VULN|2DMG|3ZMB|1CDMG|2DUR	19VULN|29DMG|358ZMB|4CDMG|6AELBLL|79DUR|9BPWR|aRCR
82	23533 12222	   	209.28	DCR|4VULN|2DMG|1CDMG	1358VULN|29DMG|4DLOT|6AME|7RCR|aCDMG
83	23533 32222	   	209.28	DCR|4VULN|2DMG|1CDMG	1358VULN|29DMG|4DLOT|6MLV|7RCR|aCDMG
84	23532 12222	   	209.18	DCR|4VULN|2DMG|1CDMG|1AAC	1368VULN|29DMG|4DLOT|5AAC|7RCR|aCDMG
85	23533 42222	   	209.18	DCR|4VULN|2DMG|1CDMG	1358VULN|29DMG|4DLOT|6ERES|7RCR|aCDMG
86	23261 13531	   	209.11	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2ZMB|1DUR	16VULN|2DMG|35ZMB|4CDMG|7DUR|8AART|9RCR|aMDPS
87	23534 12224	 * 	209.08	DCR|3VULN|3DMG|1CDMG	138VULN|259DMG|4DLOT|6AME|7RCR|aCDMG
88	23534 32224	   	209.08	DCR|3VULN|3DMG|1CDMG	138VULN|259DMG|4DLOT|6MLV|7RCR|aCDMG
89	23532 32224	   	208.98	DCR|3VULN|3DMG|1CDMG|1AAC	138VULN|269DMG|4DLOT|5AAC|7RCR|aCDMG
90	23663 13532	   	208.93	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1AAC	16VULN|25DMG|3AAC|4CDMG|7aDUR|8AART|9RCR
91	23133 62163	 * 	208.92	DCR|1SPLARM|2VULN|2ASPD|1DMG|1CDMG	17VULN|2DMG|3LWND|4AME|5SPLARM|6RCR|8CDMG|9aASPD
92	26133 62163	   	208.92	DCR|1SPLARM|2VULN|2ASPD|1DMG|1CDMG	17VULN|2aASPD|3LWND|4AME|5SPLARM|6RCR|8CDMG|9DMG
93	23435 12221	   	208.86	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|29DMG|3RCVC|4DLOT|5ASPD|7RCR|aDUR
94	26434 12221	   	208.86	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|2ASPD|3RCVC|4DLOT|59DMG|7RCR|aDUR
95	23113 62163	   	208.82	DCR|1SPLARM|2VULN|2ASPD|1DMG|1CDMG	17VULN|2DMG|3LWND|4TLV|5SPLARM|6RCR|8CDMG|9aASPD
96	26113 62163	   	208.82	DCR|1SPLARM|2VULN|2ASPD|1DMG|1CDMG	17VULN|2aASPD|3LWND|4TLV|5SPLARM|6RCR|8CDMG|9DMG
97	23534 12225	 * 	208.68	DCR|4VULN|3DMG	138aVULN|259DMG|4DLOT|6AME|7RCR
98	23534 32225	   	208.68	DCR|4VULN|3DMG	138aVULN|259DMG|4DLOT|6MLV|7RCR
99	23532 32225	   	208.58	DCR|4VULN|3DMG|1AAC	138aVULN|269DMG|4DLOT|5AAC|7RCR
100	23533 62161	   	208.06	DCR|4VULN|1AART|1DMG	135aVULN|2DMG|4DLOT|6RCR|7SPLREG|8TLV|9AART
101	25325 12813	 * 	208.01	DCR|4VULN|2ASPD|1CDMG	189aVULN|29LWND|3ERES|4CDMG|5MBVNT|6RCR|79ASPD|9BPWR
102	23535 32522	   	207.90	DCR|3VULN|2DMG|1ASPD|1ZMB	139VULN|26DMG|4DLOT|5ASPD|7RCR|8ZMB|aRCVC
103	23663 13533	   	207.85	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1DUR	16VULN|25DMG|3AAC|4CDMG|7DUR|8AART|9RCR|aRMIN
104	13241 26336	   	207.68	DCR|3VULN|2DMG|1ASPD|1ZMB	1FEWX|28DMG|3ZMB|4ASPD|5LWND|69aVULN|7RCR
105	33241 26336	   	207.68	DCR|3VULN|2DMG|1ASPD|1ZMB	1BEXP|28DMG|3ZMB|4ASPD|5LWND|69aVULN|7RCR
106	23535 22221	   	207.58	DCR|3VULN|2DMG|1ASPD|1DUR	138VULN|29DMG|4DLOT|5ASPD|6RCVC|7RCR|aDUR
107	26534 22221	   	207.58	DCR|3VULN|2DMG|1ASPD|1DUR	138VULN|2ASPD|4DLOT|59DMG|6RCVC|7RCR|aDUR
108	23535 32261	   	207.58	DCR|3VULN|2DMG|1ASPD|1ZMB	138VULN|26DMG|4DLOT|5ASPD|7RCR|9LWND|aZMB
109	26121 12415	   	207.32	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG	19VULN|2ASPD|389LWND|4CDMG|5FEWX|6RCR|79DMG|9BPWR|aMDPS
110	26122 12415	   	207.32	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG	19VULN|2ASPD|389LWND|4CDMG|5BEXP|6RCR|79DMG|9BPWR|aMDPS
111	24315 23417	   	207.29	DCR|4VULN|2DMG|1ASPD	1469VULN|2RPLT|3ASPD|5MBVNT|79LHND|89DMG|9BPWR|aRCR
112	26133 62343	 * 	206.64	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1DUR	17VULN|2ASPD|3LWND|4AME|5SPLARM|6RCR|8DMG|9DUR|aMDPS
113	26133 62363	   	206.64	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG	17VULN|2ASPD|3LWND|4AME|5SPLARM|6RCR|8DMG|9CGEN|aMDPS
114	21421 12526	   	206.61	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	19VULN|2LHND|39ASPD|4CDMG|5FEWX|6RCR|79MULARM|8AART|9BPWR|aDUR
115	23435 12151	   	206.58	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	16VULN|2DMG|3RCVC|4DLOT|5ASPD|7RCR|8DUR|9AART|aMDPS
116	23435 12421	   	206.58	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	16VULN|2DMG|3RCVC|4DLOT|5ASPD|7RCR|8AART|9DUR|aMDPS
117	24113 15335	 * 	206.52	DCR|3VULN|3ASPD|1MDPS|1AART	17aVULN|2RPLT|3MDPS|4AART|578ASPD|67aDUST|7aBPWR|9RCR
118	23535 32243	   	206.51	DCR|3VULN|2DMG|1MDPS|1ASPD|1SELL	138VULN|26DMG|4DLOT|5ASPD|7RCR|9SELL|aMDPS
119	23535 32251	   	206.51	DCR|3VULN|1MDPS|2DMG|1ASPD	138VULN|26DMG|4DLOT|5ASPD|7RCR|9MDPS|aCGEN
120	23535 32252	   	206.51	DCR|3VULN|2DMG|1MDPS|1ASPD	138VULN|26DMG|4DLOT|5ASPD|7RCR|9MDPS|aERES
121	23535 32253	   	206.51	DCR|3VULN|2DMG|1MDPS|1ASPD	138VULN|26DMG|4DLOT|5ASPD|7RCR|9MDPS|aAELBLL
122	23535 12522	   	206.16	DCR|4VULN|1ASPD|1DMG|1ZMB	1369VULN|2DMG|4DLOT|5ASPD|7RCR|8ZMB|aRCVC
123	26533 12234	 * 	205.95	DCR|5VULN|1ASPD|1CDMG	13589VULN|2ASPD|4DLOT|6AME|7RCR|aCDMG
124	26533 32234	   	205.95	DCR|5VULN|1ASPD|1CDMG	13589VULN|2ASPD|4DLOT|6MLV|7RCR|aCDMG
125	26532 12234	   	205.85	DCR|5VULN|1ASPD|1CDMG|1AAC	13689VULN|2ASPD|4DLOT|5AAC|7RCR|aCDMG
126	23535 12261	   	205.84	DCR|4VULN|1ASPD|1DMG|1ZMB	1368VULN|2DMG|4DLOT|5ASPD|7RCR|9LWND|aZMB
127	42253 26312	   	205.55	DCR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3LHND|47MLV|57DMG|6AART|7BPWR|8RCR|9ASPD|aRMIN
128	23535 32115	   	205.55	DCR|3VULN|2DMG|1ASPD|1DUR	13aVULN|26DMG|4DLOT|5ASPD|7RCR|8DUR|9FEWX
