0	Index      	 *	Score 	Summary	Detail	
1	12141 41343	 * 	342.41	DCR|4VULN|3TLV|3DMG|1SELL	178aVULN|2SELL|3CANHEL|48aDMG|58aTLV|6AAC|8aBPWR|9RCR
2	13412 13314	 * 	338.84	DCR|DCR|2VULN|1TLV|2DMG|2DUR	17VULN|2ZMB|37DUR|4TLV|5CGEN|67DMG|7BPWR|8aRCR|9LHND
3	63112 13314	   	338.84	DCR|DCR|2VULN|1TLV|2DMG|2DUR	17DUR|2ZMB|37VULN|4TLV|5CGEN|67DMG|7BPWR|8aRCR|9LHND
4	15612 13334	   	322.76	DCR|DCR|2VULN|1TLV|2DMG	17VULN|27FEWX|3NUKE|4TLV|5CGEN|67DMG|7BPWR|8aRCR|9DUR
5	53112 13314	   	320.14	DCR|DCR|2VULN|1TLV|2DMG	17LWND|2ZMB|37VULN|4TLV|5CGEN|67DMG|7BPWR|8aRCR|9LHND
6	13412 13333	 * 	315.99	DCR|3VULN|1TLV|3DMG|3DUR	17aVULN|2ZMB|37aDUR|4TLV|5CGEN|67aDMG|7aBPWR|8RCR|9RCVC
7	63112 13333	   	315.99	DCR|3VULN|1TLV|3DMG|3DUR	17aDUR|2ZMB|37aVULN|4TLV|5CGEN|67aDMG|7aBPWR|8RCR|9RCVC
8	13612 13334	   	314.40	DCR|DCR|2VULN|1TLV|2DMG|2MSE	17VULN|2ZMB|37MSE|4TLV|5CGEN|67DMG|7BPWR|8aRCR|9DUR
9	15612 13314	   	313.10	DCR|DCR|2VULN|1TLV|2DMG	17VULN|27FEWX|3NUKE|4TLV|5CGEN|67DMG|7BPWR|8aRCR|9LHND
