0	Index      	 *	Score 	Summary	Detail	
1	14612 21126	 * 	371.00	橙2易伤1双倍秒伤1暴击2时间	1赏金塔28易伤37时间4敌人爆炸5额外掉落6暴击9核a双倍秒伤
2	32365 53311	 * 	361.74	紫2易伤1双倍秒伤2等级1暴击1时间	18敌人爆炸2时间3核48等级5暴击6攻速78易伤8序列升级9双倍秒伤a基地爆炸
3	32365 53312	   	361.74	紫2易伤1双倍秒伤2等级1暴击1时间	18敌人爆炸2时间3核48等级5暴击6攻速78易伤8序列升级9双倍秒伤a技能点
4	32365 53313	   	361.74	紫2易伤1双倍秒伤2等级1暴击1时间	18敌人爆炸2时间3核48等级5暴击6攻速78易伤8序列升级9双倍秒伤a最后敌人
5	13415 35232	 * 	359.24	2双倍秒伤2易伤1暴击1伤害1时间	1赏金塔2暴击36易伤4时间5伤害7立即金币8a双倍秒伤9雷电
6	13415 36232	   	359.14	2双倍秒伤2易伤1暴击1伤害1时间	1赏金塔2暴击36易伤4时间5伤害7毒气减费8a双倍秒伤9雷电
7	22463 21115	 * 	357.91	橙2双倍秒伤1易伤1时间	1火球减费2赏金塔3易伤4双倍矿5随机技能6时间7核8a双倍秒伤9技能点
8	32322 46114	 * 	354.79	紫橙4易伤1时间	1敌人爆炸2时间37核45立即金币689a易伤
9	32322 46115	 * 	343.17	紫橙3易伤1暴击1时间	1敌人爆炸2时间37核45立即金币689易伤a暴击
