0	Index      	Bounty	 *	Score 	Summary	Detail	
37	22523 53263	3	   	249.48	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1aLIT|2RCVC|39VULN|4aTLV|5LWND|6DMG|7RCR|8aDUR|aBPWR
38	53313 31165	3	 * 	249.42	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR|1AART|1SELL	1SELL|27TLV|3DMG|4AART|57CDMG|67VULN|7BPWR|8RCVC|9DUR|aRCR
39	53313 31423	3	 * 	249.42	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR|1AART|1SELL	1SELL|27TLV|3DMG|4AART|57CDMG|67VULN|7BPWR|8DUR|9ZMB|aRCR
40	21361 62333	10	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|2LWND|4TLV|579VULN|6CDMG|8RCR|aDMG
41	21121 45122	1	   	248.67	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3LHND|45VULN|5BPWR|6TLV|7CDMG|8ASPD|9RCR|aDMG
42	21421 42533	1	   	248.57	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3DUST|45VULN|5BPWR|6TLV|7DMG|8ASPD|9RCR|aCDMG
43	21435 32633	9	   	248.44	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|2LWND|39aDMG|4MLV|56DUR|7RCR|8aVULN|aBPWR
44	21462 32233	7	   	248.44	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|2LWND|35aDMG|48DUR|6CGEN|7RCR|9aVULN|aBPWR
45	21435 32126	9	 * 	248.08	DCR|2VULN|3DUR|1TLV|1DMG	1LIT|2aLWND|3DMG|4MLV|56aDUR|7RCR|8TLV|9aVULN|aBPWR
46	14622 25231	8	 * 	247.69	DCR|3VULN|2DUR|1TLV	1ASPD|23RCVC|467VULN|56DUR|6BPWR|8LIT|9TLV|aRCR
47	53364 14413	3	 * 	246.25	DCR|2VULN|3DMG|3TLV|1AART|1SELL	1SELL|248TLV|38aDMG|58VULN|6MBVNT|7RCR|8BPWR|9AART
48	23631 64212	1	 * 	246.21	DCR|2VULN|2DUR|1TLV|3LIT|2CDMG	138LIT|2ERES|48CDMG|5TLV|69DUR|78VULN|8BPWR|aRCR
49	53113 31525	3	   	246.10	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	1SELL|27TLV|3ASPD|4AART|57CDMG|678VULN|7BPWR|9LHND|aRCR
50	21121 63113	1	   	246.08	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37LHND|4567VULN|567BPWR|8LWND|9MLV|aRCR
51	21121 63613	1	   	246.08	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37LHND|4567VULN|567BPWR|8FEWX|9MLV|aRCR
52	21321 63113	1	   	246.08	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37BEXP|4567VULN|567BPWR|8LWND|9MLV|aRCR
53	21321 63213	1	   	246.08	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37BEXP|4567VULN|567BPWR|8LHND|9MLV|aRCR
54	21621 63113	1	   	246.08	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37FEWX|4567VULN|567BPWR|8LWND|9MLV|aRCR
55	21621 63213	1	   	246.08	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37FEWX|4567VULN|567BPWR|8LHND|9MLV|aRCR
56	22161 61152	9	   	246.03	DCR|3VULN|2DUR|1TLV|2LIT	19LIT|2RCVC|3MLV|49DUR|579VULN|6RCR|8DMSP|9BPWR|aTLV
57	21425 32221	7	 * 	246.01	DCR|2VULN|3DUR|2DMG|2LIT	1aLIT|2LWND|3aDMG|4RMIN|568DUR|7RCR|9aVULN|aBPWR
58	21121 63313	1	   	245.98	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37LHND|4567VULN|567BPWR|8DUST|9MLV|aRCR
59	21321 63313	1	   	245.98	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37BEXP|4567VULN|567BPWR|8DUST|9MLV|aRCR
60	21323 12535	1	   	245.98	DCR|4VULN|2DUR|3LIT	167LIT|28DUR|37BEXP|4679VULN|5RPLT|67BPWR|aRCR
61	21623 12535	1	   	245.98	DCR|4VULN|2DUR|3LIT	167LIT|28DUR|37FEWX|4679VULN|5RPLT|67BPWR|aRCR
62	21421 63113	1	   	245.88	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37DUST|4567VULN|567BPWR|8LWND|9MLV|aRCR
63	21421 63213	1	   	245.88	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|37DUST|4567VULN|567BPWR|8LHND|9MLV|aRCR
64	51631 51231	3	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|28DUR|348VULN|5CGEN|6TLV|78LIT|8BPWR|9RCR|aLHND
65	51631 51233	3	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|28DUR|348VULN|5CGEN|6TLV|78LIT|8BPWR|9RCR|aMLV
66	51651 11231	5	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|28DUR|348VULN|5TLV|6CGEN|78LIT|8BPWR|9RCR|aLHND
67	51651 11233	5	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|28DUR|348VULN|5TLV|6CGEN|78LIT|8BPWR|9RCR|aMLV
68	21421 63363	1	   	245.78	DCR|4VULN|2DUR|3LIT	156LIT|27DUR|378DUST|4567VULN|567BPWR|9RCVC|aRCR
69	21423 12535	1	   	245.78	DCR|4VULN|2DUR|3LIT	167LIT|28DUR|37DUST|4679VULN|5RPLT|67BPWR|aRCR
70	22561 63113	8	   	245.75	DCR|4VULN|1TLV|1DUR	1LIT|2RCVC|357aVULN|4MLV|6RCR|8TLV|9DUR
71	22561 63133	9	   	245.75	DCR|4VULN|1TLV|1DUR	1LIT|2RCVC|357aVULN|4MLV|6RCR|8TLV|9DUR
72	21124 66122	1	   	245.74	DCR|4VULN|2DUR|3LIT|1SELL	168LIT|25DUR|38LHND|4678VULN|68BPWR|9SELL|aRCR
73	22223 66122	5	   	245.74	DCR|4VULN|2DUR|3LIT|1SELL	168LIT|2RCVC|3LHND|48DUR|5678VULN|68BPWR|9SELL|aRCR
74	25223 66122	5	   	245.74	DCR|4VULN|2DUR|3LIT|1SELL	168LIT|2DMSP|3LHND|48DUR|5678VULN|68BPWR|9SELL|aRCR
75	15236 31315	1	   	245.70	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9BEXP|aDUR
76	15236 31335	1	   	245.70	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9FEWX|aDUR
77	15336 31315	1	   	245.70	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9BEXP|aDUR
78	15336 31335	1	   	245.70	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9FEWX|aDUR
79	51631 51232	3	   	245.68	DCR|3VULN|2DUR|1TLV|2LIT|1NUKE|1SELL	1SELL|28DUR|348VULN|5CGEN|6TLV|78LIT|8BPWR|9RCR|aNUKE
80	51651 11232	5	   	245.68	DCR|3VULN|2DUR|1TLV|2LIT|1NUKE|1SELL	1SELL|28DUR|348VULN|5TLV|6CGEN|78LIT|8BPWR|9RCR|aNUKE
81	22623 66122	5	   	245.64	DCR|4VULN|2DUR|3LIT|1SELL	168LIT|2RCVC|3DUST|48DUR|5678VULN|68BPWR|9SELL|aRCR
82	21121 64322	1	   	245.64	DCR|4VULN|2DUR|3LIT|1SELL	156LIT|28DUR|3LHND|4567VULN|56BPWR|9SELL|aRCR
83	21321 64322	1	   	245.64	DCR|4VULN|2DUR|3LIT|1SELL	156LIT|28DUR|3BEXP|4567VULN|56BPWR|9SELL|aRCR
84	21621 64322	1	   	245.64	DCR|4VULN|2DUR|3LIT|1SELL	156LIT|28DUR|3FEWX|4567VULN|56BPWR|9SELL|aRCR
85	14631 11142	3	   	245.60	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	18ASPD|23RCVC|4BBNT|5TLV|68DMG|78VULN|8BPWR|9DUR|aRCR
