0	Index      	 *	Score 	Summary	Detail	
172	63134 33151	   	173.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1RPLT|26VULN|3DMG|49AART|5RCR|7DUR|8ZMB|aFEWX
173	63134 31235	   	173.65	ACR|3VULN|1AART|1DMG|1CDMG	1RPLT|26aVULN|3DMG|4AART|5RCR|7FEWX|8ERES|9CDMG
174	63134 34223	   	173.48	ACR|2AART|2VULN|2DMG	18RPLT|26VULN|37DMG|49AART|5RCR|aBEXP
175	63134 34221	   	173.38	ACR|2AART|2VULN|2DMG	18RPLT|26VULN|37DMG|49AART|5RCR|aDUST
176	33363 24152	   	173.26	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1CANSTR|2AART|3aDMG|4VULN|5ERES|6RCR|7aCGEN|8ZMB|9aDUR|aBPWR
177	14136 26311	   	173.06	DCR|3VULN|3DMG|1ASPD	17DUST|2RPLT|367DMG|4DMSP|579VULN|7BPWR|8RCR|aASPD
178	36413 26221	   	173.01	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1CANSTR|2ZMB|3LHND|47DMG|5AART|6RCR|8DUR|9VULN|aASPD
179	63133 12154	   	172.98	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|29aVULN|3DMG|4AART|5LIT|6ERES|7RCR|8ZMB
180	36111 22783	 * 	172.97	DCR|4VULN|3ZMB|1DMG	18aCANSTR|28aZMB|3BEXP|4DMG|578aVULN|6MBVNT|8aBPWR|9RCR
181	33451 22153	 * 	172.96	DCR|3ZMB|1AART|1VULN|1DMG|2DUR	1aCANSTR|2AART|3VULN|48aZMB|5DMG|6RCR|7TLV|9aDUR|aBPWR
182	33214 42513	 * 	172.84	DCR|4VULN|3AART	1aCANSTR|289AART|3aDUST|456aVULN|7RCR|aBPWR
