0	Index      	 *	Score 	Summary	Detail	
53	33251 22261	   	181.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CANSTR|2AART|3DUST|4ZMB|5aDMG|6RCR|7VULN|8DUR|9CDMG
54	63134 33135	 * 	181.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1RPLT|26VULN|3DMG|4AART|5RCR|7aDUR|8ZMB|9CDMG
55	33345 22161	   	181.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19CANSTR|2AART|39DMG|4TLV|5DUR|6RCR|79VULN|8LEGI|9BPWR|aASPD
56	33354 32122	   	181.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1CANSTR|2AART|3aDMG|4DUR|5RCR|6CGEN|7aTLV|8ZMB|9aVULN|aBPWR
57	33354 34122	   	181.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1CANSTR|2AART|3aDMG|4DUR|5RCR|6CGEN|7aERES|8ZMB|9aVULN|aBPWR
58	33363 26411	   	181.06	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|37DMG|4aVULN|5ERES|6RCR|8CDMG|9LHND
59	33411 25263	   	181.06	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|38VULN|4TLV|5aDMG|6RCR|7DMSP|9CDMG
60	33411 26261	   	181.06	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|38VULN|4TLV|57DMG|6RCR|9CDMG|aDMSP
61	33411 26411	   	181.06	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|3aVULN|4TLV|57DMG|6RCR|8CDMG|9LHND
62	33354 53122	   	180.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1CANSTR|2AART|3aDMG|4DUR|5RCR|6TLV|7aERES|8ZMB|9aVULN|aBPWR
63	33341 22162	   	180.96	DCR|2VULN|2DMG|1AART|1FLTHEA	19CANSTR|2AART|39DMG|4TLV|5DUST|6RCR|79VULN|8LEGI|9BPWR|aFLTHEA
64	33363 26151	   	180.96	DCR|2DMG|2VULN|1AART|1CDMG	1CANSTR|2AART|37DMG|4aVULN|5ERES|6RCR|8LEGI|9CDMG
65	33411 22263	   	180.96	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|38VULN|47TLV|5aDMG|6RCR|9CDMG
66	33411 26151	   	180.96	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|3aVULN|4TLV|57DMG|6RCR|8LEGI|9CDMG
67	33411 26262	   	180.96	DCR|2VULN|2DMG|1AART|1CDMG	1CANSTR|2AART|38VULN|4TLV|57DMG|6RCR|9CDMG|aDUST
68	33363 26423	   	180.73	DCR|3DMG|1AART|1VULN|1CDMG	1CANSTR|2AART|37aDMG|4VULN|5ERES|6RCR|8CDMG|9RCVC
69	33411 26423	   	180.73	DCR|3DMG|1AART|1VULN|1CDMG	1CANSTR|2AART|3VULN|4TLV|57aDMG|6RCR|8CDMG|9RCVC
70	36423 26222	   	180.67	DCR|2VULN|2DMG|1AART|2ZMB	1CANSTR|2aZMB|3LHND|4MLV|5AART|6RCR|7aDMG|8TLV|9aVULN|aBPWR
71	63134 33235	 * 	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|26aVULN|3DMG|4AART|5RCR|7DUR|8ERES|9CDMG
72	63134 11233	 * 	180.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1RPLT|27VULN|3DMG|49AART|5RCR|6LIT|8CDMG|aZMB
73	63134 35133	   	180.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1RPLT|26VULN|3DMG|4aAART|5RCR|7LHND|8ZMB|9CDMG
74	63131 33624	   	180.49	DCR|2AART|2VULN|2DMG|2DUR	1RPLT|26VULN|38DMG|49AART|57DUR|aRCR
75	33451 26121	   	179.82	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|39VULN|4ZMB|57DMG|6RCR|8LHND|aRCVC
76	33451 26221	   	179.82	DCR|2VULN|2DMG|1AART|1ZMB	1CANSTR|2AART|39VULN|4ZMB|57DMG|6RCR|8LWND|aRCVC
77	36115 22261	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CANSTR|2ZMB|3BEXP|4aDMG|5AART|6RCR|7VULN|8DUR|9CDMG
78	63133 52521	   	179.67	DCR|3VULN|2DMG|1AART	1RPLT|289VULN|36DMG|4AART|5aLIT|7RCR
79	63133 52522	   	179.67	DCR|3VULN|2DMG|1AART	1aRPLT|289VULN|36DMG|4AART|5LIT|7RCR
80	63133 52523	   	179.67	DCR|3VULN|2DMG|1AART	1RPLT|289VULN|36DMG|4AART|5LIT|7RCR|aLHND
81	63134 33142	   	179.65	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|26aVULN|3DMG|4AART|5RCR|7DUR|8ZMB|9RCVC
82	63131 34134	   	179.41	DCR|3VULN|2DMG|1AART|1DUR	19RPLT|268VULN|37DMG|4AART|5DUR|aRCR
83	63134 34132	   	178.99	ACR|3VULN|2DMG|1AART	19RPLT|268VULN|37DMG|4AART|5RCR|aRCVC
84	33461 26212	   	178.96	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|38VULN|4MLV|57DMG|6RCR|aRMIN
85	33561 26212	   	178.96	DCR|2AART|2VULN|2DMG	1CANSTR|29AART|3MLV|48VULN|57DMG|6RCR|aRMIN
