0	Index      	 *	Score 	Summary	Detail	
38	32613 43422	   	269.50	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2FEWX|3VULN|4DUR|5LEGI|6DUST|7aRCR|8ASPD|9MLV
39	32232 32422	   	268.87	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|26FEWX|3MDPS|4aRCR|56VULN|6BPWR|7DUR|8ASPD|9MLV
40	32232 62422	   	268.77	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|2FEWX|3MDPS|4aRCR|56VULN|7DUR|8ASPD|9MLV
41	33232 62422	   	268.77	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|2LWND|3MDPS|4aRCR|56VULN|7DUR|8ASPD|9MLV
42	42143 34322	 * 	267.86	DCR|DCR|2DMG|1VULN|1RPLT	13LHND|23DMG|3BPWR|4VULN|5TLV|6BBNT|7aRCR|8DUST|9RPLT
43	12141 24322	   	267.76	DCR|DCR|2DMG|1VULN|1RPLT	13LWND|23DMG|3BPWR|4VULN|5TBNT|6AME|7aRCR|8DUST|9RPLT
44	42141 24322	   	267.76	DCR|DCR|2DMG|1VULN|1RPLT	13LHND|23DMG|3BPWR|4VULN|5TBNT|6AME|7aRCR|8DUST|9RPLT
45	33331 15312	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|24LWND|3BBNT|5VULN|6aRCR|7DUST|8DMG|9MLV
46	33332 13112	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|24LWND|3BBNT|5DUST|6aRCR|7DMG|8VULN|9MLV
47	33631 15312	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|24LWND|3TBNT|5VULN|6aRCR|7DUST|8DMG|9MLV
48	33632 13112	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|24LWND|3TBNT|5DUST|6aRCR|7DMG|8VULN|9MLV
49	23133 17862	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AME|2MLV|3AART|4BELT|5MBVNT|6RMIN|7VULN|89RCR|aDMG
50	32232 36222	   	266.98	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|26FEWX|3MDPS|4aRCR|56VULN|6BPWR|7DMG|8LWND|9MLV
51	32232 36422	   	266.98	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|26FEWX|3MDPS|4aRCR|56VULN|6BPWR|7DMG|8LHND|9MLV
52	53321 33132	   	266.98	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1DMSP|2RPLT|3MLV|4aRCR|5BEXP|6TBNT|78VULN|9DMG
53	53321 63132	   	266.98	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1DMSP|2RPLT|3MLV|4aRCR|5BEXP|6BBNT|78VULN|9DMG
54	53322 46232	   	266.98	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1DMSP|2RPLT|3MLV|4aRCR|58VULN|6FEWX|7DMG|9BBNT
55	32232 66222	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2FEWX|3MDPS|4aRCR|56VULN|7DMG|8LWND|9MLV
56	32232 66422	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2FEWX|3MDPS|4aRCR|56VULN|7DMG|8LHND|9MLV
57	33232 21122	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2LWND|3MDPS|4aRCR|58VULN|6DMG|7LHND|9MLV
58	33232 66122	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2LWND|3MDPS|4aRCR|56VULN|7DMG|8BEXP|9MLV
59	33232 66622	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2LWND|3MDPS|4aRCR|56VULN|7DMG|8FEWX|9MLV
60	33232 66322	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2LWND|3MDPS|4aRCR|56VULN|7DMG|8DUST|9MLV
61	33232 66422	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2LWND|3MDPS|4aRCR|56VULN|7DMG|8LEGI|9MLV
62	32521 23422	   	266.49	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2FEWX|3LWND|4MDPS|5VULN|7aRCR|8ASPD|9MLV
63	32623 23422	   	266.49	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2FEWX|3VULN|4MDPS|5LHND|7aRCR|8ASPD|9MLV
64	33121 23422	   	266.49	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2LWND|3BEXP|4MDPS|5VULN|7aRCR|8ASPD|9MLV
65	33421 23422	   	266.49	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2LWND|3FEWX|4MDPS|5VULN|7aRCR|8ASPD|9MLV
66	33241 23422	   	266.39	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2LWND|3MDPS|4DUST|5VULN|7aRCR|8ASPD|9MLV
67	33521 23422	   	266.39	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2LWND|3DUST|4MDPS|5VULN|7aRCR|8ASPD|9MLV
68	31521 23422	   	266.29	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	16RPLT|2LEGI|3DUST|4MDPS|5VULN|7aRCR|8ASPD|9MLV
69	23311 41366	   	265.96	DCR|DCR|2VULN|1MLV	1AME|2MLV|3RCVC|4AAC|56VULN|7aRCR|8BEXP|9DLOT
70	23311 41166	   	265.86	DCR|DCR|2VULN|1MLV	1AME|2MLV|3RCVC|4AAC|56VULN|7aRCR|8DUST|9DLOT
