0	Index      	 *	Score 	Summary	Detail	
1	41233 14225	 * 	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BBNT|2RPLT|3AEWIND|4TLV|56VULN|7RCR|8DMG|9DUR|aMDPS
2	41333 14225	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BBNT|2RPLT|3AEBURN|4TLV|56VULN|7RCR|8DMG|9DUR|aMDPS
3	22211 43145	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1CGEN|2ZMB|3FEWX|489VULN|5DUR|6RCR|7AIRHEA|aMDPS
4	22311 43145	   	374.83	DCR|3VULN|1MDPS|1DUR	1CGEN|2ZMB|3DUST|489VULN|5DUR|6RCR|7AIRHEA|aMDPS
5	12211 43125	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2ZMB|39FEWX|48VULN|5DUR|6RCR|7AIRHEA|aMDPS
6	12421 43125	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2ZMB|38VULN|49FEWX|5DUR|6RCR|7AIRHEA|aMDPS
7	16121 43125	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|28VULN|3ZMB|49FEWX|5DUR|6RCR|7AIRHEA|aMDPS
8	41233 53325	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2RPLT|3AEWIND|4TLV|59VULN|6DUR|7RCR|8CGEN|aMDPS
9	41333 53325	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2RPLT|3AEBURN|4TLV|59VULN|6DUR|7RCR|8CGEN|aMDPS
10	43121 63341	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2BOSS|3TLV|4DUR|5AAC|6RCR|7AETHUN|89VULN|aMDPS
11	12211 43155	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2ZMB|3FEWX|48VULN|5DUR|6RCR|7AIRHEA|9AEPOI|aMDPS
12	12311 43155	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2ZMB|3DUST|48VULN|5DUR|6RCR|7AIRHEA|9AEPOI|aMDPS
