0	Index      	 *	Score 	Summary	Detail	
37	43441 31123	 * 	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1AIRARM|2AART|3ERES|4aVULN|5RCR|6ASPD|7BEXP|8CDMG|9FEWX
38	43441 33133	   	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1AIRARM|2AART|3ERES|4aVULN|5RCR|6ASPD|7CDMG|8FEWX|9BEXP
39	63441 31123	   	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1SPLREG|2AART|3ERES|4aVULN|5RCR|6ASPD|7BEXP|8CDMG|9FEWX
40	63441 33133	   	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1SPLREG|2AART|3ERES|4aVULN|5RCR|6ASPD|7CDMG|8FEWX|9BEXP
41	32145 11623	 * 	172.51	DCR|3DMG|1BASARM|1ASPD	15LWND|234DMG|6MDPS|7ASPD|8ERES|9BASARM|aRCR
42	43362 42321	   	172.49	ACR|1BASARM|2AART|1CDMG	1AIRARM|27AART|38DUST|4RCR|5RMIN|6ERES|9BASARM|aCDMG
43	63362 42321	   	172.49	ACR|1BASARM|2AART|1CDMG	1SPLREG|27AART|38DUST|4RCR|5RMIN|6ERES|9BASARM|aCDMG
44	32345 11623	   	172.41	DCR|3DMG|1BASARM|1ASPD	1LWND|245DMG|3AEFBLL|6MDPS|7ASPD|8ERES|9BASARM|aRCR
45	32421 15226	 * 	172.21	DCR|2ASPD|2DMG|1VULN|1BEXP|1AART	1LWND|28DMG|3BEXP|4AART|57ASPD|6VULN|9AIRHEL|aRCR
46	43441 33313	 * 	171.66	ACR|1VULN|2AART|1ASPD|1BEXP|1CDMG	1AIRARM|2aAART|3ERES|4VULN|5RCR|6ASPD|7CDMG|8TLV|9BEXP
47	63441 33313	   	171.66	ACR|1VULN|2AART|1ASPD|1BEXP|1CDMG	1SPLREG|2aAART|3ERES|4VULN|5RCR|6ASPD|7CDMG|8TLV|9BEXP
48	25335 35333	 * 	171.48	ACR|2BEXP|1ASPD|1DMG|1VULN	1DMSP|2CGEN|3RCVC|4RCR|5DMG|6aBEXP|7ASPD|8LIT|9VULN
49	25336 11611	 * 	171.09	ACR|1BASARM|1ASPD|1VULN	1DMSP|2CGEN|38RCVC|4RCR|5FLTFST|6RPLT|7BASARM|9ASPD|aVULN
50	26336 11611	   	170.99	ACR|1BASARM|1ASPD|1VULN	1DMSP|2AME|38RCVC|4RCR|5FLTFST|6RPLT|7BASARM|9ASPD|aVULN
51	12551 43113	 * 	170.66	3VULN|2ASPD|2DMG|1AART|1BEXP|1CDMG	1DUST|28DMG|3CDMG|4BEXP|58ASPD|6LIT|78aVULN|8BPWR|9AART
52	43363 51312	   	170.46	ACR|1ASPD|1DMG|1VULN|1AART|1CDMG	1AIRARM|2AART|37DUST|4RCR|5CDMG|6MDPS|8DMG|9ASPD|aVULN
53	43365 23312	   	170.46	ACR|1ASPD|1DMG|1VULN|1AART|1CDMG	1AIRARM|2AART|35DUST|4RCR|6DMG|7MDPS|8CDMG|9ASPD|aVULN
54	63363 51312	   	170.46	ACR|1ASPD|1DMG|1VULN|1CDMG|1AART	1SPLREG|2AART|37DUST|4RCR|5CDMG|6MDPS|8DMG|9ASPD|aVULN
55	63365 23312	   	170.46	ACR|1ASPD|1DMG|1VULN|1CDMG|1AART	1SPLREG|2AART|35DUST|4RCR|6DMG|7MDPS|8CDMG|9ASPD|aVULN
56	25335 12243	 * 	169.95	ACR|1BASARM|1VULN|1DMG	1DMSP|2CGEN|3RCVC|4RCR|5DMG|6MLV|7VULN|8LEGI|9BELT|aBASARM
57	25336 31126	   	169.95	ACR|1BASARM|1VULN|1DMG	1DMSP|2CGEN|3RCVC|4RCR|5FLTFST|6MLV|7VULN|8LIT|9BASARM|aDMG
58	26335 12243	   	169.85	ACR|1BASARM|1VULN|1DMG	1DMSP|2AME|3RCVC|4RCR|5DMG|6MLV|7VULN|8LEGI|9BELT|aBASARM
59	25336 11233	   	169.85	ACR|1BASARM|1ASPD|1VULN	1DMSP|2CGEN|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9VULN|aASPD
60	25336 11235	   	169.85	ACR|1BASARM|1DMG|1VULN	1DMSP|2CGEN|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9VULN|aDMG
61	26336 11233	   	169.75	ACR|1BASARM|1ASPD|1VULN	1DMSP|2AME|3RCVC|4RCR|5FLTFST|6RPLT|7BASARM|8SPLARM|9VULN|aASPD
