0	Index      	 *	Score 	Summary	Detail	
36	36312 13536	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3aLHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM
37	56312 13531	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
38	56312 13533	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aNUKE
39	66312 13531	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1CGEN|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
40	36312 13531	   	193.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
41	36312 13533	   	193.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aNUKE
42	63125 42233	 * 	193.46	ACR|1BASARM|2DMG|1VULN	1CGEN|2MDPS|3RCR|4SNITOX|5RMIN|6VULN|7FLTARM|8aDMG|9BASARM
43	21515 21222	   	192.74	ACR|1BASARM|1VULN|1ASPD|1DMG	1RMIN|2VULN|3CGEN|4RCR|5DMG|6MDPS|7BELT|8ASPD|9RCVC|aBASARM
44	21315 21222	   	192.64	ACR|1BASARM|1VULN|1ASPD|1DMG	1RMIN|2VULN|3ERES|4RCR|5DMG|6MDPS|7BELT|8ASPD|9RCVC|aBASARM
45	33145 61232	   	192.61	ACR|3VULN|1BASARM|1ASPD	1TLV|2MDPS|3RCR|459VULN|6FEWX|7BELT|8ASPD|aBASARM
46	33141 44232	   	192.61	ACR|3VULN|1BASARM|1ASPD	1TLV|2MDPS|3RCR|479VULN|5BELT|6FEWX|8ASPD|aBASARM
47	21316 53432	   	192.58	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|67ASPD|8DUR|9AART|aDMG
48	21315 53632	   	192.48	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5aDMG|6BEXP|7ASPD|8AME|9AART
49	21315 53633	   	192.48	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5DMG|6BEXP|7aASPD|8AME|9AART
50	34315 53232	   	192.38	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1TLV|2VULN|3ERES|4RCR|5BEXP|67ASPD|8DUST|9AART|aDMG
51	11315 52422	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1FEWX|237LWND|4RCR|5AAC|6BEXP|8VULN|9BASARM|aDMG
52	21516 13262	   	192.13	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1RMIN|2VULN|3CGEN|4RCR|5BEXP|6AAC|7ASPD|8DUR|9BELT|aBASARM
53	21316 13262	   	192.03	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1RMIN|2VULN|3ERES|4RCR|5BEXP|6AAC|7ASPD|8DUR|9BELT|aBASARM
54	15315 13532	 * 	191.96	ACR|1BASARM|2ASPD|1DMG	1FEWX|2ERES|3aCGEN|4RCR|5DMG|6DUR|78ASPD|9BASARM
55	15315 13533	   	191.96	ACR|1BASARM|2ASPD|1DMG	1FEWX|2ERES|3CGEN|4RCR|5DMG|6aDUR|78ASPD|9BASARM
56	15315 13531	   	191.86	ACR|1BASARM|2ASPD|1DMG	1FEWX|2ERES|3CGEN|4RCR|5DMG|6DUR|78ASPD|9BASARM|aMDPS
57	63136 62122	   	191.83	ACR|1BASARM|1DMG|1VULN|1BEXP	17CGEN|2MDPS|3RCR|4RCVC|5BEXP|6BELT|8DMG|9VULN|aBASARM
58	53146 11332	   	191.60	ACR|3VULN|1BASARM|1BEXP|1AAC	1MLV|2MDPS|3RCR|469VULN|5BEXP|7BELT|8AAC|aBASARM
59	63143 11332	   	191.60	ACR|3VULN|1BASARM|1BEXP|1AAC	1CGEN|2MDPS|3RCR|469VULN|5BEXP|7BELT|8AAC|aBASARM
60	21316 53235	 * 	191.58	ACR|3ASPD|1VULN|1DMG|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|678ASPD|9LHND|aDMG
61	33146 11332	   	191.50	ACR|3VULN|1BASARM|1BEXP|1AAC	1TLV|2MDPS|3RCR|469VULN|5BEXP|7BELT|8AAC|aBASARM
62	21316 43325	   	191.48	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|6FLTARM|79ASPD|8DMG|aAART
63	21316 43335	   	191.48	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|6FLTARM|7ASPD|89DMG|aAART
64	23313 33153	 * 	191.25	ACR|3ASPD|2VULN|1AART	1RMIN|29ERES|3DUR|4RCR|5RPLT|69aASPD|7AART|89VULN|9BPWR
65	11311 52422	   	191.24	ACR|1BASARM|1VULN|1ASPD|1DMG	1FEWX|237LWND|4RCR|5LHND|6ASPD|8VULN|9BASARM|aDMG
66	21315 13436	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1RMIN|2VULN|3ERES|4RCR|5DMG|6DUR|7ASPD|8LIT|9RPLT|aBASARM
67	21515 21152	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	1RMIN|2VULN|3CGEN|4RCR|5DMG|6MDPS|78BELT|9ASPD|aBASARM
68	21515 21212	   	191.14	ACR|1BASARM|1VULN|1ASPD|1DMG	19RMIN|2VULN|3CGEN|4RCR|5DMG|6MDPS|7BELT|8ASPD|aBASARM
69	23213 33151	 * 	191.05	ACR|2VULN|2ASPD|2AART	1RMIN|29ERES|3LWND|4RCR|5RPLT|69ASPD|7aAART|89VULN|9BPWR
70	21315 21212	   	191.04	ACR|1BASARM|1VULN|1ASPD|1DMG	19RMIN|2VULN|3ERES|4RCR|5DMG|6MDPS|7BELT|8ASPD|aBASARM
71	56312 13335	   	190.91	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1MLV|2ERES|3LHND|4RCR|5BEXP|6AAC|7ASPD|8DMSP|9BASARM|aAART
72	66312 13335	   	190.91	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1CGEN|2ERES|3LHND|4RCR|5BEXP|6AAC|7ASPD|8DMSP|9BASARM|aAART
73	36312 13335	   	190.81	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|7ASPD|8DMSP|9BASARM|aAART
74	36312 13635	   	190.71	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	18TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|7ASPD|9BASARM|aAART
75	53136 12633	 * 	190.70	ACR|1BASARM|2BEXP|1DMG	1MLV|2MDPS|3RCR|4RCVC|57BEXP|68TLV|9BASARM|aDMG
76	21516 23151	   	190.62	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1RMIN|2VULN|3CGEN|4RCR|5BEXP|6DUR|7AART|8MDPS|9AAC|aBASARM
77	21316 23151	   	190.52	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1RMIN|2VULN|3ERES|4RCR|5BEXP|6DUR|7AART|8MDPS|9AAC|aBASARM
78	36413 33121	   	189.62	ACR|1BASARM|1VULN|1ASPD|1AART	1TLV|2ERES|3DUR|4RCR|5RPLT|6ASPD|7AART|8VULN|9LIT|aBASARM
79	63136 26112	 * 	189.54	ACR|3BEXP|1ASPD|1DMG|1AART	16CGEN|2MDPS|3RCR|4RCVC|568BEXP|6BPWR|7ASPD|9AART|aDMG
80	53116 23511	 * 	189.32	ACR|2BEXP|1VULN|1DMG|1AART|1CDMG	1MLV|2MDPS|3RCR|46AEMAG|56BEXP|6BPWR|7AART|8VULN|9DMG|aCDMG
81	63116 23511	   	189.32	ACR|2BEXP|1VULN|1DMG|1AART|1CDMG	1CGEN|2MDPS|3RCR|46AEMAG|56BEXP|6BPWR|7AART|8VULN|9DMG|aCDMG
82	12611 26363	 * 	188.82	ACR|1BASARM|1VULN|1DMG|1AART	1FEWX|2DMSP|356LHND|4RCR|7VULN|8AART|9BASARM|aDMG
83	11312 53522	   	188.76	ACR|1BASARM|2ASPD|1VULN	1FEWX|238LWND|4RCR|5VULN|67ASPD|9BASARM|aVENTOX
84	11312 53524	   	188.76	ACR|1BASARM|2ASPD|1VULN	1FEWX|238LWND|4RCR|5VULN|67ASPD|9BASARM|aDUR
85	11312 53525	   	188.76	ACR|1BASARM|2ASPD|1VULN	1aFEWX|238LWND|4RCR|5VULN|67ASPD|9BASARM
86	11312 53526	   	188.76	ACR|1BASARM|2ASPD|1VULN	1FEWX|238LWND|4RCR|5VULN|67ASPD|9BASARM|aZMB
87	12412 53532	   	188.76	ACR|1BASARM|2ASPD|1VULN	1FEWX|2DMSP|3DUR|4RCR|5VULN|67ASPD|8ZMB|9BASARM|aCGEN
88	12412 53531	   	188.66	ACR|1BASARM|2ASPD|1VULN	1FEWX|2DMSP|3DUR|4RCR|5VULN|67ASPD|8ZMB|9BASARM|aMDPS
89	12412 53533	   	188.66	ACR|1BASARM|2ASPD|1VULN	1FEWX|2DMSP|3DUR|4RCR|5VULN|67ASPD|8ZMB|9BASARM|aNUKE
90	63116 62122	   	188.62	ACR|1BASARM|1DMG|1VULN|1BEXP	17CGEN|2MDPS|3RCR|4AEMAG|5BEXP|6BELT|8DMG|9VULN|aBASARM
91	53135 53331	   	188.30	ACR|1BASARM|2ASPD|1AAC	1MLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8CGEN|9BASARM|aRMIN
92	53135 53332	   	188.30	ACR|1BASARM|2ASPD|1AAC	1MLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8aCGEN|9BASARM
93	53135 53333	   	188.30	ACR|1BASARM|2ASPD|1AAC	1MLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8CGEN|9BASARM|aDUR
94	33135 53331	   	188.20	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8CGEN|9BASARM|aRMIN
95	33135 53332	   	188.20	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8aCGEN|9BASARM
96	33135 53333	   	188.20	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8CGEN|9BASARM|aDUR
97	33135 53334	   	188.20	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8CGEN|9BASARM|aBELT
98	21316 23333	   	188.17	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1RMIN|2VULN|3ERES|4RCR|5BEXP|6DUR|7AART|8CDMG|9aASPD
99	33135 53335	   	188.10	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|67ASPD|8CGEN|9BASARM|aDUST
100	33135 63531	   	188.10	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|6ERES|78ASPD|9BASARM|aRMIN
101	33135 63532	   	188.10	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|6ERES|78ASPD|9BASARM|aCGEN
102	63143 41332	   	188.10	ACR|1BASARM|2VULN|1BEXP|1AAC	1CGEN|2MDPS|3RCR|49VULN|5BEXP|6RCVC|7BELT|8AAC|aBASARM
103	33135 63533	   	188.00	ACR|1BASARM|2ASPD|1AAC	1TLV|2MDPS|3RCR|4RCVC|5AAC|6ERES|78ASPD|9BASARM|aNUKE
104	33146 41332	   	188.00	ACR|1BASARM|2VULN|1BEXP|1AAC	1TLV|2MDPS|3RCR|49VULN|5BEXP|6RCVC|7BELT|8AAC|aBASARM
105	63116 21152	 * 	187.69	ACR|1BASARM|2BEXP|1ASPD	1CGEN|2MDPS|3RCR|46AEMAG|56BEXP|6BPWR|78BELT|9ASPD|aBASARM
106	21515 23331	   	187.62	ACR|1BASARM|1VULN|1DMG|1AART	1RMIN|2VULN|3CGEN|4RCR|5DMG|6MDPS|7LWND|8DUST|9AART|aBASARM
107	21315 23331	   	187.52	ACR|1BASARM|1VULN|1DMG|1AART	1RMIN|2VULN|3ERES|4RCR|5DMG|6MDPS|7LWND|8DUST|9AART|aBASARM
108	53116 12633	   	187.49	ACR|1BASARM|2BEXP|1DMG	1MLV|2MDPS|3RCR|4AEMAG|57BEXP|68TLV|9BASARM|aDMG
