0	Index      	 *	Score 	Summary	Detail	
35	43265 11113	   	199.47	ACR|2BASARM|2BEXP|1AART|1AAC	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MLV|9AAC|aDUR
36	43262 22513	   	199.19	ACR|1BASARM|2ASPD|1BEXP|1AART	1AART|2BEXP|3DUST|4RCR|56FEWX|78ASPD|9RPLT|aBASARM
37	43262 12351	   	198.31	ACR|2ASPD|2BEXP|2AART|1DMG	16AART|28BEXP|3DUST|4RCR|58FEWX|78ASPD|8BPWR|9DMG|aLHND
38	43262 12352	   	198.31	ACR|2ASPD|2BEXP|2AART|1DMG	16AART|28BEXP|3DUST|4RCR|58aFEWX|78ASPD|8BPWR|9DMG
39	43165 11231	   	198.10	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9DMSP|aVULN
40	43165 11221	   	198.00	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aNUKE
41	43165 11222	   	198.00	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aERES
42	43165 11224	   	198.00	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aDUST
43	43265 11231	   	198.00	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9DMSP|aVULN
44	43265 11221	   	197.90	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aNUKE
45	43265 11222	   	197.90	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aERES
46	43265 11224	   	197.90	ACR|2BASARM|2BEXP|1AART	1AART|27BEXP|3aDUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN
47	43165 21123	   	197.07	ACR|1BASARM|2BEXP|1AART|1CDMG	1AART|28BEXP|3FEWX|4RCR|5BASARM|6DUR|7LIT|9VULN|aCDMG
48	43165 12223	   	196.97	ACR|1BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3FEWX|4RCR|5BASARM|6LIT|8MBVNT|9VULN|aCDMG
49	43265 12123	   	196.97	ACR|1BASARM|2BEXP|1AART|1CDMG	1AART|28BEXP|3DUST|4RCR|5BASARM|6LIT|7FEWX|9VULN|aCDMG
50	43265 21123	   	196.97	ACR|1BASARM|2BEXP|1AART|1CDMG	1AART|28BEXP|3DUST|4RCR|5BASARM|6DUR|7LIT|9VULN|aCDMG
51	43265 13223	   	196.87	ACR|1BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3DUST|4RCR|5BASARM|6LIT|8MBVNT|9VULN|aCDMG
