0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33535 12113	8	 * 	308.91	DCR|5VULN|3ASPD|2DUR|2TLV	12489VULN|34aASPD|4aBPWR|5aDUR|6RCR|7aTLV
2	33535 12613	7	   	308.91	DCR|5VULN|3ASPD|2DUR|2TLV	12489VULN|34aASPD|4aBPWR|5aDUR|6RCR|7aTLV
3	33535 12113	10	   	296.00	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	1248VULN|34ASPD|4BPWR|59DUR|6RCR|7TLV|aDMG
4	33312 56353	2	 * 	295.76	DCR|5VULN|2DMG|2DUR	1239aVULN|4RCVC|5RPLT|6RCR|79DUR|89DMG|9BPWR
5	33332 56352	2	   	295.66	DCR|5VULN|2DMG|2DUR	12349VULN|5RPLT|6RCR|79DUR|89DMG|9BPWR|aMBVNT
6	33332 56353	2	   	295.66	DCR|5VULN|2DMG|2DUR	12349VULN|5RPLT|6RCR|79DUR|89DMG|9BPWR|aTBNT
7	33535 12114	10	   	295.48	DCR|5VULN|2DUR|2ASPD|1TLV	1248aVULN|34ASPD|4BPWR|59DUR|6RCR|7TLV
8	33622 12244	10	   	293.29	DCR|5VULN|1DMG|1TLV|1DUR|1CDMG	12489VULN|3CDMG|5TLV|6DMG|7DUR|aRCR
9	33535 13512	6	 * 	292.41	DCR|4VULN|2DMG|2ASPD|1DUR	1249VULN|34ASPD|4BPWR|5DUR|6RCR|78DMG|aAART
10	33535 11221	7	 * 	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	124aVULN|34aASPD|4aBPWR|5DUR|6RCR|7LWND|8aDMG|9BBNT
11	33535 11221	6	   	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	124aVULN|34aASPD|4aBPWR|5DUR|6RCR|7LWND|8aDMG|9BBNT
12	33535 15221	7	   	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	124aVULN|34aASPD|4aBPWR|5DUR|6RCR|7FEWX|8aDMG|9BBNT
13	33535 15221	6	   	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	124aVULN|34aASPD|4aBPWR|5DUR|6RCR|7BEXP|8aDMG|9BBNT
14	33535 15221	8	   	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	124aVULN|34aASPD|4aBPWR|5DUR|6RCR|7FEWX|8aDMG|9BBNT
15	33536 14221	7	   	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	124aVULN|34aASPD|4aBPWR|5BEXP|6RCR|7DUR|8aDMG|9BBNT
