0	Index      	 *	Score 	Summary	Detail	
34	26211 33463	   	188.02	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37FEWX|47DMG|5AART|7BPWR|8RCR|9ERES|aDUR
35	26311 33415	   	188.02	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9DUR|aERES
36	26311 33463	   	188.02	DCR|2VULN|2DMG|1AART|2FLTHEA|1DUR	17FLTHEA|26VULN|37BEXP|47DMG|5AART|7BPWR|8RCR|9ERES|aDUR
37	23511 35512	   	187.36	DCR|3VULN|1AART|1DMG|1FLTHEA|2DUR	1FLTHEA|29DUR|3RMIN|468VULN|5AART|7RCR|aDMG
38	25611 33431	   	186.73	DCR|4VULN|1AART|2FLTHEA|2ASPD	17FLTHEA|2DUST|37ASPD|467aVULN|5AART|7BPWR|8RCR|9BELT
39	13621 31418	 * 	186.69	ACR|3VULN|1AART|3ASPD|2ZMB|2DUR	17aASPD|27DUR|37aVULN|4RCR|5RPLT|6MBVNT|7aBPWR|8aZMB|9AART
40	23311 63845	   	186.58	DCR|3VULN|1AART|1DMG|2FLTHEA|2DUR	18FLTHEA|28DUR|3BEXP|4DMG|5AART|6MBVNT|789VULN|8BPWR|aRCR
41	23611 33541	   	186.38	DCR|3VULN|1AART|2FLTHEA|3DUR|2ASPD	17FLTHEA|28aDUR|37ASPD|467VULN|5AART|7BPWR|9RCR
42	23511 33416	   	186.23	DCR|3VULN|1AART|2FLTHEA|3DUR|1ZMB	17FLTHEA|279DUR|3RMIN|467VULN|5AART|7BPWR|8RCR|aZMB
43	23511 33431	   	185.51	DCR|4VULN|1AART|2FLTHEA|2DUR	17FLTHEA|27DUR|3RMIN|467aVULN|5AART|7BPWR|8RCR|9BELT
44	13621 31214	   	185.38	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	17ASPD|27DUR|37aVULN|4RCR|5RPLT|6MBVNT|7BPWR|8DMG|9AART
45	43121 31214	   	185.08	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	178DMG|2DUR|37FEWX|4RCR|5RPLT|67VULN|7BPWR|9CDMG|aZMB
46	23611 33413	   	184.96	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|29DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|aLIT
47	23611 33415	   	184.96	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|29DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|aBEXP
48	23611 33416	   	184.96	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|29DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|aRPLT
49	23611 33435	   	184.96	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|2aDUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BELT
50	23611 33441	   	184.96	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|2aDUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9RCVC
51	23611 53431	   	184.96	DCR|3VULN|1AART|2FLTHEA|2ASPD|2DUR	17FLTHEA|26DUR|37ASPD|47aVULN|5AART|7BPWR|8RCR|9BELT
52	26612 11221	 * 	184.60	DCR|4VULN|3ASPD|1DMG|2FLTHEA	17FLTHEA|2467VULN|357ASPD|7BPWR|8DMG|9RCR|aFEWX
53	26612 11222	   	184.60	DCR|4VULN|3ASPD|1DMG|2FLTHEA	17FLTHEA|2467VULN|357ASPD|7BPWR|8DMG|9RCR|aRCVC
54	26612 11223	   	184.60	DCR|4VULN|3ASPD|1DMG|2FLTHEA	17FLTHEA|2467VULN|357ASPD|7BPWR|8DMG|9RCR|aRPLT
55	26612 11225	   	184.60	DCR|4VULN|3ASPD|1DMG|2FLTHEA	17FLTHEA|2467VULN|357ASPD|7BPWR|8DMG|9RCR|aMLV
