0	Index      	 *	Score 	Summary	Detail	
35	45314 83411	 * 	201.96	ACR|1BASARM|2DMG|1ASPD	18LIT|2RCR|3MBVNT|4CGEN|5ASPD|69DMG|7BASARM|aRPLT
36	45314 83413	   	201.96	ACR|1BASARM|2DMG|1ASPD	18LIT|2RCR|3MBVNT|4CGEN|5ASPD|69DMG|7BASARM|aDUR
37	45314 83311	   	201.86	ACR|1BASARM|2ASPD|1DMG	1LIT|2RCR|3MBVNT|4aCGEN|59ASPD|6DMG|7BASARM|8DUST
38	45314 83312	   	201.86	ACR|1BASARM|2ASPD|1DMG	1LIT|2RCR|3MBVNT|4CGEN|59ASPD|6DMG|7BASARM|8DUST|aDUR
39	45314 83313	   	201.86	ACR|1BASARM|2ASPD|1DMG	1LIT|2RCR|3MBVNT|4CGEN|59ASPD|6DMG|7BASARM|8DUST|aRCVC
40	45314 83412	   	201.86	ACR|1BASARM|2DMG|1ASPD	18LIT|2RCR|3MBVNT|4CGEN|5ASPD|69DMG|7BASARM|aDUST
41	45314 83414	   	201.86	ACR|1BASARM|2DMG|1ASPD	18LIT|2RCR|3MBVNT|4CGEN|5ASPD|69DMG|7BASARM|aVENFST
42	45343 24438	   	201.86	ACR|1BASARM|2ASPD|2CDMG	1aLIT|2RCR|3MBVNT|4AEFBLL|5aCDMG|6BASARM|7ERES|8aASPD|9DMSP|aBPWR
43	35416 22313	   	201.85	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8VULN|9BEXP|aRMIN
44	35416 22321	   	201.85	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8VULN|9AART|aCGEN
45	45314 83314	   	201.76	ACR|1BASARM|2ASPD|1DMG	1LIT|2RCR|3MBVNT|4CGEN|59ASPD|6DMG|7BASARM|8DUST|aMDPS
46	35416 22311	   	201.75	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8VULN|9BEXP|aLEGI
47	35416 22312	   	201.75	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8VULN|9BEXP|aFLTARM
48	35416 21122	   	201.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7RMIN|8RCVC|9ZMB|aDMG
49	35416 21312	   	201.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7RMIN|89ZMB|aDMG
50	35416 23321	   	201.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|789ZMB|aDMG
51	35411 24133	   	201.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1AAC|2DLOT|3RCR|4ASPD|58MLV|6RCVC|7BEXP|9DMG|aBASARM
52	35416 13231	   	201.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6FEWX|7DUST|8CDMG|9CGEN|aDMG
53	35416 21132	   	201.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7RMIN|8RCVC|9ERES|aDMG
54	35416 13213	   	201.13	ACR|1BASARM|1ASPD|2CDMG|1BEXP|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6FEWX|7DUST|8aCDMG|9BEXP
