0	Index      	 *	Score 	Summary	Detail	
34	21365 13412	   	192.73	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	13DUST|2MDPS|4RCR|5ERES|6VULN|7AAC|8BASARM|9CDMG|aDMG
35	51361 14113	   	191.68	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC|1SELL	1DUR|29MDPS|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8SELL|aAAC
36	13374 74425	 * 	191.09	ACR|2ASPD|2VULN|2BEXP|1CDMG	1MDPS|2aASPD|3MBVNT|49RMIN|5RCR|6CDMG|7aVULN|8aBEXP|aBPWR
37	16374 13112	   	191.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1MDPS|2CGEN|3MBVNT|4RCR|56BEXP|7AAC|8ASPD|9LHND|aBASARM
38	16374 13122	   	191.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1MDPS|2CGEN|3MBVNT|4RCR|56BEXP|7AAC|8ASPD|9DUR|aBASARM
39	16374 13132	   	191.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1MDPS|2CGEN|3MBVNT|4RCR|56BEXP|7AAC|8ASPD|9LWND|aBASARM
40	16374 13152	   	190.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1MDPS|2CGEN|3MBVNT|4RCR|56BEXP|7AAC|8ASPD|9LEGI|aBASARM
41	51361 11162	 * 	190.87	ACR|2ASPD|1VULN|2BEXP|2CDMG	1aDUR|2MDPS|3VULN|4RCR|5aASPD|67BEXP|8LWND|9aCDMG|aBPWR
42	51362 23262	 * 	190.87	ACR|2DMG|1VULN|2BEXP|2CDMG	1aDUR|2MDPS|3VULN|4RCR|5aBEXP|6FEWX|78DMG|9aCDMG|aBPWR
43	21361 53321	   	190.82	ACR|1BASARM|1ASPD|1DMG|1AART	13DUST|2MDPS|4RCR|5ASPD|6DMSP|7DMG|8AART|9DUR|aBASARM
44	21361 53361	   	190.82	ACR|1BASARM|1ASPD|1DMG|1AART	13DUST|2MDPS|4RCR|5ASPD|6DMSP|7DMG|8AART|9LHND|aBASARM
45	21361 53311	   	190.72	ACR|1BASARM|1ASPD|1DMG|1AART	13DUST|2MDPS|4RCR|5ASPD|6DMSP|7DMG|8AART|9MBVNT|aBASARM
46	11263 33642	 * 	190.38	ACR|1BASARM|1VULN|1DMG|1AART|1SELL	1MDPS|2DLOT|3LIT|4RCR|5SELL|6AART|7DMG|8CGEN|9VULN|aBASARM
47	11263 33442	 * 	190.28	ACR|1BASARM|1VULN|1DMG|1AART|1SELL	1MDPS|2DLOT|3LIT|4RCR|5SELL|6AART|7DMG|8TLV|9VULN|aBASARM
48	11387 41734	 * 	189.86	ACR|2DMG|2BEXP|2CDMG|1AART|1AAC	1MDPS|2DLOT|3MBVNT|49BEXP|5RCR|6AAC|79CDMG|89DMG|9BPWR|aAART
49	51365 23232	 * 	189.77	ACR|2DMG|1VULN|2BEXP|1ASPD	1DUR|2MDPS|3VULN|4RCR|5LHND|6aBEXP|78DMG|9ASPD
50	33112 23466	 * 	189.21	ACR|1BASARM|2VULN|1ASPD|1BEXP|1SELL	1LWND|2ASPD|3SELL|4aVULN|5RCR|6CGEN|7BELT|8BEXP|9BASARM
51	33322 23466	 * 	189.21	ACR|1BASARM|2VULN|1ASPD|1BEXP|1SELL	1LWND|2ASPD|3aVULN|4SELL|5RCR|6CGEN|7BELT|8BEXP|9BASARM
52	33112 13466	 * 	189.11	ACR|1BASARM|2VULN|1ASPD|1BEXP|1SELL	1LWND|2ASPD|3SELL|4aVULN|5RCR|6ERES|7BELT|8BEXP|9BASARM
53	33322 13466	 * 	189.11	ACR|1BASARM|2VULN|1ASPD|1BEXP|1SELL	1LWND|2ASPD|3aVULN|4SELL|5RCR|6ERES|7BELT|8BEXP|9BASARM
54	13122 65361	 * 	188.80	ACR|1BASARM|2ASPD|1AART|1SELL	1MDPS|29ASPD|3RCVC|4SELL|5RCR|6AART|79DUR|8RPLT|9BPWR|aBASARM
55	13374 33625	 * 	188.67	ACR|3ASPD|2VULN|2CDMG	1MDPS|27aASPD|3MBVNT|4RMIN|5RCR|67DUR|7aBPWR|8aVULN|9aCDMG
56	11264 21613	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DLOT|3LIT|4RCR|5BEXP|6ASPD|7RPLT|8ERES|9BASARM|aDMG
57	51365 23233	 * 	187.56	ACR|2VULN|2DMG|1ASPD|1BEXP	1DUR|2MDPS|3aVULN|4RCR|5LHND|6BEXP|78DMG|9ASPD
58	51363 13411	   	187.53	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUR|2MDPS|3VULN|4RCR|5RCVC|6CGEN|7DMG|8BASARM|9CDMG|aFEWX
59	51363 13413	   	187.53	ACR|1BASARM|1VULN|1DMG|1CDMG	1aDUR|2MDPS|3VULN|4RCR|5RCVC|6CGEN|7DMG|8BASARM|9CDMG
60	13374 76132	 * 	187.26	ACR|2ASPD|2VULN|3CDMG|1AAC	1MDPS|2aASPD|3MBVNT|4RMIN|5RCR|68aCDMG|7AAC|9aVULN|aBPWR
61	13644 12132	   	186.96	ACR|1BASARM|2ASPD|1DMG	1MDPS|29ASPD|3DMG|4DUR|5RCR|6CGEN|7LHND|8LWND|aBASARM
62	13644 13212	 * 	186.86	ACR|1BASARM|2DMG|1ASPD	1MDPS|2ASPD|37DMG|4DUR|5RCR|6CGEN|8DUST|9LHND|aBASARM
63	21554 11132	   	186.86	ACR|1BASARM|2ASPD|1DMG	1DUST|2MDPS|3DMG|49ASPD|5RCR|6CGEN|7DUR|8LWND|aBASARM
64	13385 42146	   	186.83	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1MDPS|2ASPD|3MBVNT|4AME|5RCR|6BELT|7VULN|8AAC|9BASARM|aBEXP
65	53112 35112	   	186.72	ACR|2ASPD|1VULN|2BEXP|1CDMG|1AAC|1SELL	1aDUR|2aASPD|3SELL|4VULN|5RCR|6RPLT|7AAC|8CDMG|9aBEXP|aBPWR
66	21554 33123	 * 	186.58	ACR|3ASPD|1VULN|1DMG|1BEXP	17DUST|2MDPS|3DMG|478ASPD|5RCR|67DUR|7BPWR|9VULN|aBEXP
67	11387 41731	 * 	186.47	ACR|3BEXP|2DMG|2CDMG|1AAC	1MDPS|2DLOT|3MBVNT|49aBEXP|5RCR|6AAC|79CDMG|89DMG|9BPWR
68	33112 53513	   	186.44	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1LWND|28aASPD|3SELL|4VULN|5RCR|6BEXP|7CGEN|9DMG
69	33322 53513	   	186.44	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1LWND|28aASPD|3VULN|4SELL|5RCR|6BEXP|7CGEN|9DMG
70	53112 51513	   	186.44	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1DUR|28aASPD|3SELL|4VULN|5RCR|6BEXP|7ZMB|9DMG
71	53112 53513	   	186.44	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1DUR|28aASPD|3SELL|4VULN|5RCR|6BEXP|7CGEN|9DMG
72	23522 25513	   	186.34	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1DUST|28aASPD|3BEXP|4SELL|5RCR|6CGEN|7VULN|9DMG
73	53112 52513	   	186.34	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1DUR|28aASPD|3SELL|4VULN|5RCR|6BEXP|7AME|9DMG
74	25632 63321	   	186.27	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC|1SELL	1DUST|2BEXP|3SELL|4ERES|5RCR|6AART|7VULN|8RPLT|9BASARM|aAAC
75	23522 15513	   	186.24	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1DUST|28aASPD|3BEXP|4SELL|5RCR|6ERES|7VULN|9DMG
76	13621 25633	 * 	186.00	DCR|3ASPD|3DMG|2BEXP	1MDPS|278ASPD|379DMG|4ERES|5LHND|67BEXP|7BPWR|aRCR
77	13342 26151	 * 	185.95	DCR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	1MDPS|27ASPD|3MBVNT|47VULN|5RCVC|67BEXP|7BPWR|8CDMG|9DMG|aRCR
78	11317 28361	 * 	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DLOT|3MBVNT|4FEWX|5RCR|6DUR|7BASARM|8VULN|9DMG|aASPD
79	11317 38361	   	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DLOT|3MBVNT|4FEWX|5RCR|6LWND|7BASARM|8VULN|9DMG|aASPD
80	11347 28361	   	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DLOT|3MBVNT|4LWND|5RCR|6DUR|7BASARM|8VULN|9DMG|aASPD
81	11347 38361	   	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DLOT|3MBVNT|4LWND|5RCR|6LHND|7BASARM|8VULN|9DMG|aASPD
82	11262 12641	   	185.91	ACR|1BASARM|2AART|1VULN	1MDPS|2DLOT|3LIT|4RCR|5VULN|6FEWX|78AART|9BASARM|aERES
83	51361 26133	   	185.05	ACR|3ASPD|2VULN|1CDMG	1DUR|2MDPS|39VULN|4RCR|57aASPD|6AEMAG|8CDMG
84	51361 36133	   	185.05	ACR|3ASPD|2VULN|1CDMG	1DUR|2MDPS|39VULN|4RCR|57aASPD|6AEFBLL|8CDMG
85	13374 31181	 * 	184.65	ACR|1BASARM|2ASPD|1AART	1MDPS|28ASPD|3MBVNT|4RMIN|5RCR|6DUR|7RCVC|9AART|aBASARM
86	33112 51525	 * 	184.62	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1LWND|28ASPD|3SELL|4VULN|5RCR|69BEXP|7ZMB|aDMG
87	33112 53613	 * 	184.62	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1LWND|2aASPD|3SELL|4VULN|5RCR|68BEXP|7CGEN|9DMG
88	33322 51525	 * 	184.62	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1LWND|28ASPD|3VULN|4SELL|5RCR|69BEXP|7ZMB|aDMG
89	33322 53613	 * 	184.62	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1LWND|2aASPD|3VULN|4SELL|5RCR|68BEXP|7CGEN|9DMG
90	53112 51613	 * 	184.62	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1DUR|2aASPD|3SELL|4VULN|5RCR|68BEXP|7ZMB|9DMG
91	53112 53613	 * 	184.62	ACR|2ASPD|1VULN|2BEXP|1DMG|1SELL	1DUR|2aASPD|3SELL|4VULN|5RCR|68BEXP|7CGEN|9DMG
92	24513 13142	   	184.58	ACR|2DMG|1VULN|1ASPD|1BEXP|1CDMG	1DUST|2CGEN|3BEXP|4MLV|5RCR|6ASPD|7VULN|8CDMG|9aDMG
93	25313 13142	   	184.58	ACR|2DMG|1VULN|1ASPD|1BEXP|1CDMG	1DUST|2BEXP|3CGEN|4MLV|5RCR|6ASPD|7VULN|8CDMG|9aDMG
94	23522 25613	 * 	184.52	ACR|2ASPD|2BEXP|1VULN|1DMG|1SELL	1DUST|2aASPD|38BEXP|4SELL|5RCR|6CGEN|7VULN|9DMG
