0	Index      	 *	Score 	Summary	Detail	
151	23522 15512	 * 	182.22	ACR|2ASPD|2VULN|1DMG|1BEXP|1SELL	1DUST|28ASPD|3BEXP|4SELL|5RCR|6ERES|7aVULN|9DMG
152	11262 12243	   	182.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DLOT|3LIT|4RCR|5VULN|6FEWX|7AART|8AEMAG|9BASARM|aBEXP
153	11262 52241	   	182.01	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DLOT|3LIT|4RCR|5VULN|6BEXP|7AART|8AEMAG|9BASARM|aERES
154	11264 32241	   	182.01	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DLOT|3LIT|4RCR|5BEXP|6VULN|7AART|8AEMAG|9BASARM|aERES
155	33112 23364	   	181.58	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6CGEN|7BELT|8LHND|9BASARM|aAART
156	33112 23664	   	181.58	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6CGEN|7BELT|8DUR|9BASARM|aAART
157	33322 23364	   	181.58	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6CGEN|7BELT|8LHND|9BASARM|aAART
158	33322 23664	   	181.58	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6CGEN|7BELT|8DUR|9BASARM|aAART
159	33112 12264	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6ERES|7FEWX|8BELT|9BASARM|aAART
160	33112 13364	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6ERES|7BELT|8LHND|9BASARM|aAART
161	33112 13664	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6ERES|7BELT|8DUR|9BASARM|aAART
162	33112 23264	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6CGEN|7BELT|8DUST|9BASARM|aAART
163	33322 12264	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6ERES|7FEWX|8BELT|9BASARM|aAART
164	33322 13364	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6ERES|7BELT|8LHND|9BASARM|aAART
165	33322 13664	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6ERES|7BELT|8DUR|9BASARM|aAART
166	33322 23264	   	181.48	ACR|1BASARM|1VULN|1ASPD|1AART|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6CGEN|7BELT|8DUST|9BASARM|aAART
167	51361 11221	 * 	181.45	ACR|3BEXP|1VULN|1ASPD|1BASICY	1DUR|2MDPS|3VULN|4RCR|5ASPD|679BEXP|8CGEN|aBASICY
