0	Index      	 *	Score 	Summary	Detail	
39	23256 15122	   	280.53	ACR|DCR|3MLV|2VULN|1MSE	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9DMSP|aMSE
40	23256 15132	   	280.53	ACR|DCR|3MLV|2VULN	168MLV|28aBEXP|38VULN|4AETHUN|57RCR|8BPWR|9LWND
41	21256 15113	   	280.43	ACR|DCR|3MLV|2VULN	168MLV|28aDUST|38VULN|4AETHUN|57RCR|8BPWR|9ERES
42	23256 15113	   	280.43	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9ERES|aDUST
43	21256 25122	   	279.23	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9LHND|aZMB
44	21256 25123	   	279.23	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9LHND|aRCVC
45	23256 25122	   	279.23	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9LHND|aZMB
46	23256 25123	   	279.23	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9LHND|aRCVC
47	21256 25111	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9MDPS|aLWND
48	21256 25113	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9MDPS|aZMB
49	21256 25131	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9MULARM|aLHND
50	21256 25132	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9MULARM|aTBNT
51	23256 25111	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9MDPS|aLWND
52	23256 25113	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9MDPS|aFEWX
53	23256 25131	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9MULARM|aLHND
54	23256 25132	   	279.13	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9MULARM|aTBNT
55	21256 25112	   	279.03	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9MDPS|aBEXP
56	21256 25133	   	279.03	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9MULARM|aLSRREG
57	23256 25112	   	279.03	ACR|DCR|3VULN|2MLV	18MLV|28aBEXP|368VULN|4AETHUN|57RCR|8BPWR|9MDPS
58	23256 25133	   	279.03	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9MULARM|aLSRREG
59	21256 15213	   	278.89	ACR|DCR|3MLV|1VULN|1ASPD	16aMLV|2DUST|3VULN|4AETHUN|57RCR|8ASPD|9AART
60	23256 15213	   	278.89	ACR|DCR|3MLV|1VULN|1ASPD	16aMLV|2BEXP|3VULN|4AETHUN|57RCR|8ASPD|9AART
61	26121 15236	 * 	278.18	DCR|3VULN|3MLV|3CDMG	189MLV|269CDMG|3MDPS|489VULN|578LWND|89BPWR|aRCR
62	26123 13236	   	278.18	DCR|3VULN|3MLV|3CDMG	189MLV|269CDMG|3MDPS|489VULN|578FEWX|89BPWR|aRCR
63	65212 11353	   	277.95	DCR|2VULN|2TLV|2DMG|1MLV|1CDMG	19DUST|29DMG|38VULN|4CDMG|59TLV|6BBNT|7RCR|9BPWR|aMLV
