0	Index      	 *	Score 	Summary	Detail	
166	44113 14211	 * 	172.31	DCR|2DMG|1AART|1VULN|1FLTHEA|2DUR	19DMG|25DUR|3RCVC|4VULN|6RCR|7MLV|8AART|aFLTHEA
167	44613 13113	   	172.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|25DUR|34VULN|6RCR|7LWND|8AART|9BEXP|aCDMG
168	11114 43121	 * 	172.20	DCR|3AART|2DMG|1VULN|1CDMG	1RPLT|26aAART|37DMG|4LWND|5CDMG|8VULN|9RCR
169	43114 43121	   	172.20	DCR|3AART|2DMG|1VULN|1CDMG	17DMG|26aAART|3RPLT|4LWND|5CDMG|8VULN|9RCR
170	62352 34216	   	172.02	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2DUR|3DUST|4ZMB|5AART|6MBVNT|789DMG|aRCR
171	25613 15322	 * 	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2BASICY|3AART|4RCR|5DMSP|6MLV|7ZMB|8VULN|9aDMG
172	43632 35123	 * 	171.99	DCR|3DMG|1AART|1VULN|2ASPD|1SELL	17aDMG|2AART|37ASPD|4SELL|57MLV|6RPLT|7BPWR|8VULN|9RCR
173	24316 15333	   	171.97	DCR|2VULN|2DMG|2CDMG|2ZMB|1ASPD	17CDMG|27DMG|3LWND|46ZMB|57VULN|7BPWR|8ASPD|9RMIN|aRCR
174	11454 23113	 * 	171.94	ACR|3DMG|1AART|3CDMG	1RPLT|2AART|3RCR|468ERES|58aCDMG|78aDMG|8aBPWR|9aDUST
175	32346 23126	 * 	171.90	ACR|2DMG|1AART|1VULN|2CDMG|1DUR|1SELL	1SELL|28MLV|3AART|4LHND|5RCR|68CDMG|78DMG|8BPWR|9DUR|aVULN
176	41133 11522	   	171.88	DCR|3DMG|1AART|2CDMG|1ZMB	158DMG|2NUKE|38LWND|4RPLT|6RCR|78CDMG|8BPWR|9ZMB|aAART
177	41433 11522	   	171.88	DCR|3DMG|1AART|2CDMG|1ZMB	158DMG|2NUKE|38LHND|4RPLT|6RCR|78CDMG|8BPWR|9ZMB|aAART
178	22522 56211	 * 	171.84	ACR|2DMG|2AART|1VULN|1CDMG	1CDMG|2ERES|3RCR|4VULN|5RPLT|69DMG|7MLV|8aAART
179	26522 53211	   	171.84	ACR|2DMG|2AART|1VULN|1CDMG	1CDMG|2CGEN|3RCR|4VULN|5RPLT|69DMG|7ERES|8aAART
180	32336 23278	 * 	171.80	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD|1SELL	1SELL|29MLV|3AART|4VULN|5RCR|69CDMG|79DMG|8MBVNT|9BPWR|aASPD
181	32356 23126	 * 	171.80	ACR|2DMG|1AART|1VULN|2CDMG|1DUR|1SELL	1SELL|28MLV|3AART|4DUST|5RCR|68CDMG|78DMG|8BPWR|9DUR|aVULN
182	61151 11325	   	171.78	DCR|3VULN|1AART|2CDMG|1ZMB	138VULN|2LHND|4ZMB|59CDMG|6RCR|7LIT|aAART
183	61611 11325	   	171.78	DCR|3VULN|1AART|2CDMG|1ZMB	148VULN|2LHND|3ZMB|59CDMG|6RCR|7LIT|aAART
184	42611 13632	   	171.74	DCR|4VULN|1DMG|2CDMG	1DMG|2FEWX|349aVULN|57CDMG|6RCR|8CGEN
185	42663 12132	   	171.74	DCR|4VULN|1DMG|2CDMG	1DMG|2FEWX|389aVULN|45CDMG|6RCR|7CGEN
186	24145 12132	   	171.64	DCR|4VULN|1DMG|2CDMG	13CDMG|2DMG|489aVULN|5DUST|6RCR|7CGEN
187	44113 14322	 * 	171.51	DCR|3VULN|2DMG|3DUR	1aDMG|259DUR|3RCVC|48aVULN|6RCR|7aMLV|aBPWR
188	11456 33123	   	171.48	ACR|4VULN|2AART	1RPLT|26AART|3RCR|4ERES|579aVULN|8FEWX
189	11456 33323	   	171.48	ACR|4VULN|2AART	1RPLT|26AART|3RCR|4ERES|579aVULN|8LWND
190	24142 42122	   	171.48	DCR|4VULN|1DMG|2CDMG|1ASPD	13CDMG|2DMG|478aVULN|5ASPD|6FEWX|9RCR
191	11551 22513	   	171.41	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	13RPLT|2aAART|4DUR|5CDMG|6RCR|7VULN|8ASPD|9DMG
192	22514 33215	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3RCR|4RPLT|56VULN|7LHND|8AART|9DMG|aZMB
193	22522 33215	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3RCR|46VULN|5RPLT|7LHND|8AART|9DMG|aZMB
194	22526 33215	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3RCR|45VULN|6RPLT|7LHND|8AART|9DMG|aZMB
195	26522 33215	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2CGEN|3RCR|46VULN|5RPLT|7LEGI|8AART|9DMG|aZMB
196	11426 26223	   	171.32	ACR|2VULN|1AART|2ZMB|1CDMG|2DUR	1RPLT|2AART|3RCR|48DUR|5LIT|68VULN|78ZMB|8BPWR|9CDMG|aFEWX
197	22523 43123	   	171.29	ACR|4VULN|1AART|1CDMG	1CDMG|2ERES|3RCR|479aVULN|5LWND|6AART|8FEWX
198	24141 13412	   	171.23	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|48VULN|5LHND|6RCR|9FEWX|aAART
199	22313 46335	 * 	171.12	4VULN|3DMG|3CDMG|1AART	178CDMG|2ERES|378DMG|4BASICY|5BEXP|6789VULN|78BPWR|aAART
200	44263 11123	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15DMG|2DUR|3RPLT|4ZMB|6RCR|7CDMG|8LEGI|9aVULN
201	22521 43613	   	171.06	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1CDMG|2ERES|3RCR|47aVULN|5DUR|6AART|8RMIN|9ASPD
202	61134 25131	   	171.05	DCR|3VULN|2AART|1CDMG|1ASPD	138VULN|2LHND|4RPLT|5CDMG|6ASPD|7RCR|9aAART
203	62153 14311	   	170.99	DCR|3VULN|1AART|2DUR|1ZMB|1ASPD	138VULN|25DUR|4ZMB|6RCR|7MLV|9ASPD|aAART
204	62613 14311	   	170.99	DCR|3VULN|1AART|2DUR|1ZMB|1ASPD	148VULN|25DUR|3ZMB|6RCR|7MLV|9ASPD|aAART
205	16141 13215	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|24VULN|3DMSP|5TLV|6RCR|7CDMG|8AART|9DMG|aZMB
206	24143 15213	   	170.93	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	13CDMG|29DMG|4VULN|5RPLT|6LHND|7RCR|8AART|aASPD
207	43432 35113	 * 	170.89	DCR|3DMG|1AART|1VULN|2ZMB|1SELL	179DMG|2AART|37ZMB|4SELL|57MLV|6RPLT|7BPWR|8VULN|aRCR
208	32336 23361	   	170.88	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1SELL|29MLV|3AART|49VULN|5RCR|6CDMG|7DMG|89DUR|9BPWR|aLWND
209	32336 23363	   	170.88	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1SELL|29MLV|3AART|49VULN|5RCR|6CDMG|7DMG|89DUR|9BPWR|aLIT
210	32336 23365	   	170.88	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1SELL|29MLV|3AART|49VULN|5RCR|6CDMG|7DMG|89DUR|9BPWR|aRPLT
211	32336 23366	   	170.88	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1SELL|29MLV|3AART|49VULN|5RCR|6CDMG|7DMG|89DUR|9BPWR|aCGEN
212	11114 42221	 * 	170.88	DCR|3AART|2DMG|2CDMG|2DUR	1RPLT|26aAART|38DMG|4LWND|58CDMG|78DUR|8BPWR|9RCR
213	43114 42221	   	170.88	DCR|3AART|2DMG|2CDMG|2DUR	18DMG|26aAART|3RPLT|4LWND|58CDMG|78DUR|8BPWR|9RCR
214	22521 43225	   	170.82	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|28ERES|3RCR|47VULN|5DUR|6aAART|9ZMB
215	45532 13223	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2RMIN|35VULN|4RPLT|6ZMB|7CDMG|8AART|9RCR|aASPD
216	21362 16223	   	170.80	DCR|3VULN|3CDMG|2ZMB|2DUR	139CDMG|28DUR|49aVULN|5NUKE|6RCR|79ZMB|9BPWR
217	32336 23362	   	170.78	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1SELL|29MLV|3AART|49VULN|5RCR|6CDMG|7DMG|89DUR|9BPWR|aCANSTR
218	42111 14523	   	170.78	DCR|2VULN|2DMG|2CDMG|1ZMB	19DMG|27FEWX|3RCVC|49VULN|59CDMG|6RCR|8RMIN|9BPWR|aZMB
219	46532 13223	   	170.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2TLV|35VULN|4RPLT|6ZMB|7CDMG|8AART|9RCR|aASPD
220	24322 36221	 * 	170.64	DCR|2VULN|2AART|1DMG|2CDMG	17CDMG|2DMG|3LWND|46VULN|5RPLT|8aAART|9RCR
221	24322 56221	   	170.64	DCR|2DMG|2AART|1VULN|2CDMG	17CDMG|26DMG|3LWND|4VULN|5RPLT|8aAART|9RCR
222	24622 36221	   	170.64	DCR|2VULN|2AART|1DMG|2CDMG	17CDMG|2DMG|3LHND|46VULN|5RPLT|8aAART|9RCR
223	11541 25231	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	13RPLT|2AART|49VULN|5CDMG|6RCR|7MGNLIT|8DMG|aDUR
224	11121 22512	   	170.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RPLT|2AART|39DMG|4CGEN|5CDMG|6RCR|7BEXP|8ASPD|aVULN
225	11251 22516	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	14RPLT|2AART|3BEXP|5CDMG|6RCR|7aVULN|8ASPD|9DMG
226	43121 22512	   	170.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19DMG|2AART|3RPLT|4CGEN|5CDMG|6RCR|7BEXP|8ASPD|aVULN
227	43321 26512	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3ERES|4LIT|5MGNLIT|6RCR|78VULN|9DUR|aCDMG
228	11121 23512	   	170.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RPLT|2AART|39DMG|4CGEN|5CDMG|6RCR|7DUST|8ASPD|aVULN
229	43121 23512	   	170.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19DMG|2AART|3RPLT|4CGEN|5CDMG|6RCR|7DUST|8ASPD|aVULN
230	43321 26362	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3ERES|4LIT|5MGNLIT|6RCR|79VULN|8DUR|aCDMG
231	43352 32513	   	170.45	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	14DMG|25AART|3ERES|6DUR|7RPLT|8RCR|9ASPD|aVULN
232	41151 12123	   	170.42	DCR|3VULN|2DMG|1CDMG|1ZMB	19DMG|2NUKE|39LWND|4ZMB|5CDMG|6RMIN|789VULN|9BPWR|aRCR
233	43653 21213	   	170.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19DMG|2AART|3ASPD|4NUKE|5LWND|6RCR|7CDMG|8ERES|aVULN
234	43653 21313	   	170.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19DMG|2AART|3ASPD|4NUKE|5LWND|6RCR|7CDMG|8TLV|aVULN
235	11455 33111	 * 	170.41	ACR|2DMG|1AART|1VULN|2CDMG	1RPLT|2AART|3RCR|48ERES|5DMSP|68CDMG|78DMG|8BPWR|9VULN|aLWND
236	11455 33113	   	170.41	ACR|2DMG|1AART|1VULN|2CDMG	1RPLT|2AART|3RCR|48ERES|5DMSP|68CDMG|78DMG|8BPWR|9VULN|aLIT
237	11454 23122	   	170.31	ACR|2DMG|1AART|1VULN|2CDMG	1RPLT|2AART|3RCR|468ERES|58CDMG|78DMG|8BPWR|9RMIN|aVULN
238	11455 33112	   	170.31	ACR|2DMG|1AART|1VULN|2CDMG	1RPLT|2AART|3RCR|48ERES|5DMSP|68CDMG|78DMG|8BPWR|9VULN|aCANSTR
239	22322 65513	   	170.25	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2ERES|39DMG|4RMIN|5ASPD|6AART|7DUR|8RCR|aVULN
240	11541 23311	   	170.19	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78CGEN|8BPWR|9DMG|aLWND
241	11541 23313	   	170.19	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78CGEN|8BPWR|9DMG|aLIT
242	11541 23316	   	170.19	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78aCGEN|8BPWR|9DMG
243	11541 26311	   	170.19	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78MLV|8BPWR|9DMG|aLWND
244	11541 26313	   	170.19	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78MLV|8BPWR|9DMG|aLIT
245	41511 23161	 * 	170.17	DCR|3DMG|2VULN|1AART	159DMG|2NUKE|39VULN|4FEWX|6CGEN|79LWND|8AART|9BPWR|aRCR
246	11541 23312	   	170.09	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78CGEN|8BPWR|9DMG|aCANSTR
247	11541 26312	   	170.09	DCR|2VULN|1AART|2CDMG|1DMG	13RPLT|2AART|48VULN|58CDMG|6RCR|78MLV|8BPWR|9DMG|aCANSTR
248	12351 22516	   	170.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	14RPLT|2FEWX|3AART|5CDMG|6RCR|7aVULN|8ASPD|9DMG
249	11541 21311	   	169.99	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9DMG|aLWND
250	11541 21312	   	169.99	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9DMG|aMLV
251	11541 21316	   	169.99	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9DMG|aCGEN
252	22521 26132	 * 	169.94	ACR|4VULN|2CDMG|1ZMB|1DUR	16CDMG|2ERES|3RCR|489aVULN|5DUR|7ZMB
253	11541 21313	   	169.89	DCR|2VULN|1AART|1DMG|2CDMG	13RPLT|2AART|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9DMG|aTLV
254	11113 34462	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|39DMG|4LWND|59LIT|6DLOT|79VULN|8RCR|9BPWR|aDUR
255	11133 34462	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|39DMG|4DUST|59LIT|6DLOT|79VULN|8RCR|9BPWR|aDUR
256	11264 53123	   	169.73	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1RPLT|2AART|3BEXP|47DMG|56CDMG|8VULN|9RCR|aASPD
257	62153 14211	   	169.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13VULN|25DUR|4ZMB|6RCR|7MLV|8AART|9DMG|aLWND
258	62153 14213	   	169.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13VULN|25DUR|4ZMB|6RCR|7MLV|8AART|9DMG|aLIT
259	62613 14211	   	169.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	14VULN|25DUR|3ZMB|6RCR|7MLV|8AART|9DMG|aLWND
260	62613 14213	   	169.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	14VULN|25DUR|3ZMB|6RCR|7MLV|8AART|9DMG|aLIT
261	11134 53123	   	169.63	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1RPLT|2AART|37DMG|4DUST|56CDMG|8VULN|9RCR|aASPD
262	43134 53123	   	169.63	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	17DMG|2AART|3RPLT|4DUST|56CDMG|8VULN|9RCR|aASPD
263	62663 12132	   	169.62	DCR|4VULN|2CDMG|1ZMB|1DUR	189aVULN|2DUR|3ZMB|45CDMG|6RCR|7CGEN
264	62162 32622	   	169.62	DCR|3VULN|1AART|1DMG|1DUR	13aVULN|2DUR|4DMSP|5LIT|6RCR|7AART|8DMG|9BEXP
265	43632 35113	 * 	169.59	DCR|3DMG|1AART|1VULN|2ASPD|1SELL	179DMG|2AART|37ASPD|4SELL|57MLV|6RPLT|7BPWR|8VULN|aRCR
266	62153 14212	   	169.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13VULN|25DUR|4ZMB|6RCR|7MLV|8AART|9DMG|aCANSTR
267	62613 14212	   	169.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	14VULN|25DUR|3ZMB|6RCR|7MLV|8AART|9DMG|aCANSTR
268	62162 32632	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	13aVULN|2DUR|4DMSP|5LIT|6RCR|7AART|8DMG|9DUST
269	22526 12132	 * 	169.52	ACR|5VULN|1CDMG|1ZMB	1CDMG|2ERES|3RCR|4589aVULN|6ZMB|7FEWX
270	22526 16122	   	169.52	ACR|5VULN|1CDMG|1ZMB	1CDMG|2ERES|3RCR|4578aVULN|6ZMB|9BEXP
271	22521 43163	   	169.42	ACR|3VULN|1AART|1CDMG|2DUR	1CDMG|2ERES|3RCR|47aVULN|59DUR|6AART|8FEWX
272	22521 43363	   	169.42	ACR|3VULN|1AART|1CDMG|2DUR	1CDMG|2ERES|3RCR|47aVULN|59DUR|6AART|8LWND
273	43322 25621	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2AART|3ERES|4LIT|5ZMB|678VULN|9RCR|aBEXP
274	43322 25623	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2AART|3ERES|4LIT|5ZMB|678VULN|9RCR|aRMIN
275	62153 13134	 * 	169.27	DCR|3VULN|1AART|3DUR|1ZMB	13aVULN|25aDUR|4ZMB|6RCR|7LWND|8AART|9aLIT|aBPWR
276	62613 13134	   	169.27	DCR|3VULN|1AART|3DUR|1ZMB	14aVULN|25aDUR|3ZMB|6RCR|7LWND|8AART|9aLIT|aBPWR
277	62151 11332	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	138VULN|2DUR|4ZMB|5CDMG|6RCR|7LIT|9FEWX|aDMG
278	62611 11332	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	148VULN|2DUR|3ZMB|5CDMG|6RCR|7LIT|9FEWX|aDMG
279	42611 11361	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2FEWX|348VULN|5CDMG|6RCR|7LIT|9ZMB|aDUR
280	42611 11362	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2FEWX|348VULN|5CDMG|6RCR|7LIT|9ZMB|aASPD
281	42611 16131	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2FEWX|348VULN|5CDMG|6RCR|7ZMB|9RMIN|aDUR
282	42111 16161	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2FEWX|3RCVC|48aVULN|5CDMG|6RCR|7ZMB|9DUR
283	42611 16213	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2FEWX|34aVULN|5CDMG|6RCR|7ZMB|8DUR|9RPLT
284	44111 12133	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3RCVC|489VULN|5CDMG|6RCR|7CGEN|aZMB
285	44111 16111	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3RCVC|48aVULN|5CDMG|6RCR|7ZMB|9BEXP
286	22521 21362	 * 	169.24	ACR|3VULN|1AART|2CDMG|1DUR	16CDMG|2ERES|3RCR|49aVULN|5DUR|7LIT|8AART
287	22514 33135	 * 	169.23	ACR|3VULN|2DMG|1CDMG	1CDMG|2ERES|3RCR|4RPLT|568VULN|7LHND|9aDMG
288	22522 33135	   	169.23	ACR|3VULN|2DMG|1CDMG	1CDMG|2ERES|3RCR|468VULN|5RPLT|7LHND|9aDMG
289	22522 56132	   	169.23	ACR|3VULN|2DMG|1CDMG	1CDMG|2ERES|3RCR|48aVULN|5RPLT|69DMG|7MLV
290	22526 33135	   	169.23	ACR|3VULN|2DMG|1CDMG	1CDMG|2ERES|3RCR|458VULN|6RPLT|7LHND|9aDMG
291	41551 12122	   	169.13	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMG|2NUKE|378aVULN|4ZMB|5CDMG|6RMIN|9RCR
292	12364 53123	   	169.13	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1RPLT|2FEWX|3AART|47DMG|56CDMG|8VULN|9RCR|aASPD
293	24322 35241	   	169.12	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|39LWND|46VULN|5RPLT|7RCR|8aAART
294	43432 35121	 * 	169.08	DCR|2AART|2DMG|1VULN|2ZMB|1SELL	17DMG|2aAART|37ZMB|4SELL|57MLV|6RPLT|7BPWR|8VULN|9RCR
295	11445 32112	   	169.03	ACR|2AART|2VULN|1DMG|1DUR	1RPLT|29AART|3RCR|47VULN|57LWND|67LHND|7BPWR|8DMG|aDUR
296	62151 13421	   	168.96	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	13VULN|28DUR|4ZMB|57CDMG|6RCR|9AART|aLIT
297	62151 13423	   	168.96	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	13VULN|28DUR|4ZMB|57CDMG|6RCR|9AART|aRPLT
298	62611 13421	   	168.96	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	14VULN|28DUR|3ZMB|57CDMG|6RCR|9AART|aLIT
299	62611 13423	   	168.96	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	14VULN|28DUR|3ZMB|57CDMG|6RCR|9AART|aRPLT
300	11456 33211	 * 	168.93	ACR|2AART|2VULN|1FLTHEA|1CDMG	1RPLT|26AART|3RCR|48ERES|57VULN|9CDMG|aFLTHEA
301	62151 13422	   	168.86	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	13VULN|28DUR|4ZMB|57CDMG|6RCR|9AART|aTLV
302	62611 13422	   	168.86	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	14VULN|28DUR|3ZMB|57CDMG|6RCR|9AART|aTLV
303	11426 12315	   	168.73	ACR|2AART|2VULN|1DMG|1DUR	1RPLT|27AART|3RCR|4DUR|5LIT|6ERES|8aVULN|9DMG
304	41532 11332	   	168.71	DCR|3VULN|2DMG|1CDMG	19DMG|2NUKE|35aVULN|4RPLT|6RCR|7CDMG|8ERES
305	21362 16226	   	168.68	DCR|2VULN|3ZMB|3CDMG|2DUR	139CDMG|28DUR|49VULN|5NUKE|6RCR|79aZMB|9BPWR
306	24322 35235	   	168.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3LWND|46VULN|5RPLT|7RCR|8AART|9RMIN|aZMB
307	61134 15212	   	168.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2LHND|4RPLT|5CDMG|6ZMB|7RCR|8AART|9DMG|aBELT
308	42611 13633	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	1DMG|2FEWX|349VULN|57CDMG|6RCR|8CGEN|aZMB
309	42663 12133	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	1DMG|2FEWX|389VULN|45CDMG|6RCR|7CGEN|aZMB
310	61151 11322	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	138VULN|2LHND|4ZMB|59CDMG|6RCR|7LIT|aDMG
311	61611 11322	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	148VULN|2LHND|3ZMB|59CDMG|6RCR|7LIT|aDMG
312	65151 11322	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	138VULN|2BEXP|4ZMB|59CDMG|6RCR|7LIT|aDMG
313	65611 11322	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	148VULN|2BEXP|3ZMB|59CDMG|6RCR|7LIT|aDMG
314	32332 54142	   	168.64	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1SELL|2MLV|3AART|46aVULN|5LIT|7DMG|8ZMB|9RCR
315	62151 12162	   	168.60	DCR|4VULN|1CDMG|2DUR|1ZMB	138aVULN|29DUR|4ZMB|5CDMG|6RCR|7CGEN
316	62151 12232	   	168.60	DCR|4VULN|1CDMG|2DUR|1ZMB	139aVULN|28DUR|4ZMB|5CDMG|6RCR|7CGEN
317	62611 12162	   	168.60	DCR|4VULN|1CDMG|2DUR|1ZMB	148aVULN|29DUR|3ZMB|5CDMG|6RCR|7CGEN
318	62611 12232	   	168.60	DCR|4VULN|1CDMG|2DUR|1ZMB	149aVULN|28DUR|3ZMB|5CDMG|6RCR|7CGEN
319	11434 43131	   	168.59	ACR|2AART|2DMG|1VULN|1DUR|1SELL	1RPLT|2aAART|3RCR|4SELL|57DMG|6DMSP|8VULN|9DUR
320	61134 15211	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2LHND|4RPLT|5CDMG|6ZMB|7RCR|8AART|9DMG|aLEGI
321	24145 12133	   	168.54	DCR|3VULN|2CDMG|1DMG|1ZMB	13CDMG|2DMG|489VULN|5DUST|6RCR|7CGEN|aZMB
322	22521 42622	 * 	168.53	ACR|2VULN|1AART|2CDMG|2ASPD|1DUR	19CDMG|2ERES|3RCR|49VULN|5DUR|6AART|7MGNSTR|89ASPD|9BPWR|aCGEN
323	22521 42623	   	168.53	ACR|2VULN|1AART|2CDMG|2ASPD|1DUR	19CDMG|2ERES|3RCR|49VULN|5DUR|6AART|7MGNSTR|89ASPD|9BPWR|aRMIN
324	22521 42422	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3RCR|4aVULN|5DUR|6AART|7MGNSTR|8MGNLIT|9DMG
325	22521 45321	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3RCR|49VULN|5DUR|6AART|7DMG|8MLV|aBEXP
326	11121 26331	   	168.51	DCR|2AART|2DMG|2CDMG|1DUR	1RPLT|2aAART|38DMG|4CGEN|58CDMG|6RCR|78MLV|8BPWR|9DUR
327	43121 26331	   	168.51	DCR|2AART|2DMG|2CDMG|1DUR	18DMG|2aAART|3RPLT|4CGEN|58CDMG|6RCR|78MLV|8BPWR|9DUR
328	66311 12125	 * 	168.47	DCR|4VULN|1AART|1CDMG	1348VULN|2ERES|5LHND|6RCR|7LIT|9CDMG|aAART
329	66313 12125	   	168.47	DCR|4VULN|1AART|1CDMG	1348VULN|2ERES|5LWND|6RCR|7LIT|9CDMG|aAART
330	31122 55215	   	168.43	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1SELL	1SELL|2LHND|36ASPD|46VULN|5RPLT|6BPWR|7RCR|8AART|9DMG|aZMB
