0	Index      	Bounty	 *	Score 	Summary	Detail	
37	31325 35213	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2RPLT|35aVULN|45DUR|5BPWR|6TLV|7DUST|8DMG|9RCR
38	31355 31213	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2RPLT|35DUR|45aVULN|5BPWR|6TLV|7LEGI|8DMG|9RCR
39	31355 35213	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2RPLT|35DUR|45aVULN|5BPWR|6TLV|7DUST|8DMG|9RCR
40	31525 31213	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2RPLT|35aVULN|45DUR|5BPWR|6TLV|7LEGI|8DMG|9RCR
41	31525 35213	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2RPLT|35aVULN|45DUR|5BPWR|6TLV|7DUST|8DMG|9RCR
42	41155 31213	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2RPLT|35DUR|45aVULN|5BPWR|6TLV|7LEGI|8DMG|9RCR
43	41325 31213	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2RPLT|35aVULN|45DUR|5BPWR|6TLV|7LEGI|8DMG|9RCR
44	41325 35213	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2RPLT|35aVULN|45DUR|5BPWR|6TLV|7DUST|8DMG|9RCR
45	41525 31213	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2RPLT|35aVULN|45DUR|5BPWR|6TLV|7LEGI|8DMG|9RCR
46	63332 53111	8	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1TLV|2LIT|38aVULN|4CDMG|5BEXP|6RCR|7ASPD|9DMG
47	63333 53111	8	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1TLV|2LIT|38aVULN|4CDMG|5FEWX|6RCR|7ASPD|9DMG
48	63335 53111	8	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG	1TLV|2LIT|38aVULN|4CDMG|5LEGI|6RCR|7ASPD|9DMG
49	31555 12313	5	 * 	249.43	DCR|4VULN|3TLV|1DMG	1BEXP|2RPLT|356aVULN|456TLV|56BPWR|7DMG|8RCVC|9RCR
50	63311 41353	6	   	249.38	DCR|2VULN|2TLV|2DUR|2CDMG|2LIT	19TLV|2aLIT|39VULN|48DUR|5FEWX|6RCR|79CDMG|9BPWR
