0	Index      	Bounty	 *	Score 	Summary	Detail	
160	61123 25261	7	   	239.97	DCR|3VULN|1TLV|3ASPD|1DUR	1TLV|267ASPD|3MLV|4DUST|56aVULN|6BPWR|8DUR|9RCR
161	61323 22261	6	   	239.97	DCR|3VULN|1TLV|3ASPD|1DUR	1TLV|267ASPD|3CGEN|4DUST|56aVULN|6BPWR|8DUR|9RCR
162	61323 25261	7	   	239.97	DCR|3VULN|1TLV|3ASPD|1DUR	1TLV|267ASPD|3CGEN|4DUST|56aVULN|6BPWR|8DUR|9RCR
163	61633 22261	6	   	239.97	DCR|3VULN|1TLV|3ASPD|1DUR	1TLV|267ASPD|3LWND|4ERES|56aVULN|6BPWR|8DUR|9RCR
164	61223 32156	6	   	239.93	DCR|2VULN|1TLV|1DMG|2CDMG|2ASPD	1TLV|29ASPD|3DMG|4DUST|59VULN|6LEGI|7LIT|89CDMG|9BPWR|aRCR
165	23311 41651	6	 * 	239.71	DCR|4VULN|2CDMG|1DUR	19CGEN|2LIT|389aVULN|4DUR|5FEWX|6RCR|79CDMG|9BPWR
166	23311 46151	7	   	239.71	DCR|4VULN|2CDMG|1DUR	19CGEN|2LIT|379aVULN|4DUR|5FEWX|6RCR|89CDMG|9BPWR
167	62133 62325	8	   	239.60	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2DUST|35aVULN|4DMSP|6AART|7RCR|8CDMG|9DUR
168	31155 12511	2	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|35DUR|456VULN|5BPWR|7ASPD|8RCR|9TLV|aFEWX
169	31155 33125	2	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|35DUR|457VULN|5BPWR|6TLV|8CGEN|9LIT|aRCR
170	31325 12511	2	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|356VULN|45DUR|5BPWR|7ASPD|8RCR|9TLV|aFEWX
171	31325 12514	2	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|356VULN|45DUR|5BPWR|7ASPD|8RCR|9TLV|aRMIN
172	31325 33125	2	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|357VULN|45DUR|5BPWR|6TLV|8CGEN|9LIT|aRCR
173	31325 33625	2	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|357VULN|45DUR|5BPWR|6TLV|8MLV|9LIT|aRCR
174	31355 12511	3	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|35DUR|456VULN|5BPWR|7ASPD|8RCR|9TLV|aFEWX
175	31355 33125	3	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|35DUR|457VULN|5BPWR|6TLV|8CGEN|9LIT|aRCR
176	31525 12511	3	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|356VULN|45DUR|5BPWR|7ASPD|8RCR|9TLV|aFEWX
177	31525 33125	3	   	239.38	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|357VULN|45DUR|5BPWR|6TLV|8CGEN|9LIT|aRCR
178	41325 33125	2	   	239.38	DCR|3VULN|2DUR|1TLV	1FEWX|2RPLT|357VULN|45DUR|5BPWR|6TLV|8CGEN|9LIT|aRCR
179	23611 34132	5	   	239.32	DCR|3VULN|2TLV|1DUR|2LIT	1CGEN|28LIT|39TLV|46aVULN|5DUR|7RCR
180	23613 34132	4	   	239.32	DCR|3VULN|2TLV|1DUR|2LIT	1CGEN|28LIT|39TLV|46aVULN|5DUR|7RCR
181	31353 12513	2	   	239.28	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|346VULN|5aDUR|7ASPD|8RCR|9TLV
182	31553 12513	3	   	239.28	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|346VULN|5aDUR|7ASPD|8RCR|9TLV
183	31325 12515	2	   	239.28	DCR|3VULN|2DUR|1TLV	1BEXP|2RPLT|356VULN|45DUR|5BPWR|7ASPD|8RCR|9TLV|aDUST
184	23422 31111	1	   	239.25	DCR|3VULN|2TLV|2DUR	18CGEN|2RCVC|368VULN|4aDUR|5FEWX|78TLV|8BPWR|9RCR
185	23425 31111	1	   	239.25	DCR|3VULN|2TLV|2DUR	18CGEN|2RCVC|368VULN|4aDUR|5LWND|78TLV|8BPWR|9RCR
186	51422 31111	1	   	239.25	DCR|3VULN|2TLV|2DUR	1RCVC|28CGEN|368VULN|4aDUR|5FEWX|78TLV|8BPWR|9RCR
187	51425 31111	1	   	239.25	DCR|3VULN|2TLV|2DUR	1RCVC|28CGEN|368VULN|4aDUR|5LWND|78TLV|8BPWR|9RCR
188	22231 25652	1	   	239.21	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1aCGEN|2aDMG|3DUR|4AART|5RCVC|6TLV|7RCR|8RPLT|9aVULN|aBPWR
189	22233 25652	1	   	239.21	DCR|2VULN|2DMG|1TLV|1DUR|1AART	15aCGEN|2aDMG|3DUR|4AART|6TLV|7RCR|8RPLT|9aVULN|aBPWR
190	51325 32432	2	   	239.21	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1RCVC|28DMG|3TLV|48BEXP|5BELT|68VULN|7RCR|8BPWR|9AART|aDUR
191	64126 24233	3	   	239.15	DCR|3VULN|2TLV|2DUR	1aTLV|2aZMB|3MLV|48DUR|5MBVNT|6RCR|79aVULN|aBPWR
192	52135 35113	6	   	239.15	DCR|3VULN|2TLV|2DUR	1RCVC|28TLV|3MLV|468VULN|58DUR|7LEGI|8BPWR|9RCR|aDMSP
193	62142 33511	4	   	239.15	DCR|3VULN|2TLV|2DUR	17TLV|2DUST|357VULN|47CGEN|6RCVC|7BPWR|8aDUR|9RCR
194	31155 13316	2	 * 	239.15	DCR|4VULN|3DUR	1BEXP|2RPLT|358DUR|4569VULN|5BPWR|7BELT|aRCR
195	31325 13316	2	   	239.15	DCR|4VULN|3DUR	1BEXP|2RPLT|3569VULN|458DUR|5BPWR|7BELT|aRCR
196	31355 13316	3	   	239.15	DCR|4VULN|3DUR	1BEXP|2RPLT|358DUR|4569VULN|5BPWR|7BELT|aRCR
197	31525 13316	3	   	239.15	DCR|4VULN|3DUR	1BEXP|2RPLT|3569VULN|458DUR|5BPWR|7BELT|aRCR
198	41325 13316	2	   	239.15	DCR|4VULN|3DUR	1FEWX|2RPLT|3569VULN|458DUR|5BPWR|7BELT|aRCR
199	26252 33211	10	   	239.11	DCR|2VULN|2DMG|1TLV|1DUR|1AART	17CGEN|2RPLT|3ERES|47VULN|5AART|67DMG|7BPWR|8RCR|9TLV|aDUR
200	52135 35112	6	   	239.05	DCR|3VULN|2TLV|2DUR	1RCVC|28TLV|3MLV|468VULN|58DUR|7LEGI|8BPWR|9RCR|aMBVNT
201	62141 33511	6	   	239.05	DCR|3VULN|2TLV|2DUR	17TLV|25DUST|367VULN|47CGEN|7BPWR|8aDUR|9RCR
202	31325 63162	2	   	239.05	DCR|4VULN|3DUR	1BEXP|2RPLT|3579VULN|458DUR|5BPWR|6BBNT|aRCR
203	56125 21323	1	   	238.95	DCR|3VULN|2TLV|2DUR	1RCVC|2BBNT|35TLV|458VULN|5BPWR|69DUR|7DLOT|aRCR
204	62122 33511	4	   	238.95	DCR|3VULN|2TLV|2DUR	17TLV|2DUST|357VULN|47ERES|6RCVC|7BPWR|8aDUR|9RCR
205	62122 55113	4	   	238.95	DCR|3VULN|2TLV|2DUR	18TLV|28DUST|356VULN|4ERES|78DUR|8BPWR|9RCR|aDMSP
206	62122 63511	4	   	238.95	DCR|3VULN|2TLV|2DUR	17TLV|2DUST|357VULN|47ERES|6DMSP|7BPWR|8aDUR|9RCR
207	62133 53511	4	   	238.95	DCR|3VULN|2TLV|2DUR	17TLV|2DUST|367VULN|4DMSP|57ERES|7BPWR|8aDUR|9RCR
208	62142 15311	4	   	238.95	DCR|3VULN|2TLV|2DUR	16TLV|2DUST|358VULN|4CGEN|7aDUR|9RCR
209	62162 33511	3	   	238.95	DCR|3VULN|2TLV|2DUR	17TLV|2DUST|357VULN|47ERES|6RCVC|7BPWR|8aDUR|9RCR
210	62122 15311	4	   	238.85	DCR|3VULN|2TLV|2DUR	16TLV|2DUST|358VULN|4ERES|7aDUR|9RCR
211	62124 35311	6	   	238.85	DCR|3VULN|2TLV|2DUR	15TLV|2DUST|368VULN|45ERES|5BPWR|7aDUR|9RCR
212	62124 36311	7	   	238.85	DCR|3VULN|2TLV|2DUR	15TLV|2DUST|368VULN|45ERES|5BPWR|7aDUR|9RCR
213	62162 15311	3	   	238.85	DCR|3VULN|2TLV|2DUR	16TLV|2DUST|358VULN|4ERES|7aDUR|9RCR
214	62121 33511	6	   	238.85	DCR|3VULN|2TLV|2DUR	17TLV|25DUST|367VULN|47ERES|7BPWR|8aDUR|9RCR
215	62121 53511	5	   	238.85	DCR|3VULN|2TLV|2DUR	17TLV|25DUST|367VULN|47ERES|7BPWR|8aDUR|9RCR
216	62122 43511	4	   	238.85	DCR|3VULN|2TLV|2DUR	17TLV|26DUST|357VULN|47ERES|7BPWR|8aDUR|9RCR
217	62122 55112	4	   	238.85	DCR|3VULN|2TLV|2DUR	18TLV|28DUST|356VULN|4ERES|78DUR|8BPWR|9RCR|aMBVNT
218	61221 32155	3	 * 	238.67	ACR|2VULN|2DUR|1TLV|1DMG|2CDMG|2ASPD	1TLV|29ASPD|3DMG|4aDUR|5RCR|69VULN|7LIT|89CDMG|9BPWR
219	26252 33216	10	   	238.51	DCR|2VULN|3DMG|1TLV|1AART	17CGEN|2RPLT|3ERES|47VULN|5AART|67aDMG|7BPWR|8RCR|9TLV
220	23611 31251	5	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5DUR|8LHND|9CDMG|aRCR
221	23611 31451	5	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5DUR|8BEXP|9CDMG|aRCR
222	23611 31651	5	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5DUR|8LWND|9CDMG|aRCR
223	23613 31251	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5DUR|8LHND|9CDMG|aRCR
224	23613 31451	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5DUR|8BEXP|9CDMG|aRCR
225	23613 31651	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5DUR|8LWND|9CDMG|aRCR
226	21663 24233	10	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2ASPD|38aVULN|4CDMG|5DUR|6ZMB|7TLV|9RCR
227	23612 31351	5	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5FEWX|8DUR|9CDMG|aRCR
228	23614 31351	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|467VULN|5FEWX|8DUR|9CDMG|aRCR
229	23625 31351	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1CGEN|2LIT|3TLV|4FEWX|567VULN|8DUR|9CDMG|aRCR
230	41215 31351	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2TLV|3CGEN|4LIT|567VULN|8DUR|9CDMG|aRCR
231	43115 31351	3	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2CGEN|3TLV|4LIT|567VULN|8DUR|9CDMG|aRCR
232	63332 16141	9	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|389VULN|4CDMG|5BEXP|6ZMB|7DUR|aRCR
233	63332 52111	8	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5BEXP|6RCR|8RCVC|9DUR
234	63332 52211	7	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5BEXP|6RCR|8RCVC|9DUR
235	63332 53211	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5BEXP|6RCR|8RCVC|9DUR
236	63333 16141	9	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|389VULN|4CDMG|5FEWX|6ZMB|7DUR|aRCR
237	63333 52111	8	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5FEWX|6RCR|8RCVC|9DUR
238	63333 52211	7	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5FEWX|6RCR|8RCVC|9DUR
239	63333 53211	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5FEWX|6RCR|8RCVC|9DUR
240	63335 52211	9	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5LEGI|6RCR|8DUR|9RCVC
241	63335 52211	7	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5LEGI|6RCR|8RCVC|9DUR
242	63335 52223	10	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5LEGI|6RCR|8DUR|9BELT
243	63335 53211	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5LEGI|6RCR|8RCVC|9DUR
244	61223 32532	5	   	238.07	DCR|3VULN|1TLV|1DMG|1AART	1TLV|2ASPD|3DMG|4DUST|569VULN|7RPLT|8RCR|aAART
