0	Index      	 *	Score 	Summary	Detail	
35	14513 31228	   	195.71	ACR|3BEXP|2DMG|1AART|1CDMG	1MBVNT|2RMIN|3RCR|48CGEN|58DMG|68aBEXP|7AART|8BPWR|9CDMG
36	12733 46438	 * 	195.13	DCR|1BASARM|2ASPD|2DMG|1AART|1VULN	1MBVNT|25DMG|3CGEN|4VULN|67ASPD|8AART|9BASARM|aRCR
37	14543 24253	   	195.00	ACR|2ASPD|2DMG|1BEXP|1AAC|1VULN	1MBVNT|2RMIN|3RCR|4VULN|5BEXP|67DMG|89ASPD|aAAC
38	14543 24285	 * 	194.06	ACR|2DMG|3VULN|1ASPD|1BEXP	1MBVNT|2RMIN|3RCR|49aVULN|5BEXP|67DMG|8ASPD
39	15184 17124	 * 	194.03	ACR|1BASARM|2VULN|1ASPD|1DMG	1MBVNT|29VULN|3MDPS|4RCR|5DLOT|6ASPD|7BASARM|8AEMAG|aDMG
40	14541 14188	   	193.55	ACR|1BASARM|1DMG|1BEXP|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|4VULN|5CGEN|6BEXP|7DMG|8CDMG|9MLV|aBASARM
41	14511 45128	   	193.45	ACR|1BASARM|1DMG|1BEXP|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|4CGEN|5BEXP|6DMG|7VULN|8CDMG|9TLV|aBASARM
42	14513 35128	   	193.45	ACR|1BASARM|1DMG|1BEXP|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6BEXP|7VULN|8CDMG|9TLV|aBASARM
43	14541 14128	   	193.45	ACR|1BASARM|1DMG|1BEXP|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|4VULN|5CGEN|6BEXP|7DMG|8CDMG|9TLV|aBASARM
44	14543 84128	   	193.45	ACR|1BASARM|1DMG|1BEXP|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|4VULN|5BEXP|6CGEN|7DMG|8CDMG|9TLV|aBASARM
45	14513 45137	   	193.40	ACR|2ASPD|2DMG|1AART|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5aDMG|69ASPD|7CDMG|8AART
46	14543 23138	   	193.35	ACR|1BASARM|1DMG|1BEXP|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|4VULN|5BEXP|6DMG|7TLV|8CDMG|9AME|aBASARM
47	14541 14627	 * 	193.25	ACR|2DMG|2BEXP|2VULN|2AAC	1MBVNT|2RMIN|3RCR|48VULN|5CGEN|68BEXP|78DMG|8BPWR|9aAAC
48	14513 45713	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9DUR|aMLV
49	14513 45714	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9DUR|aLHND
50	14513 45731	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9LIT|aLHND
51	14513 45733	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2aRMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9LIT
52	14513 45734	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9LIT|aDUR
53	14513 45741	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9RPLT|aLIT
54	14513 45742	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4aCGEN|5DMG|6ASPD|7CDMG|8BASARM|9RPLT
55	14537 41742	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MBVNT|2RMIN|3RCR|4RCVC|5ZMB|6ASPD|7DMG|8BEXP|9LIT|aBASARM
56	14513 45712	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9DUR|aTLV
57	14513 45721	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9ERES|aZMB
58	14513 45722	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2aRMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9ERES
59	14513 45732	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9LIT|aDUST
60	14513 45723	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6ASPD|7CDMG|8BASARM|9ERES|aMSLFST
