0	Index      	 *	Score 	Summary	Detail	
39	31132 24425	   	291.49	DCR|3VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AAC|239VULN|3BPWR|4TLV|5MLV|6DMG|7ASPD|8RCR|aTBNT
40	46141 32121	 * 	291.42	DCR|3VULN|2MLV|2DMG|1ASPD	127VULN|27BPWR|3CGEN|4RPLT|57DMG|67MLV|8ASPD|9RCR|aRAT
41	31132 24421	   	291.39	DCR|3VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AAC|239VULN|3BPWR|4TLV|5MLV|6DMG|7ASPD|8RCR|aDUST
42	31132 24426	   	291.39	DCR|3VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AAC|239VULN|3BPWR|4TLV|5MLV|6DMG|7ASPD|8RCR|aERES
43	31132 24441	   	289.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|23VULN|3BPWR|4TLV|5MLV|6DMG|7ASPD|8RCR|9AART|aCDMG
44	35431 31113	 * 	289.20	DCR|2VULN|2DMG|1TLV|2AAC|2ASPD	12AAC|39VULN|4TLV|59ASPD|6AEBURN|7ZMB|89DMG|9BPWR|aRCR
45	33533 52221	   	288.68	DCR|DCR|1VULN|2AAC|1TLV	15AAC|2FEWX|3MDPS|4VULN|69RCR|7TLV|8BEXP|aDUR
46	35432 24332	 * 	288.29	DCR|3DMG|1VULN|2AAC|1TLV|1MLV|1ASPD	12AAC|3VULN|4TLV|5MLV|68aDMG|7ASPD|9RCR
47	43112 64311	 * 	287.73	DCR|3VULN|2TLV|2ASPD|1AAC|1CDMG	17aVULN|2CDMG|3AAC|47TLV|5AETHUN|67ASPD|7BPWR|8RCR|9LHND
48	43112 64321	   	287.63	DCR|3VULN|2TLV|2ASPD|1AAC|1CDMG	17aVULN|2CDMG|3AAC|47TLV|5AETHUN|67ASPD|7BPWR|8RCR|9DUST
49	41311 62343	   	286.92	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|26LHND|3MLV|4MSLFST|5ASPD|7CGEN|9aRCR
50	41311 32343	   	286.82	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|2LHND|3MLV|4MSLFST|5ASPD|6CGEN|7AEWIND|9aRCR
51	41311 36343	   	286.82	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|2LHND|3MLV|4MSLFST|5ASPD|6CGEN|7AEBURN|9aRCR
52	42311 42343	   	286.72	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|2BEXP|3MLV|4MSLFST|5ASPD|6CGEN|7AEWIND|9aRCR
53	44311 32343	   	286.72	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|2LEGI|3MLV|4MSLFST|5ASPD|6CGEN|7AEWIND|9aRCR
54	42311 32343	   	286.62	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|2BEXP|3MLV|4MSLFST|5ASPD|6ERES|7AEWIND|9aRCR
55	42311 36343	   	286.62	DCR|DCR|2VULN|1MLV|1ASPD	18VULN|2BEXP|3MLV|4MSLFST|5ASPD|6ERES|7AEBURN|9aRCR
56	34613 32122	   	286.53	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1AAC|27MLV|37TLV|4RCVC|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aFEWX
57	34613 32125	   	286.53	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1AAC|27MLV|37TLV|4RCVC|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aLIT
58	34613 32126	   	286.53	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1AAC|27MLV|37TLV|4RCVC|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aDMSP
59	34613 32123	   	286.43	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1AAC|27MLV|37TLV|4RCVC|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aMBVNT
60	34613 32124	   	286.43	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1AAC|27MLV|37TLV|4RCVC|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aMDPS
61	34613 32136	   	286.43	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1AAC|27MLV|37TLV|4RCVC|5RPLT|67VULN|7BPWR|8ASPD|9NUKE|aRCR
62	31125 22312	 * 	285.64	DCR|4VULN|3DMG|2AAC	15AAC|2379VULN|379BPWR|47BEXP|679DMG|89CGEN|aRCR
63	31132 24335	   	285.62	DCR|2VULN|2DMG|1TLV|1MLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5MLV|68DMG|7ASPD|9RCR|aTBNT
64	31132 24412	   	285.52	DCR|2VULN|2DMG|1TLV|1MLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5MLV|6aDMG|7ASPD|8RCR|9AEWIND
65	31132 24331	   	285.52	DCR|2VULN|2DMG|1TLV|1MLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5MLV|68DMG|7ASPD|9RCR|aDUST
66	31132 24336	   	285.52	DCR|2VULN|2DMG|1TLV|1MLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5MLV|68DMG|7ASPD|9RCR|aERES
67	33531 52223	   	285.23	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2FEWX|3MDPS|4VULN|5AEPOI|69RCR|7TLV|8BEXP|aDMG
68	31531 52523	   	285.13	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2VULN|3MDPS|48AEFBLL|5BEXP|69RCR|7TLV|aDMG
69	24333 23343	   	284.86	DCR|DCR|2VULN|1TLV	1AME|24VULN|3FRZFST|57ZMB|6TLV|8DUR|9aRCR
70	23551 32343	   	284.82	DCR|DCR|3VULN|1AAC	1AME|2LWND|3MULHEA|4AAC|578VULN|6CGEN|9aRCR
71	24351 32343	   	284.82	DCR|DCR|3VULN|1AAC	1AME|258VULN|3FRZFST|4AAC|6LWND|7CGEN|9aRCR
72	33132 52643	   	284.82	DCR|DCR|3VULN|1AAC	1AAC|2FEWX|3LSRICY|458VULN|6AME|7CGEN|9aRCR
73	33111 52643	   	284.72	DCR|DCR|3VULN|1AAC	1AAC|2FEWX|3LSRICY|4CGEN|578VULN|6ERES|9aRCR
74	51135 21143	 * 	284.64	DCR|DCR|2TLV|2ASPD|1MLV	13ASPD|2AETHUN|3BPWR|46TLV|5LSRHEA|7FEWX|8MLV|9aRCR
75	46141 32122	   	284.48	DCR|3VULN|2MLV|2DMG|1ASPD	127VULN|27BPWR|3CGEN|4RPLT|57DMG|67MLV|8ASPD|9RCR|aFEWX
76	46141 32123	   	284.38	DCR|3VULN|2MLV|2DMG|1ASPD	127VULN|27BPWR|3CGEN|4RPLT|57DMG|67MLV|8ASPD|9RCR|aMBVNT
77	23532 62343	   	284.18	DCR|DCR|3VULN|1ASPD	1AME|2LWND|3MULHEA|458VULN|6ASPD|7CGEN|9aRCR
78	24112 62343	   	284.18	DCR|DCR|3VULN|1ASPD	1AME|258VULN|3LWND|4MSLFST|6ASPD|7CGEN|9aRCR
79	24212 62343	   	284.08	DCR|DCR|3VULN|1ASPD	1AME|258VULN|3BEXP|4MSLFST|6ASPD|7CGEN|9aRCR
