0	Index      	 *	Score 	Summary	Detail	
146	11522 53232	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CDMG|aAELBLL
147	11522 53233	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CDMG|aAME
148	11522 53236	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CDMG|aBEXP
149	11522 53263	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9LWND|aCDMG
150	61522 53233	   	194.49	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18BEXP|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9LWND|aCDMG
151	21431 12443	   	194.45	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	15DUR|2ASPD|3DUST|4aAART|6DMG|7RCVC|8RCR|9VULN
152	11523 53223	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9BEXP|aCDMG
153	11523 53231	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CDMG|aRPLT
154	11523 53232	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CDMG|aAELBLL
155	11523 53233	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CDMG|aAME
156	11523 53236	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CDMG|aBEXP
157	11523 53263	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9LWND|aCDMG
158	61523 53233	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18BEXP|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9LWND|aCDMG
159	11522 53235	   	194.39	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CDMG|aDUST
160	21224 12443	   	194.35	DCR|2VULN|2ASPD|1DMG|3DUR	14aDUR|24ASPD|3DLOT|4BPWR|59VULN|6DMG|7RCVC|8RCR
161	22511 22323	 * 	194.30	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB|1DUR	1DUR|25CGEN|3MDPS|45aVULN|5BPWR|6AART|7ZMB|8CDMG|9RCR
162	11523 53235	   	194.29	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CDMG|aDUST
163	34211 35413	   	194.14	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	1TLV|2RMIN|34VULN|5CDMG|6ASPD|7CGEN|8DMG|9RCR|aNUKE
164	34212 32413	   	194.14	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	1TLV|2RMIN|34VULN|5AME|6ASPD|7DMG|8CDMG|9RCR|aNUKE
165	34212 35413	   	194.14	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	1TLV|2RMIN|34VULN|5AME|6ASPD|7CDMG|8DMG|9RCR|aNUKE
166	26511 22323	   	194.10	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB|1DUR	1DUR|25ERES|3MDPS|45aVULN|5BPWR|6AART|7ZMB|8CDMG|9RCR
167	54335 32323	 * 	194.07	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3DMG|4AART|5LIT|6ASPD|7VULN|8RCR|9RMIN|aCDMG
168	34211 31413	   	194.04	DCR|2VULN|1NUKE|1ASPD|1DMG|1CDMG	1TLV|2RMIN|34VULN|5CDMG|6ASPD|7ERES|8DMG|9RCR|aNUKE
169	21432 52261	   	193.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DUR|2ASPD|3DUST|48AART|5ZMB|6MLV|7VULN|9DMG|aRCR
170	16632 13433	 * 	193.85	DCR|1SPLARM|2VULN|2DMG|1AART	17FEWX|2aVULN|37DMG|4AART|5MBVNT|67LHND|7BPWR|8SPLARM|9RCR
171	21416 33421	   	193.79	DCR|3ASPD|1AART|1DMG|2DUR|2ZMB	1aDUR|26aASPD|34DUST|5AART|7DMG|8RCR|9aZMB|aBPWR
172	54331 31126	   	193.69	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3DMG|4aAART|5VULN|6DUST|7MDPS|8RCR|9ASPD
173	16134 41221	 * 	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1FEWX|2aVULN|3DUR|4BEXP|5AART|6aCDMG|7ASPD|8aERES|9RCR|aBPWR
174	34212 16315	 * 	193.62	DCR|3VULN|1AART|1ASPD|1CDMG	1TLV|2RMIN|346VULN|5AME|7AART|8CDMG|9ASPD|aRCR
175	16225 22321	 * 	193.52	DCR|3VULN|1MDPS|1AART|2CDMG|1ZMB	1aFEWX|24aVULN|3AME|5MDPS|6AART|7ZMB|8aCDMG|9RCR|aBPWR
176	16325 22321	   	193.52	DCR|3VULN|1MDPS|1AART|2CDMG|1ZMB	1aFEWX|24aVULN|3MLV|5MDPS|6AART|7ZMB|8aCDMG|9RCR|aBPWR
177	21314 63134	 * 	193.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	16DUR|2ASPD|3LIT|4RPLT|56CDMG|6BPWR|7DMG|89VULN|aRCR
178	21522 51431	   	193.11	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3MDPS|47DMG|5MLV|6RCR|8AART|9VULN|aRMIN
179	11522 51315	   	193.11	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1FEWX|2ASPD|3MDPS|47DMG|5MLV|6RCR|8VULN|9DUR|aAART
180	21522 51432	   	193.01	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3MDPS|47DMG|5MLV|6RCR|8AART|9VULN|aDUST
181	21523 51431	   	193.01	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3MDPS|47DMG|5TLV|6RCR|8AART|9VULN|aRMIN
182	11523 51315	   	193.01	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1FEWX|2ASPD|3MDPS|47DMG|5TLV|6RCR|8VULN|9DUR|aAART
183	21523 51432	   	192.91	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3MDPS|47DMG|5TLV|6RCR|8AART|9VULN|aDUST
184	11512 41113	   	192.76	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB	1FEWX|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aAAC
185	11525 41113	   	192.76	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB	1FEWX|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aAAC
186	61512 21113	   	192.76	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB	1BEXP|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9AART|aAAC
187	61525 21113	   	192.76	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC|1ZMB	1BEXP|2ASPD|3MDPS|46DMG|5VULN|7ZMB|8RCR|9AART|aAAC
188	21226 15421	 * 	192.75	DCR|3ASPD|2DMG|3DUR|2ZMB	14aDUR|24aASPD|3DLOT|4aBPWR|5DUST|67DMG|8RCR|9aZMB
189	52331 11648	   	192.74	DCR|2VULN|1AART|1ASPD|3DUR|1ZMB	1RCVC|236DUR|36BPWR|4AART|56VULN|7ZMB|8MBVNT|9ASPD|aRCR
190	21231 32312	   	192.70	DCR|3ASPD|2VULN|1CDMG|2DUR	15DUR|269ASPD|3DLOT|47VULN|8CDMG|aRCR
191	21221 12443	   	192.70	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	14DUR|24ASPD|3DLOT|4BPWR|5LWND|6DMG|7RCVC|8RCR|9VULN|aAART
192	21224 12413	   	192.70	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	14DUR|24ASPD|3DLOT|4BPWR|5VULN|6DMG|7RCVC|8RCR|9LHND|aAART
193	21224 12433	   	192.70	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	14DUR|24ASPD|3DLOT|4BPWR|5VULN|6DMG|7RCVC|8RCR|9BEXP|aAART
194	21225 12443	   	192.70	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	14DUR|24ASPD|3DLOT|4BPWR|5LHND|6DMG|7RCVC|8RCR|9VULN|aAART
195	21431 33441	   	192.61	DCR|2ASPD|1VULN|1AART|1DMG|2DUR|1AAC	15DUR|26ASPD|3DUST|4AART|7DMG|8RCR|9VULN|aAAC
196	21226 12443	   	192.60	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	14DUR|24ASPD|3DLOT|4BPWR|5DUST|6DMG|7RCVC|8RCR|9VULN|aAART
