0	Index      	 *	Score 	Summary	Detail	
34	16652 23321	 * 	203.00	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	1aFEWX|2aVULN|35DMG|4MDPS|6AART|7CGEN|8aCDMG|9RCR|aBPWR
35	31621 24132	   	202.94	DCR|2VULN|2DMG|1AART|2CDMG	19TLV|28CDMG|39DMG|49VULN|5BELT|6RCVC|7AART|9BPWR|aRCR
36	11522 53213	   	202.80	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9DUR|aCDMG
37	11522 53234	   	202.80	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9CDMG|aDUR
38	61522 53213	   	202.80	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	18BEXP|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9DUR|aCDMG
39	11523 53213	   	202.70	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9DUR|aCDMG
40	11523 53234	   	202.70	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9CDMG|aDUR
41	61523 53213	   	202.70	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	18BEXP|28ASPD|3MDPS|4DMG|5TLV|6RCR|78VULN|8BPWR|9DUR|aCDMG
42	16621 13412	   	202.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|246VULN|3DMG|5ZMB|7ASPD|8CDMG|9RCR|aCGEN
43	21224 34152	 * 	202.33	DCR|3ASPD|2VULN|1AART|2DUR	14DUR|246ASPD|3DLOT|4BPWR|5aVULN|7LIT|8AART|9RCR
44	21565 23111	   	202.24	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4ZMB|57VULN|6DMG|8RCR|9AART|aRMIN
45	16621 13411	   	202.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1MSE	1FEWX|246VULN|3DMG|5ZMB|7ASPD|8CDMG|9RCR|aMSE
46	54322 32331	 * 	202.23	DCR|2VULN|2DMG|2ASPD|1ZMB	1RCVC|2ZMB|39DMG|4FEWX|5TLV|69ASPD|7ERES|89VULN|9BPWR|aRCR
47	21565 23112	   	202.14	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4ZMB|57VULN|6DMG|8RCR|9AART|aDUST
48	16621 33412	   	202.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1FEWX|24VULN|36DMG|5ZMB|7ASPD|8CDMG|9RCR|aCGEN
49	21431 14421	 * 	202.09	DCR|2AART|2ASPD|1DMG|3DUR|2ZMB	15aDUR|2aASPD|3DUST|47AART|6DMG|8RCR|9aZMB|aBPWR
50	21366 53131	   	202.03	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	14DUR|2aASPD|3LIT|5ZMB|6RCR|7DMG|89VULN
51	11522 53225	   	202.02	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78VULN|8BPWR|9BEXP|aAART
52	16621 33411	   	201.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1MSE	1FEWX|24VULN|36DMG|5ZMB|7ASPD|8CDMG|9RCR|aMSE
