0	Index      	 *	Score 	Summary	Detail	
163	23543 13222	   	195.33	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9BEXP|aMDPS
164	23543 13242	   	195.33	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9LWND|aMDPS
165	23331 26613	 * 	195.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|27CDMG|3MLV|4CGEN|5DMG|6DUR|8RCR|9VULN|aASPD
166	26623 31334	 * 	195.28	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG|1AAC	1AART|2aVULN|3AAC|4CDMG|5MDPS|6aDMG|7aDUST|8DMSP|9RCR|aBPWR
167	26133 62216	   	195.23	DCR|2DMG|2ASPD|1AART|1VULN	1AART|2VULN|3aCGEN|4BEXP|5LHND|6aASPD|7DUST|8RCR|9aDMG|aBPWR
168	23543 13252	   	195.23	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9LEGI|aMDPS
169	23543 13262	   	195.23	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9DUST|aMDPS
170	26325 16123	   	195.19	DCR|3ASPD|2VULN|1AART|1DUR	1AART|28VULN|35LIT|456ASPD|5BPWR|7LHND|9DUR|aRCR
171	26325 12113	   	195.19	DCR|3ASPD|2VULN|1AART|1DUR	1AART|28VULN|35LIT|456ASPD|5BPWR|7DUR|9LWND|aRCR
172	31316 41611	 * 	195.07	DCR|3ASPD|2VULN|1CDMG|1DUR	19VULN|29FEWX|3RCVC|4AELBLL|5CDMG|679ASPD|8RCR|9BPWR|aDUR
173	23132 23611	   	194.93	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2CDMG|3BEXP|479VULN|5RMIN|6RCVC|8RCR|aDUR
174	23522 23611	   	194.93	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2CDMG|379VULN|4FEWX|5RMIN|6RCVC|8RCR|aDUR
175	26451 32112	   	194.93	3VULN|1SPLARM|3DMG|1MDPS|1AART|1AAC	1AART|24aVULN|348DMG|4BPWR|5MDPS|6SPLARM|7AAC|9BELT
176	43331 43216	   	194.88	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB	1aZMB|2MDPS|3aVULN|4MLV|57LHND|6AART|8RCR|9aDMG|aBPWR
177	23545 31231	   	194.87	DCR|2VULN|2AART|1MDPS|2CDMG|1AAC|1DUR	16AART|25CDMG|34VULN|7MDPS|8RCR|9DUR|aAAC
178	23621 26231	 * 	194.80	DCR|2ASPD|1AART|1VULN|2CDMG|2ZMB	1AART|29CDMG|3RPLT|49ASPD|5CGEN|6TLV|79ZMB|8RCR|9BPWR|aVULN
179	23135 32315	   	194.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2CDMG|3BEXP|4aVULN|5RPLT|6SPLARM|7AAC|8RCR|9ASPD
180	26152 63211	   	194.29	DCR|2VULN|2AART|1DMG|1CDMG	17AART|24VULN|34CGEN|4BPWR|5ERES|6CDMG|8DMG|9RCR|aRCVC
181	26335 13163	   	194.22	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	17AART|2VULN|3LIT|4FEWX|5DUR|6ZMB|8RCR|9CDMG|aASPD
182	43312 14532	 * 	194.20	DCR|5VULN|1MDPS|3ZMB	178ZMB|2MDPS|3468aVULN|5RCVC|8BPWR|9RCR
183	26235 13163	   	194.12	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	17AART|2VULN|3DUST|4LIT|5DUR|6ZMB|8RCR|9CDMG|aASPD
184	23132 23612	   	194.06	DCR|3VULN|1AART|2CDMG	1AART|2aCDMG|3BEXP|479VULN|5RMIN|6RCVC|8RCR
185	23522 23612	   	194.06	DCR|3VULN|1AART|2CDMG	1AART|2aCDMG|379VULN|4FEWX|5RMIN|6RCVC|8RCR
186	26152 63213	   	193.96	DCR|2VULN|2AART|1DMG|1CDMG	17AART|24VULN|34aCGEN|4BPWR|5ERES|6CDMG|8DMG|9RCR
187	31154 23216	   	193.90	DCR|2VULN|2DMG|1AART|1DUR	1aVULN|2FEWX|3aMLV|4DUR|5LHND|6AART|7RMIN|8RCR|9aDMG|aBPWR
188	26152 63212	   	193.86	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	17AART|24VULN|34CGEN|4BPWR|5ERES|6CDMG|8DMG|9RCR|aSELL
189	23565 13333	   	193.80	DCR|3VULN|2AART|1CDMG	16AART|2CDMG|379VULN|4DUST|5MULARM|8RMIN|aRCR
190	31332 45834	   	193.75	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18VULN|28FEWX|3RCVC|4MBVNT|5DUR|6CDMG|78DMG|8BPWR|9RCR|aZMB
191	23136 14225	   	193.73	DCR|3VULN|2AART|1CDMG	17AART|2CDMG|3BEXP|46aVULN|5LHND|8RCR|9LWND
192	23131 45251	   	193.73	DCR|3VULN|2AART|1CDMG	19AART|2CDMG|3BEXP|47aVULN|5AELBLL|6FEWX|8RCR
193	23136 15253	   	193.66	DCR|2VULN|2AART|2CDMG|1ZMB	19AART|27CDMG|3BEXP|46VULN|5LHND|8RCR|aZMB
194	23136 14213	   	193.66	DCR|2VULN|2AART|2CDMG|1ZMB	17AART|29CDMG|3BEXP|46VULN|5LHND|8RCR|aZMB
195	23434 14213	   	193.66	DCR|2VULN|2AART|2CDMG|1ZMB	17AART|29CDMG|3LHND|46VULN|5BEXP|8RCR|aZMB
196	23534 14213	   	193.66	DCR|2VULN|2AART|2CDMG|1ZMB	17AART|29CDMG|36VULN|4LHND|5BEXP|8RCR|aZMB
197	26336 35331	   	193.66	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1AART|28VULN|3LIT|48FEWX|5AAC|68DMG|7RCR|8BPWR|9ZMB|aLHND
198	26336 35332	   	193.66	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1AART|28VULN|3aLIT|48FEWX|5AAC|68DMG|7RCR|8BPWR|9ZMB
199	26336 35333	   	193.66	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1AART|28VULN|3LIT|48FEWX|5AAC|68DMG|7RCR|8BPWR|9ZMB|aBEXP
200	23626 21522	   	193.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	15AART|2CDMG|3RPLT|4ASPD|6VULN|7FEWX|8LWND|9RCR|aDMG
201	23626 21523	 * 	193.64	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG	15AART|2CDMG|3RPLT|4ASPD|6VULN|7FEWX|8LWND|9RCR|aNUKE
202	23626 23522	   	193.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	15AART|2CDMG|3RPLT|4ASPD|6VULN|7BEXP|8LWND|9RCR|aDMG
203	23626 23523	   	193.64	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG	15AART|2CDMG|3RPLT|4ASPD|6VULN|7BEXP|8LWND|9RCR|aNUKE
204	23525 13234	   	193.63	DCR|3VULN|2AART|1CDMG	16AART|2CDMG|37aVULN|4FEWX|5MULARM|8RCR|9TLV
205	23543 23333	   	193.57	DCR|4VULN|1AART|1CDMG	1AART|2CDMG|3479VULN|5MULFIG|6DUST|8RMIN|aRCR
206	31523 33462	 * 	193.40	DCR|1SPLARM|2DMG|2ASPD|1VULN|1ZMB|1DUR	1VULN|28FEWX|3CGEN|4SPLARM|58DMG|6DUR|78ASPD|8BPWR|9ZMB|aRCR
207	32523 33462	   	193.40	DCR|1SPLARM|2DMG|2ASPD|1VULN|1ZMB|1DUR	1VULN|28BEXP|3CGEN|4SPLARM|58DMG|6DUR|78ASPD|8BPWR|9ZMB|aRCR
208	23136 15235	   	193.39	DCR|3VULN|1AART|2CDMG|1DUR	1AART|27CDMG|3BEXP|46aVULN|5LHND|8RCR|9DUR
209	26413 53212	   	193.38	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AART|2VULN|39DMG|4DUR|5LHND|6LWND|7RMIN|8RCR|aASPD
210	26413 53213	   	193.38	DCR|2DMG|1VULN|1AART|1NUKE|1DUR	1AART|2VULN|39DMG|4DUR|5LHND|6LWND|7RMIN|8RCR|aNUKE
211	26523 53212	   	193.38	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AART|2VULN|3FEWX|4DUR|59DMG|6LWND|7RMIN|8RCR|aASPD
212	26523 53213	   	193.38	DCR|2DMG|1VULN|1AART|1NUKE|1DUR	1AART|2VULN|3FEWX|4DUR|59DMG|6LWND|7RMIN|8RCR|aNUKE
213	26236 35322	   	193.34	DCR|2VULN|1MDPS|2DMG|1AART|1AAC	1AART|28VULN|3DUST|48LIT|5AAC|68DMG|7RCR|8BPWR|9RCVC|aMDPS
214	23543 23234	   	193.30	DCR|4VULN|1AART|1CDMG	1AART|2CDMG|347aVULN|5MULFIG|6DUST|8RCR|9TLV
215	21436 23212	   	193.28	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AART|2DUST|39DMG|4FEWX|5DUR|6VULN|7RMIN|8RCR|aASPD
216	21436 23213	   	193.28	DCR|2DMG|1VULN|1AART|1NUKE|1DUR	1AART|2DUST|39DMG|4FEWX|5DUR|6VULN|7RMIN|8RCR|aNUKE
217	21523 23212	   	193.28	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AART|2DUST|3FEWX|4DUR|59DMG|6VULN|7RMIN|8RCR|aASPD
218	21523 23213	   	193.28	DCR|2DMG|1VULN|1AART|1NUKE|1DUR	1AART|2DUST|3FEWX|4DUR|59DMG|6VULN|7RMIN|8RCR|aNUKE
219	26412 43212	   	193.28	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AART|2VULN|39DMG|4DUR|5LWND|6DUST|7RMIN|8RCR|aASPD
220	26412 43213	   	193.28	DCR|2DMG|1VULN|1AART|1NUKE|1DUR	1AART|2VULN|39DMG|4DUR|5LWND|6DUST|7RMIN|8RCR|aNUKE
221	26413 43212	   	193.28	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1AART|2VULN|39DMG|4DUR|5LHND|6DUST|7RMIN|8RCR|aASPD
222	26413 43213	   	193.28	DCR|2DMG|1AART|1VULN|1NUKE|1DUR	1AART|2VULN|39DMG|4DUR|5LHND|6DUST|7RMIN|8RCR|aNUKE
223	26523 43212	   	193.28	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AART|2VULN|3FEWX|4DUR|59DMG|6DUST|7RMIN|8RCR|aASPD
224	26523 43213	   	193.28	DCR|2DMG|1VULN|1AART|1NUKE|1DUR	1AART|2VULN|3FEWX|4DUR|59DMG|6DUST|7RMIN|8RCR|aNUKE
225	26523 12124	   	193.26	DCR|2VULN|2AART|1DMG|2DUR	19AART|2aVULN|3FEWX|47DUR|5DMG|6LIT|8RCR
226	51212 22636	   	193.20	DCR|2VULN|2ASPD|2CDMG|1DUR	1RMIN|2aASPD|3BEXP|4aVULN|5DUR|6FEWX|7aCDMG|8RCR|9RPLT|aBPWR
227	51213 12636	   	193.20	DCR|2VULN|2ASPD|2CDMG|1DUR	1RMIN|2aASPD|3BEXP|4aVULN|5FEWX|6DUR|7aCDMG|8RCR|9RPLT|aBPWR
228	23132 35253	   	193.17	DCR|2VULN|2AART|1CDMG|1ZMB	19AART|2CDMG|3BEXP|47VULN|5RMIN|6MLV|8RCR|aZMB
229	26324 22124	   	193.16	DCR|2VULN|2AART|1ASPD|2DUR	19AART|2aVULN|3LIT|4ASPD|5DUST|67DUR|8RCR
230	26523 12163	   	193.12	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1AART|2VULN|3FEWX|47DUR|5DMG|6LIT|8RCR|9CDMG|aASPD
231	26452 33211	   	193.10	DCR|2VULN|2AART|2DMG	18AART|24VULN|34DMG|4BPWR|5ERES|6AIRARM|7MSLREG|9BELT|aRCR
232	21214 36251	   	193.06	DCR|2VULN|2AART|1MDPS|1DMG|2DUR	16AART|239DUST|49DUR|5MDPS|79VULN|8RCR|9BPWR|aDMG
233	51314 11433	 * 	193.03	DCR|3VULN|1ASPD|1NUKE|1ZMB	1RMIN|2ASPD|3LHND|468VULN|5ZMB|7RPLT|9RCR|aNUKE
234	26324 22163	   	193.02	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1AART|2VULN|3LIT|4ASPD|5DUST|67DUR|8RCR|9CDMG|aDMG
235	26453 22113	   	192.97	DCR|2VULN|2DMG|1AART|1AAC|1DUR	1AART|24VULN|34DMG|4BPWR|5FEWX|6LIT|7DUR|8RCR|9LWND|aAAC
