0	Index      	 *	Score 	Summary	Detail	
36	23543 13231	   	205.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9TLV|aASPD
37	23543 13251	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9LEGI|aDMG
38	23543 13261	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9DUST|aDMG
39	23541 11314	   	205.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|34VULN|5aDMG|67LIT|8ZMB|9RCR
40	26453 22121	 * 	205.71	DCR|2VULN|2AART|2DMG|1DUR	19AART|24VULN|34DMG|4BPWR|5FEWX|6LIT|7DUR|8RCR|aLHND
41	26453 22122	   	205.71	DCR|2VULN|2AART|2DMG|1DUR	19AART|24VULN|34DMG|4BPWR|5FEWX|6aLIT|7DUR|8RCR
42	26453 22123	   	205.71	DCR|2VULN|2AART|2DMG|1DUR	19AART|24VULN|34DMG|4BPWR|5FEWX|6LIT|7DUR|8RCR|aBEXP
43	23562 13613	   	204.46	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|379VULN|46DUST|5RMIN|8RCR|aASPD
44	26324 35321	   	204.14	DCR|2VULN|2DMG|1AART|1ASPD	1AART|28VULN|38LIT|4ASPD|5DUST|68DMG|7RCR|8BPWR|9RCVC|aBEXP
45	26324 35323	   	204.14	DCR|2VULN|2DMG|1AART|1ASPD	1AART|28VULN|38LIT|4ASPD|5DUST|68DMG|7RCR|8BPWR|9RCVC|aLWND
46	21324 36251	   	204.11	DCR|2VULN|2AART|1MDPS|2ASPD|1AAC	16AART|29DUST|3RMIN|49ASPD|5MDPS|79VULN|8RCR|9BPWR|aAAC
47	26523 13163	 * 	203.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	17AART|2VULN|3FEWX|4DUR|5DMG|6LIT|8RCR|9CDMG|aASPD
48	26324 23163	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	17AART|2VULN|3LIT|4ASPD|5DUST|6DUR|8RCR|9CDMG|aDMG
49	21324 36213	 * 	203.72	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD	16AART|2DUST|3RMIN|4ASPD|5MDPS|7VULN|8RCR|9aDMG
50	26113 62216	 * 	203.53	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1AART|2VULN|3aCGEN|4DUR|5LHND|6aASPD|7DUST|8RCR|9aDMG|aBPWR
51	23136 14215	 * 	203.39	DCR|2VULN|2AART|2CDMG|1DMG	17AART|29CDMG|3BEXP|46VULN|5LHND|8RCR|aDMG
52	26324 35331	   	203.39	DCR|2VULN|2DMG|1AART|1ASPD	1AART|28VULN|38aLIT|4ASPD|5DUST|68DMG|7RCR|8BPWR|9FEWX
53	26324 35311	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|28VULN|38LIT|4ASPD|59DUST|68DMG|7RCR|8BPWR|aBEXP
54	26324 35313	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|28VULN|38LIT|4ASPD|59DUST|68DMG|7RCR|8BPWR|aLWND
55	26324 35333	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1AART|28VULN|38LIT|4ASPD|5DUST|68DMG|7RCR|8BPWR|9FEWX|aSELL
56	31462 24312	 * 	203.08	DCR|4VULN|3DMG|1MDPS	1589VULN|29FEWX|3MDPS|468LIT|789DMG|89BPWR|aRCR
57	21324 36214	 * 	202.38	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	16AART|2DUST|3RMIN|4ASPD|5MDPS|7VULN|8RCR|9DMG|aCDMG
58	23136 14235	 * 	202.04	DCR|3VULN|2AART|1CDMG|1DUR	17AART|2CDMG|3BEXP|46aVULN|5LHND|8RCR|9DUR
59	23545 32211	   	201.72	DCR|2VULN|2AART|2CDMG|1DMG	16AART|25CDMG|34VULN|7LWND|8DMG|9RCR|aRCVC
