0	Index      	 *	Score 	Summary	Detail	
33	62431 31412	   	205.72	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8TLV|9DMG|aDUST
34	62431 31622	   	205.72	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8MDPS|9TLV|aDMG
35	62432 31532	 * 	203.53	ACR|3BEXP|2ASPD|1DMG|2CDMG	1aASPD|27aDUR|35CDMG|4RCR|6DMG|89aBEXP|aBPWR
36	62431 31513	   	201.51	ACR|3ASPD|2BEXP|2CDMG|1AART	17aASPD|29DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8RCVC
37	62431 31221	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AME|aLIT
38	62431 31224	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AME|aFEWX
39	62431 31225	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	179ASPD|2aDUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AME
40	62431 31421	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8TLV|aLIT
41	62431 31433	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	17aASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8TLV|9CGEN
42	62431 31222	   	201.16	ACR|3ASPD|2BEXP|2CDMG|1AART|1SELL	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AME|aSELL
43	62431 31422	   	201.16	ACR|3ASPD|2BEXP|2CDMG|1AART|1SELL	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8TLV|aSELL
44	62431 31336	   	201.10	ACR|2ASPD|2BEXP|2CDMG|1AART|1AAC	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9CGEN|aVULN
