0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43221 53313	8	 * 	307.31	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	14AART|27DUR|37DMG|567aVULN|7BPWR|8CDMG|9RCR
2	43221 53623	7	   	307.31	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	14AART|27DUR|37DMG|567aVULN|7BPWR|8RCR|9CDMG
3	52213 61361	3	 * 	303.45	ACR|5VULN|3DMG|3DUR|1ASPD	14679VULN|278DUR|3RCR|579DMG|79BPWR|aASPD
4	52213 61361	4	   	303.45	ACR|5VULN|3DMG|3DUR|1ASPD	14679VULN|278DUR|3RCR|579DMG|79BPWR|aASPD
5	43231 53313	8	   	299.54	DCR|4VULN|2DMG|2DUR|1CDMG	1AART|27DUR|37DMG|4RCVC|567aVULN|7BPWR|8CDMG|9RCR
6	43231 53623	7	   	299.54	DCR|4VULN|2DMG|2DUR|1CDMG	1AART|27DUR|37DMG|4RCVC|567aVULN|7BPWR|8RCR|9CDMG
7	12733 72611	9	 * 	298.81	DCR|3VULN|3DMG|3DUR|1TLV	1MBVNT|29aDUR|3CGEN|49aVULN|5LHND|6TLV|79aDMG|8RCR|9aBPWR
8	12437 72611	9	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	1MBVNT|29aDUR|3ERES|49aVULN|5FEWX|6TLV|79aDMG|8RCR|9aBPWR
9	32233 61661	4	   	296.71	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	127DUR|3LWND|467VULN|57DMG|7BPWR|8RCR|9TLV|aCDMG
10	32233 61626	4	   	296.11	DCR|3VULN|3DMG|3DUR|1CDMG	127DUR|3LWND|467VULN|57aDMG|7BPWR|8RCR|9CDMG
11	32143 16162	2	   	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	127DUR|369VULN|456DMG|6BPWR|8RCR|aCDMG
12	43221 53312	8	   	295.67	DCR|3VULN|2DMG|2DUR|2AART|1CDMG|1ASPD	14AART|27DUR|37DMG|567VULN|7BPWR|8CDMG|9RCR|aASPD
13	43221 53622	7	   	295.67	DCR|3VULN|2DMG|2DUR|2AART|1CDMG|1ASPD	14AART|27DUR|37DMG|567VULN|7BPWR|8RCR|9CDMG|aASPD
14	32143 16161	2	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD	127DUR|369VULN|456DMG|6BPWR|8RCR|aASPD
15	34533 61112	4	   	292.55	DCR|3VULN|3DMG|2DUR|1CDMG	17DUR|2LHND|357DMG|467VULN|7BPWR|8RCR|9CDMG|aAART
16	54533 31112	4	   	292.55	DCR|3VULN|3DMG|2DUR|1CDMG	147VULN|2LHND|357DMG|67DUR|7BPWR|8RCR|9CDMG|aAART
17	56533 31112	4	   	292.45	DCR|3VULN|3DMG|2DUR|1CDMG	147VULN|2LEGI|357DMG|67DUR|7BPWR|8RCR|9CDMG|aAART
18	52213 61362	4	   	292.35	ACR|5VULN|3DMG|3DUR	14679VULN|278DUR|3RCR|579DMG|79BPWR|aERES
19	52213 61362	3	   	292.35	ACR|5VULN|3DMG|3DUR	14679VULN|278DUR|3RCR|579DMG|79BPWR|aERES
20	52213 61363	4	   	292.35	ACR|5VULN|3DMG|3DUR	14679VULN|278DUR|3RCR|579DMG|79BPWR|aMBVNT
21	52213 61363	3	   	292.35	ACR|5VULN|3DMG|3DUR	14679VULN|278DUR|3RCR|579DMG|79BPWR|aMBVNT
22	33514 16321	6	   	290.97	DCR|3VULN|3DMG|3DUR	17aDUR|2FEWX|37aDMG|4LIT|5LHND|67aVULN|7aBPWR|8RMIN|9RCR
23	33516 16321	6	   	290.97	DCR|3VULN|3DMG|3DUR	17aDUR|2FEWX|37aDMG|4LIT|5LWND|67aVULN|7aBPWR|8RMIN|9RCR
24	33514 16221	6	   	290.87	DCR|3VULN|3DMG|3DUR|1NUKE	17aDUR|2FEWX|37aDMG|4LIT|5LHND|67aVULN|7aBPWR|8NUKE|9RCR
25	33516 16221	6	   	290.87	DCR|3VULN|3DMG|3DUR|1NUKE	17aDUR|2FEWX|37aDMG|4LIT|5LWND|67aVULN|7aBPWR|8NUKE|9RCR
26	52532 12321	6	 * 	290.80	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV|1SELL	149VULN|29DUR|3aDMG|5TLV|69ASPD|7RCR|8SELL|9BPWR
27	52532 14321	7	 * 	290.80	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV|1SELL	149VULN|29DUR|3aDMG|5TLV|69ASPD|7RCR|8SELL|9BPWR
28	52211 11361	6	 * 	290.04	ACR|5VULN|3DUR|3ASPD|1DMG	14579VULN|257DUR|3RCR|579BPWR|679ASPD|8RCVC|aDMG
29	52211 11551	6	   	289.94	ACR|5VULN|3DUR|3ASPD|1DMG	14578VULN|257DUR|3RCR|57BPWR|679ASPD|aDMG
30	52211 11561	6	   	289.94	ACR|5VULN|3DUR|3ASPD|1DMG	14578VULN|257DUR|3RCR|579BPWR|679ASPD|aDMG
31	52212 61361	4	   	289.94	ACR|5VULN|3DUR|3ASPD|1DMG	14679VULN|278DUR|3RCR|579ASPD|79BPWR|aDMG
32	52212 61361	3	   	289.94	ACR|5VULN|3DUR|3ASPD|1DMG	14679VULN|278DUR|3RCR|579ASPD|79BPWR|aDMG
33	32233 61623	4	   	288.77	DCR|3VULN|3DUR|2DMG|1CDMG	127DUR|3LWND|467VULN|57DMG|7BPWR|8RCR|9CDMG|aLIT
