0	Index      	 *	Score 	Summary	Detail	
36	14322 12126	   	196.30	ACR|1BASARM|3BEXP|1VULN|1AART	169BEXP|2VULN|3LIT|4ERES|5RCR|7AART|8BASARM|aRPLT
37	14322 12121	   	196.20	ACR|1BASARM|3BEXP|1VULN|1AART	169BEXP|2VULN|3LIT|4aERES|5RCR|7AART|8BASARM
38	14322 12122	   	196.20	ACR|1BASARM|3BEXP|1VULN|1AART	169BEXP|2VULN|3LIT|4ERES|5RCR|7AART|8BASARM|aDUST
39	14322 12125	   	196.20	ACR|1BASARM|3BEXP|1VULN|1AART	169BEXP|2VULN|3LIT|4ERES|5RCR|7AART|8BASARM|aTLV
40	31544 12121	 * 	196.00	ACR|2ASPD|2BEXP|1VULN|2CDMG|2AAC	1aAAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9DUST
41	25534 62322	   	195.92	ACR|2VULN|2DMG|2BEXP|1ASPD	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8LIT|9ASPD|aRCVC
42	25534 62144	   	195.86	ACR|3VULN|3BEXP|2DMG	17DMG|2LEGI|3MBVNT|478BEXP|5RCR|67aVULN|7BPWR|9RMIN
43	25534 62114	   	195.76	ACR|3VULN|3BEXP|2DMG	17DMG|2LEGI|3MBVNT|478BEXP|5RCR|67aVULN|7BPWR|9ERES
44	23564 62143	   	195.69	ACR|2VULN|2DMG|2BEXP|1ASPD	17DMG|2LHND|3MBVNT|47FEWX|5RCR|67VULN|7BPWR|89BEXP|aASPD
45	25534 62321	   	195.59	ACR|2VULN|2DMG|2BEXP|1ASPD	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8LIT|9ASPD|aZMB
46	25534 62323	   	195.49	ACR|2VULN|2DMG|2BEXP|1ASPD	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8LIT|9ASPD|aDUST
47	31544 12122	 * 	195.48	ACR|2ASPD|2BEXP|3CDMG|1VULN	1AAC|27BEXP|37aCDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9DUST
48	26524 24842	   	195.35	ACR|2VULN|2DMG|2BEXP|1ASPD|1SELL	19DMG|29VULN|3MBVNT|4LWND|5RCR|6ERES|7SELL|89BEXP|9BPWR|aASPD
49	26524 27342	   	195.35	ACR|2VULN|2DMG|2BEXP|1ASPD|1SELL	19DMG|29VULN|3MBVNT|4LWND|5RCR|6ERES|79BEXP|8SELL|9BPWR|aASPD
50	26524 34842	   	195.35	ACR|2VULN|2DMG|2BEXP|1ASPD|1SELL	19DMG|29VULN|3MBVNT|4LWND|5RCR|6TLV|7SELL|89BEXP|9BPWR|aASPD
51	26524 37342	   	195.35	ACR|2VULN|2DMG|2BEXP|1ASPD|1SELL	19DMG|29VULN|3MBVNT|4LWND|5RCR|6TLV|79BEXP|8SELL|9BPWR|aASPD
52	31541 11521	 * 	195.16	ACR|3VULN|2BEXP|1DMG|2CDMG	1AAC|2aBEXP|3aCDMG|4RCR|5ERES|6MDPS|7DMG|89aVULN|aBPWR
53	31543 31521	   	195.16	ACR|3VULN|2BEXP|1DMG|2CDMG	1AAC|2aBEXP|3aCDMG|4RCR|5MDPS|6ERES|7DMG|89aVULN|aBPWR
54	54521 11321	   	195.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	1BELT|2VULN|38BEXP|4RCR|5NUKE|6RMIN|7BASARM|9ASPD|aCGEN
55	54521 11322	   	195.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	1BELT|2VULN|38BEXP|4RCR|5NUKE|6RMIN|7BASARM|9ASPD|aZMB
