0	Index      	 *	Score 	Summary	Detail	
36	13443 32343	   	174.66	DCR|3VULN|2DMG|2ZMB|1DUR	1DUST|2aDMG|3ERES|4DUR|56aVULN|7RCR|8CGEN|9aZMB|aBPWR
37	46222 21211	   	174.58	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1LHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|8ZMB|9FLTHEA|aDUR
38	13534 43231	   	174.31	DCR|3DMG|1AART|1VULN|2DUR	19DUST|239DMG|4AART|5CGEN|6LIT|7RCR|89DUR|9BPWR|aVULN
39	16112 15216	   	174.27	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUST|2CDMG|3RCR|4RMIN|5ASPD|6DMG|79VULN|8AART|aDUR
40	16221 21135	 * 	174.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1DUST|2CDMG|3AART|4aDMG|5FEWX|6VULN|7RCR|8LHND|9FLTHEA
41	16263 21135	   	174.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1DUST|2CDMG|3AART|4FEWX|5VULN|6aDMG|7RCR|8LHND|9FLTHEA
42	46222 21513	   	174.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1LHND|2CDMG|3AART|4DMG|5DUST|6aVULN|7RCR|8RMIN|9FLTHEA
43	56222 21135	   	174.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1BEXP|2CDMG|3AART|4aDMG|5DUST|6VULN|7RCR|8LHND|9FLTHEA
44	16112 15214	 * 	173.95	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1DUST|2CDMG|3RCR|4RMIN|5aASPD|6DMG|79VULN|8AART
45	63552 33231	   	173.91	DCR|3DMG|1AART|1VULN|2DUR	19FEWX|239DMG|4LIT|5AART|6CGEN|7RCR|89DUR|9BPWR|aVULN
46	63531 51123	   	173.85	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|23DMG|4AART|57DUR|6aVULN|8RCR|9CGEN
47	53521 12321	 * 	173.80	DCR|4VULN|2DMG|1ASPD	1BEXP|23DMG|4ERES|589aVULN|6ASPD|7RCR
48	63521 12321	   	173.80	DCR|4VULN|2DMG|1ASPD	1FEWX|23DMG|4ERES|589aVULN|6ASPD|7RCR
49	63531 51113	   	173.75	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|23DMG|4AART|57DUR|6aVULN|8RCR|9TLV
50	66122 12323	 * 	173.74	ACR|2VULN|2DMG|2CDMG|2ASPD	147FEWX|2aCDMG|3RCR|58VULN|6aDMG|9aASPD|aBPWR
51	13552 33231	   	173.71	DCR|3DMG|1AART|1VULN|2DUR	19DUST|239DMG|4LIT|5AART|6CGEN|7RCR|89DUR|9BPWR|aVULN
52	13552 63231	   	173.71	DCR|3DMG|1AART|1VULN|2DUR	19DUST|239DMG|4LIT|5AART|6MLV|7RCR|89DUR|9BPWR|aVULN
53	13521 12321	   	173.70	DCR|4VULN|2DMG|1ASPD	1DUST|23DMG|4ERES|589aVULN|6ASPD|7RCR
54	16112 15423	 * 	173.54	ACR|2VULN|2DMG|3ASPD|1CDMG	1aDUST|2CDMG|3RCR|4RMIN|589ASPD|6aDMG|7aVULN|aBPWR
55	53521 12151	   	173.33	DCR|3DMG|1AART|1VULN|2ASPD	19BEXP|239DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLIT
56	53521 12152	   	173.33	DCR|3DMG|1AART|1VULN|2ASPD	19aBEXP|239DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR
57	63521 12151	   	173.33	DCR|3DMG|1AART|1VULN|2ASPD	19FEWX|239DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aLIT
58	63521 12152	   	173.33	DCR|3DMG|1AART|1VULN|2ASPD	19FEWX|239DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aBEXP
59	16221 21426	   	172.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1DUST|2CDMG|3AART|49DMG|5FEWX|6VULN|7RCR|8aDUR
60	53411 12151	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	19BEXP|29DMG|3ERES|4ZMB|59VULN|6DMSP|7RCR|8AART|9BPWR|aLIT
61	53411 12153	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	19BEXP|29DMG|3ERES|4ZMB|59VULN|6DMSP|7RCR|8AART|9BPWR|aLHND
62	63411 12151	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	19FEWX|29DMG|3ERES|4ZMB|59VULN|6DMSP|7RCR|8AART|9BPWR|aLIT
63	63411 12153	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	19FEWX|29DMG|3ERES|4ZMB|59VULN|6DMSP|7RCR|8AART|9BPWR|aLHND
64	63411 22153	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	169FEWX|29DMG|3ERES|4ZMB|59VULN|7RCR|8AART|9BPWR|aDMSP
65	23511 54113	 * 	172.72	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	19TLV|2DUR|39DMG|4ZMB|5aVULN|6RPLT|79CDMG|8RCR|9BPWR
66	53411 32151	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	19BEXP|29DMG|36ERES|4ZMB|59VULN|7RCR|8AART|9BPWR|aLIT
67	53411 32153	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	19BEXP|29DMG|36ERES|4ZMB|59VULN|7RCR|8AART|9BPWR|aLHND
68	63411 22152	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	169FEWX|29DMG|3ERES|4ZMB|59VULN|7RCR|8AART|9BPWR|aDUST
69	53323 42326	 * 	172.58	DCR|4VULN|1AART|1DMG	1BEXP|2DMG|3589VULN|46CGEN|7RCR|aAART
70	53363 32326	   	172.38	DCR|4VULN|1AART|1DMG	1BEXP|2DMG|3589VULN|46ERES|7RCR|aAART
71	56263 21232	   	172.12	DCR|2AART|2VULN|1DMG|1CDMG	1BEXP|2CDMG|39AART|4FEWX|5aVULN|6DMG|7RCR|8LIT
72	16221 21232	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	1DUST|2CDMG|39AART|4DMG|5FEWX|6aVULN|7RCR|8LIT
73	16263 21232	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	1DUST|2CDMG|39AART|4FEWX|5aVULN|6DMG|7RCR|8LIT
74	56222 21232	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	1BEXP|2CDMG|39AART|4DMG|5DUST|6aVULN|7RCR|8LIT
75	15162 24131	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LIT|3AART|4ZMB|5BELT|69VULN|7RCR|8CDMG|aDMG
76	46222 21334	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3AART|4DMG|5DUST|6aVULN|7RCR|8CGEN|9ZMB
77	16221 21334	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3AART|4DMG|5FEWX|6aVULN|7RCR|8ERES|9ZMB
78	16221 21534	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3AART|4DMG|5FEWX|6aVULN|7RCR|8TLV|9ZMB
79	16263 21334	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3AART|4FEWX|5aVULN|6DMG|7RCR|8ERES|9ZMB
80	46222 21263	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2CDMG|3AART|49DMG|5DUST|6VULN|7RCR|8ZMB|aTLV
81	56222 21334	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2CDMG|3AART|4DMG|5DUST|6aVULN|7RCR|8ERES|9ZMB
82	31121 12156	   	171.33	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1DMSP|29BEXP|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aCDMG
83	42121 12256	   	171.33	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	129LHND|39DMG|4ERES|5VULN|69ASPD|7RCR|8AART|9BPWR|aCDMG
