0	Index      	 *	Score 	Summary	Detail	
39	16123 41131	   	188.58	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	178DMG|2DUST|3BASICY|4CDMG|5FLTHEA|6RCR|9AART|aVULN
40	13123 31265	 * 	187.57	DCR|3VULN|2DMG|3CDMG|1ZMB	15DMG|29aVULN|3MGNLIT|456CDMG|5BPWR|7ZMB|8RCR
41	13423 31265	   	187.47	DCR|3VULN|2DMG|3CDMG|1ZMB	15DMG|29aVULN|3CANSTR|456CDMG|5BPWR|7ZMB|8RCR
42	14123 43133	   	187.36	DCR|3DMG|1AART|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9AART|aLWND
43	14123 43135	   	187.36	DCR|3DMG|1AART|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9AART|aRPLT
44	14123 43126	   	186.76	DCR|3DMG|1AART|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9BEXP|aAART
45	13151 13615	   	186.57	DCR|3VULN|2DMG|1AART|1ZMB	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9RMIN|aZMB
46	13151 13624	   	186.57	DCR|3VULN|2DMG|1AART|1ZMB	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9BELT|aZMB
47	13151 13641	   	186.57	DCR|3VULN|2DMG|1AART|1ZMB	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9ZMB|aFEWX
48	13151 13643	   	186.57	DCR|3VULN|2DMG|1AART|1ZMB	14DMG|256VULN|36MGNLIT|6BPWR|7AART|8RCR|9ZMB|aCGEN
49	53111 13642	   	186.37	DCR|3VULN|2DMG|1AART|1ZMB	1DMSP|25aVULN|36SNIHEL|46DMG|6BPWR|7AART|8RCR|9ZMB
50	13122 33362	   	186.02	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39MGNLIT|456CDMG|7AART|8RCR|9BPWR|aFEWX
51	13122 33363	   	186.02	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39MGNLIT|456CDMG|7AART|8RCR|9BPWR|aCGEN
52	13122 33364	   	186.02	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39MGNLIT|456CDMG|7AART|8RCR|9BPWR|aRCVC
53	13122 33365	   	186.02	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39MGNLIT|456CDMG|7AART|8RCR|9BPWR|aBEXP
54	13122 33366	   	185.92	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39MGNLIT|456CDMG|7AART|8RCR|9BPWR|aERES
55	13123 33343	   	185.92	DCR|2VULN|2DMG|3CDMG|1AART	15DMG|2aVULN|3MGNLIT|456CDMG|5BPWR|7AART|8RCR|9MLV
56	13422 33362	   	185.82	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39CANSTR|456CDMG|7AART|8RCR|9BPWR|aFEWX
57	13422 33363	   	185.82	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39CANSTR|456CDMG|7AART|8RCR|9BPWR|aCGEN
58	13422 33364	   	185.82	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39CANSTR|456CDMG|7AART|8RCR|9BPWR|aRCVC
59	13422 33365	   	185.82	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39CANSTR|456CDMG|7AART|8RCR|9BPWR|aBEXP
60	13423 33343	   	185.82	DCR|2VULN|2DMG|3CDMG|1AART	15DMG|2aVULN|3CANSTR|456CDMG|5BPWR|7AART|8RCR|9MLV
61	13123 33333	   	185.82	DCR|2VULN|2DMG|3CDMG|1AART	15DMG|2aVULN|3MGNLIT|456CDMG|5BPWR|7AART|8RCR|9ERES
62	13422 33366	   	185.72	DCR|2VULN|2DMG|3CDMG|1AART	19DMG|29VULN|39CANSTR|456CDMG|7AART|8RCR|9BPWR|aERES
63	13423 33333	   	185.72	DCR|2VULN|2DMG|3CDMG|1AART	15DMG|2aVULN|3CANSTR|456CDMG|5BPWR|7AART|8RCR|9ERES
64	53111 13635	   	184.81	DCR|2VULN|2DMG|2AART|1CDMG	1DMSP|25VULN|36SNIHEL|46DMG|6BPWR|7aAART|8RCR|9CDMG
65	13225 35242	 * 	184.32	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	17DMG|27VULN|3CDMG|4BEXP|57ZMB|6AART|7BPWR|8LIT|9LWND|aRCR
66	36426 32131	 * 	184.28	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	1LWND|2RCR|39AART|4ASPD|5DMG|6aVULN|7CDMG|8LHND
67	14215 43233	   	184.26	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DMG|2DUR|3CDMG|48VULN|5ZMB|6RCR|7AIRHEA|9AART|aASPD
68	36431 53311	   	184.18	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1LWND|2RCR|36AART|4CDMG|5DUR|78DMG|9VULN|aLEGI
69	36431 53313	   	184.18	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1LWND|2RCR|36AART|4CDMG|5DUR|78DMG|9VULN|aTLV
70	13123 33311	   	183.98	DCR|3DMG|3CDMG|1AART|1VULN	15aDMG|2VULN|3MGNLIT|456CDMG|5BPWR|7AART|8RCR|9RCVC
71	13423 33311	   	183.88	DCR|3DMG|3CDMG|1AART|1VULN	15aDMG|2VULN|3CANSTR|456CDMG|5BPWR|7AART|8RCR|9RCVC
72	36426 32221	   	183.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2RCR|3AART|4ASPD|5DMG|6aVULN|7CDMG|8ZMB|9RMIN
73	36426 32232	   	183.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2RCR|3AART|4ASPD|5DMG|6aVULN|7CDMG|8ZMB|9FEWX
74	36324 13314	   	183.68	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1LWND|2RCR|3LHND|45AART|6CDMG|78DMG|9VULN|aDUR
75	14123 43161	   	183.62	DCR|3DMG|1VULN|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9VULN|aLWND
76	14123 43162	   	183.62	DCR|3DMG|1VULN|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9VULN|aBEXP
77	14123 43163	   	183.62	DCR|3DMG|1VULN|2FLTHEA|1CDMG|2DUR	178DMG|27DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9VULN|aCGEN
78	13123 32265	   	183.51	DCR|3VULN|2DMG|3CDMG|1ASPD	15DMG|29aVULN|3MGNLIT|456CDMG|5BPWR|7ASPD|8RCR
79	13423 32265	   	183.41	DCR|3VULN|2DMG|3CDMG|1ASPD	15DMG|29aVULN|3CANSTR|456CDMG|5BPWR|7ASPD|8RCR
