0	Index      	 *	Score 	Summary	Detail	
1	21511 24113	 * 	339.69	DCR|DCR|3TLV|3VULN	137VULN|237DUST|37BPWR|467TLV|5NUKE|8aRCR|9ERES
2	23532 64311	 * 	331.53	DCR|4VULN|2TLV|2ASPD|1DMG	1357VULN|23LHND|37BPWR|47ASPD|67TLV|8RCR|9DMG|aDUR
3	23532 64313	   	321.87	DCR|4VULN|2TLV|2ASPD|1DMG	1357VULN|23LHND|37BPWR|47ASPD|67TLV|8RCR|9DMG|aFEWX
4	23532 64331	   	321.87	DCR|4VULN|2TLV|2ASPD|1DMG	1357VULN|23LHND|37BPWR|47ASPD|67TLV|8RCR|9FEWX|aDMG
5	23532 64312	   	321.77	DCR|4VULN|2TLV|2ASPD|1DMG	1357VULN|23LHND|37BPWR|47ASPD|67TLV|8RCR|9DMG|aMDPS
6	23261 31651	 * 	315.90	ACR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1aVULN|2LHND|3LSRREG|48RCR|5AEFBLL|6TLV|7ASPD|9RAT
7	23532 64322	 * 	313.25	DCR|4VULN|2TLV|3ASPD	1357VULN|23LHND|37BPWR|479ASPD|67TLV|8RCR|aRMIN
8	23532 64323	   	313.25	DCR|4VULN|2TLV|3ASPD	1357VULN|23LHND|37BPWR|479ASPD|67TLV|8RCR|aLIT
9	23532 64321	   	313.15	DCR|4VULN|2TLV|3ASPD	1357VULN|23LHND|37BPWR|479ASPD|67TLV|8RCR|aERES
10	23632 64311	   	310.38	DCR|3VULN|2TLV|2ASPD|1DMG	157VULN|23LHND|47ASPD|67TLV|7BPWR|8RCR|9DMG|aDUR
