0	Index      	 *	Score 	Summary	Detail	
1	21351 14631	 * 	234.78	ACR|2VULN|1BASARM|2AART|1ASPD|1DMG	1LHND|25VULN|3DMG|4RCR|6aAART|7CGEN|8ASPD|9BASARM
2	32351 12462	 * 	225.31	ACR|2VULN|2ASPD|2BEXP|1DMG|2CDMG	1DUR|2aBEXP|3DMG|4RCR|57VULN|6aASPD|8SPLREG|9aCDMG|aBPWR
3	32351 15631	 * 	221.98	ACR|3DMG|2VULN|1ASPD|1AART|1BEXP	1DUR|2BEXP|378DMG|4RCR|59VULN|6ASPD|aAART
4	32351 12621	   	221.98	ACR|2VULN|3DMG|1ASPD|1AART|1BEXP	1DUR|2BEXP|389DMG|4RCR|57VULN|6ASPD|aAART
5	32355 21532	 * 	220.52	ACR|2VULN|2ASPD|2DMG|2BEXP	1DUR|2aBEXP|35DMG|4RCR|6TLV|7aVULN|8AME|9aASPD|aBPWR
6	22353 15421	 * 	220.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1LHND|2aBEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9DUST
7	32352 15421	   	220.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1DUR|2aBEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9DUST
8	22351 64332	   	220.28	ACR|3DMG|1VULN|1ASPD|1BEXP|1CDMG|1AART	1LHND|2BEXP|367DMG|4RCR|5VULN|8AART|9CDMG|aASPD
9	31326 12462	 * 	219.54	ACR|3VULN|2ASPD|1DMG|2CDMG|1BEXP	1DUR|27aVULN|3DMG|4BEXP|5RCR|6aASPD|8SPLREG|9aCDMG|aBPWR
10	15211 46333	 * 	219.26	ACR|3VULN|1BASARM|1DMG|1BEXP|1CDMG	1CDMG|25aVULN|35LWND|4RCR|5BPWR|6BEXP|7DMG|8AME|9BASARM
11	32353 15431	   	219.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1DUR|2BEXP|37DMG|4RCR|5DUST|6ASPD|8BASARM|9ZMB|aAART
12	22353 15422	   	219.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1LHND|2BEXP|37DMG|4RCR|5DUR|6ASPD|8BASARM|9DUST|aAART
13	32352 15422	   	219.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1DUR|2BEXP|37DMG|4RCR|5LHND|6ASPD|8BASARM|9DUST|aAART
14	32353 15411	   	219.16	ACR|1BASARM|2DMG|1ASPD|1AART|1BEXP	1DUR|2BEXP|37DMG|4RCR|5DUST|6ASPD|8BASARM|9ERES|aAART
15	21351 14632	   	218.95	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1LHND|25VULN|3DMG|4RCR|6AART|7aCGEN|8ASPD|9BASARM
16	31351 14631	   	218.95	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1DUR|25VULN|3DMG|4RCR|6AART|7CGEN|8ASPD|9BASARM|aDMSP
17	31351 14633	   	218.95	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1aDUR|25VULN|3DMG|4RCR|6AART|7CGEN|8ASPD|9BASARM
18	21351 14633	   	218.85	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1LHND|25VULN|3DMG|4RCR|6AART|7CGEN|8ASPD|9BASARM|aTLV
19	31351 14632	   	218.85	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1DUR|25VULN|3DMG|4RCR|6AART|7CGEN|8ASPD|9BASARM|aMBVNT
20	31326 12621	   	216.98	ACR|2VULN|3DMG|1ASPD|1AART|1BEXP	1DUR|27VULN|389DMG|4BEXP|5RCR|6ASPD|aAART
21	31326 15631	   	216.98	ACR|3DMG|2VULN|1ASPD|1AART|1BEXP	1DUR|29VULN|378DMG|4BEXP|5RCR|6ASPD|aAART
22	13463 41313	 * 	216.96	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2BELT|3ASPD|47DMG|5RCR|6ZMB|8VULN|9RMIN|aBASARM
23	11323 21313	   	216.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2NUKE|37DMG|4BELT|5RCR|6ASPD|8VULN|9RMIN|aBASARM
24	13463 21513	 * 	216.86	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1CDMG|2BELT|36ASPD|4DMG|5RCR|7VULN|8AAC|9RMIN|aBASARM
25	15211 46331	 * 	216.51	ACR|2VULN|1BASARM|2CDMG|1DMG|1BEXP	1aCDMG|25VULN|35LWND|4RCR|5BPWR|6BEXP|7DMG|8AME|9BASARM
26	31355 62112	 * 	216.24	ACR|2VULN|3DMG|1BASARM	167DUR|27VULN|357DMG|4RCR|7BPWR|8ZMB|9DUST|aBASARM
27	22316 15421	   	215.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1LHND|2aBEXP|37DMG|4FEWX|5RCR|6ASPD|8BASARM|9DUST
