0	Index      	 *	Score 	Summary	Detail	
146	31336 41363	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2CDMG|3DMG|46VULN|5RCR|7FEWX|8CGEN|aASPD
147	33316 21166	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2ASPD|3aVULN|4CDMG|5RCR|6DUR|8DMG|9BELT
148	33316 41361	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8CGEN|aDMG
149	33316 46211	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aBEXP|2ASPD|36VULN|4CDMG|5RCR|7LIT|8DMG|9DUR
150	33316 46231	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aBEXP|2ASPD|36VULN|4CDMG|5RCR|7LIT|8DMG|9LHND
151	31633 21151	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3CGEN|49VULN|5RCR|6DUR|8ASPD|aDMG
152	31633 41161	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2CDMG|3CGEN|46VULN|5RCR|7FEWX|8ASPD|aDMG
153	31633 45131	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3CGEN|46VULN|5RCR|8LHND|9ASPD|aDMG
154	31633 45331	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3CGEN|46VULN|5RCR|8LWND|9ASPD|aDMG
155	33116 41351	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2ASPD|3LWND|4CDMG|5RCR|69VULN|8CGEN|aDMG
156	31336 11216	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3DMG|4aVULN|5RCR|6DUST|8DUR|9ASPD
157	31336 21136	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3DMG|4aVULN|5RCR|6DUR|8ASPD|9DUST
158	31336 41142	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2CDMG|3DMG|46VULN|5RCR|7FEWX|8ASPD|aERES
159	31336 41143	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2CDMG|3DMG|46VULN|5RCR|7FEWX|8ASPD|aNUKE
160	31336 45121	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aBEXP|2CDMG|3DMG|46VULN|5RCR|7DUST|8ASPD|9CGEN
161	33316 21136	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2ASPD|3aVULN|4CDMG|5RCR|6DUR|8DMG|9DUST
162	33316 41142	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8DMG|aERES
163	33316 41143	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2ASPD|36VULN|4CDMG|5RCR|7FEWX|8DMG|aNUKE
164	33316 45121	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aBEXP|2ASPD|36VULN|4CDMG|5RCR|7DUST|8DMG|9CGEN
165	33116 41136	   	193.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2ASPD|3LWND|4CDMG|5RCR|6aVULN|8DMG|9DUST
166	31336 11616	   	193.36	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3DMG|4aVULN|5RCR|6DUST|8LEGI|9ASPD
167	31336 45111	   	193.36	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aBEXP|2CDMG|3DMG|46VULN|5RCR|7DUST|8ASPD|9AME
168	33316 45111	   	193.36	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aBEXP|2ASPD|36VULN|4CDMG|5RCR|7DUST|8DMG|9AME
169	31336 33113	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7LWND|8RMIN|9ERES|aBASARM
170	31336 33163	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7LWND|8RMIN|9AME|aBASARM
171	31336 35113	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7LHND|8RMIN|9ERES|aBASARM
172	31336 35163	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7LHND|8RMIN|9AME|aBASARM
173	33316 33113	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7LWND|8RMIN|9ERES|aBASARM
174	33316 33163	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7LWND|8RMIN|9AME|aBASARM
175	33316 35113	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7LHND|8RMIN|9ERES|aBASARM
176	33316 35163	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7LHND|8RMIN|9AME|aBASARM
177	51336 31113	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7BEXP|8RMIN|9ERES|aBASARM
178	51336 31163	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1LHND|2CDMG|3DMG|4VULN|5RCR|6MDPS|7BEXP|8RMIN|9AME|aBASARM
179	53316 31113	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1LHND|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7BEXP|8RMIN|9ERES|aBASARM
180	53316 31163	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1LHND|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7BEXP|8RMIN|9AME|aBASARM
181	61336 33138	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MBVNT|2CDMG|3DMG|4VULN|5RCR|6RMIN|7RPLT|8ERES|9BASARM|aBEXP
182	33116 36113	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3LWND|4CDMG|5RCR|6MDPS|7VULN|8RMIN|9ERES|aBASARM
183	33116 36163	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3LWND|4CDMG|5RCR|6MDPS|7VULN|8RMIN|9AME|aBASARM
184	31336 32113	   	193.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7LEGI|8RMIN|9ERES|aBASARM
185	31336 32163	   	193.17	ACR|1BASARM|1VULN|1DMG|1CDMG|1BEXP	1BEXP|2CDMG|3DMG|4VULN|5RCR|6MDPS|7LEGI|8RMIN|9AME|aBASARM
186	33316 32113	   	193.17	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7LEGI|8RMIN|9ERES|aBASARM
187	33316 32163	   	193.17	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1BEXP|2ASPD|3VULN|4CDMG|5RCR|6MDPS|7LEGI|8RMIN|9AME|aBASARM
188	21434 32123	   	193.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1CGEN|2LHND|3MDPS|4RCR|5DMG|6LWND|7VULN|8CDMG|9AAC|aBASARM
189	11434 52123	   	192.93	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1TLV|2LHND|3MDPS|4RCR|5DMG|6LWND|7VULN|8CDMG|9AAC|aBASARM
190	22434 35213	   	192.93	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1CGEN|2VULN|3MDPS|4RCR|5DMG|6LWND|7AAC|8DUST|9CDMG|aBASARM
191	41336 31143	   	192.89	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1DUR|2CDMG|3aDMG|4VULN|5RCR|6TLV|7AAC|8ASPD|9BEXP
192	43316 31143	   	192.89	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC	1DUR|2ASPD|3VULN|4CDMG|5RCR|6TLV|7AAC|8aDMG|9BEXP
193	61336 26112	   	192.87	ACR|2VULN|2ASPD|1DMG|2CDMG	1MBVNT|2aCDMG|3DMG|4aVULN|5RCR|6DUR|79ASPD|8aERES|aBPWR
194	61336 51141	   	192.87	ACR|2VULN|2DMG|1ASPD|2CDMG	1MBVNT|29CDMG|3aDMG|46VULN|5RCR|7FEWX|8ASPD
195	61336 52131	   	192.87	ACR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1MBVNT|2CDMG|3aDMG|46VULN|5RCR|7ZMB|8AAC|9ASPD
196	61336 82131	   	192.87	ACR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1MBVNT|2CDMG|3aDMG|47VULN|5RCR|6CGEN|8AAC|9ASPD
197	33116 21331	   	192.22	ACR|3BEXP|2ASPD|1DMG|1CDMG	178BEXP|28ASPD|3LWND|4CDMG|5RCR|68DUR|8BPWR|9LIT|aDMG
198	31336 21142	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8ASPD|aLHND
199	31336 21145	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8ASPD|aFEWX
200	31336 21461	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8LIT|9ASPD
201	33316 21142	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8DMG|aLHND
202	33316 21145	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8DMG|aFEWX
203	33316 21461	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8LIT|9DMG
204	32115 41141	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|24RPLT|3DMG|5RCR|6VULN|8ASPD|aCDMG
205	33116 41142	   	192.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3LWND|4CDMG|5RCR|6VULN|8DMG|aLHND
206	31336 11121	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8ASPD|9CGEN
207	31336 11142	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8ASPD|aLHND
208	31336 11145	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8ASPD|aFEWX
209	31336 11461	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8LIT|9ASPD
210	31336 21143	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8ASPD|aERES
211	31336 21144	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUR|8ASPD|aTLV
212	33316 11121	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8DMG|9CGEN
213	33316 11142	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8DMG|aLHND
214	33316 11145	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8DMG|aFEWX
215	33316 11461	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8LIT|9DMG
216	33316 21143	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8DMG|aERES
217	33316 21144	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8DMG|aTLV
218	33116 41143	   	192.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3LWND|4CDMG|5RCR|6VULN|8DMG|aERES
219	31336 11111	   	192.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8ASPD|9AME
220	31336 11143	   	192.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8ASPD|aERES
221	31336 11144	   	192.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8ASPD|aTLV
222	33316 11111	   	192.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	17aBEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8DMG|9AME
223	33316 11143	   	192.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8DMG|aERES
224	33316 11144	   	192.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	179BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8DMG|aTLV
225	31336 25112	   	191.99	ACR|2ASPD|1VULN|1DMG|2CDMG|1BEXP	1BEXP|2aCDMG|3DMG|4VULN|5RCR|6aDUR|79ASPD|8aERES|aBPWR
226	33116 45132	   	191.99	ACR|2DMG|1VULN|1ASPD|2CDMG|1BEXP	1BEXP|2ASPD|3aLWND|4aCDMG|5RCR|6VULN|7aDMG|8ERES|9DUST|aBPWR
227	61336 21444	   	191.89	ACR|2DMG|1VULN|2CDMG|1ASPD|1BEXP	1MBVNT|28CDMG|39DMG|4VULN|5RCR|6DUR|7BEXP|aASPD
228	31336 43252	   	191.29	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|46VULN|5RCR|7RMIN|8CGEN|9aLWND|aBPWR
229	33116 43241	   	191.29	ACR|2VULN|2ASPD|2BEXP|1CDMG	19BEXP|29ASPD|3LWND|4CDMG|5RCR|69VULN|7RMIN|8RPLT|9BPWR|aLIT
230	33316 21365	 * 	191.27	ACR|2VULN|3BEXP|1ASPD|1CDMG|1AAC	179BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUR|89LWND|9BPWR|aAAC
231	33351 56121	 * 	191.19	DCR|3DMG|3BEXP|1VULN|1ASPD|1AAC	159BEXP|2ASPD|3VULN|458DMG|5BPWR|6AAC|7RPLT|aRCR
232	31336 36212	   	191.19	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|47VULN|5RCR|6MDPS|8CGEN|9aLIT|aBPWR
233	33116 43242	   	191.19	ACR|2VULN|2ASPD|2BEXP|1CDMG	19BEXP|29ASPD|3LWND|4CDMG|5RCR|69VULN|7RMIN|8RPLT|9BPWR|aDUST
234	33116 43243	   	191.19	ACR|2VULN|2ASPD|2BEXP|1CDMG	19BEXP|29ASPD|3LWND|4CDMG|5RCR|69VULN|7RMIN|8RPLT|9BPWR|aMDPS
235	41336 11212	   	191.19	ACR|2VULN|2DMG|2BEXP|1CDMG	1DUR|2CDMG|3aDMG|4aVULN|5RCR|6DUST|7aBEXP|8CGEN|9LIT|aBPWR
236	51336 11212	   	191.19	ACR|2VULN|2DMG|2BEXP|1CDMG	1LHND|2CDMG|3aDMG|4aVULN|5RCR|6DUST|7aBEXP|8CGEN|9LIT|aBPWR
237	31336 34312	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|48VULN|5RCR|6MDPS|7TLV|9aLIT|aBPWR
238	31336 34362	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|48VULN|5RCR|6MDPS|7TLV|9aFEWX|aBPWR
239	31336 36512	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|47VULN|5RCR|6MDPS|8ERES|9aLIT|aBPWR
240	31336 41361	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	19BEXP|2CDMG|3aDMG|46VULN|5RCR|7FEWX|8CGEN
241	31336 46231	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|38DMG|46VULN|5RCR|7LIT|9CGEN
242	33116 41316	   	191.09	ACR|2VULN|2ASPD|2BEXP|1CDMG	17BEXP|2aASPD|3LWND|4CDMG|5RCR|6aVULN|8CGEN|9aAME|aBPWR
243	33316 23112	   	191.09	ACR|2VULN|2ASPD|2BEXP|1CDMG	1aBEXP|29ASPD|3aVULN|4CDMG|5RCR|6DUR|7RMIN|8aERES|aBPWR
244	41336 11512	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1DUR|2CDMG|3aDMG|4aVULN|5RCR|6DUST|7aBEXP|8ERES|9LIT|aBPWR
245	51336 11512	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1LHND|2CDMG|3aDMG|4aVULN|5RCR|6DUST|7aBEXP|8ERES|9LIT|aBPWR
246	51336 33362	   	191.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1aLHND|2CDMG|3aDMG|48VULN|5RCR|6MDPS|7AME|9aBEXP|aBPWR
247	53316 33262	   	191.09	ACR|2VULN|2ASPD|2BEXP|1CDMG	1aLHND|28ASPD|3aVULN|4CDMG|5RCR|6MDPS|7AME|9aBEXP|aBPWR
248	31336 33532	   	190.99	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|49VULN|5RCR|6MDPS|7LWND|8aERES|aBPWR
249	31336 35532	   	190.99	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|3aDMG|49VULN|5RCR|6MDPS|7LHND|8aERES|aBPWR
250	31336 46212	   	190.99	ACR|2VULN|2DMG|2BEXP|1CDMG	19BEXP|2CDMG|38DMG|46VULN|5RCR|7LIT|aAIRHEL
251	31336 46213	   	190.99	ACR|2VULN|2DMG|2BEXP|1CDMG	19BEXP|2CDMG|38DMG|46VULN|5RCR|7LIT|aNUKE
252	31336 46221	   	190.99	ACR|2VULN|2DMG|2BEXP|1CDMG	1aBEXP|2CDMG|38DMG|46VULN|5RCR|7LIT|9TLV
253	33316 45211	   	190.99	ACR|2VULN|2ASPD|2BEXP|1CDMG	1aBEXP|29ASPD|36VULN|4CDMG|5RCR|7DUST|8DUR
254	33316 21362	 * 	190.97	ACR|3VULN|3BEXP|1ASPD|1CDMG	179BEXP|2ASPD|39aVULN|4CDMG|5RCR|6DUR|89LWND|9BPWR
