0	Index      	 *	Score 	Summary	Detail	
38	26311 55322	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7BEXP|8LEGI|9MLV
39	26331 55322	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4BBNT|5ERES|6aRCR|7BEXP|8LEGI|9MLV
40	14515 11322	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2TBNT|3LEGI|4LWND|5VULN|6CGEN|7aRCR|8CDMG|9MLV
41	16311 55322	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7BEXP|8LEGI|9MLV
42	16331 55322	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4BBNT|5ERES|6aRCR|7BEXP|8LEGI|9MLV
43	16311 51622	   	248.48	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4TBNT|57ERES|6aRCR|8MDPS|9MLV
44	16331 51622	   	248.48	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4BBNT|57ERES|6aRCR|8MDPS|9MLV
45	31335 13264	   	248.30	DCR|DCR|1MLV|1ASPD|1CDMG|1AART	1DUR|2ASPD|3LWND|4CDMG|5AART|6MLV|7RMIN|8ERES|9aRCR
46	32145 21522	 * 	247.48	ACR|DCR|2VULN|1MLV|2DUR	19DUR|2BBNT|39CGEN|4MLV|5aRCR|6LSRHEA|79VULN|8TBNT|9BPWR
47	13623 61151	   	247.12	DCR|DCR|1VULN|1DMG|1AART	1AME|2BASICY|3AART|4VULN|5TBNT|6BEXP|79RCR|8DMG|aERES
48	13623 61152	   	247.12	DCR|DCR|1VULN|1DMG|1AART	1AME|2BASICY|3AART|4VULN|5TBNT|6BEXP|79RCR|8DMG|aMBVNT
49	13623 61153	   	247.12	DCR|DCR|1VULN|1DMG|1AART	1AME|2BASICY|3AART|4VULN|5TBNT|6BEXP|79RCR|8DMG|aVENICY
50	62316 16132	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	1LWND|2BBNT|3VULN|4RPLT|56LHND|7aRCR|8DUST|9MLV
51	31116 21145	 * 	243.01	DCR|4VULN|2ASPD|3DUR	156DUR|28ASPD|3BLASTR|4568VULN|568BPWR|78BEXP|9NUKE|aRCR
52	31116 21115	   	242.87	DCR|4VULN|2ASPD|3DUR|1ZMB	156DUR|28ASPD|3BLASTR|4568VULN|568BPWR|78BEXP|9ZMB|aRCR
53	24164 33132	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	13CGEN|2TBNT|4RPLT|57DUR|6aRCR|8VULN|9MDPS
54	32211 41332	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2BBNT|4VULN|5LEGI|6LHND|7aRCR|8RMIN|9RPLT
55	32211 41252	   	242.01	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2BBNT|4VULN|5LEGI|6LHND|7aRCR|8RPLT|9ERES
56	26322 11562	   	241.68	DCR|4VULN|1MLV|1ASPD|1CDMG	1CGEN|2CDMG|3589VULN|4ASPD|6RCR|7LWND|aMLV
57	26322 15243	   	241.65	DCR|3VULN|1DMG|1ASPD|1CDMG|1RPLT	1CGEN|2CDMG|358VULN|4ASPD|6RCR|7RPLT|9DMG|aNUKE
58	16322 15243	   	241.55	DCR|3VULN|1DMG|1ASPD|1CDMG|1RPLT	1AME|2CDMG|358VULN|4ASPD|6RCR|7RPLT|9DMG|aNUKE
59	16233 13524	   	240.80	DCR|DCR|1VULN|1CDMG|1AART	1AME|2CDMG|3RMIN|4AAC|5CGEN|6aRCR|7DUST|8VULN|9AART
60	42354 11332	   	239.55	DCR|DCR|1VULN|1CDMG	1FEWX|2BBNT|3VULN|4ERES|5DUR|6CGEN|7aRCR|8CDMG|9TLV
