0	Index      	 *	Score 	Summary	Detail	
27	33512 63336	   	251.14	DCR|4VULN|1DMG|1MLV|1AART	1MLV|246aVULN|3TBNT|5RCVC|7AART|8RCR|9DMG
28	23413 32132	   	251.06	DCR|5VULN|1DMG|1RPLT	18ERES|24578VULN|3RPLT|68AELOIC|8BPWR|9DMG|aRCR
29	63326 53211	 * 	250.15	DCR|4VULN|2ASPD|1DMG	18ASPD|2689VULN|3LWND|4DUST|58CGEN|7RCR|8BPWR|aDMG
30	23442 12142	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1ERES|2VULN|3RPLT|4MULARM|5TBNT|6aRCR|7BEXP|8DMG|9BBNT
31	12126 23434	   	248.82	DCR|DCR|1VULN|1DMG	12CGEN|3VULN|4MDPS|5DMG|6DMSP|79RCR|8BBNT|aDUR
32	13354 33523	   	248.72	DCR|DCR|1VULN|1DMG	1CGEN|2TBNT|3VULN|4BLASTR|5MBVNT|68RCR|7LWND|9DMG|aDUR
33	13354 33543	   	248.72	DCR|DCR|1VULN|1DMG	1CGEN|2TBNT|3VULN|4BLASTR|5MBVNT|68RCR|7LWND|9DUR|aDMG
34	23324 56232	   	248.72	DCR|DCR|1VULN|1DMG	1ERES|2VULN|3LWND|4DUST|56BELT|7aRCR|8DUR|9DMG
35	13354 33511	   	248.43	DCR|DCR|2VULN	1CGEN|2TBNT|3aVULN|4BLASTR|5MBVNT|68RCR|7LWND|9BEXP
36	33442 11342	   	247.64	DCR|DCR|1VULN|1MLV|1RPLT	1MLV|2VULN|3RPLT|4MULARM|5TBNT|6aRCR|7AAC|8LWND|9BBNT
37	12232 55433	   	247.64	DCR|DCR|1VULN|1MLV|1AART	12CGEN|3AART|4TLV|5BBNT|6MLV|7aRCR|8BLASTR|9VULN
38	34231 15433	   	247.64	DCR|DCR|1VULN|1MLV|1AART	1MLV|2RCVC|3AART|4TLV|5CGEN|6TBNT|7aRCR|8BLASTR|9VULN
39	33442 12342	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2VULN|3RPLT|4MULARM|5TBNT|6aRCR|7BEXP|8ZMB|9BBNT
40	33631 63433	 * 	247.13	DCR|3VULN|2DMG|1MLV	1MLV|268VULN|3ERES|49DMG|5LWND|7RCR|aDUR
41	63525 13133	 * 	246.65	DCR|DCR|1VULN|2ASPD	15ASPD|2VULN|3TBNT|4CGEN|6BEXP|79RCR|8LHND|aTLV
42	63525 13131	   	246.55	DCR|DCR|1VULN|2ASPD	15ASPD|2VULN|3TBNT|4CGEN|6BEXP|79RCR|8LHND|aMULARM
43	63525 13132	   	246.55	DCR|DCR|1VULN|2ASPD	15ASPD|2VULN|3TBNT|4CGEN|6BEXP|79RCR|8LHND|aVENTOX
44	33324 46212	   	246.09	DCR|DCR|1VULN|1MLV	1MLV|2VULN|3LWND|4DUST|5BELT|6AELOIC|7aRCR|8DUR|9NUKE
45	31132 45116	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1MLV|2DLOT|3VULN|4DUR|5LWND|6LHND|7aRCR|8LIT|9ZMB
46	31133 45116	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1MLV|2DLOT|3VULN|4DUR|5BEXP|6LHND|7aRCR|8LIT|9ZMB
47	31133 55116	   	246.04	DCR|DCR|1VULN|1MLV|1ZMB	1MLV|2DLOT|3VULN|4DUR|5BEXP|6LWND|7aRCR|8LIT|9ZMB
48	31111 55116	   	245.94	DCR|DCR|1VULN|1MLV|1ZMB	1MLV|2DLOT|3VULN|4LHND|5DUR|6DUST|7aRCR|8LIT|9ZMB
49	31132 55116	   	245.94	DCR|DCR|1VULN|1MLV|1ZMB	1MLV|2DLOT|3VULN|4DUR|5LWND|6LEGI|7aRCR|8LIT|9ZMB
