0	Index      	 *	Score 	Summary	Detail	
1	21116 25124	 * 	321.41	DCR|3VULN|2TLV|3DMG|1ASPD	18TLV|28aVULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9ASPD
2	21116 25153	   	314.70	DCR|3VULN|2TLV|3DMG	18TLV|289VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|aFLTHEA
3	21116 25135	   	307.76	DCR|3VULN|2TLV|3DMG	18TLV|28aVULN|39CGEN|4ERES|568DMG|7RCR|8BPWR
4	21116 25151	   	307.66	DCR|3VULN|2TLV|3DMG|1MSE	18TLV|289VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|aMSE
5	21116 25152	   	307.66	DCR|3VULN|2TLV|3DMG	18TLV|289VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|aMBVNT
6	23116 25351	   	305.55	DCR|3VULN|2TLV|2DMG|1CDMG	12TLV|39aVULN|4DUST|56DMG|7RCR|8CDMG
7	21116 25142	   	303.03	DCR|2TLV|2VULN|3DMG|1AEPOI|1SELL	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9SELL|aAEPOI
8	23116 25226	 * 	299.77	DCR|3TLV|2VULN|2DMG|2DUR	12aTLV|3aVULN|4DUST|56DMG|7RCR|8aDUR|9RCVC|aBPWR
9	21336 24351	   	299.51	DCR|3VULN|1TLV|2DMG|1AEFBLL|1CDMG	1TLV|28aVULN|3LWND|4AEFBLL|56DMG|7CDMG|9RCR
10	21336 25351	   	299.51	DCR|3VULN|1TLV|2DMG|1AEFBLL|1CDMG	1TLV|29aVULN|3LWND|4AEFBLL|56DMG|7RCR|8CDMG
11	21116 25121	   	296.72	DCR|2TLV|2VULN|3DMG|1ASPD	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9ASPD|aDMSP
12	21116 25122	   	296.72	DCR|2TLV|2VULN|3DMG|1ASPD	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9ASPD|aLIT
13	21116 25115	   	296.62	DCR|2TLV|2VULN|3DMG|1CDMG	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9SPLJET|aCDMG
14	21116 25123	   	296.62	DCR|2TLV|2VULN|3DMG|1ASPD	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9ASPD|aMDPS
15	21116 25125	   	296.62	DCR|2TLV|2VULN|3DMG|1ASPD	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9ASPD|aAEWIND
16	21116 25126	   	296.62	DCR|2TLV|2VULN|3DMG|1ASPD	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9ASPD|aMBVNT
17	25332 11633	 * 	296.62	DCR|3TLV|2VULN|3DMG	16aTLV|2MDPS|3DLOT|4LHND|5aVULN|7RCR|89aDMG|aBPWR
18	25342 11633	   	296.62	DCR|3TLV|2VULN|3DMG	16aTLV|2MDPS|3DLOT|4BEXP|5aVULN|7RCR|89aDMG|aBPWR
19	25362 11633	   	296.62	DCR|3TLV|2VULN|3DMG	16aTLV|2MDPS|3DLOT|4FEWX|5aVULN|7RCR|89aDMG|aBPWR
20	21116 25141	   	296.47	DCR|2TLV|2VULN|3DMG|1ASPD|1SELL	18TLV|28VULN|3CGEN|4ERES|568DMG|7RCR|8BPWR|9SELL|aASPD
21	23141 36234	 * 	295.11	DCR|3TLV|3VULN|1AEFBLL	129TLV|359VULN|4LSRREG|6AEFBLL|7RCR|89LHND|9BPWR|aZMB
22	13332 45124	   	294.71	DCR|3TLV|2VULN|2DMG|1ASPD	18MLV|248TLV|3ERES|5aVULN|68DMG|7RCR|8BPWR|9ASPD
23	23141 16243	   	294.38	DCR|3VULN|2TLV|1DMG|1AEPOI	12TLV|356VULN|4LSRREG|7RCR|8LHND|9DMG|aAEPOI
24	23141 16343	   	294.38	DCR|3VULN|2TLV|1DMG|1AEPOI	12TLV|356VULN|4LSRREG|7RCR|8BEXP|9DMG|aAEPOI
25	23332 53335	 * 	294.21	DCR|3TLV|3VULN|2ASPD	129TLV|3MLV|49aVULN|5LHND|6ERES|7RCR|89ASPD|9BPWR
26	21231 37753	 * 	292.18	DCR|DCR|2TLV|1VULN|1CDMG	16TLV|2VULN|3BELT|4MBVNT|5VENTOX|79RCR|8ZMB|aCDMG
27	21233 37753	   	292.08	DCR|DCR|2TLV|1VULN|1CDMG	16TLV|2VULN|3BELT|4MBVNT|5MULARM|79RCR|8ZMB|aCDMG
28	21112 45116	   	292.00	DCR|3VULN|2TLV|2DMG	18TLV|28aVULN|35CGEN|4ERES|68DMG|7RCR|8BPWR|9LSRICY
29	23141 16242	   	291.90	DCR|3VULN|2TLV|2DMG	12TLV|356VULN|4LSRREG|7RCR|8LHND|9aDMG
30	23141 16342	   	291.90	DCR|3VULN|2TLV|2DMG	12TLV|356VULN|4LSRREG|7RCR|8BEXP|9aDMG
31	13332 13413	   	291.66	DCR|DCR|2TLV|1VULN|1AEPOI	1MLV|24TLV|3ERES|5VULN|6AEPOI|7aRCR|8BEXP|9LWND
32	13332 13313	   	291.56	DCR|DCR|2TLV|1VULN|1AEPOI	1MLV|24TLV|3ERES|5VULN|6AEPOI|7aRCR|8DUST|9LWND
