0	Index      	 *	Score 	Summary	Detail	
153	23433 32421	   	185.96	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMSP|2LIT|3DUR|4ASPD|5DMG|6RCR|7LWND|8AART|9VULN|aZMB
154	22124 54323	   	185.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4VULN|5BELT|6aAART|7RCR|8CGEN|9DUR
155	22132 41431	   	185.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6LIT|7AART|8FEWX|9RCR|aDUR
156	31315 11135	   	185.78	DCR|3VULN|1DMG|2DUR|1ZMB	18BEXP|28CGEN|35DUR|4DMG|6RCR|789VULN|8BPWR|aZMB
157	23333 52373	   	185.60	DCR|2DMG|2ASPD|1VULN|1CDMG	1DMSP|2LIT|3MBVNT|46ASPD|56DMG|6BPWR|7FEWX|8CDMG|9RCR|aVULN
158	55212 36313	   	185.59	DCR|2DMG|1VULN|1ASPD|1CDMG|1AAC|1DUR	1DUR|2LIT|3AAC|45DMG|6RCR|7ASPD|8CGEN|9CDMG|aVULN
159	31315 11125	   	185.53	DCR|2VULN|2DMG|2DUR|1ZMB	18BEXP|28CGEN|35DUR|49DMG|6RCR|78VULN|8BPWR|aZMB
160	33556 11111	   	185.53	DCR|2VULN|2DMG|1AART	189BEXP|248FEWX|34DMG|48BPWR|5AME|6RCR|78VULN|aAART
161	23382 23574	   	185.49	DCR|3VULN|2DMG|1DUR	1DMSP|2LIT|3MBVNT|4DUR|56DMG|7RCR|89aVULN
162	13512 11114	   	185.33	DCR|2VULN|2DMG|1AART	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9RPLT|aAART
163	22145 12523	   	185.28	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	1DMSP|24ASPD|3CDMG|5AART|6BEXP|7aDUR|8VULN|9RCR
164	13643 21221	   	185.22	DCR|2VULN|1AART|2CDMG|1ASPD	1LEGI|2LHND|36VULN|4ASPD|57CDMG|8AART|9RCR|aFEWX
165	13643 21222	   	185.12	DCR|2VULN|1AART|2CDMG|1ASPD|1MSE	1LEGI|2LHND|36VULN|4ASPD|57CDMG|8AART|9RCR|aMSE
166	13643 21224	   	185.12	DCR|2VULN|1AART|2CDMG|1ASPD	1LEGI|2LHND|36VULN|4ASPD|57CDMG|8AART|9RCR|aDUST
167	13643 21226	   	185.12	DCR|2VULN|2CDMG|1AART|1ASPD	1LEGI|2LHND|36VULN|4ASPD|57CDMG|8AART|9RCR|aERES
168	23631 36322	 * 	185.05	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE	1DMSP|2LIT|3NUKE|4VULN|57ASPD|6RCR|8aCDMG|9AART
169	22432 21463	 * 	184.97	DCR|3ASPD|2VULN|1DMG	1DMSP|267ASPD|3BELT|48VULN|5TSLARM|9RCR|aDMG
170	22135 53113	   	184.90	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1DMSP|2ASPD|37CDMG|4DMG|5AART|6BEXP|8AAC|9RCR|aVULN
171	23112 56433	   	184.66	DCR|2VULN|2DMG|1MDPS|1AART|1AAC	1DMSP|29LIT|3LHND|4AART|5MDPS|69DMG|79VULN|8RCR|9BPWR|aAAC
172	14663 11223	   	184.40	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1LEGI|2SELL|3BEXP|4ASPD|5CDMG|6RCR|7VULN|8RCVC|9DMG|aAART
173	22113 41662	   	184.29	DCR|2VULN|2ASPD|2CDMG|1ZMB	1DMSP|27ASPD|37CDMG|4AELBLL|5CGEN|67VULN|7BPWR|8ZMB|9LIT|aRCR
174	22156 42416	   	184.07	DCR|2AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4CGEN|5MBVNT|6RCR|7DMG|8DUR|9aAART
175	13311 11166	   	183.84	DCR|2VULN|2DMG|1ASPD|1ZMB	1LEGI|28LHND|3ZMB|48DMG|5ASPD|6ERES|78VULN|8BPWR|9CGEN|aRCR
176	22156 44724	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|4CGEN|5MBVNT|6RCR|7DUST|8aVULN|9AART
177	23631 33222	 * 	183.69	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE|1CDMG	1DMSP|2LIT|3NUKE|49VULN|5ASPD|6RCR|7MDPS|8AART|aCDMG
178	16311 11166	   	183.64	DCR|2VULN|2DMG|1ASPD|1ZMB	1LEGI|28DUST|3ZMB|48DMG|5ASPD|6ERES|78VULN|8BPWR|9CGEN|aRCR
179	22133 66233	 * 	183.60	DCR|2VULN|2CDMG|1ASPD|1DMG	1DMSP|2ASPD|36CDMG|4DMG|5SNIFST|7AME|8RCR|9aVULN
180	22434 11113	   	183.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMSP|2ASPD|3BELT|4VULN|5TLV|69AART|7DMG|8DUR|aRCR
181	55312 23313	 * 	183.59	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1DUR|2LIT|3ASPD|4NUKE|56DMG|7RCR|8RMIN|9CDMG|aVULN
182	55312 23513	   	183.59	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1DUR|2LIT|3ASPD|4NUKE|56DMG|7RCR|8CGEN|9CDMG|aVULN
183	25233 32422	   	183.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2BEXP|3LIT|4ASPD|5DMG|6RCR|7LWND|8AART|9VULN|aCDMG
184	35133 32422	   	183.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	13BEXP|2LIT|4ASPD|5DMG|6RCR|7LWND|8AART|9VULN|aCDMG
185	55312 23213	   	183.49	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1AAC|1DUR	1DUR|2LIT|3ASPD|4NUKE|56DMG|7RCR|8AAC|9CDMG|aVULN
186	53513 13123	   	183.40	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1DUR|28BEXP|34DMG|5CDMG|6FEWX|7AART|9RCR|aVULN
187	55212 32421	   	183.38	DCR|2DMG|1VULN|1AART|1AAC|1ZMB|1DUR	1DUR|2LIT|3AAC|45DMG|6RCR|7LWND|8AART|9VULN|aZMB
188	35452 33223	 * 	183.23	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1BEXP|2LIT|3CDMG|4ASPD|5SELL|6RCR|7MDPS|8AART|9VULN|aDMG
189	13643 21252	   	183.22	DCR|2VULN|1AART|2CDMG|1ASPD	1LEGI|2LHND|36VULN|4ASPD|57CDMG|8AART|9AME|aRCR
190	23433 36326	 * 	183.16	DCR|1MDPS|2ASPD|1AART|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9AART|aMDPS
191	15452 33223	 * 	183.13	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1LEGI|2LIT|3CDMG|4ASPD|5SELL|6RCR|7MDPS|8AART|9VULN|aDMG
192	62321 38814	 * 	182.92	DCR|2VULN|2AART|1ASPD	1MLV|2LHND|3RCVC|4MBVNT|56AART|7ASPD|8RCR|9aVULN
193	15312 23426	 * 	182.89	DCR|3DMG|1VULN|1ASPD|1NUKE|1DUR	1LEGI|2LIT|3ASPD|4NUKE|56aDMG|7RCR|8VULN|9DUR
194	22132 33383	 * 	182.85	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1DUR	1DMSP|26ASPD|3CDMG|4DMG|5VULN|7MBVNT|8RCR|9DUR|aMDPS
195	22134 43383	   	182.85	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1DUR	1DMSP|25ASPD|3CDMG|4DMG|6VULN|7MBVNT|8RCR|9DUR|aMDPS
196	22136 42381	   	182.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|27aASPD|3CDMG|4DMG|5MBVNT|6MULARM|8RCR|9VULN
197	22121 31256	   	182.66	DCR|2VULN|2ASPD|1CDMG|1ZMB	1DMSP|2aASPD|3CDMG|4aVULN|5DUST|6ZMB|7RCR|8MBVNT|9aMULFIG|aBPWR
198	53522 21315	 * 	182.65	DCR|3DMG|2VULN|1NUKE|2DUR	19DUR|2BEXP|369DMG|4ERES|5LHND|79VULN|8NUKE|9BPWR|aRCR
199	51115 11161	   	182.53	DCR|2VULN|1DMG|1NUKE|3DUR	158DUR|28CGEN|3DUST|4DMG|6RCR|78VULN|8BPWR|9NUKE|aRMIN
200	51115 11162	   	182.53	DCR|2VULN|1DMG|1NUKE|3DUR	158DUR|28CGEN|3DUST|4DMG|6RCR|78VULN|8BPWR|9NUKE|aAME
201	51115 11163	   	182.53	DCR|2VULN|1DMG|1NUKE|3DUR	158DUR|28CGEN|3DUST|4DMG|6RCR|78VULN|8BPWR|9NUKE|aRCVC
202	23333 52375	   	182.37	DCR|3ASPD|2DMG|2CDMG	1DMSP|2aLIT|3MBVNT|46aASPD|56DMG|6aBPWR|7FEWX|8aCDMG|9RCR
203	23433 36313	   	182.32	DCR|2ASPD|1VULN|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9LWND|aVULN
204	23433 36323	   	182.32	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9AART|aBEXP
205	23433 36333	   	182.32	DCR|2ASPD|1VULN|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9FEWX|aVULN
206	23433 36343	   	182.32	DCR|2ASPD|1VULN|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9BEXP|aVULN
207	23433 36513	   	182.32	DCR|2ASPD|1VULN|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8BEXP|9CDMG|aVULN
208	22132 51365	   	182.24	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1DMSP|2aASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8ZMB|9LIT
209	23433 36322	   	182.22	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9AART|aDUST
210	23433 36325	   	182.22	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR|1MSE	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9AART|aMSE
211	22124 54211	   	182.21	DCR|2VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9AME|aRCVC
212	22132 41436	 * 	182.20	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6LIT|7AART|8FEWX|9RCR|aMDPS
213	23331 83574	   	182.12	DCR|3VULN|2ASPD|1DUR	1DMSP|2LIT|3MBVNT|45ASPD|6DUR|7RCR|89aVULN
214	22124 54231	   	182.11	DCR|2VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9BASFIG|aRCVC
215	23384 46521	 * 	182.11	DCR|3VULN|1AART|3DUR	1DMSP|2aLIT|3MBVNT|45aDUR|69aVULN|7RCR|8AART|aBPWR
216	23115 34325	   	182.10	DCR|3VULN|1AART|2ZMB|1SPLREG	1DMSP|27LIT|3LHND|4AART|57ZMB|67aVULN|7BPWR|8RCR|9SPLREG
217	22266 11163	   	182.06	DCR|2VULN|2ASPD|1AART	1DMSP|28ASPD|38BEXP|4LHND|5AME|6RCR|78VULN|8BPWR|9RMIN|aAART
218	22246 11163	   	181.96	DCR|2VULN|2ASPD|1AART	1DMSP|28ASPD|38BEXP|4ERES|5LWND|6RCR|78VULN|8BPWR|9RMIN|aAART
219	22266 11143	   	181.96	DCR|2VULN|2ASPD|1AART|1NUKE	1DMSP|28ASPD|38BEXP|4LHND|5AME|6RCR|78VULN|8BPWR|9NUKE|aAART
220	22266 11313	   	181.96	DCR|2VULN|2ASPD|1AART|1NUKE	1DMSP|29ASPD|39BEXP|4LHND|5AME|6RCR|79VULN|8NUKE|9BPWR|aAART
221	22124 54213	   	181.89	DCR|2VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9aAME
222	22246 11143	   	181.86	DCR|2VULN|2ASPD|1AART|1NUKE	1DMSP|28ASPD|38BEXP|4ERES|5LWND|6RCR|78VULN|8BPWR|9NUKE|aAART
223	22246 11313	   	181.86	DCR|2VULN|2ASPD|1AART|1NUKE	1DMSP|29ASPD|39BEXP|4ERES|5LWND|6RCR|79VULN|8NUKE|9BPWR|aAART
224	22124 54212	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG|1SELL	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9AME|aSELL
225	22124 54232	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9BASFIG|aAME
226	22124 54233	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9BASFIG|aFEWX
227	33162 28245	   	181.79	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3MBVNT|4CDMG|5CGEN|6aVULN|7RCR|8DMG|9AART
228	23333 55372	 * 	181.78	DCR|2DMG|2ASPD|1NUKE|1CDMG	1DMSP|2LIT|3MBVNT|46ASPD|56DMG|6BPWR|7DUST|8CDMG|9RCR|aNUKE
229	13612 43531	   	181.61	DCR|2VULN|2AART|1DMG	1LEGI|2LHND|36VULN|46CGEN|58AART|6BPWR|7RCR|9MBVNT|aDMG
230	33516 11141	   	181.61	DCR|2VULN|2DMG|1NUKE|1DUR	18BEXP|28FEWX|34DMG|5AME|6RCR|78VULN|8BPWR|9NUKE|aDUR
231	33516 11142	   	181.61	DCR|2VULN|2DMG|1NUKE	18aBEXP|28FEWX|34DMG|5AME|6RCR|78VULN|8BPWR|9NUKE
232	33516 11143	   	181.61	DCR|2VULN|2DMG|1NUKE	18BEXP|28FEWX|34DMG|5AME|6RCR|78VULN|8BPWR|9NUKE|aDMSP
233	33516 11151	   	181.61	DCR|2VULN|2DMG|1ASPD	18BEXP|28FEWX|34DMG|5AME|6RCR|78VULN|8BPWR|9DUST|aASPD
234	22135 26143	   	181.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8BEXP|9FEWX|aVULN
235	22135 26161	   	181.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8BEXP|9VULN|aFEWX
236	22135 26343	   	181.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8LWND|9FEWX|aVULN
237	22135 26361	   	181.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8LWND|9VULN|aFEWX
238	22135 26533	   	181.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	18DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|9BEXP|aVULN
239	23231 53424	   	181.51	DCR|2VULN|2AART|1ASPD	1DMSP|2LIT|3TLV|49VULN|5ASPD|6DUST|7RCR|8aAART
240	13512 11141	   	181.51	DCR|2VULN|2DMG|1NUKE|1DUR	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9NUKE|aDUR
241	13512 11142	   	181.51	DCR|2VULN|2DMG|1NUKE	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9NUKE|aBEXP
242	13512 11143	   	181.51	DCR|2VULN|2DMG|1NUKE|1CDMG	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9NUKE|aCDMG
243	13512 11144	   	181.51	DCR|2VULN|2DMG|1NUKE	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9NUKE|aMLV
244	13512 11145	   	181.51	DCR|2VULN|2DMG|1NUKE	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9NUKE|aERES
245	13512 11146	   	181.51	DCR|2VULN|2DMG|1NUKE	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9NUKE|aRPLT
246	13512 11151	   	181.51	DCR|2VULN|2DMG|1ASPD	1LEGI|258LHND|3AME|48DMG|6RCR|78VULN|8BPWR|9DUST|aASPD
247	22124 54113	   	181.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4VULN|5BELT|6AART|7RCR|8BEXP|9TSLFST|aDMG
248	22135 26162	   	181.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8BEXP|9VULN|aMSE
249	22135 26262	   	181.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|69CGEN|7RCR|8TLV|aVULN
250	22135 26362	   	181.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8LWND|9VULN|aMSE
251	22135 26623	   	181.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8MLV|9ERES|aVULN
252	32334 22623	 * 	181.44	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1NUKE	15BEXP|2NUKE|3MDPS|45ASPD|5BPWR|6RCR|7AART|8LIT|9VULN|aDMG
253	32334 25223	   	181.44	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1NUKE	15BEXP|2NUKE|3MDPS|45ASPD|5BPWR|6RCR|7LIT|8AART|9VULN|aDMG
254	25233 33116	   	181.41	DCR|2VULN|2DMG|1MDPS|1ASPD	1DMSP|2BEXP|3LIT|4ASPD|58DMG|6RCR|7MDPS|9aVULN
255	35133 33116	   	181.41	DCR|2VULN|1MDPS|2DMG|1ASPD	13BEXP|2LIT|4ASPD|58DMG|6RCR|7MDPS|9aVULN
256	22132 51221	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9AART|aLHND
257	22132 51222	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9AART|aCGEN
258	22132 51224	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9AART|aFEWX
259	22132 51228	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9AART|aMLV
260	22132 51255	   	181.37	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9MULFIG|aAART
261	22135 26223	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8TLV|9ERES|aVULN
262	22135 66223	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5AART|6AME|7RCR|8TLV|9ERES|aVULN
263	23231 36136	   	181.34	DCR|2ASPD|1VULN|1AART|1DMG	1DMSP|2LIT|3TLV|4VULN|57ASPD|6RCR|8ERES|9DMG|aAART
264	52425 11222	   	181.33	DCR|2VULN|2DMG|1NUKE|3DUR	15aDUR|2NUKE|3LWND|4RMIN|6RCR|7aVULN|8RCVC|9aDMG|aBPWR
265	53186 11222	   	181.33	DCR|2VULN|2DMG|3DUR	15aDUR|24BEXP|3MBVNT|6RCR|7aVULN|8RCVC|9aDMG|aBPWR
266	13661 33522	   	181.27	DCR|3VULN|1AART|1ASPD	1LEGI|2LHND|346VULN|5ASPD|7AIRARM|8RCR|9AART|aCGEN
267	22132 51223	   	181.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9AART|aBASARM
268	22132 51227	   	181.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6aDUST|7RCR|8MBVNT|9AART
269	52125 11222	   	181.23	DCR|2VULN|2DMG|1NUKE|3DUR	15aDUR|2NUKE|3DUST|4RMIN|6RCR|7aVULN|8RCVC|9aDMG|aBPWR
270	23112 56432	   	181.23	DCR|2VULN|2DMG|1MDPS|1AART	1DMSP|29LIT|3LHND|4AART|5MDPS|69DMG|79VULN|8RCR|9BPWR|aDUST
271	51321 64323	   	181.17	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DUR|2CGEN|3RCVC|4MBVNT|5AART|6DMG|7ASPD|8ZMB|9VULN|aRCR
272	13661 33521	   	181.17	DCR|3VULN|1AART|1ASPD	1LEGI|2LHND|346VULN|5ASPD|7AIRARM|8RCR|9AART|aDUST
273	35612 32422	   	181.09	DCR|2DMG|1VULN|1AART|1CDMG	1BEXP|2LIT|3MLV|45DMG|6RCR|7LWND|8AART|9VULN|aCDMG
274	35612 34321	   	181.09	DCR|2DMG|1VULN|1AART|1CDMG	1BEXP|2LIT|37MLV|45DMG|6RCR|8CDMG|9AART|aVULN
275	51415 11121	   	181.00	DCR|2VULN|2DMG|3DUR	158DUR|28CGEN|3LWND|4aDMG|6RCR|78VULN|8BPWR|9RCVC
276	35212 32422	   	180.99	DCR|2DMG|1VULN|1AART|1CDMG	1BEXP|2LIT|3TLV|45DMG|6RCR|7LWND|8AART|9VULN|aCDMG
277	22134 26333	   	180.94	DCR|3ASPD|1VULN|1DMG|1CDMG	18DMSP|256ASPD|3CDMG|4DMG|7CGEN|9RCR|aVULN
278	22143 22333	   	180.94	DCR|3ASPD|1VULN|1DMG|1CDMG	18DMSP|246ASPD|3CDMG|5CGEN|7DMG|9RCR|aVULN
279	22143 23433	   	180.94	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|246ASPD|3CDMG|57CGEN|8DMG|9RCR|aVULN
280	22154 22333	   	180.94	DCR|3ASPD|1VULN|1DMG|1CDMG	18DMSP|256ASPD|3CDMG|4CGEN|7DMG|9RCR|aVULN
281	22154 23433	   	180.94	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|256ASPD|3CDMG|47CGEN|8DMG|9RCR|aVULN
282	51115 11121	   	180.90	DCR|2VULN|2DMG|3DUR	158DUR|28CGEN|3DUST|4aDMG|6RCR|78VULN|8BPWR|9RCVC
283	15512 33422	   	180.89	DCR|2DMG|1VULN|1AART|1CDMG	1LEGI|2LIT|3ERES|45DMG|6RCR|7BEXP|8AART|9VULN|aCDMG
284	22132 33511	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|268ASPD|3CDMG|4DMG|5VULN|7MBVNT|9RCR|aLWND
285	22132 33512	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|268ASPD|3CDMG|4DMG|5VULN|7MBVNT|9RCR|aMLV
286	22132 33513	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|268ASPD|3CDMG|4DMG|5VULN|7MBVNT|9RCR|aLHND
287	22132 33514	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|268ASPD|3CDMG|4DMG|5VULN|7MBVNT|9RCR|aAME
288	22134 43511	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|258ASPD|3CDMG|4DMG|6VULN|7MBVNT|9RCR|aLWND
289	22134 43512	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|258ASPD|3CDMG|4DMG|6VULN|7MBVNT|9RCR|aMLV
290	22134 43513	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|258ASPD|3CDMG|4DMG|6VULN|7MBVNT|9RCR|aLHND
291	22134 43514	   	180.84	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|258ASPD|3CDMG|4DMG|6VULN|7MBVNT|9RCR|aAME
292	53413 31316	   	180.79	DCR|3ZMB|1VULN|1DMG|1CDMG|2DUR	19DUR|29BEXP|3RCVC|4DMG|5CDMG|689ZMB|7RCR|9BPWR|aVULN
293	22132 33515	   	180.74	DCR|3ASPD|1VULN|1DMG|1CDMG	1DMSP|268ASPD|3CDMG|4DMG|5VULN|7MBVNT|9RCR|aLEGI
294	33521 63216	   	180.58	DCR|2VULN|2ASPD|1DMG|1DUR	1BEXP|29FEWX|3DMG|4ERES|59ASPD|6RCVC|7DUR|89VULN|9BPWR|aRCR
295	22436 12611	 * 	180.49	DCR|2ASPD|3CDMG|1VULN|1DMG	1DMSP|26ASPD|3BELT|4VULN|589CDMG|7DMG|aRCR
296	22124 12611	   	180.49	DCR|2ASPD|3CDMG|1VULN|1DMG	1DMSP|26ASPD|389CDMG|4VULN|5BELT|7DMG|aRCR
297	22132 36611	   	180.49	DCR|2ASPD|3CDMG|1VULN|1DMG	1DMSP|26ASPD|389CDMG|4DMG|5VULN|7BELT|aRCR
298	22136 32314	 * 	180.42	DCR|3DMG|1MDPS|2ASPD|1CDMG	1DMSP|29ASPD|3CDMG|479DMG|5MBVNT|69LWND|8RCR|9BPWR|aMDPS
299	21152 26261	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DMSP|2MLV|3CDMG|4ZMB|59VULN|6TLV|7RCR|8AART|aDUR
300	22136 32387	   	180.33	DCR|3DMG|2ASPD|1CDMG	1DMSP|2aASPD|3CDMG|47aDMG|5MBVNT|6aLWND|8RCR|9RCVC|aBPWR
301	16516 11211	 * 	180.30	DCR|3DMG|1VULN|1AART	1LEGI|2DUST|34aDMG|5AME|6RCR|7VULN|8AART|9CGEN
302	13312 11336	   	180.23	DCR|3VULN|1DMG|1ZMB|1DUR	1LEGI|25LHND|3ZMB|4DMG|6RCR|789VULN|aDUR
303	11451 21226	 * 	180.20	DCR|3CDMG|1VULN|1AART|1ASPD|1DUR	1LEGI|2AELBLL|37aCDMG|4VULN|5DUR|6ASPD|8AART|9RCR
304	51115 11131	   	180.15	DCR|2VULN|2DMG|3DUR	158DUR|28CGEN|3DUST|4aDMG|6RCR|78VULN|8BPWR|9DMSP
305	31313 65333	   	180.15	DCR|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2CGEN|3DUR|4DMG|5SPLJET|6AART|7RCR|8CDMG|9VULN|aZMB
306	35322 23574	   	180.06	DCR|3VULN|2DMG	1BEXP|2LIT|3MBVNT|4RCVC|56DMG|7RCR|89aVULN
307	22121 31421	   	180.05	DCR|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1DMSP|2ASPD|3CDMG|4VULN|5DUST|6ZMB|7RCR|8DUR|9AART|aLHND
308	22121 31422	   	180.05	DCR|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1DMSP|2ASPD|3CDMG|4VULN|5DUST|6ZMB|7RCR|8DUR|9AART|aCGEN
