0	Index      	 *	Score 	Summary	Detail	
36	23115 34351	   	195.18	DCR|2VULN|2DMG|1AART|2ZMB	1DMSP|27aLIT|3aLHND|4AART|57ZMB|67VULN|7aBPWR|8RCR|9aDMG
37	53151 34481	   	195.09	DCR|3ASPD|2VULN|1AART|1DUR	1DUR|25BEXP|3MBVNT|457ASPD|5BPWR|69VULN|8AART|aRCR
38	53513 31316	 * 	195.07	DCR|2DMG|3ZMB|1VULN|1CDMG|2DUR	19DUR|29BEXP|34DMG|5CDMG|689ZMB|7RCR|9BPWR|aVULN
39	22563 11123	 * 	194.59	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|28ASPD|38FEWX|4LHND|5CGEN|6RCR|78VULN|8BPWR|9DMG|aCDMG
40	22566 11123	   	194.59	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|28ASPD|38FEWX|4LHND|5AME|6RCR|78VULN|8BPWR|9DMG|aCDMG
41	22636 11123	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|28ASPD|38DUST|4FEWX|5AME|6RCR|78VULN|8BPWR|9DMG|aCDMG
42	22666 11123	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|28ASPD|38DUST|4LHND|5AME|6RCR|78VULN|8BPWR|9DMG|aCDMG
43	22645 11123	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|28ASPD|38DUST|4ERES|5FEWX|6RCR|78VULN|8BPWR|9DMG|aCDMG
44	22646 11123	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|28ASPD|38DUST|4ERES|5LWND|6RCR|78VULN|8BPWR|9DMG|aCDMG
45	22133 36236	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DMSP|26ASPD|3CDMG|4DMG|5SNIFST|7AME|8RCR|9VULN|aAART
46	22134 36236	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DMSP|25ASPD|3CDMG|4DMG|6TSLARM|7AME|8RCR|9VULN|aAART
47	13643 21223	 * 	193.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1LEGI|2LHND|36VULN|4ASPD|57CDMG|8AART|9RCR|aDUR
48	52542 11322	   	192.83	DCR|3VULN|2DMG|1NUKE|2DUR|1AAC	1aDUR|2NUKE|3AAC|45LHND|6RCR|78aVULN|9aDMG|aBPWR
49	23433 32422	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|4ASPD|5DMG|6RCR|7LWND|8AART|9VULN|aCDMG
50	22132 51311	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8ZMB|9AART|aFEWX
51	22132 51315	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8ZMB|9AART|aLHND
52	22156 42418	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4CGEN|5MBVNT|6RCR|7DMG|8DUR|9AART|aVULN
53	22132 51312	   	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1MSE	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8ZMB|9AART|aMSE
54	22132 51314	   	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6aDUST|7RCR|8ZMB|9AART
55	22132 51316	   	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8ZMB|9AART|aMBVNT
56	25233 36324	   	191.60	DCR|2DMG|2ASPD|1AART|1CDMG	1DMSP|2BEXP|3LIT|47ASPD|5aDMG|6RCR|8CDMG|9AART
57	35133 36324	   	191.60	DCR|2DMG|2ASPD|1AART|1CDMG	13BEXP|2LIT|47ASPD|5aDMG|6RCR|8CDMG|9AART
58	52415 11333	 * 	191.39	DCR|3VULN|1DMG|1NUKE|1CDMG|2DUR	15DUR|2NUKE|3LWND|4DMG|6RCR|789VULN|aCDMG
59	52115 11333	   	191.29	DCR|3VULN|1DMG|1NUKE|1CDMG|2DUR	15DUR|2NUKE|3DUST|4DMG|6RCR|789VULN|aCDMG
60	22124 54221	 * 	191.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9MDPS|aMLV
61	22124 54222	   	191.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9MDPS|aAME
62	22124 54223	   	191.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|48VULN|5BELT|6AART|7RCR|9MDPS|aDUR
63	52415 11323	 * 	191.15	DCR|2VULN|2DMG|1NUKE|1CDMG|2DUR	15DUR|2NUKE|3LWND|49DMG|6RCR|78VULN|aCDMG
64	55312 23116	 * 	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1DUR	1DUR|2LIT|3ASPD|4NUKE|56DMG|7RCR|8AELBLL|9AART|aVULN
65	52115 11323	   	191.05	DCR|2VULN|2DMG|1NUKE|1CDMG|2DUR	15DUR|2NUKE|3DUST|49DMG|6RCR|78VULN|aCDMG
66	24131 43622	 * 	190.87	ACR|3ASPD|2VULN|2DMG|1DUR	1DMSP|2RMIN|3RCR|45aASPD|6aVULN|7BEXP|8DUR|9aDMG|aBPWR
67	22133 36233	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|26ASPD|3CDMG|4DMG|5SNIFST|7AME|8RCR|9aVULN
68	22132 33353	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|26ASPD|3CDMG|4DMG|5aVULN|7MBVNT|8RCR|9LIT
69	22134 36233	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|25ASPD|3CDMG|4DMG|6TSLARM|7AME|8RCR|9aVULN
70	22134 43353	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|25ASPD|3CDMG|4DMG|6aVULN|7MBVNT|8RCR|9LIT
71	22136 42383	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMSP|27ASPD|3CDMG|4DMG|5MBVNT|6MULARM|8RCR|9aVULN
72	31313 65214	 * 	190.02	DCR|2VULN|2AART|1DMG|1DUR	1BEXP|2CGEN|3DUR|4DMG|5SPLJET|69AART|7RCR|8aVULN
73	22136 32312	   	189.91	DCR|3DMG|2ASPD|1CDMG|1ZMB	1DMSP|29ASPD|3CDMG|479DMG|5MBVNT|69LWND|8RCR|9BPWR|aZMB
74	21152 26263	   	189.89	DCR|3VULN|1AART|1CDMG|1ZMB	1DMSP|2MLV|3CDMG|4ZMB|59aVULN|6TLV|7RCR|8AART
75	22135 26163	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8BEXP|9VULN|aDUR
76	22135 26363	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5AART|6CGEN|7RCR|8LWND|9VULN|aDUR
77	33516 11135	   	189.81	DCR|3VULN|2DMG|1ZMB	18BEXP|28FEWX|34DMG|5AME|6RCR|789VULN|8BPWR|aZMB
78	51415 11131	   	189.78	DCR|2VULN|1AART|1DMG|3DUR|1AAC	158DUR|28CGEN|3LWND|4DMG|6RCR|78VULN|8BPWR|9AART|aAAC
79	22132 51421	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8DUR|9AART|aLHND
80	22132 51422	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8DUR|9AART|aCGEN
81	23433 33116	   	189.72	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DMSP|2LIT|3DUR|4ASPD|58DMG|6RCR|7MDPS|9aVULN
82	13512 11135	   	189.71	DCR|3VULN|2DMG|1ZMB	1LEGI|258LHND|3AME|48DMG|6RCR|789VULN|8BPWR|aZMB
83	22132 51423	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8DUR|9AART|aBASARM
84	22132 51426	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6aDUST|7RCR|8DUR|9AART
85	22132 51256	   	189.60	DCR|2DMG|2ASPD|1VULN|1CDMG	1DMSP|2aASPD|3CDMG|4aDMG|5VULN|6DUST|7RCR|8MBVNT|9aMULFIG|aBPWR
86	13316 25115	   	189.51	DCR|3VULN|2DMG|1ZMB	1LEGI|2LHND|3ZMB|48DMG|59aVULN|6RCR|7LIT
87	55212 32422	 * 	189.30	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1DUR	1DUR|2LIT|3AAC|45DMG|6RCR|7LWND|8AART|9VULN|aCDMG
88	33151 43851	   	189.02	DCR|3ASPD|2VULN|1AART	19BEXP|25FEWX|3MBVNT|459ASPD|59BPWR|6RCVC|7AART|89VULN|aRCR
89	22166 32432	 * 	188.88	DCR|3ASPD|2VULN|2CDMG	1DMSP|26aASPD|3aCDMG|4LHND|5CGEN|7RMIN|8aVULN|9RCR|aBPWR
90	33516 11136	 * 	188.84	DCR|3VULN|2DMG|1MDPS	18BEXP|28FEWX|34DMG|5AME|6RCR|789VULN|8BPWR|aMDPS
91	22132 51226	   	188.80	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1DMSP|2ASPD|3aCDMG|4DMG|5VULN|6DUST|7RCR|8MBVNT|9AART
92	13512 11136	   	188.74	DCR|3VULN|2DMG|1MDPS	1LEGI|258LHND|3AME|48DMG|6RCR|789VULN|8BPWR|aMDPS
93	22432 21462	   	188.68	DCR|3ASPD|2VULN|1AART	1DMSP|267ASPD|3BELT|48VULN|5TSLARM|9RCR|aAART
94	22145 52111	 * 	188.46	DCR|3ASPD|1AART|2CDMG|1NUKE	1DMSP|247ASPD|37CDMG|5AART|6RPLT|7BPWR|8CGEN|9RCR|aNUKE
95	22121 31642	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|48VULN|5DUST|6ZMB|7RCR|9LIT|aDMG
96	22132 51341	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8ZMB|aLHND
97	22132 51342	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8ZMB|aCGEN
98	22132 51343	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8ZMB|aRMIN
99	22132 51344	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8ZMB|aLWND
100	22132 51345	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8ZMB|aFEWX
101	22132 51346	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|59VULN|6DUST|7RCR|8ZMB|aLIT
102	22132 51621	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9ZMB|aLHND
103	22132 51622	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9ZMB|aCGEN
104	22132 51623	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9ZMB|aRMIN
105	22132 51624	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9ZMB|aLWND
106	22132 51625	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9ZMB|aFEWX
107	22132 51626	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2ASPD|3CDMG|4DMG|58VULN|6DUST|7RCR|9ZMB|aLIT
108	22134 26433	 * 	188.36	DCR|3ASPD|1VULN|2CDMG|1DMG	1DMSP|256ASPD|38CDMG|4DMG|7CGEN|9RCR|aVULN
109	22143 22433	   	188.36	DCR|3ASPD|1VULN|2CDMG|1DMG	1DMSP|246ASPD|38CDMG|5CGEN|7DMG|9RCR|aVULN
110	22145 52211	   	188.36	DCR|3ASPD|1AART|2CDMG|1NUKE	1DMSP|247ASPD|37CDMG|5AART|6RPLT|7BPWR|8TLV|9RCR|aNUKE
111	22154 22433	   	188.36	DCR|3ASPD|1VULN|2CDMG|1DMG	1DMSP|256ASPD|38CDMG|4CGEN|7DMG|9RCR|aVULN
112	14663 11321	   	188.13	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1LEGI|2SELL|3BEXP|4ASPD|5CDMG|6RCR|78VULN|9DMG|aDUR
113	13652 23362	 * 	187.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2LHND|36VULN|4CDMG|5TLV|7DUR|8RCR|9AART|aDMG
114	33521 24216	   	187.83	DCR|2VULN|2DMG|2ASPD	1BEXP|29FEWX|36DMG|4ERES|59ASPD|7LWND|89VULN|9BPWR|aRCR
115	13643 24223	   	187.70	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LEGI|2LHND|36VULN|4ASPD|5CDMG|7RCVC|8AART|9RCR|aDUR
116	22136 84313	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5MBVNT|6NUKE|7VULN|8RCR|9AART|aDUR
117	22245 11126	 * 	187.61	DCR|2VULN|1MDPS|2ASPD|1DMG	1DMSP|28ASPD|38BEXP|4ERES|5FEWX|6RCR|78VULN|8BPWR|9DMG|aMDPS
118	22246 11126	   	187.61	DCR|2VULN|1MDPS|2ASPD|1DMG	1DMSP|28ASPD|38BEXP|4ERES|5LWND|6RCR|78VULN|8BPWR|9DMG|aMDPS
119	22326 11323	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1DMSP|2ASPD|3AAC|4BEXP|5LWND|6RCR|78VULN|9DMG|aAART
