0	Index      	Bounty	 *	Score 	Summary	Detail	
39	62235 21115	7	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1aTLV|2LWND|3aDMG|4CDMG|56VULN|7aDUR|8RCR|9LEGI|aBPWR
40	16431 32163	7	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG|1NUKE	149aVULN|2NUKE|34DUR|4BPWR|5CDMG|6TLV|7LHND|8RCR
41	16431 33163	6	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG|1NUKE	149aVULN|2NUKE|34DUR|4BPWR|5CDMG|6TLV|7BEXP|8RCR
42	11451 31222	9	 * 	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478BEXP|578DUR|6RCR|78BPWR|9RCVC|aTLV
43	11451 31225	8	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478BEXP|578DUR|6RCR|78BPWR|9CGEN|aTLV
44	11451 31232	9	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478BEXP|578DUR|6RCR|78BPWR|9DMSP|aTLV
45	11551 31222	9	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LHND|478BEXP|578DUR|6RCR|78BPWR|9RCVC|aTLV
46	11551 31225	8	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LHND|478BEXP|578DUR|6RCR|78BPWR|9CGEN|aTLV
47	11551 31232	8	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|39LHND|478BEXP|578DUR|6RCR|78BPWR|aTLV
48	11551 31232	9	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LHND|478BEXP|578DUR|6RCR|78BPWR|9DMSP|aTLV
49	13416 31262	9	   	265.65	DCR|4VULN|3DUR|1TLV	1789VULN|2RCVC|3LWND|478DUR|578BEXP|6RCR|78BPWR|aTLV
50	13451 31262	9	   	265.65	DCR|4VULN|3DUR|1TLV	1789VULN|2RCVC|3LWND|478BEXP|578DUR|6RCR|78BPWR|aTLV
51	13551 31262	9	   	265.65	DCR|4VULN|3DUR|1TLV	1789VULN|2RCVC|3LHND|478BEXP|578DUR|6RCR|78BPWR|aTLV
52	31416 31262	9	   	265.65	DCR|4VULN|3DUR|1TLV	1DMSP|2789VULN|3LWND|478DUR|578BEXP|6RCR|78BPWR|aTLV
53	31451 31262	9	   	265.65	DCR|4VULN|3DUR|1TLV	1DMSP|2789VULN|3LWND|478BEXP|578DUR|6RCR|78BPWR|aTLV
54	31551 31262	9	   	265.65	DCR|4VULN|3DUR|1TLV	1DMSP|2789VULN|3LHND|478BEXP|578DUR|6RCR|78BPWR|aTLV
55	11416 31222	9	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478DUR|578BEXP|6RCR|78BPWR|9RCVC|aTLV
56	11416 31225	8	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478DUR|578BEXP|6RCR|78BPWR|9CGEN|aTLV
57	11416 31232	9	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478DUR|578BEXP|6RCR|78BPWR|9DMSP|aTLV
58	16431 13163	7	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG|1NUKE	149aVULN|2NUKE|34DUR|4BPWR|5CDMG|6DUST|7TLV|8RCR
59	11451 31215	9	   	265.55	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478BEXP|578DUR|6RCR|78BPWR|9ERES|aTLV
60	11551 31215	9	   	265.55	DCR|4VULN|3DUR|1TLV	1278VULN|3LHND|478BEXP|578DUR|6RCR|78BPWR|9ERES|aTLV
61	11413 41265	10	   	265.55	DCR|4VULN|3DUR|1TLV	1278VULN|3LWND|478DUR|5MBVNT|678LHND|78BPWR|9TLV|aRCR
