0	Index      	 *	Score 	Summary	Detail	
35	12221 32153	   	250.41	DCR|2VULN|1TLV|2AAC|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|5TLV|6aAAC|7RCR|8ERES
36	12224 32453	   	250.41	DCR|2VULN|1TLV|2AAC|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|5ERES|6aAAC|7RCR|8TLV
37	12321 32153	   	250.41	DCR|2VULN|1TLV|2AAC|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|5TLV|6aAAC|7RCR|8ERES
38	12324 32453	   	250.41	DCR|2VULN|1TLV|2AAC|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|5ERES|6aAAC|7RCR|8TLV
39	12121 32153	   	250.31	DCR|2VULN|1TLV|2AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUST|4ASPD|5TLV|6aAAC|7RCR|8ERES
40	12124 32453	   	250.31	DCR|2VULN|1TLV|2AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUST|4ASPD|5ERES|6aAAC|7RCR|8TLV
41	12623 32451	   	250.27	DCR|2VULN|1TLV|1AAC|1ASPD|2DUR|1CDMG	1CDMG|29VULN|3aDUR|4ASPD|5AME|6AAC|7RCR|8TLV
42	31111 31152	   	250.26	DCR|2VULN|2TLV|1DMG|1CDMG|2RAT	1ZMB|2DMG|39RAT|49VULN|5LWND|69TLV|7CDMG|8LHND|9BPWR|aRCR
43	31621 31152	   	250.26	DCR|2VULN|2TLV|1DMG|1CDMG|2RAT	1ZMB|2DMG|39VULN|49RAT|5LWND|69TLV|7CDMG|8LHND|9BPWR|aRCR
44	12621 32151	   	250.17	DCR|2VULN|1TLV|1AAC|1ASPD|2DUR|1CDMG	1CDMG|29VULN|3aDUR|4ASPD|5TLV|6AAC|7RCR|8ERES
45	12621 36151	   	250.15	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aAART
46	31653 14332	   	250.10	DCR|2VULN|2DMG|1TLV|1AAC	1ZMB|24DMG|39VULN|5AAC|6LWND|7RCR|8RAT|aTLV
47	12221 22353	   	250.00	DCR|2VULN|1TLV|2ASPD|1AAC|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8FEWX|aAAC
48	12321 22353	   	250.00	DCR|2VULN|1TLV|2ASPD|1AAC|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8FEWX|aAAC
49	12221 62353	   	249.59	DCR|2VULN|2TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|56TLV|7RCR|8FEWX|aAAC
50	12321 62353	   	249.59	DCR|2VULN|2TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|56TLV|7RCR|8FEWX|aAAC
51	15242 33142	 * 	249.06	DCR|2VULN|2TLV|1MLV|2CDMG	1aCDMG|2RPLT|3ERES|4aTLV|5LIT|6RCR|7TBNT|8MLV|9aVULN|aBPWR
52	15313 12642	   	248.99	DCR|DCR|3CDMG|1AAC|1ASPD	145CDMG|2RPLT|3RCVC|4BPWR|68RCR|7DUR|9AAC|aASPD
53	12621 12132	 * 	248.96	DCR|1VULN|1TLV|1DMG|2CDMG|1AAC|1ASPD	16CDMG|2VULN|3DUR|4ASPD|5TLV|7RCR|8AAC|9RAT|aDMG
54	12221 22134	   	248.92	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2VULN|3LHND|46ASPD|5TLV|7RCR|8AAC|9RAT|aDMG
55	12221 32234	   	248.92	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2VULN|3LHND|48ASPD|5TLV|6AAC|7RCR|9RAT|aDMG
56	12321 22134	   	248.92	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2VULN|3LWND|46ASPD|5TLV|7RCR|8AAC|9RAT|aDMG
57	12321 32234	   	248.92	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2VULN|3LWND|48ASPD|5TLV|6AAC|7RCR|9RAT|aDMG
58	12121 22534	   	248.82	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2VULN|3DUST|46ASPD|5TLV|7RCR|8RAT|9AAC|aDMG
59	31112 13122	   	248.76	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD	1ZMB|2DMG|3RAT|45VULN|6BBNT|7TLV|8AAC|9RCR|aASPD
60	31622 13122	   	248.76	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD	1ZMB|2DMG|35VULN|4RAT|6BBNT|7TLV|8AAC|9RCR|aASPD
61	12221 62134	   	248.51	DCR|2TLV|1VULN|1DMG|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|56TLV|7RCR|8AAC|9RAT|aDMG
62	12321 62134	   	248.51	DCR|2TLV|1VULN|1DMG|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|56TLV|7RCR|8AAC|9RAT|aDMG
63	12221 32434	   	248.51	DCR|2TLV|1VULN|1DMG|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|58TLV|6AAC|7RCR|9RAT|aDMG
64	12321 32434	   	248.51	DCR|2TLV|1VULN|1DMG|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|58TLV|6AAC|7RCR|9RAT|aDMG
65	12621 36153	   	248.39	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|2DUR|1CDMG	1CDMG|2VULN|3aDUR|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR
66	11352 14263	   	248.19	DCR|2VULN|2TLV|1AAC|2DUR|1CDMG	1CDMG|2TBNT|35TLV|45DUR|5BPWR|67VULN|8RCR|9BEXP|aAAC
67	43351 53132	   	248.08	DCR|DCR|1VULN|1TLV	128DUST|2BPWR|3AEFBLL|4TLV|5AEBURN|6VULN|7aRCR|9CGEN
