0	Index      	 *	Score 	Summary	Detail	
154	12623 32453	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUR|4ASPD|5AME|6AAC|7RCR|8TLV|aBEXP
155	12221 32151	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|5TLV|6AAC|7RCR|8ERES|aDUR
156	12224 32451	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|5ERES|6AAC|7RCR|8TLV|aDUR
157	12321 32151	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|5TLV|6AAC|7RCR|8ERES|aDUR
158	12324 32451	   	243.62	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|5ERES|6AAC|7RCR|8TLV|aDUR
159	12121 32151	   	243.52	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUST|4ASPD|5TLV|6AAC|7RCR|8ERES|aDUR
160	12124 32451	   	243.52	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUST|4ASPD|5ERES|6AAC|7RCR|8TLV|aDUR
161	12621 32153	   	243.52	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|29VULN|3DUR|4ASPD|5TLV|6AAC|7RCR|8ERES|aBEXP
162	12621 62133	   	243.37	DCR|2TLV|1VULN|1AAC|1ASPD|2RAT|1CDMG	1CDMG|2VULN|3DUR|4ASPD|56TLV|7RCR|8AAC|9aRAT
163	12621 32433	   	243.37	DCR|2TLV|1VULN|1AAC|1ASPD|2RAT|1CDMG	1CDMG|2VULN|3DUR|4ASPD|58TLV|6AAC|7RCR|9aRAT
164	12121 32223	 * 	243.35	DCR|3ASPD|1VULN|1TLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|489ASPD|5TLV|6AAC|7RCR|aAART
165	12121 32225	   	243.35	DCR|3ASPD|1VULN|1TLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|489ASPD|5TLV|6AAC|7RCR|aDUR
166	12121 22123	   	243.35	DCR|3ASPD|1VULN|1TLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|469ASPD|5TLV|7RCR|8AAC|aAART
167	12121 22125	   	243.35	DCR|3ASPD|1VULN|1TLV|1AAC|1CDMG	1CDMG|2VULN|3DUST|469ASPD|5TLV|7RCR|8AAC|aDUR
168	12621 62131	   	243.30	DCR|2TLV|1VULN|1AAC|1ASPD|2DUR|1CDMG	1CDMG|2VULN|3aDUR|4ASPD|56TLV|7RCR|8AAC|9RAT
169	12621 32431	   	243.30	DCR|2TLV|1VULN|1AAC|1ASPD|2DUR|1CDMG	1CDMG|2VULN|3aDUR|4ASPD|58TLV|6AAC|7RCR|9RAT
170	61513 34314	 * 	243.20	ACR|DCR|2DMG|1VULN|1MLV	1BBNT|2LWND|3VULN|48RCR|59DMG|6ZMB|7MBVNT|aMLV
171	12221 36156	   	243.20	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG|1NUKE	1CDMG|2VULN|3LHND|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aNUKE
172	12321 36156	   	243.20	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG|1NUKE	1CDMG|2VULN|3LWND|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aNUKE
173	31642 32162	   	243.06	DCR|2VULN|2DMG|1TLV|1AAC	1ZMB|2aDMG|39VULN|4TLV|5LIT|6RCR|7MDPS|8AAC
174	22323 63334	 * 	242.95	DCR|DCR|1DMG|1AAC|1ASPD	1DUR|2RMIN|3BELT|4MDPS|5DMG|6TBNT|7aRCR|8ASPD|9AAC
175	31164 22222	   	242.87	DCR|2VULN|1MLV|1DMG|1AAC|1ASPD	1ZMB|2DMG|3RAT|4AAC|5BBNT|67VULN|8MLV|9RCR|aASPD
176	12321 12456	   	242.80	DCR|2VULN|1TLV|2CDMG|1ASPD|1NUKE	16CDMG|29VULN|3LWND|4ASPD|5TLV|7RCR|8DUR|aNUKE
177	11342 14261	   	242.65	DCR|2VULN|2TLV|1MLV|1CDMG	1CDMG|2TBNT|35TLV|45FEWX|5BPWR|67VULN|8RCR|9BEXP|aMLV
178	11543 13111	 * 	242.46	DCR|2MLV|2TLV|2CDMG|1AAC	1aCDMG|2TBNT|3RPLT|4AAC|5aMLV|6DUR|7RAT|8RCR|9aTLV|aBPWR
179	14543 13111	   	242.46	DCR|2MLV|2TLV|2CDMG|1AAC	1aCDMG|2BBNT|3RPLT|4AAC|5aMLV|6DUR|7RAT|8RCR|9aTLV|aBPWR
180	12461 22632	   	242.25	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|27VULN|3AETHUN|4LHND|5RAT|6TLV|8AAC|9ASPD|aRCR
181	12461 32622	   	242.25	DCR|2VULN|1TLV|1AAC|1ASPD|1CDMG	1CDMG|27VULN|3AETHUN|4LHND|5RAT|6ASPD|8AAC|9TLV|aRCR
182	12642 14322	   	242.15	DCR|1VULN|2AAC|1MLV|1DMG|2DUR|1CDMG	1CDMG|2VULN|37DUR|4RAT|59AAC|6MLV|8DMG|aRCR
183	12666 12331	 * 	241.91	DCR|4VULN|2CDMG|2RAT|1SELL	1aCDMG|259aVULN|3DUR|4LHND|6SELL|7RCR|8aRAT|aBPWR
184	15342 32134	 * 	241.90	DCR|DCR|1TLV|2CDMG	18CDMG|2RPLT|34RCVC|5DUR|6aRCR|7LIT|9TLV
185	12621 32361	   	241.85	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|5TLV|6AAC|7RCR|8TBNT|9RCVC|aMLV
186	12221 36151	   	241.85	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aAART
187	12221 36153	   	241.85	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aDUR
188	12321 36151	   	241.85	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aAART
189	12321 36153	   	241.85	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aDUR
190	42223 12463	   	241.76	ACR|DCR|2TLV|1VULN|1ASPD	1DUST|2RMIN|3ERES|47RCR|58TLV|6LIT|9VULN|aASPD
191	12121 36151	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aAART
192	12121 36153	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aDUR
193	12621 31551	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|5TLV|6AAC|7AEFRZ|8BBNT|9RCR|aMLV
194	12621 36152	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|5TLV|6AAC|7TBNT|8MLV|9RCR|aDUST
195	12221 32143	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|5TLV|6AAC|7RCR|8ERES|9AART|aMLV
196	12224 32443	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LHND|4ASPD|5ERES|6AAC|7RCR|8TLV|9AART|aMLV
197	12321 32143	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|5TLV|6AAC|7RCR|8ERES|9AART|aMLV
198	12324 32443	   	241.75	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3LWND|4ASPD|5ERES|6AAC|7RCR|8TLV|9AART|aMLV
199	53622 12336	 * 	241.73	ACR|DCR|2VULN|1MLV	1AEFRZ|2ERES|39VULN|47RCR|5BEXP|6LIT|8DUR|aMLV
200	12221 12353	   	241.73	DCR|2VULN|1TLV|2CDMG|1AAC|1ASPD	16CDMG|29VULN|3LHND|4ASPD|5TLV|7RCR|8FEWX|aAAC
201	12321 12353	   	241.73	DCR|2VULN|1TLV|2CDMG|1AAC|1ASPD	16CDMG|29VULN|3LWND|4ASPD|5TLV|7RCR|8FEWX|aAAC
202	12121 32143	   	241.65	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|5TLV|6AAC|7RCR|8ERES|9AART|aMLV
203	12124 32443	   	241.65	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1CDMG|2VULN|3DUST|4ASPD|5ERES|6AAC|7RCR|8TLV|9AART|aMLV
204	31641 52233	   	241.57	DCR|2TLV|1VULN|1DMG|1AAC|1ASPD|1CDMG	1ZMB|2DMG|3VULN|49TLV|5LHND|6CDMG|7RCR|8ASPD|aAAC
205	12221 22351	   	241.41	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8FEWX|aDUR
206	12221 22452	   	241.41	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8DUR|aFEWX
207	12221 22455	   	241.41	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3aLHND|46ASPD|5TLV|7RCR|8DUR
208	12321 22351	   	241.41	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8FEWX|aDUR
209	12321 22452	   	241.41	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8DUR|aFEWX
210	12321 22455	   	241.41	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8DUR|aLHND
211	12221 22453	   	241.31	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8DUR|aBEXP
212	12221 22456	   	241.31	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8DUR|aAEFRZ
213	12321 22453	   	241.31	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8DUR|aBEXP
214	11364 11421	   	241.23	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG|1SELL	1CDMG|2TBNT|3TLV|4BELT|5AAC|67MLV|8SELL|9VULN|aRCR
215	12221 62351	   	241.00	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|56TLV|7RCR|8FEWX|aDUR
216	12221 62452	   	241.00	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|56TLV|7RCR|8DUR|aFEWX
217	12321 62351	   	241.00	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|56TLV|7RCR|8FEWX|aDUR
218	12321 62452	   	241.00	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|56TLV|7RCR|8DUR|aFEWX
219	31112 41313	 * 	240.97	DCR|2VULN|2DMG|1MLV|1CDMG	1ZMB|28DMG|3RAT|45VULN|6RMIN|7CDMG|9RCR|aMLV
220	31116 31313	   	240.97	DCR|2VULN|2DMG|1MLV|1CDMG	1ZMB|28DMG|3RAT|46VULN|5RMIN|7CDMG|9RCR|aMLV
221	31622 41313	   	240.97	DCR|2VULN|2DMG|1MLV|1CDMG	1ZMB|28DMG|35VULN|4RAT|6RMIN|7CDMG|9RCR|aMLV
222	31626 31313	   	240.97	DCR|2VULN|2DMG|1MLV|1CDMG	1ZMB|28DMG|36VULN|4RAT|5RMIN|7CDMG|9RCR|aMLV
223	12121 62146	   	240.90	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|2aVULN|3DUST|4ASPD|5aTLV|6CGEN|7RCR|8aERES|9AART|aBPWR
224	12221 62453	   	240.90	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|56TLV|7RCR|8DUR|aBEXP
225	12321 62453	   	240.90	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|56TLV|7RCR|8DUR|aBEXP
226	56163 22323	   	240.87	DCR|2VULN|2DMG|1MLV|1CDMG	1AEFRZ|2TBNT|3RAT|47DMG|56VULN|8CDMG|9MLV|aRCR
227	66163 22323	   	240.87	DCR|2VULN|2DMG|1MLV|1CDMG	1BBNT|2AEFBLL|3RAT|47DMG|56VULN|8CDMG|9MLV|aRCR
228	31112 13121	   	240.82	DCR|2VULN|1TLV|1DMG|1AAC	1ZMB|2DMG|3RAT|45VULN|6BBNT|7TLV|8AAC|9RCR|aAART
229	31622 13121	   	240.82	DCR|2VULN|1TLV|1DMG|1AAC	1ZMB|2DMG|35VULN|4RAT|6BBNT|7TLV|8AAC|9RCR|aAART
230	12122 11556	   	240.80	DCR|2VULN|1MLV|1DMG|1ASPD|1CDMG	1CDMG|2aVULN|3DUST|4ASPD|5DUR|6DMG|7MLV|8MDPS|9RCR
231	12666 12332	 * 	240.73	DCR|3VULN|1TLV|1CDMG|1SELL	1CDMG|259VULN|3DUR|4LHND|6SELL|7RCR|8RAT|aTLV
232	12221 12134	   	240.65	DCR|1VULN|1TLV|1DMG|2CDMG|1AAC|1ASPD	16CDMG|2VULN|3LHND|4ASPD|5TLV|7RCR|8AAC|9RAT|aDMG
233	12321 12134	   	240.65	DCR|1VULN|1TLV|1DMG|2CDMG|1AAC|1ASPD	16CDMG|2VULN|3LWND|4ASPD|5TLV|7RCR|8AAC|9RAT|aDMG
234	15313 13642	   	240.58	DCR|DCR|3CDMG|1AAC|1ASPD	145CDMG|2RPLT|3RCVC|4BPWR|68RCR|7BEXP|9AAC|aASPD
235	12611 62134	   	240.57	DCR|2TLV|1VULN|1DMG|1AAC|1CDMG	1CDMG|2VULN|3DUR|4ZMB|56TLV|7RCR|8AAC|9RAT|aDMG
236	12631 62134	   	240.57	DCR|2TLV|1VULN|1DMG|1AAC|1CDMG	1CDMG|2VULN|3DUR|4RMIN|56TLV|7RCR|8AAC|9RAT|aDMG
237	12121 12534	   	240.55	DCR|1VULN|1TLV|1DMG|2CDMG|1AAC|1ASPD	16CDMG|2VULN|3DUST|4ASPD|5TLV|7RCR|8RAT|9AAC|aDMG
238	31653 14331	 * 	240.48	DCR|2VULN|3DMG|1AAC|2RAT	1aZMB|24aDMG|39VULN|5AAC|6LWND|7RCR|8aRAT|aBPWR
239	15313 12612	   	240.40	DCR|DCR|3CDMG|1ASPD	145CDMG|2RPLT|3RCVC|4BPWR|68RCR|7DUR|9AART|aASPD
240	12621 22232	   	240.34	DCR|1VULN|1TLV|2ASPD|1DMG|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|8RMIN|9RAT|aDMG
241	12621 22632	   	240.34	DCR|1VULN|1TLV|2ASPD|1DMG|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|8ZMB|9RAT|aDMG
242	12623 62232	   	240.34	DCR|1VULN|1TLV|2ASPD|1DMG|1CDMG	1CDMG|2VULN|3DUR|48ASPD|5AME|6TLV|7RCR|9RAT|aDMG
243	12243 12642	   	240.28	DCR|2VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|27VULN|3LHND|4RAT|5LWND|6DMG|8AAC|9MLV|aRCR
244	12361 12642	   	240.28	DCR|2VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|27VULN|3LWND|4LHND|5RAT|6DMG|8AAC|9MLV|aRCR
245	13342 12642	   	240.18	DCR|2VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|2BEXP|3LHND|4RAT|57VULN|6DMG|8AAC|9MLV|aRCR
246	12161 12642	   	240.18	DCR|2VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|27VULN|3DUST|4LHND|5RAT|6DMG|8AAC|9MLV|aRCR
247	12241 12642	   	240.18	DCR|2VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|27VULN|3LHND|4RAT|5BEXP|6DMG|8AAC|9MLV|aRCR
248	12221 22355	   	240.04	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LHND|46ASPD|5TLV|7RCR|8FEWX|aRAT
249	12321 22355	   	240.04	DCR|2VULN|1TLV|2ASPD|1CDMG	1CDMG|29VULN|3LWND|46ASPD|5TLV|7RCR|8FEWX|aRAT
250	35143 22351	   	240.02	DCR|2VULN|1TLV|1MLV|1AAC	1ZMB|2TBNT|3DUR|4AAC|5MLV|67VULN|8LHND|9TLV|aRCR
251	12621 62232	   	239.93	DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|56TLV|7RCR|8RMIN|9RAT|aDMG
252	12621 62632	   	239.93	DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|56TLV|7RCR|8ZMB|9RAT|aDMG
253	12623 62432	   	239.93	DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2VULN|3DUR|4ASPD|5AME|68TLV|7RCR|9RAT|aDMG
254	12621 22246	   	239.89	DCR|1VULN|1TLV|2ASPD|1AAC|1CDMG|1NUKE	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|8RMIN|9AAC|aNUKE
255	12121 12131	   	239.75	DCR|1VULN|1TLV|1MLV|2CDMG|1AAC|1ASPD	16CDMG|2VULN|3DUST|4ASPD|5TLV|7RCR|8AAC|9TBNT|aMLV
256	12221 12146	 * 	239.75	DCR|3AAC|1VULN|1TLV|2CDMG|1ASPD	16CDMG|2VULN|3LHND|4ASPD|5TLV|7RCR|89aAAC
257	12321 12146	   	239.75	DCR|3AAC|1VULN|1TLV|2CDMG|1ASPD	16CDMG|2VULN|3LWND|4ASPD|5TLV|7RCR|89aAAC
258	12355 13521	   	239.73	DCR|2MLV|1VULN|1TLV|1CDMG	1CDMG|2VULN|3LWND|4ERES|5RAT|69MLV|7RCR|8TLV|aDUR
259	34221 15513	   	239.72	DCR|2VULN|2DMG|1TLV|1CDMG	1ZMB|2AETHUN|3aBLASTR|4CDMG|5BEXP|6aDMG|7RCR|8TLV|9aVULN|aBPWR
260	22223 12232	 * 	239.71	ACR|DCR|1VULN|1TLV|1DMG	1DUR|2RMIN|3ERES|47RCR|5TLV|6LIT|8BEXP|9VULN|aDMG
261	22223 12332	   	239.71	ACR|DCR|1VULN|1TLV|1DMG	1DUR|2RMIN|3ERES|47RCR|5TLV|6LIT|8AETHUN|9VULN|aDMG
262	22223 12632	   	239.71	ACR|DCR|1VULN|1TLV|1DMG	1DUR|2RMIN|3ERES|47RCR|5TLV|6LIT|8DUST|9VULN|aDMG
263	12221 12451	   	239.69	DCR|2VULN|1TLV|2CDMG|1ASPD|2DUR	16CDMG|29VULN|3LHND|4ASPD|5TLV|7RCR|8aDUR
264	12321 12451	   	239.69	DCR|2VULN|1TLV|2CDMG|1ASPD|2DUR	16CDMG|29VULN|3LWND|4ASPD|5TLV|7RCR|8aDUR
265	15313 12643	   	239.68	DCR|DCR|3CDMG|1AAC	145CDMG|2RPLT|3RCVC|4BPWR|68RCR|7DUR|9AAC|aRAT
266	12221 62355	   	239.63	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LHND|4ASPD|56TLV|7RCR|8FEWX|aRAT
267	12321 62355	   	239.63	DCR|2VULN|2TLV|1ASPD|1CDMG	1CDMG|29VULN|3LWND|4ASPD|56TLV|7RCR|8FEWX|aRAT
