0	Index      	 *	Score 	Summary	Detail	
35	12116 12332	 * 	237.10	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9VULN|aLHND
36	12116 12334	 * 	237.10	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9VULN|aBELT
37	12116 12335	 * 	237.10	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9VULN|aLWND
38	12116 12364	 * 	237.10	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9RPLT|aVULN
39	12116 12316	 * 	237.00	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9DUST|aVULN
40	12116 12333	 * 	237.00	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9VULN|aSNIFST
41	12116 12336	 * 	237.00	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9VULN|aAME
42	12116 12426	 * 	237.00	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LWND|9TLV|aVULN
43	12116 12523	 * 	237.00	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8DUR|9TLV|aVULN
44	12116 12226	 * 	236.90	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8DUST|9ERES|aVULN
45	12116 12236	 * 	236.90	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8DUST|9TLV|aVULN
46	12116 14124	 * 	236.49	ACR|1BASARM|1ASPD|1DMG|2CDMG|1BEXP|1AART|1SELL	1RCR|2BEXP|3SELL|4ASPD|5DMG|6AART|7aCDMG|8RMIN|9BASARM
47	12432 62432	   	236.36	ACR|2BASARM|2VULN|2BEXP|1DMG	1RCR|29BEXP|3LIT|49VULN|5RMIN|6DMSP|79BASARM|8RPLT|9BPWR|aDMG
48	16653 22333	   	235.66	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1RCR|2VULN|34DMG|5FEWX|6LIT|7BASARM|8ASPD|9LHND|aBEXP
49	16653 22313	   	235.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1RCR|2VULN|34DMG|5FEWX|6LIT|7BASARM|8ASPD|9LEGI|aBEXP
50	12434 62323	   	235.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1RCR|2BEXP|3LIT|4VULN|5aDMG|6DMSP|7BASARM|8ASPD|9ERES
51	16653 22213	 * 	235.55	ACR|2VULN|1BASARM|2DMG|1ASPD	1RCR|29VULN|34DMG|5FEWX|6LIT|7BASARM|8LWND|aASPD
52	14164 32313	   	235.46	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1RCR|2RPLT|3MDPS|4BEXP|5TLV|6BASARM|7aASPD|8VULN|9DMG
53	16643 22323	   	235.45	ACR|2VULN|1BASARM|2DMG|1ASPD	1RCR|24VULN|3aDMG|5FEWX|6LIT|7BASARM|8ASPD|9ERES
54	16116 32144	 * 	235.14	ACR|2VULN|2ASPD|2DMG|2BEXP|2SELL	1RCR|2aVULN|37SELL|49ASPD|5aDMG|6MBVNT|8aBEXP|aBPWR
55	12116 33154	 * 	235.10	ACR|1BASARM|2ASPD|2BEXP|1DMG|1SELL	1RCR|28BEXP|3SELL|47ASPD|5DMG|6DUST|9MDPS|aBASARM
56	14413 14123	   	234.36	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AART	1RCR|2RPLT|35ASPD|4DMG|6AART|7CDMG|8RMIN|9BASARM|aLWND
57	14122 15315	   	234.01	ACR|3VULN|2ASPD|2DMG|1BEXP	1RCR|2RPLT|3MDPS|48DMG|568VULN|78ASPD|8BPWR|9DUR|aBEXP
58	14413 12114	   	233.88	ACR|3ASPD|2DMG|1VULN|1AART	1RCR|2RPLT|357ASPD|47DMG|6AART|7BPWR|8VULN|9MDPS|aAAC
59	12434 52333	 * 	233.64	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1RCR|2aBEXP|3LIT|4VULN|5DMG|6RCVC|7BASARM|8ASPD|9LHND
60	12434 52313	   	233.54	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1RCR|2aBEXP|3LIT|4VULN|5DMG|6RCVC|7BASARM|8ASPD|9LEGI
61	16123 11366	   	232.78	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP|1SELL	1RCR|2VULN|3SELL|4BEXP|5ASPD|6AART|7CGEN|8LHND|9DMG|aBASARM
62	12113 11366	   	232.78	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP|1SELL	1RCR|2BEXP|3SELL|4ASPD|5VULN|6AART|7CGEN|8LHND|9DMG|aBASARM
63	14122 15326	   	232.36	ACR|4VULN|2ASPD|2DMG	1RCR|2RPLT|3MDPS|48DMG|568aVULN|78ASPD|8BPWR|9ERES
64	16113 21111	   	232.12	ACR|4VULN|2ASPD|2DMG|1SELL	1RCR|259aVULN|3SELL|48ASPD|69AME|79DMG|9BPWR
65	12116 12342	 * 	231.95	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9CDMG|aRMIN
66	12116 12343	 * 	231.95	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9CDMG|aLWND
67	12116 12344	 * 	231.95	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9CDMG|aFEWX
68	12116 12346	 * 	231.95	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9CDMG|aRPLT
69	12434 62333	   	231.61	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1RCR|2aBEXP|3LIT|4VULN|5DMG|6DMSP|7BASARM|8ASPD|9LHND
70	12434 62313	   	231.51	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1RCR|2aBEXP|3LIT|4VULN|5DMG|6DMSP|7BASARM|8ASPD|9LEGI
71	12434 52213	   	231.26	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1RCR|2BEXP|3LIT|49VULN|5DMG|6RCVC|7BASARM|8LWND|aASPD
72	16622 32423	   	231.05	ACR|3DMG|1BASARM|1VULN|1BEXP	1RCR|2VULN|378DMG|4LSRICY|5AEMAG|6BEXP|9BASARM|aCGEN
73	16622 32421	   	230.95	ACR|3DMG|1BASARM|1VULN|1BEXP	1RCR|2VULN|378DMG|4LSRICY|5AEMAG|6BEXP|9BASARM|aDUST
74	16622 32422	   	230.95	ACR|3DMG|1BASARM|1VULN|1BEXP	1RCR|2VULN|378DMG|4LSRICY|5AEMAG|6BEXP|9BASARM|aVENICY
75	11411 53613	 * 	230.27	ACR|2BASARM|2ASPD|2BEXP	1RCR|2LWND|39LIT|4aBEXP|5FEWX|69BASARM|7ZMB|89ASPD|9BPWR
