0	Index      	 *	Score 	Summary	Detail	
38	12362 53325	   	192.32	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|259VULN|3aAART|4LHND|6DUR|7DMG|8RCR
39	21623 15113	 * 	191.95	ACR|3VULN|2AART|1DMG|1ZMB	1RCVC|2RCR|3FEWX|459VULN|6ZMB|7aAART|8DMG
40	12236 33453	   	191.95	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	13CDMG|258VULN|45LHND|5BPWR|6AART|7RCR|9ZMB|aDMG
41	11113 21634	 * 	191.65	ACR|3DMG|2VULN|2CDMG|3DUR|1SELL	17CDMG|2SELL|3RCR|457DMG|679DUR|7BPWR|8aVULN
42	11154 28213	   	191.59	ACR|2AART|2VULN|2DMG|1CDMG|1SELL	1CDMG|2SELL|3RCR|4aAART|58DMG|6MBVNT|79VULN
43	21354 32213	   	191.52	ACR|2AART|2VULN|2DMG|1DUR	1RCVC|2RCR|38DMG|4aAART|5NUKE|69VULN|7DUR
44	21351 21114	   	191.27	ACR|3DMG|1AART|1VULN|2CDMG	1RCVC|2RCR|37aDMG|4AART|57ERES|67CDMG|7BPWR|8LHND|9VULN
45	21351 21243	   	191.27	ACR|3DMG|1AART|1VULN|2CDMG	1RCVC|2RCR|37aDMG|4AART|57ERES|67CDMG|7BPWR|8CGEN|9VULN
46	21351 21643	   	191.27	ACR|3DMG|1AART|1VULN|2CDMG	1RCVC|2RCR|37aDMG|4AART|57ERES|67CDMG|7BPWR|8MLV|9VULN
47	11113 11646	 * 	191.26	ACR|3VULN|3DMG|2CDMG|1SELL	17CDMG|2SELL|3RCR|457DMG|67BEXP|7BPWR|89aVULN
48	11154 31111	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6aVULN|7ZMB|9LHND
49	11154 31122	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7ZMB|aFEWX
50	11154 31123	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7ZMB|aLIT
51	11154 31125	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7ZMB|aBELT
52	11154 31151	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6aVULN|7ZMB|9LWND
53	11154 33241	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6aVULN|7LHND|9ZMB
54	11154 41121	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6LWND|7ZMB|9aVULN
55	11154 61121	   	191.24	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6FEWX|7ZMB|9aVULN
56	11154 31121	   	191.14	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7ZMB|aERES
57	21351 11121	   	191.08	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2RCR|38DMG|4AART|5ERES|6DUR|7ZMB|9aVULN
58	21351 52241	   	191.08	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2RCR|38DMG|4AART|5ERES|6aVULN|7DUR|9ZMB
59	21354 11121	   	191.08	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2RCR|38DMG|4AART|5NUKE|6DUR|7ZMB|9aVULN
60	21354 32241	   	191.08	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2RCR|38DMG|4AART|5NUKE|6aVULN|7DUR|9ZMB
61	21311 36461	   	190.69	ACR|3DMG|2VULN|2ZMB|2ASPD	1RCVC|2RCR|345DMG|59BPWR|69ZMB|79VULN|89ASPD|aLIT
62	21311 36463	   	190.69	ACR|3DMG|2VULN|2ZMB|2ASPD	1RCVC|2RCR|345DMG|59BPWR|69ZMB|79VULN|89ASPD|aRMIN
63	21331 36462	   	190.69	ACR|3DMG|2VULN|2ZMB|2ASPD	1RCVC|2RCR|345DMG|459BPWR|69ZMB|79VULN|89ASPD|aCGEN
