0	Index      	 *	Score 	Summary	Detail	
33	11161 11251	   	204.95	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG|1SELL	1VULN|2CDMG|3DMG|4DUR|5RCR|6SELL|7FEWX|8aBEXP|9BASARM
34	21141 11151	   	204.95	ACR|1BASARM|2BEXP|1VULN|1DMG|1CDMG|1SELL	1DUR|2CDMG|3DMG|4aBEXP|5RCR|6SELL|7FEWX|8VULN|9BASARM
35	21151 13151	   	204.95	ACR|1BASARM|2BEXP|1VULN|1DMG|1CDMG|1SELL	1DUR|2CDMG|3DMG|4FEWX|5RCR|6SELL|7aBEXP|8VULN|9BASARM
36	11151 12261	   	204.85	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG|1SELL	1VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|7MBVNT|8aBEXP|9BASARM
37	22243 41431	   	204.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2VULN|3LWND|4RCR|5RCVC|6FEWX|7ASPD|8DMG|9BASARM|aBEXP
38	26141 52322	   	204.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1DUR|2DUST|3LEGI|4RCR|5AART|6RPLT|7ASPD|8DMG|9VULN|aBASARM
39	22243 31431	   	204.13	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2VULN|3LWND|4RCR|5RCVC|6LEGI|7ASPD|8DMG|9BASARM|aBEXP
40	22243 34431	   	204.13	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2VULN|3LWND|4RCR|5RCVC|6LEGI|7DMG|8ASPD|9BASARM|aBEXP
41	13241 21431	   	201.77	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|27LHND|3LWND|4RCR|5DUR|6DMG|8ASPD|9BASARM|aBEXP
42	22245 31431	   	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2VULN|3LWND|4RCR|5DMSP|6LEGI|7ASPD|8DMG|9BASARM|aBEXP
43	13543 23621	 * 	200.76	ACR|1VULN|2BEXP|2CDMG|1DMG|1BASICY|1AART	1VULN|2aLHND|3AART|4TLV|5RCR|6DMG|7aBEXP|8BASICY|9aCDMG|aBPWR
44	13553 23621	   	200.76	ACR|1VULN|2BEXP|1DMG|2CDMG|1BASICY|1AART	1VULN|2aLHND|3AART|4AME|5RCR|6DMG|7aBEXP|8BASICY|9aCDMG|aBPWR
45	63114 22832	   	199.77	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1AART|2LIT|3DUST|4VULN|5RCR|6BEXP|7MBVNT|8DMG|9AAC|aBASARM
46	63314 32832	   	199.77	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1AART|2LIT|3BEXP|4VULN|5RCR|6DUST|7MBVNT|8DMG|9AAC|aBASARM
47	11141 51316	   	198.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1VULN|2CDMG|3DMG|4BEXP|5RCR|6MSLREG|7FEWX|8TLV|9BASARM|aAAC
48	11141 24126	 * 	198.37	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1VULN|2CDMG|39DMG|4BEXP|5RCR|6LIT|7AART|8LWND|aASPD
49	11141 24326	   	198.37	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AART	1VULN|2CDMG|39DMG|4BEXP|5RCR|6LIT|7AART|8FEWX|aASPD
50	11151 12267	   	198.32	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC|1SELL	1VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|7MBVNT|8BEXP|9BASARM|aAAC
51	11141 62162	   	197.88	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1VULN|28CDMG|3DMG|4BEXP|5RCR|6AAC|7FEWX|9BASARM|aLWND
52	11151 55313	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1VULN|2CDMG|3DMG|4FEWX|5RCR|6MSLREG|7LHND|8TLV|9BASARM|aASPD
53	11161 51313	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6MSLREG|7FEWX|8TLV|9BASARM|aASPD
54	11161 55313	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6MSLREG|7LHND|8ERES|9BASARM|aASPD
55	11161 62163	   	197.88	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1VULN|28CDMG|3DMG|4DUR|5RCR|6AAC|7FEWX|9BASARM|aBEXP
56	21151 52313	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUR|2CDMG|3DMG|4FEWX|5RCR|6VENFST|7VULN|8TLV|9BASARM|aASPD
57	11141 62161	   	197.78	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1VULN|28CDMG|3DMG|4BEXP|5RCR|6AAC|7FEWX|9BASARM|aTLV
58	11151 12264	   	197.63	ACR|1BASARM|1VULN|2CDMG|1DMG|1BEXP|1SELL	1VULN|2aCDMG|3DMG|4FEWX|5RCR|6SELL|7MBVNT|8BEXP|9BASARM
59	11141 11226	 * 	196.76	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG|1SELL	1VULN|2CDMG|3DMG|48BEXP|5RCR|6SELL|7FEWX|9aASPD
60	11141 14226	 * 	196.76	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG|1SELL	1VULN|2CDMG|3DMG|48BEXP|5RCR|6SELL|7DUR|9aASPD
61	11151 13226	 * 	196.76	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG|1SELL	1VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|78BEXP|9aASPD
62	11141 21483	 * 	196.65	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	19VULN|2CDMG|3DMG|4BEXP|5RCR|6LIT|7MBVNT|8aASPD
