0	Index      	 *	Score 	Summary	Detail	
34	42313 42313	   	251.07	ACR|2BASARM|3ASPD|2BEXP	1AAC|27BASARM|3RCR|4VULN|57BEXP|67aASPD|7BPWR|8ZMB|9ERES
35	42313 42362	   	251.07	ACR|2BASARM|3ASPD|2BEXP	1AAC|27BASARM|3RCR|4VULN|57BEXP|679ASPD|7BPWR|8ZMB|aERES
36	42313 42413	   	251.07	ACR|2BASARM|3ASPD|2BEXP	1AAC|27BASARM|3RCR|4VULN|57BEXP|67aASPD|7BPWR|8RMIN|9ERES
37	42313 42613	   	251.07	ACR|2BASARM|3ASPD|2BEXP	1AAC|27BASARM|3RCR|4VULN|57BEXP|67aASPD|7BPWR|8CGEN|9ERES
38	42313 42363	   	250.92	ACR|2BASARM|3ASPD|2BEXP|1SELL	1AAC|27BASARM|3RCR|4VULN|57BEXP|679ASPD|7BPWR|8ZMB|aSELL
39	42313 44131	   	250.03	ACR|3ASPD|1BASARM|2BEXP|1AART	1AAC|2BASARM|3RCR|4VULN|58BEXP|67aASPD|9AART
40	42313 44123	 * 	249.41	ACR|3ASPD|1BASARM|2BEXP|2VULN	1AAC|2BASARM|3RCR|4aVULN|58BEXP|679ASPD
41	42313 42511	   	249.16	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8LWND|9CDMG|aLHND
42	42313 42211	   	249.06	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9CDMG|aLHND
43	42313 42215	   	249.06	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9CDMG|aZMB
44	42313 42217	   	249.06	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9CDMG|aFEWX
45	42313 42513	   	249.06	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8LWND|9CDMG|aERES
46	42313 42213	   	248.96	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9CDMG|aERES
47	42313 42216	   	248.96	ACR|2BASARM|2ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9CDMG|aDUST
48	42311 22364	 * 	248.93	ACR|3BASARM|3BEXP|2VULN|1CDMG	1AAC|278BASARM|3RCR|49VULN|578ERES|678BEXP|78BPWR|aCDMG
49	42313 41113	   	248.63	ACR|1BASARM|2ASPD|2BEXP|1DMG|2AAC	17AAC|2BASARM|3RCR|4VULN|58BEXP|6aASPD|9DMG
50	42313 42246	   	248.34	ACR|2BASARM|2ASPD|2BEXP|2VULN	1AAC|27BASARM|3RCR|4aVULN|57BEXP|67ASPD|7BPWR|8MBVNT|9MSLREG
51	42311 22363	 * 	247.21	ACR|3BASARM|3BEXP|3VULN	1AAC|278BASARM|3RCR|49aVULN|578ERES|678BEXP|78BPWR
52	42313 42111	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LWND|aZMB
53	42313 42115	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LWND|aLHND
54	42313 42126	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9MLV|aFEWX
55	42313 42131	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LHND|aZMB
56	42313 42135	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9aLHND
57	42313 42136	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9LHND|aLIT
58	42313 42152	   	246.78	ACR|2BASARM|3BEXP|2ASPD	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9RPLT|aDUR
