0	Index      	 *	Score 	Summary	Detail	
35	41418 51422	   	222.45	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6ERES|7CDMG|8BASARM|9VULN|aDMG
36	41434 78332	   	222.28	ACR|3DMG|2ASPD|2BEXP	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9MDPS|aVULN
37	41431 25137	 * 	221.65	ACR|1BASARM|3BEXP|2ASPD	1MBVNT|2RCR|39ASPD|49aBEXP|5DUST|6MDPS|7BASARM|89DUR|9BPWR
38	41431 25437	   	221.65	ACR|1BASARM|3BEXP|2ASPD	1MBVNT|2RCR|39ASPD|49aBEXP|5DUST|6MDPS|7BASARM|89LWND|9BPWR
39	41448 61442	 * 	221.65	ACR|1BASARM|2ASPD|2AART|1CDMG	1MBVNT|2RCR|35ASPD|46CGEN|7CDMG|8BASARM|9aAART
40	41443 81442	   	221.65	ACR|1BASARM|2ASPD|2AART|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9aAART
41	41418 31442	   	221.55	ACR|1BASARM|2ASPD|2AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9aAART
42	41418 51442	   	221.55	ACR|1BASARM|2ASPD|2AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6ERES|7CDMG|8BASARM|9aAART
43	41434 71463	   	220.57	ACR|3ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RCR|38aASPD|4BEXP|5aDMG|6RPLT|7RMIN|9aVULN|aBPWR
44	41434 35162	   	220.38	ACR|2ASPD|2DMG|2BEXP|1AART	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|67LWND|7BPWR|9VULN|aAART
45	41434 38312	 * 	220.37	ACR|3BEXP|2ASPD|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|489BEXP|5DMG|6LWND|78CDMG|8BPWR|aVULN
46	41133 74722	   	219.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1MBVNT|2RCR|3AME|4BEXP|5RMIN|6CDMG|7AAC|8DMG|9BASARM|aASPD
47	41433 84233	   	219.75	ACR|2ASPD|2DMG|2BEXP|2VULN	1MBVNT|2RCR|3aASPD|49BEXP|5RMIN|6aDMG|7aVULN|8RPLT|aBPWR
48	41434 12233	   	219.75	ACR|2ASPD|2DMG|2BEXP|2VULN	1MBVNT|2RCR|3aASPD|49BEXP|5aDMG|6aVULN|7RMIN|8RPLT|aBPWR
49	41448 31373	   	219.71	ACR|3ASPD|2BEXP|2VULN|1AART|1AAC	1MBVNT|2RCR|359ASPD|4CGEN|6AART|79BEXP|89VULN|9BPWR|aAAC
50	41434 77233	   	219.26	ACR|3BEXP|2ASPD|2DMG|1AAC	1MBVNT|2RCR|3aASPD|47aBEXP|5aDMG|6RPLT|8MDPS|9AAC|aBPWR
