0	Index      	 *	Score 	Summary	Detail	
153	41411 23553	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|4RCVC|56DMG|7aZMB|89aBEXP|aBPWR
154	41434 77311	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6aRPLT|8BPWR|9RCVC
155	41434 77313	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6RPLT|8BPWR|9aRCVC
156	41434 77341	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|69aRPLT|8BPWR
157	41434 77343	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|69RPLT|8BPWR|aRCVC
158	41418 31432	   	211.00	ACR|3ASPD|1BASARM|1CDMG	1MBVNT|2RCR|35aASPD|4RCVC|6TLV|7CDMG|8BASARM|9MDPS
159	41418 51432	   	211.00	ACR|3ASPD|1BASARM|1CDMG	1MBVNT|2RCR|35aASPD|4RCVC|6ERES|7CDMG|8BASARM|9MDPS
160	41744 26322	   	211.00	ACR|3ASPD|1BASARM|1BEXP	1MBVNT|2RCR|3RPLT|4AEMAG|5BEXP|6ERES|78aASPD|9BASARM
161	41434 35113	   	210.96	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|37ASPD|48aBEXP|57DMG|67LWND|7BPWR|9DLOT
162	41411 43553	   	210.96	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|4RCVC|5aDMG|6AEMAG|7ZMB|89aBEXP|aBPWR
163	41432 34746	   	210.96	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|47aBEXP|5SNITOX|6LHND|8BELT|9aDMG|aBPWR
164	41434 77321	   	210.96	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6aRPLT|8BPWR|9AEMAG
165	41434 77323	   	210.96	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6RPLT|8BPWR|9AEMAG|aRCVC
166	41444 57422	   	210.95	ACR|3ASPD|1BASARM|1BEXP|1SELL	1MBVNT|2RCR|37aASPD|4CGEN|5LWND|6BEXP|8SELL|9BASARM
167	41432 11522	   	210.86	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|47aBEXP|5SNITOX|6ERES|8RCVC|9aDMG|aBPWR
168	41434 41452	   	210.86	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|37ASPD|489BEXP|5aDMG|6CGEN
169	41434 53431	   	210.86	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|468BEXP|59DMG|7ZMB
170	41434 57431	   	210.86	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|468BEXP|59DMG|7MLV
171	41437 11522	   	210.86	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3aASPD|47aBEXP|5LSRREG|6ERES|8RCVC|9aDMG|aBPWR
172	41436 37422	   	210.85	ACR|3ASPD|1BASARM|1BEXP|1SELL	1MBVNT|2RCR|37aASPD|4BEXP|5AME|6LWND|8SELL|9BASARM
173	41434 77331	   	210.81	ACR|3BEXP|2ASPD|2DMG|1SELL	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6RPLT|8BPWR|9SELL|aDMSP
174	41434 77332	   	210.81	ACR|3BEXP|2ASPD|2DMG|1SELL	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6RPLT|8BPWR|9SELL|aLWND
175	41434 77333	   	210.81	ACR|3BEXP|2ASPD|2DMG|1SELL	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6RPLT|8BPWR|9SELL|aMLV
176	41434 77334	   	210.81	ACR|3BEXP|2ASPD|2DMG|1SELL	1MBVNT|2RCR|38ASPD|478BEXP|58DMG|6RPLT|8BPWR|9SELL|aCGEN
177	41434 21452	   	210.76	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|37ASPD|489BEXP|5aDMG|6ERES
178	41434 81452	   	210.76	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|37ASPD|489BEXP|5aDMG|6NUKE
179	41434 38328	   	210.47	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AAC	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|6LWND|78CDMG|8BPWR|9MLV|aAAC
180	41434 38348	   	210.47	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AAC	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|6LWND|78CDMG|8BPWR|9RMIN|aAAC
181	41431 25131	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89DUR|9BPWR|aRCVC
182	41431 25133	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89DUR|9BPWR|aZMB
183	41431 25135	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89DUR|9BPWR|aLHND
184	41431 25331	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LHND|9BPWR|aRCVC
185	41431 25333	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LHND|9BPWR|aZMB
186	41431 25335	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89aLHND|9BPWR
187	41431 25431	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LWND|9BPWR|aRCVC
188	41431 25433	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LWND|9BPWR|aZMB
189	41431 25435	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LWND|9BPWR|aLHND
190	41431 25138	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89DUR|9BPWR|aERES
191	41431 25336	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LHND|9BPWR|aERES
192	41431 25337	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LHND|9BPWR|aFLTFST
193	41431 25438	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|39ASPD|49BEXP|5DUST|6MDPS|7BASARM|89LWND|9BPWR|aERES
194	41435 53122	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|3aASPD|46BEXP|5RPLT|7MLV|8AEMAG|9BASARM
195	41721 53122	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1MBVNT|2RCR|3RPLT|4aASPD|56BEXP|7MLV|8AEMAG|9BASARM
196	41434 34413	   	210.23	ACR|2ASPD|2BEXP|2VULN|1DMG|1AAC|1SELL	1MBVNT|2RCR|3aASPD|4aBEXP|5DMG|6LWND|7aVULN|8SELL|9AAC|aBPWR
197	41137 61422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|35AME|45BEXP|5BPWR|6FEWX|7aASPD|8SELL|9BASARM
198	41138 61422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3AME|45BEXP|6FEWX|7aASPD|8SELL|9BASARM
199	41428 52422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3aASPD|4ERES|56BEXP|7FEWX|8SELL|9BASARM
200	41428 54422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3aASPD|4ERES|56BEXP|7DUR|8SELL|9BASARM
201	41436 52422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3aASPD|46BEXP|5AME|7FEWX|8SELL|9BASARM
202	41436 54422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3aASPD|46BEXP|5AME|7DUR|8SELL|9BASARM
203	41438 52422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3aASPD|46BEXP|5ERES|7FEWX|8SELL|9BASARM
204	41438 54422	   	210.04	ACR|1BASARM|2ASPD|2BEXP|1SELL	1MBVNT|2RCR|3aASPD|46BEXP|5ERES|7DUR|8SELL|9BASARM
205	41448 61441	   	209.19	ACR|1BASARM|2ASPD|1CDMG|1AART	1MBVNT|2RCR|35ASPD|46CGEN|7CDMG|8BASARM|9AART|aLHND
206	41384 73124	   	209.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4MLV|57DMG|6CDMG|8BEXP|9BASARM|aRCVC
207	41415 71122	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4RCVC|5MLV|6CDMG|7DUR|8BEXP|9BASARM
208	41415 73122	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4RCVC|5MLV|6CDMG|7LWND|8BEXP|9BASARM
209	41443 81441	   	209.19	ACR|1BASARM|2ASPD|1CDMG|1AART	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9AART|aLHND
210	41444 72222	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4CGEN|5LWND|6CDMG|7BEXP|8RCVC|9BASARM
211	41444 72822	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4CGEN|58LWND|6CDMG|7BEXP|9BASARM
212	41444 78122	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|47CGEN|5LWND|6CDMG|8BEXP|9BASARM
213	41434 38337	   	209.11	ACR|2ASPD|2BEXP|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|69LWND|78CDMG|8BPWR|aVULN
214	41434 38371	   	209.11	ACR|2ASPD|2BEXP|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|6LWND|78CDMG|8BPWR|9VULN|aRPLT
215	41434 38373	   	209.11	ACR|2ASPD|2BEXP|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|6LWND|78CDMG|8BPWR|9VULN|aFEWX
216	41434 38374	   	209.11	ACR|2ASPD|2BEXP|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|6LWND|78CDMG|8BPWR|9VULN|aRMIN
217	41428 72323	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|38ASPD|4ERES|5BEXP|6CDMG|7FEWX|9BASARM|aLWND
218	41428 72324	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|38ASPD|4ERES|5BEXP|6CDMG|7FEWX|9BASARM|aCGEN
219	41433 71722	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5RMIN|6CDMG|7MLV|8NUKE|9BASARM
220	41433 73322	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5RMIN|6CDMG|7ZMB|8ERES|9BASARM
221	41433 73822	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5RMIN|6CDMG|7ZMB|8TLV|9BASARM
222	41438 72323	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|38ASPD|4BEXP|5ERES|6CDMG|7FEWX|9BASARM|aLWND
223	41438 72324	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|38ASPD|4BEXP|5ERES|6CDMG|7FEWX|9BASARM|aCGEN
224	41418 31441	   	209.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9AART|aLHND
225	41418 51441	   	209.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6ERES|7CDMG|8BASARM|9AART|aLHND
226	41448 61443	   	209.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|46CGEN|7CDMG|8BASARM|9AART|aERES
227	41111 71122	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3AME|4RCVC|5aASPD|6CDMG|7DUR|8BEXP|9BASARM
228	41111 73122	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3AME|4RCVC|5aASPD|6CDMG|7LWND|8BEXP|9BASARM
229	41384 73121	   	209.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4MLV|57DMG|6CDMG|8BEXP|9BASARM|aDUST
230	41384 73123	   	209.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4MLV|57DMG|6CDMG|8BEXP|9BASARM|aERES
231	41414 71122	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4RCVC|5AME|6CDMG|7DUR|8BEXP|9BASARM
232	41414 73122	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4RCVC|5AME|6CDMG|7LWND|8BEXP|9BASARM
233	41426 72222	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4ERES|5LHND|6CDMG|7BEXP|8RCVC|9BASARM
234	41427 72222	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4ERES|5DUR|6CDMG|7BEXP|8RCVC|9BASARM
235	41443 81443	   	209.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9AART|aERES
236	41443 81445	   	209.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9AART|aAME
237	41443 81446	   	209.09	ACR|1BASARM|2ASPD|1CDMG|1AART	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9AART|aDUST
238	41443 81473	   	209.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7CDMG|8BASARM|9ERES|aAART
239	41444 72422	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4CGEN|5LWND|6CDMG|7BEXP|8AEMAG|9BASARM
240	41421 72473	   	209.09	ACR|2ASPD|2VULN|1DMG|1AART|1BEXP|1AAC	1MBVNT|2RCR|38ASPD|48ERES|5AAC|68VULN|7AART|8BPWR|9DMG|aBEXP
241	41432 82743	 * 	209.01	ACR|2DMG|2BEXP|1ASPD|2CDMG	1MBVNT|2RCR|3ASPD|4aBEXP|5SNITOX|6VULN|7aDMG|8LWND|9aCDMG|aBPWR
242	41434 38372	   	209.01	ACR|2ASPD|2BEXP|1DMG|2CDMG	1MBVNT|2RCR|38ASPD|48BEXP|5DMG|6LWND|78CDMG|8BPWR|9VULN|aERES
243	41422 71122	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|45ERES|6CDMG|7DUR|8BEXP|9BASARM
244	41422 74122	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|45ERES|6CDMG|7LHND|8BEXP|9BASARM
245	41428 72321	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|38ASPD|4ERES|5BEXP|6CDMG|7FEWX|9BASARM|aDUST
246	41431 25124	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7BASARM|8DUR|9CDMG
247	41431 25324	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7BASARM|8LHND|9CDMG
248	41431 25424	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5DUST|6MDPS|7BASARM|8LWND|9CDMG
249	41436 72122	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5AME|6CDMG|7FEWX|8AEMAG|9BASARM
250	41438 72321	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|38ASPD|4BEXP|5ERES|6CDMG|7FEWX|9BASARM|aDUST
251	41418 31443	   	208.99	ACR|1BASARM|2ASPD|1CDMG|1AART	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9AART|aERES
252	41418 31445	   	208.99	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9AART|aAME
253	41418 31446	   	208.99	ACR|1BASARM|2ASPD|1CDMG|1AART	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7CDMG|8BASARM|9AART|aDUST
254	41418 51443	   	208.99	ACR|1BASARM|2ASPD|1AART|1CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6aERES|7CDMG|8BASARM|9AART
255	41426 72422	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4ERES|5LHND|6CDMG|7BEXP|8AEMAG|9BASARM
256	41427 72422	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4ERES|5DUR|6CDMG|7BEXP|8AEMAG|9BASARM
257	41443 88444	   	208.95	ACR|1BASARM|2ASPD|1BEXP|1AART|1SELL	1MBVNT|2RCR|36ASPD|45CGEN|7SELL|8BASARM|9AART|aBEXP
258	41434 41432	   	208.92	ACR|3ASPD|3BEXP|1DMG	1MBVNT|2RCR|37aASPD|48aBEXP|5DMG|6CGEN|9aAIRHEL|aBPWR
259	41434 41451	   	208.92	ACR|3ASPD|3BEXP|1DMG	1MBVNT|2RCR|37aASPD|489BEXP|5DMG|6CGEN
260	41434 53432	 * 	208.92	ACR|3DMG|3BEXP|1ASPD	1MBVNT|2RCR|3ASPD|468BEXP|59aDMG|7ZMB
261	41434 57432	   	208.92	ACR|3DMG|3BEXP|1ASPD	1MBVNT|2RCR|3ASPD|468BEXP|59aDMG|7MLV
262	41418 38444	   	208.85	ACR|1BASARM|2ASPD|1BEXP|1AART|1SELL	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7SELL|8BASARM|9AART|aBEXP
263	41432 44328	 * 	208.82	ACR|3ASPD|3BEXP|2CDMG	1MBVNT|2RCR|36aASPD|478BEXP|5aSNITOX|9aCDMG|aBPWR
264	41434 21451	   	208.82	ACR|3ASPD|3BEXP|1DMG	1MBVNT|2RCR|37aASPD|489BEXP|5DMG|6ERES
265	41434 81451	   	208.82	ACR|3ASPD|3BEXP|1DMG	1MBVNT|2RCR|37aASPD|489BEXP|5DMG|6NUKE
266	41436 81432	   	208.82	ACR|3ASPD|3BEXP|1DMG	1MBVNT|2RCR|37aASPD|48aBEXP|5AME|6DMG|9aAIRHEL|aBPWR
267	41437 44328	   	208.82	ACR|3ASPD|3BEXP|2CDMG	1MBVNT|2RCR|36aASPD|478BEXP|5aLSRREG|9aCDMG|aBPWR
268	41463 44328	   	208.82	ACR|3ASPD|3BEXP|2CDMG	1MBVNT|2RCR|36aASPD|4aSPLREG|578BEXP|9aCDMG|aBPWR
269	41448 61424	   	208.80	ACR|1BASARM|2ASPD|2CDMG	1MBVNT|2RCR|35ASPD|46CGEN|7aCDMG|8BASARM|9VULN
270	41443 81424	   	208.80	ACR|1BASARM|2ASPD|2CDMG	1MBVNT|2RCR|36ASPD|45CGEN|7aCDMG|8BASARM|9VULN
271	41418 31424	   	208.70	ACR|1BASARM|2ASPD|2CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7aCDMG|8BASARM|9VULN
272	41418 51424	   	208.70	ACR|1BASARM|2ASPD|2CDMG	1MBVNT|2RCR|35ASPD|4RCVC|6ERES|7aCDMG|8BASARM|9VULN
273	41443 88422	   	208.65	ACR|1BASARM|2ASPD|1DMG|1SELL	1MBVNT|2RCR|36ASPD|45CGEN|7SELL|8BASARM|9VULN|aDMG
274	41418 38422	   	208.55	ACR|1BASARM|2ASPD|1DMG|1SELL	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7SELL|8BASARM|9VULN|aDMG
275	41434 35122	   	208.10	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|37ASPD|48BEXP|57DMG|679LWND|7BPWR|aAAC
276	41434 72183	   	208.00	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|39ASPD|49BEXP|59DMG|6RPLT|7DLOT|8AAC|9BPWR|aDUR
277	41434 72184	   	208.00	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|39ASPD|49BEXP|59DMG|6RPLT|7DLOT|8AAC|9BPWR|aLIT
278	41411 74833	   	208.00	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|3aASPD|4RCVC|5aDMG|6RPLT|7MDPS|8aBEXP|9AAC|aBPWR
279	41726 43333	   	208.00	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|3RPLT|4aASPD|5aDMG|6DUST|7AAC|8CGEN|9aBEXP|aBPWR
280	41434 72124	   	207.90	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|3aASPD|4aBEXP|5aDMG|6RPLT|7DLOT|8AAC|9MDPS|aBPWR
281	41434 72181	   	207.90	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|39ASPD|49BEXP|59DMG|6RPLT|7DLOT|8AAC|9BPWR|aERES
282	41434 72182	   	207.90	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|39ASPD|49BEXP|59DMG|6RPLT|7DLOT|8AAC|9BPWR|aAME
283	41726 43133	   	207.90	ACR|2ASPD|2DMG|2BEXP|1AAC	1MBVNT|2RCR|3RPLT|4aASPD|5aDMG|6DUST|7AAC|8ERES|9aBEXP|aBPWR
284	41443 88442	   	207.75	ACR|1BASARM|2ASPD|2AART|1SELL	1MBVNT|2RCR|36ASPD|45CGEN|7SELL|8BASARM|9aAART
285	41418 38442	   	207.65	ACR|1BASARM|2ASPD|2AART|1SELL	1MBVNT|2RCR|35ASPD|4RCVC|6TLV|7SELL|8BASARM|9aAART
286	41434 35521	   	207.55	ACR|3ASPD|2DMG|1BEXP	1MBVNT|2RCR|37aASPD|4BEXP|57DMG|67LWND|7BPWR|8VULN|9FEWX
287	11426 31361	 * 	207.47	ACR|3DMG|3ASPD|2VULN	18aDMG|26AEFBLL|3FEWX|48VULN|5RCR|789ASPD|8BPWR
288	11626 31361	   	207.47	ACR|3DMG|3ASPD|2VULN	18aDMG|26AEFBLL|3DUR|48VULN|5RCR|789ASPD|8BPWR
289	44215 83111	   	207.45	ACR|1BASARM|2ASPD|1DMG|1AART	1MBVNT|2SNITOX|3VULN|4BASARM|5RCR|67ASPD|8AART|9RPLT|aDMG
290	41434 35511	   	207.45	ACR|3ASPD|2DMG|1BEXP	1MBVNT|2RCR|37aASPD|4BEXP|57DMG|67LWND|7BPWR|8VULN|9DUST
291	11326 31361	   	207.37	ACR|3DMG|3ASPD|2VULN	18aDMG|26AEFBLL|3LEGI|48VULN|5RCR|789ASPD|8BPWR
292	41448 21274	   	207.35	ACR|3DMG|2ASPD|1AART	1MBVNT|2RCR|35ASPD|4CGEN|69aDMG|7AART|8VULN
293	41433 35161	   	207.12	ACR|3BEXP|2ASPD|1DMG|1AART	1MBVNT|2RCR|37ASPD|478BEXP|5RMIN|67LWND|7BPWR|9DMG|aAART
294	41434 56114	   	207.02	ACR|3BEXP|2ASPD|1DMG|1AART	1MBVNT|2RCR|3aASPD|46aBEXP|5DMG|7AART|8VENFST|9aDUR|aBPWR
295	41443 31373	   	207.02	ACR|3BEXP|2ASPD|2VULN|1AART	1MBVNT|2RCR|39ASPD|45CGEN|6AART|79aBEXP|89VULN|9BPWR
296	41434 41454	   	206.92	ACR|3BEXP|2ASPD|1DMG|1AART	1MBVNT|2RCR|37ASPD|489BEXP|5DMG|6CGEN|aAART
297	41434 56213	   	206.92	ACR|3BEXP|2DMG|1ASPD|1AART	1MBVNT|2RCR|3ASPD|46aBEXP|59DMG|7AART|8LWND
298	41434 52148	   	206.92	ACR|3BEXP|2DMG|1ASPD|1AART	1MBVNT|2RCR|3ASPD|468BEXP|5aDMG|7FEWX|9AART
299	41434 53434	   	206.92	ACR|3BEXP|2DMG|1ASPD|1AART	1MBVNT|2RCR|3ASPD|468BEXP|59DMG|7ZMB|aAART
300	41434 57434	   	206.92	ACR|3BEXP|2DMG|1ASPD|1AART	1MBVNT|2RCR|3ASPD|468BEXP|59DMG|7MLV|aAART
301	41448 27221	 * 	206.82	ACR|3DMG|2ASPD|1BASICY	1MBVNT|2RCR|35ASPD|4CGEN|678DMG|9BASICY|aDUR
302	41448 27222	   	206.82	ACR|3DMG|2ASPD|1BASICY	1MBVNT|2RCR|35ASPD|4CGEN|678DMG|9BASICY|aRMIN
303	41448 27223	   	206.82	ACR|3DMG|2ASPD|1BASICY	1MBVNT|2RCR|35ASPD|4CGEN|678DMG|9BASICY|aMLV
304	41422 31373	   	206.82	ACR|3BEXP|2ASPD|2VULN|1AART	1MBVNT|2RCR|39ASPD|45ERES|6AART|79aBEXP|89VULN|9BPWR
305	41432 44322	   	206.82	ACR|3BEXP|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|36ASPD|478BEXP|5SNITOX|9CDMG|aDMG
306	41434 21454	   	206.82	ACR|3BEXP|2ASPD|1DMG|1AART	1MBVNT|2RCR|37ASPD|489BEXP|5DMG|6ERES|aAART
307	41434 81454	   	206.82	ACR|3BEXP|2ASPD|1DMG|1AART	1MBVNT|2RCR|37ASPD|489BEXP|5DMG|6NUKE|aAART
308	41437 44322	   	206.82	ACR|3BEXP|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|36ASPD|478BEXP|5LSRREG|9CDMG|aDMG
309	41463 44322	   	206.82	ACR|3BEXP|2ASPD|1DMG|1CDMG	1MBVNT|2RCR|36ASPD|4SPLREG|578BEXP|9CDMG|aDMG
310	41134 13544	   	206.75	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1MBVNT|2RCR|3AME|4BEXP|5DMG|6VULN|7AAC|8LHND|9BASARM|aAART
311	41434 35523	   	206.73	ACR|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|37ASPD|4aBEXP|57DMG|67LWND|7BPWR|8VULN|9FEWX
