0	Index      	 *	Score 	Summary	Detail	
37	23123 51124	 * 	273.32	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1ASPD|23DMG|4RAT|59VULN|6CGEN|7MLV|8TLV|aRCR
38	43142 53122	   	272.95	DCR|DCR|1VULN|2ASPD|1MLV	1LIT|2LHND|3MLV|49ASPD|5FEWX|67RCR|8ERES|aVULN
39	43143 53122	   	272.95	DCR|DCR|1VULN|2ASPD|1MLV	1LIT|2LHND|3MLV|49ASPD|5LWND|67RCR|8ERES|aVULN
40	12224 11533	   	272.87	DCR|DCR|2VULN|1AAC|1ASPD	1LWND|2CGEN|3AAC|4ASPD|5MULARM|6FEWX|78VULN|9aRCR
41	41142 53122	   	272.85	DCR|DCR|1VULN|2ASPD|1MLV	1LIT|2DUST|3MLV|49ASPD|5FEWX|67RCR|8ERES|aVULN
42	41143 53122	   	272.85	DCR|DCR|1VULN|2ASPD|1MLV	1LIT|2DUST|3MLV|49ASPD|5LWND|67RCR|8ERES|aVULN
43	21264 11633	   	272.77	DCR|DCR|2VULN|1AAC|1ASPD	1ASPD|2DUST|3AAC|4AME|5MULARM|6FEWX|78VULN|9aRCR
44	21242 25143	   	272.67	DCR|DCR|2VULN|1AAC|1ASPD	1ASPD|2DUST|3AAC|4LWND|5BASHEA|68VULN|7aRCR|9ERES
45	25232 25143	   	272.57	DCR|DCR|2VULN|1AAC|1ASPD	1ASPD|2BEXP|3AAC|4DUST|5BASHEA|68VULN|7aRCR|9ERES
46	21113 22545	   	271.82	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2DUST|3AETHUN|4MLV|5BELT|6ERES|7CDMG|8VULN|9aRCR
47	23161 24131	 * 	271.40	DCR|3VULN|3DMG|3ASPD	145ASPD|234DMG|45BPWR|6TBNT|789VULN|aRCR
48	12531 61314	   	270.82	DCR|DCR|1VULN|1TLV|1AAC	14LWND|2CGEN|3MDPS|5VULN|6TLV|79RCR|8AAC|aDUR
49	12151 61314	   	270.72	DCR|DCR|1VULN|1TLV|1AAC	1LWND|2CGEN|3AEPOI|4MDPS|5VULN|6TLV|79RCR|8AAC|aDUR
50	43112 54222	   	270.59	DCR|DCR|1VULN|1MLV|1DMG	1LIT|2LHND|3MLV|4DMG|5FEWX|67RCR|8DUR|9VULN|aRMIN
51	43112 54223	   	270.59	DCR|DCR|1VULN|1MLV|1DMG	1LIT|2LHND|3MLV|4DMG|5FEWX|67RCR|8DUR|9VULN|aCGEN
52	43132 53221	   	270.59	DCR|DCR|1VULN|1MLV|1DMG	1LIT|2LHND|3MLV|4ZMB|5FEWX|67RCR|8DUR|9VULN|aDMG
53	12353 21614	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1LWND|2CGEN|3MLV|4LEGI|5VULN|6FEWX|79RCR|8DMG|aDUR
54	13113 21614	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1LWND|2BEXP|3CGEN|4MLV|5VULN|6FEWX|79RCR|8DMG|aDUR
55	41132 53421	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1LIT|2DUST|3MLV|4ZMB|5FEWX|67RCR|8DUR|9VULN|aDMG
56	12353 11616	   	270.39	DCR|DCR|1VULN|1MLV|1DMG	1LWND|2CGEN|3MLV|4LEGI|5VULN|6AETHUN|79RCR|8DMG|aDUR
57	13113 11614	   	270.39	DCR|DCR|1VULN|1MLV|1DMG	1LWND|2BEXP|3CGEN|4MLV|5VULN|6AETHUN|79RCR|8DMG|aDUR
58	13113 61614	   	270.39	DCR|DCR|1VULN|1MLV|1DMG	1LWND|2BEXP|3CGEN|4MLV|5VULN|6DUST|79RCR|8DMG|aDUR
59	21141 61214	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2DUST|3AETHUN|4FEWX|5VULN|6TLV|79RCR|8CGEN|aDUR
60	22625 21214	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|24MDPS|3VULN|5TLV|6FEWX|79RCR|8CGEN|aDUR
61	21131 61511	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2DUST|3AETHUN|4DUR|5VULN|6TLV|79RCR|8RMIN|aAME
62	21131 61512	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2DUST|3AETHUN|4DUR|5VULN|6TLV|79RCR|8RMIN|aBELT
63	21131 61513	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2DUST|3AETHUN|4DUR|5VULN|6TLV|79RCR|8RMIN|aFEWX
64	21131 61515	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1ASPD|2DUST|3AETHUN|4DUR|5VULN|6TLV|79RCR|8RMIN|aTBNT
65	22645 21313	 * 	269.45	DCR|4VULN|3ASPD|1TLV	19aASPD|2MDPS|389aVULN|4AEWIND|5TLV|69aFEWX|7RCR|9aBPWR
66	41112 54311	   	269.12	DCR|DCR|1VULN|1MLV|1DMG	1LIT|2DUST|3MLV|4DMG|5FEWX|67RCR|8RCVC|9VULN|aRAT
67	43132 53151	 * 	268.32	DCR|DCR|2VULN|1MLV	1LIT|2LHND|3MLV|4ZMB|5FEWX|67RCR|8ERES|9aVULN
68	43133 53151	   	268.32	DCR|DCR|2VULN|1MLV	1LIT|2LHND|3MLV|4ZMB|5LWND|67RCR|8ERES|9aVULN
69	41132 53151	   	268.22	DCR|DCR|2VULN|1MLV	1LIT|2DUST|3MLV|4ZMB|5FEWX|67RCR|8ERES|9aVULN
70	41133 53151	   	268.22	DCR|DCR|2VULN|1MLV	1LIT|2DUST|3MLV|4ZMB|5LWND|67RCR|8ERES|9aVULN
71	43132 53225	   	267.42	DCR|DCR|1VULN|1MLV|1AAC	1LIT|2LHND|3MLV|4ZMB|5FEWX|67RCR|8DUR|9VULN|aAAC
72	23432 25633	   	267.33	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|29DMG|3FEWX|4DUST|5BASHEA|6VULN|7aRCR|8AME
73	12353 21314	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LWND|2CGEN|3MLV|4LEGI|5VULN|6FEWX|79RCR|8AAC|aDUR
74	12353 11316	   	267.22	DCR|DCR|1VULN|1MLV|1AAC	1LWND|2CGEN|3MLV|4LEGI|5VULN|6AETHUN|79RCR|8AAC|aDUR
75	12353 61314	   	267.22	DCR|DCR|1VULN|1MLV|1AAC	1LWND|2CGEN|3MLV|4LEGI|5VULN|6DUST|79RCR|8AAC|aDUR
76	13113 11314	   	267.22	DCR|DCR|1VULN|1MLV|1AAC	1LWND|2BEXP|3CGEN|4MLV|5VULN|6AETHUN|79RCR|8AAC|aDUR
77	13113 61314	   	267.22	DCR|DCR|1VULN|1MLV|1AAC	1LWND|2BEXP|3CGEN|4MLV|5VULN|6DUST|79RCR|8AAC|aDUR
78	43142 53223	   	266.77	DCR|DCR|1VULN|1MLV|1ASPD	1LIT|2LHND|3MLV|4ASPD|5aFEWX|67RCR|8DUR|9VULN
79	23123 42124	 * 	266.77	DCR|3VULN|2DMG|1TLV|1ASPD	1ASPD|23DMG|4RAT|569VULN|7DUST|8TLV|aRCR
80	43142 53222	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD|1MSE	1LIT|2LHND|3MLV|4ASPD|5FEWX|67RCR|8DUR|9VULN|aMSE
81	22615 21315	 * 	266.60	DCR|2VULN|3TLV|2ASPD|1MLV	19ASPD|2MDPS|38VULN|459TLV|69FEWX|7RCR|9BPWR|aMLV
