0	Index      	 *	Score 	Summary	Detail	
158	64424 16133	 * 	202.12	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	19AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|7DMG|8LWND|aMDPS
159	64424 16333	   	202.12	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	19AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|7DMG|8LHND|aMDPS
160	11534 13427	   	201.98	DCR|3VULN|1AART|1CDMG|2DUR|1AAC	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9CDMG|aAAC
161	16448 41125	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1MBVNT|2AAC|39VULN|49ASPD|5DMG|6RCR|7CGEN|89AELBLL|9BPWR|aAART
162	16448 41533	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1MBVNT|2AAC|39VULN|49ASPD|5DMG|6RCR|7CGEN|89FEWX|9BPWR|aAART
163	11831 77341	 * 	201.90	DCR|4VULN|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5CDMG|6RCR|789aVULN
164	11534 13127	   	201.88	DCR|3VULN|1AART|1CDMG|2DUR|1AAC	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9CDMG|aAAC
165	64424 16142	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|2MBVNT|39ASPD|4AME|5aVULN|6RCR|7DMG|8LWND
166	64424 16342	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|2MBVNT|39ASPD|4AME|5aVULN|6RCR|7DMG|8LHND
167	13534 13428	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|27LHND|357VULN|4AART|6RCR|7BPWR|8RMIN|9CDMG|aASPD
168	13534 13728	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|27LHND|357VULN|4AART|6RCR|7BPWR|8CGEN|9CDMG|aASPD
169	11533 14625	   	201.68	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|2aDUR|37VULN|4AART|5RCVC|6RCR|8aMULARM|9aDMG|aBPWR
170	12243 21336	   	201.65	ACR|2VULN|2DMG|2ASPD|1AART|1ZMB	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9MLV|aZMB
171	13534 13128	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|27LHND|357VULN|4AART|6RCR|7BPWR|8ERES|9CDMG|aASPD
172	13534 14428	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|2LHND|357VULN|4AART|6RCR|8RMIN|9CDMG|aASPD
173	13534 14728	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|2LHND|357VULN|4AART|6RCR|8CGEN|9CDMG|aASPD
174	11534 13322	   	201.56	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aRCVC
175	12243 21326	   	201.55	ACR|2VULN|2DMG|2ASPD|1AART|1ZMB	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9TLV|aZMB
176	12243 21376	   	201.55	ACR|2VULN|2DMG|2ASPD|1AART|1ZMB	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9ERES|aZMB
177	64224 13841	   	201.55	DCR|3VULN|2AART|1DMG	19AART|2MBVNT|347FEWX|578VULN|6RCR|7BPWR|aDMG
178	13534 14128	   	201.52	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|2LHND|357VULN|4AART|6RCR|8ERES|9CDMG|aASPD
179	15533 15422	 * 	201.52	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|27DUST|357VULN|4AART|6RCR|7BPWR|8RMIN|9CDMG|aDMG
180	15533 11822	   	201.42	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1MBVNT|2DUST|358VULN|4AART|6RCR|7AAC|9CDMG|aDMG
181	15533 15122	   	201.42	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|27DUST|357VULN|4AART|6RCR|7BPWR|8ERES|9CDMG|aDMG
182	21663 26333	   	201.22	DCR|3ASPD|2VULN|1AART|1ZMB	1BEXP|2BELT|369ASPD|4AART|56VULN|6BPWR|7FEWX|8RCR|aZMB
183	51511 36333	   	201.22	DCR|3ASPD|2VULN|1AART|1ZMB	17FEWX|2BELT|3LEGI|4AART|579ASPD|67VULN|7BPWR|8RCR|aZMB
184	11535 13343	   	201.18	DCR|2VULN|2AART|1MDPS|3DUR	1MBVNT|278DUR|37VULN|49AART|57AELBLL|6RCR|7BPWR|aMDPS
185	11534 16711	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|2aDUR|35VULN|4AART|6RCR|7SNIFST|8DMG|9ASPD
186	11534 18423	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aCGEN
187	11534 18426	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aLIT
188	11534 18427	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aMLV
189	21663 24333	   	201.12	DCR|3ASPD|2VULN|1AART|1ZMB	1BEXP|2BELT|369ASPD|4AART|56VULN|6BPWR|7DUST|8RCR|aZMB
190	12224 83227	 * 	201.06	DCR|3VULN|2DMG|1MDPS|1AART	1MBVNT|2RPLT|389VULN|48LHND|5MDPS|68DMG|7RCR|8BPWR|aAART
191	64424 16421	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78DMG|9RPLT|aCDMG
192	11534 18422	   	201.05	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1MSE	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aMSE
193	11534 18424	   	201.05	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|29DUR|35VULN|4AART|6RCR|7ASPD|8DMG|aDUST
194	11534 17343	   	200.98	DCR|2VULN|2AART|1MDPS|3DUR	1MBVNT|278DUR|35VULN|49AART|6RCR|aMDPS
195	64424 16134	 * 	200.88	DCR|2AART|2DMG|1VULN|1ASPD	19AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|7aDMG|8LWND
196	64424 16334	   	200.88	DCR|2AART|2DMG|1VULN|1ASPD	19AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|7aDMG|8LHND
197	16414 14454	   	200.87	DCR|3VULN|2DMG|1CDMG|1AAC|1ZMB	1MBVNT|2AAC|369VULN|4RCVC|56DMG|6BPWR|7CDMG|8ZMB|aRCR
198	16431 74417	   	200.86	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1MBVNT|2AAC|3VULN|4DUST|5CDMG|6RCR|78DMG|9ASPD|aAART
199	16121 24511	 * 	200.85	ACR|3VULN|2DMG|1ASPD|1CDMG|2DUR|1AAC	1MBVNT|2AAC|38DUR|4RCR|5CDMG|68aVULN|78DMG|8BPWR|9ASPD
200	11821 24524	   	200.73	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6VULN|78DMG|8BPWR|9CGEN|aAART
201	16414 14472	   	200.69	DCR|3DMG|2VULN|1CDMG|1AAC|1ZMB	1MBVNT|2AAC|36VULN|4RCVC|56aDMG|6BPWR|7CDMG|8ZMB|9RCR
202	11821 24564	   	200.63	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6VULN|78DMG|8BPWR|9TLV|aAART
203	11534 13466	   	200.63	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9RCVC|aDMG
204	11844 31761	 * 	200.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5DMG|6MLV|7RCR|8CDMG|9aVULN
205	16431 74542	   	200.58	DCR|3DMG|2VULN|2CDMG|1AAC	1MBVNT|2AAC|38VULN|4DUST|58CDMG|6RCR|78aDMG|8BPWR|9ERES
206	11534 13166	   	200.53	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9RCVC|aDMG
207	12255 72443	 * 	200.51	DCR|4VULN|1AART|1CDMG	1MBVNT|2RPLT|3579VULN|4RCVC|6RCR|7BPWR|8CDMG|aAART
208	11831 21642	   	200.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|38ASPD|4DUST|5CDMG|69VULN|7RCR|aDMG
209	11844 21761	   	200.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5DMG|6ERES|7RCR|8CDMG|9aVULN
210	15811 21642	   	200.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUST|38ASPD|4DUR|5CDMG|69VULN|7RCR|aDMG
211	11821 24553	   	200.49	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|2DUR|1SELL	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6VULN|78DMG|8BPWR|9SELL|aAART
212	64424 16414	 * 	200.46	DCR|3DMG|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78aDMG|9FEWX
213	64424 16444	   	200.46	DCR|3DMG|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78aDMG|9LHND
214	11542 71714	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2DUR|34VULN|5DMSP|6DMG|7RCR|8CDMG|9AART|aZMB
215	64424 16244	   	200.36	DCR|3DMG|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|79aDMG|8DUST
216	64424 16434	   	200.36	DCR|3DMG|1VULN|1AART|1ASPD	1AART|2MBVNT|3ASPD|4AME|5VULN|6RCR|78aDMG|9DUST
217	64224 13843	   	200.31	DCR|3VULN|2AART|1MDPS	19AART|2MBVNT|347FEWX|578VULN|6RCR|7BPWR|aMDPS
218	11844 31762	 * 	200.28	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5DMG|6MLV|7RCR|8CDMG|9VULN|aNUKE
219	64424 16143	 * 	200.26	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG	1AART|2MBVNT|39ASPD|4AME|5VULN|6RCR|7DMG|8LWND|aMDPS
220	64424 16343	   	200.26	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG	1AART|2MBVNT|39ASPD|4AME|5VULN|6RCR|7DMG|8LHND|aMDPS
221	11534 13323	   	200.26	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aMLV
222	11534 13324	   	200.26	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aBEXP
223	11534 13327	   	200.26	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aAELBLL
224	11534 13328	   	200.26	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aCGEN
225	11534 13423	   	200.26	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|27aDUR|357VULN|4AART|6RCR|7BPWR|8MLV|9CDMG
226	11533 13428	   	200.24	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|27DUR|37VULN|4AART|5RCVC|6RCR|7BPWR|8MLV|9CDMG|aASPD
227	64432 13124	 * 	200.24	DCR|2ASPD|1VULN|1AART|1DMG|3DUR	1AART|2MBVNT|37ASPD|479DUR|57CGEN|6RCR|7BPWR|8VULN|aDMG
228	64432 13125	 * 	200.24	DCR|2ASPD|1VULN|1AART|1NUKE|3DUR	1AART|2MBVNT|37ASPD|479DUR|57CGEN|6RCR|7BPWR|8VULN|aNUKE
229	16448 41423	 * 	200.24	DCR|2VULN|2DMG|1MDPS|2AAC|1ASPD	1MBVNT|28AAC|39VULN|4ASPD|59DMG|6RCR|79CGEN|9BPWR|aMDPS
230	11534 14424	   	200.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8MLV|9CDMG|aZMB
231	11844 21762	   	200.18	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5DMG|6ERES|7RCR|8CDMG|9VULN|aNUKE
232	11534 23225	   	200.17	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|279DUR|357VULN|4AART|67BEXP|7BPWR|8RCR|aDMG
233	11534 13123	   	200.16	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|27aDUR|357VULN|4AART|6RCR|7BPWR|8ERES|9CDMG
234	11534 13321	   	200.16	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aERES
235	11534 13325	   	200.16	DCR|3VULN|1AART|3DUR|1CDMG|1MSE	1MBVNT|278DUR|357VULN|4AART|6RCR|7BPWR|9CDMG|aMSE
236	11534 13723	   	200.16	DCR|3VULN|1AART|3DUR|1CDMG	1MBVNT|27aDUR|357VULN|4AART|6RCR|7BPWR|8TLV|9CDMG
237	11533 13128	   	200.14	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|27DUR|37VULN|4AART|5RCVC|6RCR|7BPWR|8ERES|9CDMG|aASPD
238	16542 45121	   	200.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1MBVNT|2AAC|3CDMG|4ASPD|5DMG|68aVULN|7DUR|9RCR
239	11534 11824	   	200.10	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1MBVNT|2DUR|358VULN|4AART|6RCR|7AAC|9CDMG|aZMB
240	11534 14124	   	200.10	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8ERES|9CDMG|aZMB
241	11534 14724	   	200.10	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|2DUR|357VULN|4AART|6RCR|8TLV|9CDMG|aZMB
242	11534 13344	   	200.09	DCR|3VULN|2AART|3DUR	1MBVNT|278DUR|357VULN|49AART|6RCR|7BPWR|aLIT
243	11534 13345	   	200.09	DCR|3VULN|2AART|3DUR	1MBVNT|278DUR|357VULN|49AART|6RCR|7BPWR|aLWND
244	11534 13346	   	200.09	DCR|3VULN|2AART|3DUR	1MBVNT|278DUR|357VULN|49AART|6RCR|7BPWR|aCGEN
245	11534 13374	   	200.09	DCR|3VULN|2AART|3DUR	1MBVNT|278DUR|357VULN|4aAART|6RCR|7BPWR|9BELT
246	11821 24542	 * 	200.04	ACR|3DMG|2ASPD|1VULN|2CDMG|2DUR	1MBVNT|28DUR|38ASPD|4RCR|5aCDMG|6VULN|789DMG|8BPWR
247	11871 21341	   	200.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4BEXP|5CDMG|689aVULN|7RCR
248	11534 13347	   	199.99	DCR|3VULN|2AART|3DUR	1MBVNT|278DUR|357VULN|49AART|6RCR|7BPWR|aMSLREG
249	11534 14328	   	199.99	DCR|3VULN|2AART|3DUR	1MBVNT|28aDUR|357VULN|49AART|6RCR
250	11532 25224	   	199.97	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|279DUR|367VULN|4AART|57DUST|7BPWR|8RCR|aASPD
251	11532 25225	   	199.97	DCR|3VULN|1AART|1DMG|3DUR	1MBVNT|279DUR|367VULN|4AART|57DUST|7BPWR|8RCR|aDMG
252	11534 75224	   	199.97	DCR|3VULN|1AART|1ASPD|3DUR	1MBVNT|279DUR|357VULN|4AART|67DUST|7BPWR|8RCR|aASPD
253	16442 14156	 * 	199.91	DCR|4VULN|2ASPD|1CDMG|1AAC	1MBVNT|2AAC|3689VULN|46ASPD|5DMSP|6BPWR|7CDMG|aRCR
254	11831 21341	   	199.90	DCR|4VULN|1ASPD|1CDMG|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5CDMG|689aVULN|7RCR
255	15811 21341	   	199.90	DCR|4VULN|1ASPD|1CDMG|1DUR	1MBVNT|2DUST|3ASPD|4DUR|5CDMG|689aVULN|7RCR
256	64443 16232	   	199.86	DCR|2VULN|1MDPS|2ASPD|3ZMB|1AART	1AART|2MBVNT|39ASPD|4LWND|579ZMB|6MDPS|89VULN|9BPWR|aRCR
257	11534 13371	   	199.86	DCR|4VULN|1AART|3DUR	1MBVNT|278DUR|357aVULN|4AART|6RCR|7BPWR|9BELT
258	11534 14374	   	199.86	DCR|4VULN|1AART|3DUR	1MBVNT|289DUR|3579VULN|4AART|6RCR|9BPWR|aLIT
259	11534 14375	   	199.86	DCR|4VULN|1AART|3DUR	1MBVNT|289DUR|3579VULN|4AART|6RCR|9BPWR|aLWND
260	11534 14376	   	199.86	DCR|4VULN|1AART|3DUR	1MBVNT|289DUR|3579VULN|4AART|6RCR|9BPWR|aCGEN
261	11534 14358	   	199.76	DCR|4VULN|1AART|3DUR	1MBVNT|28aDUR|3579VULN|4AART|6RCR
262	11534 14377	   	199.76	DCR|4VULN|1AART|3DUR	1MBVNT|289DUR|3579VULN|4AART|6RCR|9BPWR|aMSLREG
263	16513 52443	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1MBVNT|2AAC|3CDMG|4AART|5BELT|67VULN|8RCR|9ASPD|aDMG
264	64843 21221	 * 	199.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2MBVNT|3CDMG|4MDPS|59VULN|6ASPD|7DMG|8RCR|aMLV
265	64843 21223	   	199.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2MBVNT|3CDMG|4MDPS|59VULN|6ASPD|7DMG|8RCR|aLWND
266	64843 21224	   	199.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2MBVNT|3CDMG|4MDPS|59VULN|6ASPD|7DMG|8RCR|aCGEN
267	64843 31244	   	199.68	DCR|2DMG|1MDPS|1VULN|1AART|2CDMG|2ZMB	1AART|2MBVNT|3aCDMG|4MDPS|5VULN|6aZMB|7aDMG|8RCR|9RCVC|aBPWR
268	64843 21222	   	199.65	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1SELL	1AART|2MBVNT|3CDMG|4MDPS|59VULN|6ASPD|7DMG|8RCR|aSELL
269	12243 21213	   	199.52	ACR|2VULN|2DMG|1MDPS|2ASPD|1AART|1DUR	1MBVNT|2RPLT|39VULN|4RCR|5AART|69ASPD|79DMG|8MDPS|9BPWR|aDUR
270	11831 72521	 * 	199.42	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1MBVNT|2DUR|3ASPD|4DUST|5aCDMG|6RCR|7AART|89VULN
271	11821 24541	   	199.38	ACR|3DMG|2ASPD|1VULN|1CDMG|2DUR|1AAC	1MBVNT|28DUR|38ASPD|4RCR|5CDMG|6VULN|789DMG|8BPWR|aAAC
272	16471 82324	   	199.19	DCR|2VULN|2DMG|2CDMG|1ASPD|1AAC	1MBVNT|2AAC|37VULN|4BEXP|57CDMG|67DMG|7BPWR|8ASPD|9RCR|aLIT
273	11814 88243	   	199.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2DUR|37ASPD|4RCVC|5DMG|6ZMB|8RCR|9VULN|aAART
274	64424 16144	 * 	199.03	DCR|2DMG|2ASPD|1VULN|1AART	1AART|2MBVNT|39ASPD|4AME|5VULN|6RCR|7aDMG|8LWND
275	64424 16344	   	199.03	DCR|2DMG|2ASPD|1VULN|1AART	1AART|2MBVNT|39ASPD|4AME|5VULN|6RCR|7aDMG|8LHND
276	11534 13414	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9BEXP|aDMG
277	11534 13444	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9LHND|aDMG
278	11534 13622	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9DMG|aLHND
279	11534 13626	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9DMG|aLWND
280	11534 13627	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9DMG|aFEWX
281	11534 13662	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9LIT|aASPD
282	21624 16113	   	199.00	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1BEXP|2BELT|3ASPD|45VULN|6RCR|7LIT|8DMG|9CDMG|aMDPS
283	11534 13114	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9BEXP|aDMG
284	11534 13144	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9LHND|aDMG
285	11534 13434	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MLV|9DUST|aDMG
286	11534 13544	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8LHND|9ERES|aDMG
287	11534 13621	   	198.92	DCR|3VULN|1AART|1DMG|2DUR|1MSE	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9DMG|aMSE
288	11534 13623	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9DMG|aDUST
289	11534 13624	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8MULARM|9DMG|aERES
290	11534 13714	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8TLV|9BEXP|aDMG
291	11534 13744	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8TLV|9LHND|aDMG
292	11534 13844	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8DUST|9CGEN|aDMG
293	11534 13134	   	198.82	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8ERES|9DUST|aDMG
294	11534 13734	   	198.82	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|27DUR|357VULN|4AART|6RCR|7BPWR|8TLV|9DUST|aDMG
295	11534 14316	   	198.82	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|28DUR|357VULN|4AART|6RCR|9ERES|aDMG
296	11534 14346	   	198.82	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|28DUR|357VULN|4AART|6RCR|9TLV|aDMG
297	12243 32124	   	198.75	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	1MBVNT|2RPLT|39aVULN|4RCR|5AART|6ZMB|7aDUR|8aDMG|aBPWR
298	11533 18442	   	198.71	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|3aVULN|4AART|5RCVC|6RCR|7ASPD|8DMG|9CGEN
299	11533 18814	   	198.71	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|38VULN|4AART|5RCVC|6RCR|7ASPD|9BEXP|aDMG
300	11533 18844	   	198.71	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|38VULN|4AART|5RCVC|6RCR|7ASPD|9LHND|aDMG
301	16442 14472	   	198.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC|1ZMB	1MBVNT|2AAC|36VULN|46ASPD|5DMSP|6BPWR|7CDMG|8ZMB|9RCR|aDMG
302	11533 18834	   	198.61	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|38VULN|4AART|5RCVC|6RCR|7ASPD|9DUST|aDMG
303	16421 75424	 * 	198.34	ACR|3VULN|2DMG|1MDPS|1AART|2CDMG|1AAC	1MBVNT|2AAC|39aVULN|4RCR|5aCDMG|6MDPS|7aDMG|8AART|aBPWR
304	11831 21641	   	198.27	DCR|3VULN|2ASPD|1CDMG|1DUR	1MBVNT|2DUR|38ASPD|4DUST|5CDMG|69aVULN|7RCR
305	15811 21641	   	198.27	DCR|3VULN|2ASPD|1CDMG|1DUR	1MBVNT|2DUST|38ASPD|4DUR|5CDMG|69aVULN|7RCR
306	12243 21341	   	198.09	ACR|2VULN|2DMG|2ASPD|1AART|1AAC	1MBVNT|2RPLT|38VULN|4RCR|5AART|68ASPD|78DMG|8BPWR|9AELBLL|aAAC
307	64433 14227	   	198.01	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2MBVNT|3ASPD|4DUR|5ZMB|6MDPS|7CDMG|8RCR|9VULN|aDMG
308	15836 12131	   	197.96	DCR|2VULN|2DMG|2ASPD|1ZMB	1MBVNT|2DUST|39ASPD|4TLV|5FEWX|69DMG|7ZMB|89VULN|9BPWR|aRCR
309	18884 44133	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|29ERES|3ZMB|49FEWX|5ASPD|6RCR|7DMG|89VULN|9BPWR|aAART
310	13534 16712	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|2LHND|35VULN|4AART|6RCR|7SNIFST|8DMG|9ASPD|aZMB
311	63212 33126	   	197.89	DCR|2VULN|2AART|3CDMG|1AAC	19AART|2aCGEN|3RCVC|48aCDMG|5AAC|6RCR|7aVULN|aBPWR
312	63212 35126	   	197.89	DCR|2VULN|2AART|3CDMG|1AAC	19AART|2aCGEN|3RCVC|47aCDMG|5AAC|6RCR|8aVULN|aBPWR
313	11533 14322	   	197.74	DCR|3VULN|2AART|2DUR	1MBVNT|28DUR|37aVULN|49AART|5RCVC|6RCR
314	13534 13424	 * 	197.73	DCR|3VULN|2AART|1CDMG	1MBVNT|27LHND|357VULN|4aAART|6RCR|7BPWR|8RMIN|9CDMG
315	64384 13424	   	197.73	DCR|3VULN|2AART|1CDMG	1aAART|2MBVNT|37LWND|457VULN|6RCR|7BPWR|8RMIN|9CDMG
316	11844 21478	   	197.70	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5aDMG|6ERES|7RCR|8AART|9CDMG
317	11844 21718	   	197.70	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1MBVNT|2DUR|34ASPD|5aDMG|6ERES|7RCR|8CDMG|9AART
